,item,clause_type,locality,grammatical,counterbalance,mismatch_position,mismatch_feature,nonlocal_subj,local_sub,verb,pronoun,sentence,sentence_no_eos,bert_sentence,surprisal
45,4,embed,nonlocal,0,b,local_subj,number,author,mechanics,embarrassed,herself,The author said that the mechanics embarrassed herself . <eos>,The author said that the mechanics embarrassed herself .,the author said that the mechanics embarrassed ***mask*** .,0.007958588444862962
46,4,embed,nonlocal,0,c,local_subj,number,banker,authors,embarrassed,herself,The banker said that the authors embarrassed herself . <eos>,The banker said that the authors embarrassed herself .,the banker said that the authors embarrassed ***mask*** .,0.003142343568255468
47,4,embed,nonlocal,0,d,local_subj,number,author,bankers,embarrassed,herself,The author said that the bankers embarrassed herself . <eos>,The author said that the bankers embarrassed herself .,the author said that the bankers embarrassed ***mask*** .,0.013836407912455446
48,5,embed,local,1,a,none,none,mechanic,author,disguised,herself,The mechanic said that the author disguised herself . <eos>,The mechanic said that the author disguised herself .,the mechanic said that the author disguised ***mask*** .,2.4555148857746436e-05
49,5,embed,local,1,b,none,none,author,mechanic,disguised,herself,The author said that the mechanic disguised herself . <eos>,The author said that the mechanic disguised herself .,the author said that the mechanic disguised ***mask*** .,5.185961263348908e-05
50,5,embed,local,1,c,none,none,banker,author,disguised,herself,The banker said that the author disguised herself . <eos>,The banker said that the author disguised herself .,the banker said that the author disguised ***mask*** .,1.4187715099809242e-05
51,5,embed,local,1,d,none,none,author,banker,disguised,herself,The author said that the banker disguised herself . <eos>,The author said that the banker disguised herself .,the author said that the banker disguised ***mask*** .,4.734924401440439e-05
52,5,embed,local,1,a,nonlocal_subj,number,mechanics,author,disguised,herself,The mechanics said that the author disguised herself . <eos>,The mechanics said that the author disguised herself .,the mechanics said that the author disguised ***mask*** .,2.4151278177352406e-05
53,5,embed,local,1,b,nonlocal_subj,number,authors,mechanic,disguised,herself,The authors said that the mechanic disguised herself . <eos>,The authors said that the mechanic disguised herself .,the authors said that the mechanic disguised ***mask*** .,0.00021729245550348907
54,5,embed,local,1,c,nonlocal_subj,number,bankers,author,disguised,herself,The bankers said that the author disguised herself . <eos>,The bankers said that the author disguised herself .,the bankers said that the author disguised ***mask*** .,1.3764156797135697e-05
55,5,embed,local,1,d,nonlocal_subj,number,authors,banker,disguised,herself,The authors said that the banker disguised herself . <eos>,The authors said that the banker disguised herself .,the authors said that the banker disguised ***mask*** .,9.172457684861533e-05
56,5,embed,nonlocal,0,a,local_subj,number,mechanic,authors,disguised,herself,The mechanic said that the authors disguised herself . <eos>,The mechanic said that the authors disguised herself .,the mechanic said that the authors disguised ***mask*** .,0.0010063235286156022
57,5,embed,nonlocal,0,b,local_subj,number,author,mechanics,disguised,herself,The author said that the mechanics disguised herself . <eos>,The author said that the mechanics disguised herself .,the author said that the mechanics disguised ***mask*** .,0.0038545511692867876
58,5,embed,nonlocal,0,c,local_subj,number,banker,authors,disguised,herself,The banker said that the authors disguised herself . <eos>,The banker said that the authors disguised herself .,the banker said that the authors disguised ***mask*** .,0.0006575614663356132
59,5,embed,nonlocal,0,d,local_subj,number,author,bankers,disguised,herself,The author said that the bankers disguised herself . <eos>,The author said that the bankers disguised herself .,the author said that the bankers disguised ***mask*** .,0.0011232304581688794
60,6,embed,local,1,a,none,none,mechanic,author,hated,herself,The mechanic said that the author hated herself . <eos>,The mechanic said that the author hated herself .,the mechanic said that the author hated ***mask*** .,0.05702692395260221
61,6,embed,local,1,b,none,none,author,mechanic,hated,herself,The author said that the mechanic hated herself . <eos>,The author said that the mechanic hated herself .,the author said that the mechanic hated ***mask*** .,0.22941055916277922
62,6,embed,local,1,c,none,none,banker,author,hated,herself,The banker said that the author hated herself . <eos>,The banker said that the author hated herself .,the banker said that the author hated ***mask*** .,0.056973997048410746
63,6,embed,local,1,d,none,none,author,banker,hated,herself,The author said that the banker hated herself . <eos>,The author said that the banker hated herself .,the author said that the banker hated ***mask*** .,0.13669593811833364
64,6,embed,local,1,a,nonlocal_subj,number,mechanics,author,hated,herself,The mechanics said that the author hated herself . <eos>,The mechanics said that the author hated herself .,the mechanics said that the author hated ***mask*** .,0.0850424931207774
65,6,embed,local,1,b,nonlocal_subj,number,authors,mechanic,hated,herself,The authors said that the mechanic hated herself . <eos>,The authors said that the mechanic hated herself .,the authors said that the mechanic hated ***mask*** .,0.353165285998742
66,6,embed,local,1,c,nonlocal_subj,number,bankers,author,hated,herself,The bankers said that the author hated herself . <eos>,The bankers said that the author hated herself .,the bankers said that the author hated ***mask*** .,0.05282578423114771
67,6,embed,local,1,d,nonlocal_subj,number,authors,banker,hated,herself,The authors said that the banker hated herself . <eos>,The authors said that the banker hated herself .,the authors said that the banker hated ***mask*** .,0.1875354933919679
68,6,embed,nonlocal,0,a,local_subj,number,mechanic,authors,hated,herself,The mechanic said that the authors hated herself . <eos>,The mechanic said that the authors hated herself .,the mechanic said that the authors hated ***mask*** .,0.2314133081630817
69,6,embed,nonlocal,0,b,local_subj,number,author,mechanics,hated,herself,The author said that the mechanics hated herself . <eos>,The author said that the mechanics hated herself .,the author said that the mechanics hated ***mask*** .,0.8283521600467612
70,6,embed,nonlocal,0,c,local_subj,number,banker,authors,hated,herself,The banker said that the authors hated herself . <eos>,The banker said that the authors hated herself .,the banker said that the authors hated ***mask*** .,0.25209223563759076
71,6,embed,nonlocal,0,d,local_subj,number,author,bankers,hated,herself,The author said that the bankers hated herself . <eos>,The author said that the bankers hated herself .,the author said that the bankers hated ***mask*** .,0.5894907823883904
72,7,embed,local,1,a,none,none,mechanic,author,doubted,herself,The mechanic said that the author doubted herself . <eos>,The mechanic said that the author doubted herself .,the mechanic said that the author doubted ***mask*** .,0.014273003222602285
73,7,embed,local,1,b,none,none,author,mechanic,doubted,herself,The author said that the mechanic doubted herself . <eos>,The author said that the mechanic doubted herself .,the author said that the mechanic doubted ***mask*** .,0.018472671738860937
74,7,embed,local,1,c,none,none,banker,author,doubted,herself,The banker said that the author doubted herself . <eos>,The banker said that the author doubted herself .,the banker said that the author doubted ***mask*** .,0.012381550176410329
75,7,embed,local,1,d,none,none,author,banker,doubted,herself,The author said that the banker doubted herself . <eos>,The author said that the banker doubted herself .,the author said that the banker doubted ***mask*** .,0.026963055692721057
76,7,embed,local,1,a,nonlocal_subj,number,mechanics,author,doubted,herself,The mechanics said that the author doubted herself . <eos>,The mechanics said that the author doubted herself .,the mechanics said that the author doubted ***mask*** .,0.02769763764963634
77,7,embed,local,1,b,nonlocal_subj,number,authors,mechanic,doubted,herself,The authors said that the mechanic doubted herself . <eos>,The authors said that the mechanic doubted herself .,the authors said that the mechanic doubted ***mask*** .,0.05622473835956021
78,7,embed,local,1,c,nonlocal_subj,number,bankers,author,doubted,herself,The bankers said that the author doubted herself . <eos>,The bankers said that the author doubted herself .,the bankers said that the author doubted ***mask*** .,0.011416329994206168
79,7,embed,local,1,d,nonlocal_subj,number,authors,banker,doubted,herself,The authors said that the banker doubted herself . <eos>,The authors said that the banker doubted herself .,the authors said that the banker doubted ***mask*** .,0.0682400596153971
80,7,embed,nonlocal,0,a,local_subj,number,mechanic,authors,doubted,herself,The mechanic said that the authors doubted herself . <eos>,The mechanic said that the authors doubted herself .,the mechanic said that the authors doubted ***mask*** .,0.05976318513577293
81,7,embed,nonlocal,0,b,local_subj,number,author,mechanics,doubted,herself,The author said that the mechanics doubted herself . <eos>,The author said that the mechanics doubted herself .,the author said that the mechanics doubted ***mask*** .,0.1532878962309649
82,7,embed,nonlocal,0,c,local_subj,number,banker,authors,doubted,herself,The banker said that the authors doubted herself . <eos>,The banker said that the authors doubted herself .,the banker said that the authors doubted ***mask*** .,0.0633446909503756
83,7,embed,nonlocal,0,d,local_subj,number,author,bankers,doubted,herself,The author said that the bankers doubted herself . <eos>,The author said that the bankers doubted herself .,the author said that the bankers doubted ***mask*** .,0.12660067402270678
84,8,embed,local,1,a,none,none,mechanic,pilot,hurt,herself,The mechanic said that the pilot hurt herself . <eos>,The mechanic said that the pilot hurt herself .,the mechanic said that the pilot hurt ***mask*** .,0.0017208292002305337
85,8,embed,local,1,b,none,none,pilot,mechanic,hurt,herself,The pilot said that the mechanic hurt herself . <eos>,The pilot said that the mechanic hurt herself .,the pilot said that the mechanic hurt ***mask*** .,0.0017846071482731727
86,8,embed,local,1,c,none,none,banker,pilot,hurt,herself,The banker said that the pilot hurt herself . <eos>,The banker said that the pilot hurt herself .,the banker said that the pilot hurt ***mask*** .,0.002222383946074858
87,8,embed,local,1,d,none,none,pilot,banker,hurt,herself,The pilot said that the banker hurt herself . <eos>,The pilot said that the banker hurt herself .,the pilot said that the banker hurt ***mask*** .,0.004921124246916933
88,8,embed,local,1,a,nonlocal_subj,number,mechanics,pilot,hurt,herself,The mechanics said that the pilot hurt herself . <eos>,The mechanics said that the pilot hurt herself .,the mechanics said that the pilot hurt ***mask*** .,0.0025468243694982975
89,8,embed,local,1,b,nonlocal_subj,number,pilots,mechanic,hurt,herself,The pilots said that the mechanic hurt herself . <eos>,The pilots said that the mechanic hurt herself .,the pilots said that the mechanic hurt ***mask*** .,0.0022049626924939073
90,8,embed,local,1,c,nonlocal_subj,number,bankers,pilot,hurt,herself,The bankers said that the pilot hurt herself . <eos>,The bankers said that the pilot hurt herself .,the bankers said that the pilot hurt ***mask*** .,0.0020201726945554975
91,8,embed,local,1,d,nonlocal_subj,number,pilots,banker,hurt,herself,The pilots said that the banker hurt herself . <eos>,The pilots said that the banker hurt herself .,the pilots said that the banker hurt ***mask*** .,0.00801035351205036
92,8,embed,nonlocal,0,a,local_subj,number,mechanic,pilots,hurt,herself,The mechanic said that the pilots hurt herself . <eos>,The mechanic said that the pilots hurt herself .,the mechanic said that the pilots hurt ***mask*** .,0.009240116002176262
93,8,embed,nonlocal,0,b,local_subj,number,pilot,mechanics,hurt,herself,The pilot said that the mechanics hurt herself . <eos>,The pilot said that the mechanics hurt herself .,the pilot said that the mechanics hurt ***mask*** .,0.01336113033133949
94,8,embed,nonlocal,0,c,local_subj,number,banker,pilots,hurt,herself,The banker said that the pilots hurt herself . <eos>,The banker said that the pilots hurt herself .,the banker said that the pilots hurt ***mask*** .,0.018274818514798577
95,8,embed,nonlocal,0,d,local_subj,number,pilot,bankers,hurt,herself,The pilot said that the bankers hurt herself . <eos>,The pilot said that the bankers hurt herself .,the pilot said that the bankers hurt ***mask*** .,0.053391390819660316
96,9,embed,local,1,a,none,none,mechanic,pilot,injured,herself,The mechanic said that the pilot injured herself . <eos>,The mechanic said that the pilot injured herself .,the mechanic said that the pilot injured ***mask*** .,0.0003531102744408246
97,9,embed,local,1,b,none,none,pilot,mechanic,injured,herself,The pilot said that the mechanic injured herself . <eos>,The pilot said that the mechanic injured herself .,the pilot said that the mechanic injured ***mask*** .,0.00020165028366632393
98,9,embed,local,1,c,none,none,banker,pilot,injured,herself,The banker said that the pilot injured herself . <eos>,The banker said that the pilot injured herself .,the banker said that the pilot injured ***mask*** .,0.0004194587698325269
99,9,embed,local,1,d,none,none,pilot,banker,injured,herself,The pilot said that the banker injured herself . <eos>,The pilot said that the banker injured herself .,the pilot said that the banker injured ***mask*** .,0.00026133946509397497
100,9,embed,local,1,a,nonlocal_subj,number,mechanics,pilot,injured,herself,The mechanics said that the pilot injured herself . <eos>,The mechanics said that the pilot injured herself .,the mechanics said that the pilot injured ***mask*** .,0.0003589631428331105
101,9,embed,local,1,b,nonlocal_subj,number,pilots,mechanic,injured,herself,The pilots said that the mechanic injured herself . <eos>,The pilots said that the mechanic injured herself .,the pilots said that the mechanic injured ***mask*** .,0.0002769735882415019
102,9,embed,local,1,c,nonlocal_subj,number,bankers,pilot,injured,herself,The bankers said that the pilot injured herself . <eos>,The bankers said that the pilot injured herself .,the bankers said that the pilot injured ***mask*** .,0.00045447278733928755
103,9,embed,local,1,d,nonlocal_subj,number,pilots,banker,injured,herself,The pilots said that the banker injured herself . <eos>,The pilots said that the banker injured herself .,the pilots said that the banker injured ***mask*** .,0.00033779908490228476
104,9,embed,nonlocal,0,a,local_subj,number,mechanic,pilots,injured,herself,The mechanic said that the pilots injured herself . <eos>,The mechanic said that the pilots injured herself .,the mechanic said that the pilots injured ***mask*** .,0.006809201993327953
105,9,embed,nonlocal,0,b,local_subj,number,pilot,mechanics,injured,herself,The pilot said that the mechanics injured herself . <eos>,The pilot said that the mechanics injured herself .,the pilot said that the mechanics injured ***mask*** .,0.0010923384776361283
106,9,embed,nonlocal,0,c,local_subj,number,banker,pilots,injured,herself,The banker said that the pilots injured herself . <eos>,The banker said that the pilots injured herself .,the banker said that the pilots injured ***mask*** .,0.012869269405194108
107,9,embed,nonlocal,0,d,local_subj,number,pilot,bankers,injured,herself,The pilot said that the bankers injured herself . <eos>,The pilot said that the bankers injured herself .,the pilot said that the bankers injured ***mask*** .,0.0035994000531759836
108,10,embed,local,1,a,none,none,mechanic,pilot,congratulated,herself,The mechanic said that the pilot congratulated herself . <eos>,The mechanic said that the pilot congratulated herself .,the mechanic said that the pilot congratulated ***mask*** .,0.018855704801983068
109,10,embed,local,1,b,none,none,pilot,mechanic,congratulated,herself,The pilot said that the mechanic congratulated herself . <eos>,The pilot said that the mechanic congratulated herself .,the pilot said that the mechanic congratulated ***mask*** .,0.011903286923616687
110,10,embed,local,1,c,none,none,banker,pilot,congratulated,herself,The banker said that the pilot congratulated herself . <eos>,The banker said that the pilot congratulated herself .,the banker said that the pilot congratulated ***mask*** .,0.013950448218858352
111,10,embed,local,1,d,none,none,pilot,banker,congratulated,herself,The pilot said that the banker congratulated herself . <eos>,The pilot said that the banker congratulated herself .,the pilot said that the banker congratulated ***mask*** .,0.025606764751742048
112,10,embed,local,1,a,nonlocal_subj,number,mechanics,pilot,congratulated,herself,The mechanics said that the pilot congratulated herself . <eos>,The mechanics said that the pilot congratulated herself .,the mechanics said that the pilot congratulated ***mask*** .,0.015730002482974084
113,10,embed,local,1,b,nonlocal_subj,number,pilots,mechanic,congratulated,herself,The pilots said that the mechanic congratulated herself . <eos>,The pilots said that the mechanic congratulated herself .,the pilots said that the mechanic congratulated ***mask*** .,0.017053811905361003
114,10,embed,local,1,c,nonlocal_subj,number,bankers,pilot,congratulated,herself,The bankers said that the pilot congratulated herself . <eos>,The bankers said that the pilot congratulated herself .,the bankers said that the pilot congratulated ***mask*** .,0.008426057770071873
115,10,embed,local,1,d,nonlocal_subj,number,pilots,banker,congratulated,herself,The pilots said that the banker congratulated herself . <eos>,The pilots said that the banker congratulated herself .,the pilots said that the banker congratulated ***mask*** .,0.048673781016944
116,10,embed,nonlocal,0,a,local_subj,number,mechanic,pilots,congratulated,herself,The mechanic said that the pilots congratulated herself . <eos>,The mechanic said that the pilots congratulated herself .,the mechanic said that the pilots congratulated ***mask*** .,0.035467918754206074
117,10,embed,nonlocal,0,b,local_subj,number,pilot,mechanics,congratulated,herself,The pilot said that the mechanics congratulated herself . <eos>,The pilot said that the mechanics congratulated herself .,the pilot said that the mechanics congratulated ***mask*** .,0.023943980092921674
118,10,embed,nonlocal,0,c,local_subj,number,banker,pilots,congratulated,herself,The banker said that the pilots congratulated herself . <eos>,The banker said that the pilots congratulated herself .,the banker said that the pilots congratulated ***mask*** .,0.029651200442819436
119,10,embed,nonlocal,0,d,local_subj,number,pilot,bankers,congratulated,herself,The pilot said that the bankers congratulated herself . <eos>,The pilot said that the bankers congratulated herself .,the pilot said that the bankers congratulated ***mask*** .,0.02555093566095678
120,11,embed,local,1,a,none,none,mechanic,pilot,embarrassed,herself,The mechanic said that the pilot embarrassed herself . <eos>,The mechanic said that the pilot embarrassed herself .,the mechanic said that the pilot embarrassed ***mask*** .,0.0059150440788589016
121,11,embed,local,1,b,none,none,pilot,mechanic,embarrassed,herself,The pilot said that the mechanic embarrassed herself . <eos>,The pilot said that the mechanic embarrassed herself .,the pilot said that the mechanic embarrassed ***mask*** .,0.0047463261405414035
122,11,embed,local,1,c,none,none,banker,pilot,embarrassed,herself,The banker said that the pilot embarrassed herself . <eos>,The banker said that the pilot embarrassed herself .,the banker said that the pilot embarrassed ***mask*** .,0.005723538922568652
123,11,embed,local,1,d,none,none,pilot,banker,embarrassed,herself,The pilot said that the banker embarrassed herself . <eos>,The pilot said that the banker embarrassed herself .,the pilot said that the banker embarrassed ***mask*** .,0.010900119836827751
124,11,embed,local,1,a,nonlocal_subj,number,mechanics,pilot,embarrassed,herself,The mechanics said that the pilot embarrassed herself . <eos>,The mechanics said that the pilot embarrassed herself .,the mechanics said that the pilot embarrassed ***mask*** .,0.00873167044794677
125,11,embed,local,1,b,nonlocal_subj,number,pilots,mechanic,embarrassed,herself,The pilots said that the mechanic embarrassed herself . <eos>,The pilots said that the mechanic embarrassed herself .,the pilots said that the mechanic embarrassed ***mask*** .,0.01386334873705464
126,11,embed,local,1,c,nonlocal_subj,number,bankers,pilot,embarrassed,herself,The bankers said that the pilot embarrassed herself . <eos>,The bankers said that the pilot embarrassed herself .,the bankers said that the pilot embarrassed ***mask*** .,0.004297176814442555
127,11,embed,local,1,d,nonlocal_subj,number,pilots,banker,embarrassed,herself,The pilots said that the banker embarrassed herself . <eos>,The pilots said that the banker embarrassed herself .,the pilots said that the banker embarrassed ***mask*** .,0.01465594926857795
128,11,embed,nonlocal,0,a,local_subj,number,mechanic,pilots,embarrassed,herself,The mechanic said that the pilots embarrassed herself . <eos>,The mechanic said that the pilots embarrassed herself .,the mechanic said that the pilots embarrassed ***mask*** .,0.017617477013656808
129,11,embed,nonlocal,0,b,local_subj,number,pilot,mechanics,embarrassed,herself,The pilot said that the mechanics embarrassed herself . <eos>,The pilot said that the mechanics embarrassed herself .,the pilot said that the mechanics embarrassed ***mask*** .,0.01251745691151725
130,11,embed,nonlocal,0,c,local_subj,number,banker,pilots,embarrassed,herself,The banker said that the pilots embarrassed herself . <eos>,The banker said that the pilots embarrassed herself .,the banker said that the pilots embarrassed ***mask*** .,0.025094148635990805
131,11,embed,nonlocal,0,d,local_subj,number,pilot,bankers,embarrassed,herself,The pilot said that the bankers embarrassed herself . <eos>,The pilot said that the bankers embarrassed herself .,the pilot said that the bankers embarrassed ***mask*** .,0.041737410548395734
132,12,embed,local,1,a,none,none,mechanic,pilot,disguised,herself,The mechanic said that the pilot disguised herself . <eos>,The mechanic said that the pilot disguised herself .,the mechanic said that the pilot disguised ***mask*** .,1.978491536235658e-05
133,12,embed,local,1,b,none,none,pilot,mechanic,disguised,herself,The pilot said that the mechanic disguised herself . <eos>,The pilot said that the mechanic disguised herself .,the pilot said that the mechanic disguised ***mask*** .,1.6543724574884993e-05
