,item,RC_verb,clause_type,locality,grammatical,counterbalance,mismatch_position,mismatch_feature,rc_subj,local_sub,verb,pronoun,sentence,sentence_no_eos,bert_sentence,surprisal
26,3,liked,embed,local,1,c,none,none,banker,author,congratulated,himself,The banker that the author liked congratulated himself . <eos>,The banker that the author liked congratulated himself .,the banker that the author liked congratulated ***mask*** .,0.004359528098599899
27,3,liked,embed,local,1,d,none,none,author,banker,congratulated,himself,The author that the banker liked congratulated himself . <eos>,The author that the banker liked congratulated himself .,the author that the banker liked congratulated ***mask*** .,0.004176047512505838
28,3,liked,embed,nonlocal,0,a,matrix_subj,number,mechanics,author,congratulated,himself,The mechanics that the author liked congratulated himself . <eos>,The mechanics that the author liked congratulated himself .,the mechanics that the author liked congratulated ***mask*** .,0.012048288836064262
29,3,liked,embed,nonlocal,0,b,matrix_subj,number,authors,mechanic,congratulated,himself,The authors that the mechanic liked congratulated himself . <eos>,The authors that the mechanic liked congratulated himself .,the authors that the mechanic liked congratulated ***mask*** .,0.004246412360466205
30,3,liked,embed,nonlocal,0,c,matrix_subj,number,bankers,author,congratulated,himself,The bankers that the author liked congratulated himself . <eos>,The bankers that the author liked congratulated himself .,the bankers that the author liked congratulated ***mask*** .,0.009844775403301193
31,3,liked,embed,nonlocal,0,d,matrix_subj,number,authors,banker,congratulated,himself,The authors that the banker liked congratulated himself . <eos>,The authors that the banker liked congratulated himself .,the authors that the banker liked congratulated ***mask*** .,0.0069499793204009135
32,3,liked,embed,local,1,a,rc_subj,number,mechanic,authors,congratulated,himself,The mechanic that the authors liked congratulated himself . <eos>,The mechanic that the authors liked congratulated himself .,the mechanic that the authors liked congratulated ***mask*** .,0.01205977663293983
33,3,liked,embed,local,1,b,rc_subj,number,author,mechanics,congratulated,himself,The author that the mechanics liked congratulated himself . <eos>,The author that the mechanics liked congratulated himself .,the author that the mechanics liked congratulated ***mask*** .,0.00449743764709954
34,3,liked,embed,local,1,c,rc_subj,number,banker,authors,congratulated,himself,The banker that the authors liked congratulated himself . <eos>,The banker that the authors liked congratulated himself .,the banker that the authors liked congratulated ***mask*** .,0.0070265215853910455
35,3,liked,embed,local,1,d,rc_subj,number,author,bankers,congratulated,himself,The author that the bankers liked congratulated himself . <eos>,The author that the bankers liked congratulated himself .,the author that the bankers liked congratulated ***mask*** .,0.005618885228561068
36,4,liked,embed,local,1,a,none,none,mechanic,author,embarrassed,himself,The mechanic that the author liked embarrassed himself . <eos>,The mechanic that the author liked embarrassed himself .,the mechanic that the author liked embarrassed ***mask*** .,0.027010946524680484
37,4,liked,embed,local,1,b,none,none,author,mechanic,embarrassed,himself,The author that the mechanic liked embarrassed himself . <eos>,The author that the mechanic liked embarrassed himself .,the author that the mechanic liked embarrassed ***mask*** .,0.007561426098187044
38,4,liked,embed,local,1,c,none,none,banker,author,embarrassed,himself,The banker that the author liked embarrassed himself . <eos>,The banker that the author liked embarrassed himself .,the banker that the author liked embarrassed ***mask*** .,0.022497621876387475
39,4,liked,embed,local,1,d,none,none,author,banker,embarrassed,himself,The author that the banker liked embarrassed himself . <eos>,The author that the banker liked embarrassed himself .,the author that the banker liked embarrassed ***mask*** .,0.010153019416875693
40,4,liked,embed,nonlocal,0,a,matrix_subj,number,mechanics,author,embarrassed,himself,The mechanics that the author liked embarrassed himself . <eos>,The mechanics that the author liked embarrassed himself .,the mechanics that the author liked embarrassed ***mask*** .,0.033568662241328755
41,4,liked,embed,nonlocal,0,b,matrix_subj,number,authors,mechanic,embarrassed,himself,The authors that the mechanic liked embarrassed himself . <eos>,The authors that the mechanic liked embarrassed himself .,the authors that the mechanic liked embarrassed ***mask*** .,0.021975786544845843
42,4,liked,embed,nonlocal,0,c,matrix_subj,number,bankers,author,embarrassed,himself,The bankers that the author liked embarrassed himself . <eos>,The bankers that the author liked embarrassed himself .,the bankers that the author liked embarrassed ***mask*** .,0.022798907668960356
43,4,liked,embed,nonlocal,0,d,matrix_subj,number,authors,banker,embarrassed,himself,The authors that the banker liked embarrassed himself . <eos>,The authors that the banker liked embarrassed himself .,the authors that the banker liked embarrassed ***mask*** .,0.02622297912596285
44,4,liked,embed,local,1,a,rc_subj,number,mechanic,authors,embarrassed,himself,The mechanic that the authors liked embarrassed himself . <eos>,The mechanic that the authors liked embarrassed himself .,the mechanic that the authors liked embarrassed ***mask*** .,0.045843857014999816
45,4,liked,embed,local,1,b,rc_subj,number,author,mechanics,embarrassed,himself,The author that the mechanics liked embarrassed himself . <eos>,The author that the mechanics liked embarrassed himself .,the author that the mechanics liked embarrassed ***mask*** .,0.009777933400594583
46,4,liked,embed,local,1,c,rc_subj,number,banker,authors,embarrassed,himself,The banker that the authors liked embarrassed himself . <eos>,The banker that the authors liked embarrassed himself .,the banker that the authors liked embarrassed ***mask*** .,0.043550619725242455
47,4,liked,embed,local,1,d,rc_subj,number,author,bankers,embarrassed,himself,The author that the bankers liked embarrassed himself . <eos>,The author that the bankers liked embarrassed himself .,the author that the bankers liked embarrassed ***mask*** .,0.01331745667959871
48,5,liked,embed,local,1,a,none,none,mechanic,author,disguised,himself,The mechanic that the author liked disguised himself . <eos>,The mechanic that the author liked disguised himself .,the mechanic that the author liked disguised ***mask*** .,0.010317183133478108
49,5,liked,embed,local,1,b,none,none,author,mechanic,disguised,himself,The author that the mechanic liked disguised himself . <eos>,The author that the mechanic liked disguised himself .,the author that the mechanic liked disguised ***mask*** .,0.0030138638871006393
50,5,liked,embed,local,1,c,none,none,banker,author,disguised,himself,The banker that the author liked disguised himself . <eos>,The banker that the author liked disguised himself .,the banker that the author liked disguised ***mask*** .,0.009757476672949027
51,5,liked,embed,local,1,d,none,none,author,banker,disguised,himself,The author that the banker liked disguised himself . <eos>,The author that the banker liked disguised himself .,the author that the banker liked disguised ***mask*** .,0.0028272787490772546
52,5,liked,embed,nonlocal,0,a,matrix_subj,number,mechanics,author,disguised,himself,The mechanics that the author liked disguised himself . <eos>,The mechanics that the author liked disguised himself .,the mechanics that the author liked disguised ***mask*** .,0.003776724843288433
53,5,liked,embed,nonlocal,0,b,matrix_subj,number,authors,mechanic,disguised,himself,The authors that the mechanic liked disguised himself . <eos>,The authors that the mechanic liked disguised himself .,the authors that the mechanic liked disguised ***mask*** .,0.0010838461906913662
54,5,liked,embed,nonlocal,0,c,matrix_subj,number,bankers,author,disguised,himself,The bankers that the author liked disguised himself . <eos>,The bankers that the author liked disguised himself .,the bankers that the author liked disguised ***mask*** .,0.0024649799055715777
55,5,liked,embed,nonlocal,0,d,matrix_subj,number,authors,banker,disguised,himself,The authors that the banker liked disguised himself . <eos>,The authors that the banker liked disguised himself .,the authors that the banker liked disguised ***mask*** .,0.0021414433830779724
56,5,liked,embed,local,1,a,rc_subj,number,mechanic,authors,disguised,himself,The mechanic that the authors liked disguised himself . <eos>,The mechanic that the authors liked disguised himself .,the mechanic that the authors liked disguised ***mask*** .,0.025873663467942985
57,5,liked,embed,local,1,b,rc_subj,number,author,mechanics,disguised,himself,The author that the mechanics liked disguised himself . <eos>,The author that the mechanics liked disguised himself .,the author that the mechanics liked disguised ***mask*** .,0.018795256108622503
58,5,liked,embed,local,1,c,rc_subj,number,banker,authors,disguised,himself,The banker that the authors liked disguised himself . <eos>,The banker that the authors liked disguised himself .,the banker that the authors liked disguised ***mask*** .,0.02544312643627968
59,5,liked,embed,local,1,d,rc_subj,number,author,bankers,disguised,himself,The author that the bankers liked disguised himself . <eos>,The author that the bankers liked disguised himself .,the author that the bankers liked disguised ***mask*** .,0.008859364221971512
60,6,liked,embed,local,1,a,none,none,mechanic,author,hated,himself,The mechanic that the author liked hated himself . <eos>,The mechanic that the author liked hated himself .,the mechanic that the author liked hated ***mask*** .,0.027958305794914602
61,6,liked,embed,local,1,b,none,none,author,mechanic,hated,himself,The author that the mechanic liked hated himself . <eos>,The author that the mechanic liked hated himself .,the author that the mechanic liked hated ***mask*** .,0.01580002652864681
62,6,liked,embed,local,1,c,none,none,banker,author,hated,himself,The banker that the author liked hated himself . <eos>,The banker that the author liked hated himself .,the banker that the author liked hated ***mask*** .,0.03170685363112868
63,6,liked,embed,local,1,d,none,none,author,banker,hated,himself,The author that the banker liked hated himself . <eos>,The author that the banker liked hated himself .,the author that the banker liked hated ***mask*** .,0.02015444495631233
64,6,liked,embed,nonlocal,0,a,matrix_subj,number,mechanics,author,hated,himself,The mechanics that the author liked hated himself . <eos>,The mechanics that the author liked hated himself .,the mechanics that the author liked hated ***mask*** .,0.05336846396756435
65,6,liked,embed,nonlocal,0,b,matrix_subj,number,authors,mechanic,hated,himself,The authors that the mechanic liked hated himself . <eos>,The authors that the mechanic liked hated himself .,the authors that the mechanic liked hated ***mask*** .,0.05159398631528268
66,6,liked,embed,nonlocal,0,c,matrix_subj,number,bankers,author,hated,himself,The bankers that the author liked hated himself . <eos>,The bankers that the author liked hated himself .,the bankers that the author liked hated ***mask*** .,0.06996804029079827
67,6,liked,embed,nonlocal,0,d,matrix_subj,number,authors,banker,hated,himself,The authors that the banker liked hated himself . <eos>,The authors that the banker liked hated himself .,the authors that the banker liked hated ***mask*** .,0.06450884105366704
68,6,liked,embed,local,1,a,rc_subj,number,mechanic,authors,hated,himself,The mechanic that the authors liked hated himself . <eos>,The mechanic that the authors liked hated himself .,the mechanic that the authors liked hated ***mask*** .,0.04108272289319986
69,6,liked,embed,local,1,b,rc_subj,number,author,mechanics,hated,himself,The author that the mechanics liked hated himself . <eos>,The author that the mechanics liked hated himself .,the author that the mechanics liked hated ***mask*** .,0.01615926768260415
70,6,liked,embed,local,1,c,rc_subj,number,banker,authors,hated,himself,The banker that the authors liked hated himself . <eos>,The banker that the authors liked hated himself .,the banker that the authors liked hated ***mask*** .,0.04147817654882832
71,6,liked,embed,local,1,d,rc_subj,number,author,bankers,hated,himself,The author that the bankers liked hated himself . <eos>,The author that the bankers liked hated himself .,the author that the bankers liked hated ***mask*** .,0.022835911553120168
72,7,liked,embed,local,1,a,none,none,mechanic,author,doubted,himself,The mechanic that the author liked doubted himself . <eos>,The mechanic that the author liked doubted himself .,the mechanic that the author liked doubted ***mask*** .,0.00967690777852695
73,7,liked,embed,local,1,b,none,none,author,mechanic,doubted,himself,The author that the mechanic liked doubted himself . <eos>,The author that the mechanic liked doubted himself .,the author that the mechanic liked doubted ***mask*** .,0.004872293064528117
74,7,liked,embed,local,1,c,none,none,banker,author,doubted,himself,The banker that the author liked doubted himself . <eos>,The banker that the author liked doubted himself .,the banker that the author liked doubted ***mask*** .,0.009787538217319362
75,7,liked,embed,local,1,d,none,none,author,banker,doubted,himself,The author that the banker liked doubted himself . <eos>,The author that the banker liked doubted himself .,the author that the banker liked doubted ***mask*** .,0.0038776431514027454
76,7,liked,embed,nonlocal,0,a,matrix_subj,number,mechanics,author,doubted,himself,The mechanics that the author liked doubted himself . <eos>,The mechanics that the author liked doubted himself .,the mechanics that the author liked doubted ***mask*** .,0.016164662870426543
77,7,liked,embed,nonlocal,0,b,matrix_subj,number,authors,mechanic,doubted,himself,The authors that the mechanic liked doubted himself . <eos>,The authors that the mechanic liked doubted himself .,the authors that the mechanic liked doubted ***mask*** .,0.01039153374671752
78,7,liked,embed,nonlocal,0,c,matrix_subj,number,bankers,author,doubted,himself,The bankers that the author liked doubted himself . <eos>,The bankers that the author liked doubted himself .,the bankers that the author liked doubted ***mask*** .,0.02223429613600715
79,7,liked,embed,nonlocal,0,d,matrix_subj,number,authors,banker,doubted,himself,The authors that the banker liked doubted himself . <eos>,The authors that the banker liked doubted himself .,the authors that the banker liked doubted ***mask*** .,0.012465504143603222
80,7,liked,embed,local,1,a,rc_subj,number,mechanic,authors,doubted,himself,The mechanic that the authors liked doubted himself . <eos>,The mechanic that the authors liked doubted himself .,the mechanic that the authors liked doubted ***mask*** .,0.01590507105004696
81,7,liked,embed,local,1,b,rc_subj,number,author,mechanics,doubted,himself,The author that the mechanics liked doubted himself . <eos>,The author that the mechanics liked doubted himself .,the author that the mechanics liked doubted ***mask*** .,0.005400249630737631
82,7,liked,embed,local,1,c,rc_subj,number,banker,authors,doubted,himself,The banker that the authors liked doubted himself . <eos>,The banker that the authors liked doubted himself .,the banker that the authors liked doubted ***mask*** .,0.020889547060147166
83,7,liked,embed,local,1,d,rc_subj,number,author,bankers,doubted,himself,The author that the bankers liked doubted himself . <eos>,The author that the bankers liked doubted himself .,the author that the bankers liked doubted ***mask*** .,0.006258888917469452
84,8,liked,embed,local,1,a,none,none,mechanic,pilot,hurt,himself,The mechanic that the pilot liked hurt himself . <eos>,The mechanic that the pilot liked hurt himself .,the mechanic that the pilot liked hurt ***mask*** .,0.00240075078130761
85,8,liked,embed,local,1,b,none,none,pilot,mechanic,hurt,himself,The pilot that the mechanic liked hurt himself . <eos>,The pilot that the mechanic liked hurt himself .,the pilot that the mechanic liked hurt ***mask*** .,0.006562198043624543
86,8,liked,embed,local,1,c,none,none,banker,pilot,hurt,himself,The banker that the pilot liked hurt himself . <eos>,The banker that the pilot liked hurt himself .,the banker that the pilot liked hurt ***mask*** .,0.008465143716947924
87,8,liked,embed,local,1,d,none,none,pilot,banker,hurt,himself,The pilot that the banker liked hurt himself . <eos>,The pilot that the banker liked hurt himself .,the pilot that the banker liked hurt ***mask*** .,0.005286730317085771
88,8,liked,embed,nonlocal,0,a,matrix_subj,number,mechanics,pilot,hurt,himself,The mechanics that the pilot liked hurt himself . <eos>,The mechanics that the pilot liked hurt himself .,the mechanics that the pilot liked hurt ***mask*** .,0.012493173649228008
89,8,liked,embed,nonlocal,0,b,matrix_subj,number,pilots,mechanic,hurt,himself,The pilots that the mechanic liked hurt himself . <eos>,The pilots that the mechanic liked hurt himself .,the pilots that the mechanic liked hurt ***mask*** .,0.01622394365892266
90,8,liked,embed,nonlocal,0,c,matrix_subj,number,bankers,pilot,hurt,himself,The bankers that the pilot liked hurt himself . <eos>,The bankers that the pilot liked hurt himself .,the bankers that the pilot liked hurt ***mask*** .,0.027758905481577327
91,8,liked,embed,nonlocal,0,d,matrix_subj,number,pilots,banker,hurt,himself,The pilots that the banker liked hurt himself . <eos>,The pilots that the banker liked hurt himself .,the pilots that the banker liked hurt ***mask*** .,0.013778176597002846
92,8,liked,embed,local,1,a,rc_subj,number,mechanic,pilots,hurt,himself,The mechanic that the pilots liked hurt himself . <eos>,The mechanic that the pilots liked hurt himself .,the mechanic that the pilots liked hurt ***mask*** .,0.0024171424091579976
93,8,liked,embed,local,1,b,rc_subj,number,pilot,mechanics,hurt,himself,The pilot that the mechanics liked hurt himself . <eos>,The pilot that the mechanics liked hurt himself .,the pilot that the mechanics liked hurt ***mask*** .,0.006223130083798239
94,8,liked,embed,local,1,c,rc_subj,number,banker,pilots,hurt,himself,The banker that the pilots liked hurt himself . <eos>,The banker that the pilots liked hurt himself .,the banker that the pilots liked hurt ***mask*** .,0.012998702331110584
95,8,liked,embed,local,1,d,rc_subj,number,pilot,bankers,hurt,himself,The pilot that the bankers liked hurt himself . <eos>,The pilot that the bankers liked hurt himself .,the pilot that the bankers liked hurt ***mask*** .,0.005460255459266117
96,9,liked,embed,local,1,a,none,none,mechanic,pilot,injured,himself,The mechanic that the pilot liked injured himself . <eos>,The mechanic that the pilot liked injured himself .,the mechanic that the pilot liked injured ***mask*** .,0.000701643381494773
97,9,liked,embed,local,1,b,none,none,pilot,mechanic,injured,himself,The pilot that the mechanic liked injured himself . <eos>,The pilot that the mechanic liked injured himself .,the pilot that the mechanic liked injured ***mask*** .,0.00017976209741915332
98,9,liked,embed,local,1,c,none,none,banker,pilot,injured,himself,The banker that the pilot liked injured himself . <eos>,The banker that the pilot liked injured himself .,the banker that the pilot liked injured ***mask*** .,0.022398843908118152
99,9,liked,embed,local,1,d,none,none,pilot,banker,injured,himself,The pilot that the banker liked injured himself . <eos>,The pilot that the banker liked injured himself .,the pilot that the banker liked injured ***mask*** .,0.0006677237724545745
100,9,liked,embed,nonlocal,0,a,matrix_subj,number,mechanics,pilot,injured,himself,The mechanics that the pilot liked injured himself . <eos>,The mechanics that the pilot liked injured himself .,the mechanics that the pilot liked injured ***mask*** .,0.0025071576013774976
101,9,liked,embed,nonlocal,0,b,matrix_subj,number,pilots,mechanic,injured,himself,The pilots that the mechanic liked injured himself . <eos>,The pilots that the mechanic liked injured himself .,the pilots that the mechanic liked injured ***mask*** .,0.0016121623835869026
102,9,liked,embed,nonlocal,0,c,matrix_subj,number,bankers,pilot,injured,himself,The bankers that the pilot liked injured himself . <eos>,The bankers that the pilot liked injured himself .,the bankers that the pilot liked injured ***mask*** .,0.018288678380124466
103,9,liked,embed,nonlocal,0,d,matrix_subj,number,pilots,banker,injured,himself,The pilots that the banker liked injured himself . <eos>,The pilots that the banker liked injured himself .,the pilots that the banker liked injured ***mask*** .,0.012517082510020696
104,9,liked,embed,local,1,a,rc_subj,number,mechanic,pilots,injured,himself,The mechanic that the pilots liked injured himself . <eos>,The mechanic that the pilots liked injured himself .,the mechanic that the pilots liked injured ***mask*** .,0.0019717700240960887
105,9,liked,embed,local,1,b,rc_subj,number,pilot,mechanics,injured,himself,The pilot that the mechanics liked injured himself . <eos>,The pilot that the mechanics liked injured himself .,the pilot that the mechanics liked injured ***mask*** .,0.0002199979234965921
106,9,liked,embed,local,1,c,rc_subj,number,banker,pilots,injured,himself,The banker that the pilots liked injured himself . <eos>,The banker that the pilots liked injured himself .,the banker that the pilots liked injured ***mask*** .,0.053004099912261474
107,9,liked,embed,local,1,d,rc_subj,number,pilot,bankers,injured,himself,The pilot that the bankers liked injured himself . <eos>,The pilot that the bankers liked injured himself .,the pilot that the bankers liked injured ***mask*** .,0.0008824610010704349
108,10,liked,embed,local,1,a,none,none,mechanic,pilot,congratulated,himself,The mechanic that the pilot liked congratulated himself . <eos>,The mechanic that the pilot liked congratulated himself .,the mechanic that the pilot liked congratulated ***mask*** .,0.0024744931471262334
109,10,liked,embed,local,1,b,none,none,pilot,mechanic,congratulated,himself,The pilot that the mechanic liked congratulated himself . <eos>,The pilot that the mechanic liked congratulated himself .,the pilot that the mechanic liked congratulated ***mask*** .,0.0026052502169690616
110,10,liked,embed,local,1,c,none,none,banker,pilot,congratulated,himself,The banker that the pilot liked congratulated himself . <eos>,The banker that the pilot liked congratulated himself .,the banker that the pilot liked congratulated ***mask*** .,0.0037195386158069017
111,10,liked,embed,local,1,d,none,none,pilot,banker,congratulated,himself,The pilot that the banker liked congratulated himself . <eos>,The pilot that the banker liked congratulated himself .,the pilot that the banker liked congratulated ***mask*** .,0.003793826025092469
112,10,liked,embed,nonlocal,0,a,matrix_subj,number,mechanics,pilot,congratulated,himself,The mechanics that the pilot liked congratulated himself . <eos>,The mechanics that the pilot liked congratulated himself .,the mechanics that the pilot liked congratulated ***mask*** .,0.008245212452089947
113,10,liked,embed,nonlocal,0,b,matrix_subj,number,pilots,mechanic,congratulated,himself,The pilots that the mechanic liked congratulated himself . <eos>,The pilots that the mechanic liked congratulated himself .,the pilots that the mechanic liked congratulated ***mask*** .,0.012463929945534394
114,10,liked,embed,nonlocal,0,c,matrix_subj,number,bankers,pilot,congratulated,himself,The bankers that the pilot liked congratulated himself . <eos>,The bankers that the pilot liked congratulated himself .,the bankers that the pilot liked congratulated ***mask*** .,0.006024419670900914
115,10,liked,embed,nonlocal,0,d,matrix_subj,number,pilots,banker,congratulated,himself,The pilots that the banker liked congratulated himself . <eos>,The pilots that the banker liked congratulated himself .,the pilots that the banker liked congratulated ***mask*** .,0.014973692055489506
116,10,liked,embed,local,1,a,rc_subj,number,mechanic,pilots,congratulated,himself,The mechanic that the pilots liked congratulated himself . <eos>,The mechanic that the pilots liked congratulated himself .,the mechanic that the pilots liked congratulated ***mask*** .,0.004775156378797309
117,10,liked,embed,local,1,b,rc_subj,number,pilot,mechanics,congratulated,himself,The pilot that the mechanics liked congratulated himself . <eos>,The pilot that the mechanics liked congratulated himself .,the pilot that the mechanics liked congratulated ***mask*** .,0.003658107498014567
118,10,liked,embed,local,1,c,rc_subj,number,banker,pilots,congratulated,himself,The banker that the pilots liked congratulated himself . <eos>,The banker that the pilots liked congratulated himself .,the banker that the pilots liked congratulated ***mask*** .,0.007048847095068219
119,10,liked,embed,local,1,d,rc_subj,number,pilot,bankers,congratulated,himself,The pilot that the bankers liked congratulated himself . <eos>,The pilot that the bankers liked congratulated himself .,the pilot that the bankers liked congratulated ***mask*** .,0.004680581450316553
120,11,liked,embed,local,1,a,none,none,mechanic,pilot,embarrassed,himself,The mechanic that the pilot liked embarrassed himself . <eos>,The mechanic that the pilot liked embarrassed himself .,the mechanic that the pilot liked embarrassed ***mask*** .,0.008248435657272535
121,11,liked,embed,local,1,b,none,none,pilot,mechanic,embarrassed,himself,The pilot that the mechanic liked embarrassed himself . <eos>,The pilot that the mechanic liked embarrassed himself .,the pilot that the mechanic liked embarrassed ***mask*** .,0.007202318428436606
122,11,liked,embed,local,1,c,none,none,banker,pilot,embarrassed,himself,The banker that the pilot liked embarrassed himself . <eos>,The banker that the pilot liked embarrassed himself .,the banker that the pilot liked embarrassed ***mask*** .,0.01960774868749679
123,11,liked,embed,local,1,d,none,none,pilot,banker,embarrassed,himself,The pilot that the banker liked embarrassed himself . <eos>,The pilot that the banker liked embarrassed himself .,the pilot that the banker liked embarrassed ***mask*** .,0.02296018108445825
124,11,liked,embed,nonlocal,0,a,matrix_subj,number,mechanics,pilot,embarrassed,himself,The mechanics that the pilot liked embarrassed himself . <eos>,The mechanics that the pilot liked embarrassed himself .,the mechanics that the pilot liked embarrassed ***mask*** .,0.018466869867299413
125,11,liked,embed,nonlocal,0,b,matrix_subj,number,pilots,mechanic,embarrassed,himself,The pilots that the mechanic liked embarrassed himself . <eos>,The pilots that the mechanic liked embarrassed himself .,the pilots that the mechanic liked embarrassed ***mask*** .,0.019867231059384653
126,11,liked,embed,nonlocal,0,c,matrix_subj,number,bankers,pilot,embarrassed,himself,The bankers that the pilot liked embarrassed himself . <eos>,The bankers that the pilot liked embarrassed himself .,the bankers that the pilot liked embarrassed ***mask*** .,0.020454476627085987
127,11,liked,embed,nonlocal,0,d,matrix_subj,number,pilots,banker,embarrassed,himself,The pilots that the banker liked embarrassed himself . <eos>,The pilots that the banker liked embarrassed himself .,the pilots that the banker liked embarrassed ***mask*** .,0.035792230574094516
