,item,clause_type,locality,c-command,grammatical,counterbalance,mismatch_position,mismatch_feature,matrix_subj_noun,rc_subj_noun,verb,pronoun,sentence,sentence_no_eos,bert_sentence,surprisal
14,3,simple,local,no-c-command,0,a,matrix_subj,number,girls,mother,devoted,herself,The girls that the mother liked devoted herself . <eos>,The girls that the mother liked devoted herself .,the girls that the mother liked devoted ***mask*** .,0.23579473130434817
15,3,simple,local,no-c-command,0,b,matrix_subj,number,mothers,girl,devoted,herself,The mothers that the girl liked devoted herself . <eos>,The mothers that the girl liked devoted herself .,the mothers that the girl liked devoted ***mask*** .,0.2577709439078232
16,3,simple,local,c-command,1,a,rc_subj,number,girl,mothers,devoted,herself,The girl that the mothers liked devoted herself . <eos>,The girl that the mothers liked devoted herself .,the girl that the mothers liked devoted ***mask*** .,1.0993598585565942
17,3,simple,local,c-command,1,b,rc_subj,number,mother,girls,devoted,herself,The mother that the girls liked devoted herself . <eos>,The mother that the girls liked devoted herself .,the mother that the girls liked devoted ***mask*** .,0.28855592401478164
18,4,simple,local,c-command,1,a,none,none,girl,mother,considered,herself,The girl that the mother liked considered herself . <eos>,The girl that the mother liked considered herself .,the girl that the mother liked considered ***mask*** .,0.003181425145988735
19,4,simple,local,c-command,1,b,none,none,mother,girl,considered,herself,The mother that the girl liked considered herself . <eos>,The mother that the girl liked considered herself .,the mother that the girl liked considered ***mask*** .,0.0037251047467062055
20,4,simple,local,no-c-command,0,a,matrix_subj,number,girls,mother,considered,herself,The girls that the mother liked considered herself . <eos>,The girls that the mother liked considered herself .,the girls that the mother liked considered ***mask*** .,0.003334065207870465
21,4,simple,local,no-c-command,0,b,matrix_subj,number,mothers,girl,considered,herself,The mothers that the girl liked considered herself . <eos>,The mothers that the girl liked considered herself .,the mothers that the girl liked considered ***mask*** .,0.006448637653975329
22,4,simple,local,c-command,1,a,rc_subj,number,girl,mothers,considered,herself,The girl that the mothers liked considered herself . <eos>,The girl that the mothers liked considered herself .,the girl that the mothers liked considered ***mask*** .,0.003955967320383467
23,4,simple,local,c-command,1,b,rc_subj,number,mother,girls,considered,herself,The mother that the girls liked considered herself . <eos>,The mother that the girls liked considered herself .,the mother that the girls liked considered ***mask*** .,0.004205139326730776
24,5,simple,local,c-command,1,a,none,none,girl,mother,identified,herself,The girl that the mother liked identified herself . <eos>,The girl that the mother liked identified herself .,the girl that the mother liked identified ***mask*** .,0.0002231084501001618
25,5,simple,local,c-command,1,b,none,none,mother,girl,identified,herself,The mother that the girl liked identified herself . <eos>,The mother that the girl liked identified herself .,the mother that the girl liked identified ***mask*** .,0.00014990533853590285
26,5,simple,local,no-c-command,0,a,matrix_subj,number,girls,mother,identified,herself,The girls that the mother liked identified herself . <eos>,The girls that the mother liked identified herself .,the girls that the mother liked identified ***mask*** .,0.00046481179669307813
27,5,simple,local,no-c-command,0,b,matrix_subj,number,mothers,girl,identified,herself,The mothers that the girl liked identified herself . <eos>,The mothers that the girl liked identified herself .,the mothers that the girl liked identified ***mask*** .,0.0005415188891996933
28,5,simple,local,c-command,1,a,rc_subj,number,girl,mothers,identified,herself,The girl that the mothers liked identified herself . <eos>,The girl that the mothers liked identified herself .,the girl that the mothers liked identified ***mask*** .,0.00046719480629572874
29,5,simple,local,c-command,1,b,rc_subj,number,mother,girls,identified,herself,The mother that the girls liked identified herself . <eos>,The mother that the girls liked identified herself .,the mother that the girls liked identified ***mask*** .,0.0004409032371845146
30,6,simple,local,c-command,1,a,none,none,girl,mother,made,herself,The girl that the mother liked made herself . <eos>,The girl that the mother liked made herself .,the girl that the mother liked made ***mask*** .,0.10886399924854341
31,6,simple,local,c-command,1,b,none,none,mother,girl,made,herself,The mother that the girl liked made herself . <eos>,The mother that the girl liked made herself .,the mother that the girl liked made ***mask*** .,0.1174570300475085
32,6,simple,local,no-c-command,0,a,matrix_subj,number,girls,mother,made,herself,The girls that the mother liked made herself . <eos>,The girls that the mother liked made herself .,the girls that the mother liked made ***mask*** .,0.1171594844060804
33,6,simple,local,no-c-command,0,b,matrix_subj,number,mothers,girl,made,herself,The mothers that the girl liked made herself . <eos>,The mothers that the girl liked made herself .,the mothers that the girl liked made ***mask*** .,0.2403032180091524
34,6,simple,local,c-command,1,a,rc_subj,number,girl,mothers,made,herself,The girl that the mothers liked made herself . <eos>,The girl that the mothers liked made herself .,the girl that the mothers liked made ***mask*** .,0.15700940078627992
35,6,simple,local,c-command,1,b,rc_subj,number,mother,girls,made,herself,The mother that the girls liked made herself . <eos>,The mother that the girls liked made herself .,the mother that the girls liked made ***mask*** .,0.15615055377795153
36,7,simple,local,c-command,1,a,none,none,girl,mother,found,herself,The girl that the mother liked found herself . <eos>,The girl that the mother liked found herself .,the girl that the mother liked found ***mask*** .,0.0024377979949203
37,7,simple,local,c-command,1,b,none,none,mother,girl,found,herself,The mother that the girl liked found herself . <eos>,The mother that the girl liked found herself .,the mother that the girl liked found ***mask*** .,0.002022359021720402
38,7,simple,local,no-c-command,0,a,matrix_subj,number,girls,mother,found,herself,The girls that the mother liked found herself . <eos>,The girls that the mother liked found herself .,the girls that the mother liked found ***mask*** .,0.009651894615620013
39,7,simple,local,no-c-command,0,b,matrix_subj,number,mothers,girl,found,herself,The mothers that the girl liked found herself . <eos>,The mothers that the girl liked found herself .,the mothers that the girl liked found ***mask*** .,0.009137525400222245
40,7,simple,local,c-command,1,a,rc_subj,number,girl,mothers,found,herself,The girl that the mothers liked found herself . <eos>,The girl that the mothers liked found herself .,the girl that the mothers liked found ***mask*** .,0.0018839250151171222
41,7,simple,local,c-command,1,b,rc_subj,number,mother,girls,found,herself,The mother that the girls liked found herself . <eos>,The mother that the girls liked found herself .,the mother that the girls liked found ***mask*** .,0.0022449227555347484
42,8,simple,local,c-command,1,a,none,none,girl,mother,distinguished,herself,The girl that the mother liked distinguished herself . <eos>,The girl that the mother liked distinguished herself .,the girl that the mother liked distinguished ***mask*** .,0.0003853902407378565
43,8,simple,local,c-command,1,b,none,none,mother,girl,distinguished,herself,The mother that the girl liked distinguished herself . <eos>,The mother that the girl liked distinguished herself .,the mother that the girl liked distinguished ***mask*** .,0.0027118161579806174
44,8,simple,local,no-c-command,0,a,matrix_subj,number,girls,mother,distinguished,herself,The girls that the mother liked distinguished herself . <eos>,The girls that the mother liked distinguished herself .,the girls that the mother liked distinguished ***mask*** .,0.000987163000805078
45,8,simple,local,no-c-command,0,b,matrix_subj,number,mothers,girl,distinguished,herself,The mothers that the girl liked distinguished herself . <eos>,The mothers that the girl liked distinguished herself .,the mothers that the girl liked distinguished ***mask*** .,0.0005178815530828716
46,8,simple,local,c-command,1,a,rc_subj,number,girl,mothers,distinguished,herself,The girl that the mothers liked distinguished herself . <eos>,The girl that the mothers liked distinguished herself .,the girl that the mothers liked distinguished ***mask*** .,0.0022923299749780584
47,8,simple,local,c-command,1,b,rc_subj,number,mother,girls,distinguished,herself,The mother that the girls liked distinguished herself . <eos>,The mother that the girls liked distinguished herself .,the mother that the girls liked distinguished ***mask*** .,0.012744017259099965
48,9,simple,local,c-command,1,a,none,none,girl,mother,taught,herself,The girl that the mother liked taught herself . <eos>,The girl that the mother liked taught herself .,the girl that the mother liked taught ***mask*** .,0.035901062921958014
49,9,simple,local,c-command,1,b,none,none,mother,girl,taught,herself,The mother that the girl liked taught herself . <eos>,The mother that the girl liked taught herself .,the mother that the girl liked taught ***mask*** .,0.02496808205809107
50,9,simple,local,no-c-command,0,a,matrix_subj,number,girls,mother,taught,herself,The girls that the mother liked taught herself . <eos>,The girls that the mother liked taught herself .,the girls that the mother liked taught ***mask*** .,0.020301949361022503
51,9,simple,local,no-c-command,0,b,matrix_subj,number,mothers,girl,taught,herself,The mothers that the girl liked taught herself . <eos>,The mothers that the girl liked taught herself .,the mothers that the girl liked taught ***mask*** .,0.025826141601150848
52,9,simple,local,c-command,1,a,rc_subj,number,girl,mothers,taught,herself,The girl that the mothers liked taught herself . <eos>,The girl that the mothers liked taught herself .,the girl that the mothers liked taught ***mask*** .,0.03907779170582834
53,9,simple,local,c-command,1,b,rc_subj,number,mother,girls,taught,herself,The mother that the girls liked taught herself . <eos>,The mother that the girls liked taught herself .,the mother that the girls liked taught ***mask*** .,0.03446961502052175
54,10,simple,local,c-command,1,a,none,none,girl,mother,killed,herself,The girl that the mother liked killed herself . <eos>,The girl that the mother liked killed herself .,the girl that the mother liked killed ***mask*** .,0.001293613575656585
55,10,simple,local,c-command,1,b,none,none,mother,girl,killed,herself,The mother that the girl liked killed herself . <eos>,The mother that the girl liked killed herself .,the mother that the girl liked killed ***mask*** .,0.0012433162426982623
56,10,simple,local,no-c-command,0,a,matrix_subj,number,girls,mother,killed,herself,The girls that the mother liked killed herself . <eos>,The girls that the mother liked killed herself .,the girls that the mother liked killed ***mask*** .,0.004212080825672358
57,10,simple,local,no-c-command,0,b,matrix_subj,number,mothers,girl,killed,herself,The mothers that the girl liked killed herself . <eos>,The mothers that the girl liked killed herself .,the mothers that the girl liked killed ***mask*** .,0.004916719827833202
58,10,simple,local,c-command,1,a,rc_subj,number,girl,mothers,killed,herself,The girl that the mothers liked killed herself . <eos>,The girl that the mothers liked killed herself .,the girl that the mothers liked killed ***mask*** .,0.001744589871563849
59,10,simple,local,c-command,1,b,rc_subj,number,mother,girls,killed,herself,The mother that the girls liked killed herself . <eos>,The mother that the girls liked killed herself .,the mother that the girls liked killed ***mask*** .,0.0010759859709698718
60,11,simple,local,c-command,1,a,none,none,girl,mother,called,herself,The girl that the mother liked called herself . <eos>,The girl that the mother liked called herself .,the girl that the mother liked called ***mask*** .,0.015471144569906867
61,11,simple,local,c-command,1,b,none,none,mother,girl,called,herself,The mother that the girl liked called herself . <eos>,The mother that the girl liked called herself .,the mother that the girl liked called ***mask*** .,0.006609770499940437
62,11,simple,local,no-c-command,0,a,matrix_subj,number,girls,mother,called,herself,The girls that the mother liked called herself . <eos>,The girls that the mother liked called herself .,the girls that the mother liked called ***mask*** .,0.002603688065751742
63,11,simple,local,no-c-command,0,b,matrix_subj,number,mothers,girl,called,herself,The mothers that the girl liked called herself . <eos>,The mothers that the girl liked called herself .,the mothers that the girl liked called ***mask*** .,0.0038999966127247895
64,11,simple,local,c-command,1,a,rc_subj,number,girl,mothers,called,herself,The girl that the mothers liked called herself . <eos>,The girl that the mothers liked called herself .,the girl that the mothers liked called ***mask*** .,0.021524851502332194
65,11,simple,local,c-command,1,b,rc_subj,number,mother,girls,called,herself,The mother that the girls liked called herself . <eos>,The mother that the girls liked called herself .,the mother that the girls liked called ***mask*** .,0.010352892401600991
66,12,simple,local,c-command,1,a,none,none,girl,mother,dedicated,herself,The girl that the mother liked dedicated herself . <eos>,The girl that the mother liked dedicated herself .,the girl that the mother liked dedicated ***mask*** .,0.0659559460474045
67,12,simple,local,c-command,1,b,none,none,mother,girl,dedicated,herself,The mother that the girl liked dedicated herself . <eos>,The mother that the girl liked dedicated herself .,the mother that the girl liked dedicated ***mask*** .,0.08052208282460281
68,12,simple,local,no-c-command,0,a,matrix_subj,number,girls,mother,dedicated,herself,The girls that the mother liked dedicated herself . <eos>,The girls that the mother liked dedicated herself .,the girls that the mother liked dedicated ***mask*** .,0.051594312573731205
69,12,simple,local,no-c-command,0,b,matrix_subj,number,mothers,girl,dedicated,herself,The mothers that the girl liked dedicated herself . <eos>,The mothers that the girl liked dedicated herself .,the mothers that the girl liked dedicated ***mask*** .,0.12456592229978136
70,12,simple,local,c-command,1,a,rc_subj,number,girl,mothers,dedicated,herself,The girl that the mothers liked dedicated herself . <eos>,The girl that the mothers liked dedicated herself .,the girl that the mothers liked dedicated ***mask*** .,0.24801880010282823
71,12,simple,local,c-command,1,b,rc_subj,number,mother,girls,dedicated,herself,The mother that the girls liked dedicated herself . <eos>,The mother that the girls liked dedicated herself .,the mother that the girls liked dedicated ***mask*** .,0.08542538608625985
72,13,simple,local,c-command,1,a,none,none,girl,mother,declared,herself,The girl that the mother liked declared herself . <eos>,The girl that the mother liked declared herself .,the girl that the mother liked declared ***mask*** .,0.00031555208147759223
73,13,simple,local,c-command,1,b,none,none,mother,girl,declared,herself,The mother that the girl liked declared herself . <eos>,The mother that the girl liked declared herself .,the mother that the girl liked declared ***mask*** .,0.00046098018832020984
74,13,simple,local,no-c-command,0,a,matrix_subj,number,girls,mother,declared,herself,The girls that the mother liked declared herself . <eos>,The girls that the mother liked declared herself .,the girls that the mother liked declared ***mask*** .,0.0012290610968872908
75,13,simple,local,no-c-command,0,b,matrix_subj,number,mothers,girl,declared,herself,The mothers that the girl liked declared herself . <eos>,The mothers that the girl liked declared herself .,the mothers that the girl liked declared ***mask*** .,0.005975865262751513
76,13,simple,local,c-command,1,a,rc_subj,number,girl,mothers,declared,herself,The girl that the mothers liked declared herself . <eos>,The girl that the mothers liked declared herself .,the girl that the mothers liked declared ***mask*** .,0.00037865276894612443
77,13,simple,local,c-command,1,b,rc_subj,number,mother,girls,declared,herself,The mother that the girls liked declared herself . <eos>,The mother that the girls liked declared herself .,the mother that the girls liked declared ***mask*** .,0.00042858716313709543
78,14,simple,local,c-command,1,a,none,none,girl,mother,proved,herself,The girl that the mother liked proved herself . <eos>,The girl that the mother liked proved herself .,the girl that the mother liked proved ***mask*** .,0.0038492372710805535
79,14,simple,local,c-command,1,b,none,none,mother,girl,proved,herself,The mother that the girl liked proved herself . <eos>,The mother that the girl liked proved herself .,the mother that the girl liked proved ***mask*** .,0.007575010073275427
80,14,simple,local,no-c-command,0,a,matrix_subj,number,girls,mother,proved,herself,The girls that the mother liked proved herself . <eos>,The girls that the mother liked proved herself .,the girls that the mother liked proved ***mask*** .,0.005480385799922397
81,14,simple,local,no-c-command,0,b,matrix_subj,number,mothers,girl,proved,herself,The mothers that the girl liked proved herself . <eos>,The mothers that the girl liked proved herself .,the mothers that the girl liked proved ***mask*** .,0.008230230472405595
82,14,simple,local,c-command,1,a,rc_subj,number,girl,mothers,proved,herself,The girl that the mothers liked proved herself . <eos>,The girl that the mothers liked proved herself .,the girl that the mothers liked proved ***mask*** .,0.005060971634565112
83,14,simple,local,c-command,1,b,rc_subj,number,mother,girls,proved,herself,The mother that the girls liked proved herself . <eos>,The mother that the girls liked proved herself .,the mother that the girls liked proved ***mask*** .,0.008309631356324117
84,15,simple,local,c-command,1,a,none,none,girl,mother,shot,herself,The girl that the mother liked shot herself . <eos>,The girl that the mother liked shot herself .,the girl that the mother liked shot ***mask*** .,0.0019205740967209043
85,15,simple,local,c-command,1,b,none,none,mother,girl,shot,herself,The mother that the girl liked shot herself . <eos>,The mother that the girl liked shot herself .,the mother that the girl liked shot ***mask*** .,0.0023340355624700553
86,15,simple,local,no-c-command,0,a,matrix_subj,number,girls,mother,shot,herself,The girls that the mother liked shot herself . <eos>,The girls that the mother liked shot herself .,the girls that the mother liked shot ***mask*** .,0.00662625282033026
87,15,simple,local,no-c-command,0,b,matrix_subj,number,mothers,girl,shot,herself,The mothers that the girl liked shot herself . <eos>,The mothers that the girl liked shot herself .,the mothers that the girl liked shot ***mask*** .,0.007693904758022339
88,15,simple,local,c-command,1,a,rc_subj,number,girl,mothers,shot,herself,The girl that the mothers liked shot herself . <eos>,The girl that the mothers liked shot herself .,the girl that the mothers liked shot ***mask*** .,0.002719271483102637
89,15,simple,local,c-command,1,b,rc_subj,number,mother,girls,shot,herself,The mother that the girls liked shot herself . <eos>,The mother that the girls liked shot herself .,the mother that the girls liked shot ***mask*** .,0.0032472284765784633
90,16,simple,local,c-command,1,a,none,none,girl,daughter,saw,herself,The girl that the daughter liked saw herself . <eos>,The girl that the daughter liked saw herself .,the girl that the daughter liked saw ***mask*** .,0.019270655154231226
91,16,simple,local,c-command,1,b,none,none,daughter,girl,saw,herself,The daughter that the girl liked saw herself . <eos>,The daughter that the girl liked saw herself .,the daughter that the girl liked saw ***mask*** .,0.025251264762610852
92,16,simple,local,no-c-command,0,a,matrix_subj,number,girls,daughter,saw,herself,The girls that the daughter liked saw herself . <eos>,The girls that the daughter liked saw herself .,the girls that the daughter liked saw ***mask*** .,0.06721844380401622
93,16,simple,local,no-c-command,0,b,matrix_subj,number,daughters,girl,saw,herself,The daughters that the girl liked saw herself . <eos>,The daughters that the girl liked saw herself .,the daughters that the girl liked saw ***mask*** .,0.08014972457027499
94,16,simple,local,c-command,1,a,rc_subj,number,girl,daughters,saw,herself,The girl that the daughters liked saw herself . <eos>,The girl that the daughters liked saw herself .,the girl that the daughters liked saw ***mask*** .,0.016231553654724857
95,16,simple,local,c-command,1,b,rc_subj,number,daughter,girls,saw,herself,The daughter that the girls liked saw herself . <eos>,The daughter that the girls liked saw herself .,the daughter that the girls liked saw ***mask*** .,0.020797227350382676
96,17,simple,local,c-command,1,a,none,none,girl,daughter,established,herself,The girl that the daughter liked established herself . <eos>,The girl that the daughter liked established herself .,the girl that the daughter liked established ***mask*** .,2.0757554626943562e-05
97,17,simple,local,c-command,1,b,none,none,daughter,girl,established,herself,The daughter that the girl liked established herself . <eos>,The daughter that the girl liked established herself .,the daughter that the girl liked established ***mask*** .,0.00011993889521078838
98,17,simple,local,no-c-command,0,a,matrix_subj,number,girls,daughter,established,herself,The girls that the daughter liked established herself . <eos>,The girls that the daughter liked established herself .,the girls that the daughter liked established ***mask*** .,0.00013069066703130246
99,17,simple,local,no-c-command,0,b,matrix_subj,number,daughters,girl,established,herself,The daughters that the girl liked established herself . <eos>,The daughters that the girl liked established herself .,the daughters that the girl liked established ***mask*** .,0.0002237056038026598
100,17,simple,local,c-command,1,a,rc_subj,number,girl,daughters,established,herself,The girl that the daughters liked established herself . <eos>,The girl that the daughters liked established herself .,the girl that the daughters liked established ***mask*** .,0.0001887791005205491
101,17,simple,local,c-command,1,b,rc_subj,number,daughter,girls,established,herself,The daughter that the girls liked established herself . <eos>,The daughter that the girls liked established herself .,the daughter that the girls liked established ***mask*** .,0.001269846383813262
102,18,simple,local,c-command,1,a,none,none,girl,daughter,devoted,herself,The girl that the daughter liked devoted herself . <eos>,The girl that the daughter liked devoted herself .,the girl that the daughter liked devoted ***mask*** .,0.36671966983596893
103,18,simple,local,c-command,1,b,none,none,daughter,girl,devoted,herself,The daughter that the girl liked devoted herself . <eos>,The daughter that the girl liked devoted herself .,the daughter that the girl liked devoted ***mask*** .,0.47984274116626424
104,18,simple,local,no-c-command,0,a,matrix_subj,number,girls,daughter,devoted,herself,The girls that the daughter liked devoted herself . <eos>,The girls that the daughter liked devoted herself .,the girls that the daughter liked devoted ***mask*** .,0.23464226697537266
105,18,simple,local,no-c-command,0,b,matrix_subj,number,daughters,girl,devoted,herself,The daughters that the girl liked devoted herself . <eos>,The daughters that the girl liked devoted herself .,the daughters that the girl liked devoted ***mask*** .,0.3280964263771547
106,18,simple,local,c-command,1,a,rc_subj,number,girl,daughters,devoted,herself,The girl that the daughters liked devoted herself . <eos>,The girl that the daughters liked devoted herself .,the girl that the daughters liked devoted ***mask*** .,0.5813503151295419
107,18,simple,local,c-command,1,b,rc_subj,number,daughter,girls,devoted,herself,The daughter that the girls liked devoted herself . <eos>,The daughter that the girls liked devoted herself .,the daughter that the girls liked devoted ***mask*** .,0.6133489534395629
108,19,simple,local,c-command,1,a,none,none,girl,daughter,considered,herself,The girl that the daughter liked considered herself . <eos>,The girl that the daughter liked considered herself .,the girl that the daughter liked considered ***mask*** .,0.004426094128495303
109,19,simple,local,c-command,1,b,none,none,daughter,girl,considered,herself,The daughter that the girl liked considered herself . <eos>,The daughter that the girl liked considered herself .,the daughter that the girl liked considered ***mask*** .,0.003944331452216635
110,19,simple,local,no-c-command,0,a,matrix_subj,number,girls,daughter,considered,herself,The girls that the daughter liked considered herself . <eos>,The girls that the daughter liked considered herself .,the girls that the daughter liked considered ***mask*** .,0.003232734671467742
111,19,simple,local,no-c-command,0,b,matrix_subj,number,daughters,girl,considered,herself,The daughters that the girl liked considered herself . <eos>,The daughters that the girl liked considered herself .,the daughters that the girl liked considered ***mask*** .,0.005246240149368676
112,19,simple,local,c-command,1,a,rc_subj,number,girl,daughters,considered,herself,The girl that the daughters liked considered herself . <eos>,The girl that the daughters liked considered herself .,the girl that the daughters liked considered ***mask*** .,0.004106041388742686
113,19,simple,local,c-command,1,b,rc_subj,number,daughter,girls,considered,herself,The daughter that the girls liked considered herself . <eos>,The daughter that the girls liked considered herself .,the daughter that the girls liked considered ***mask*** .,0.004769399537216259
114,20,simple,local,c-command,1,a,none,none,girl,daughter,identified,herself,The girl that the daughter liked identified herself . <eos>,The girl that the daughter liked identified herself .,the girl that the daughter liked identified ***mask*** .,0.00016955374712172968
115,20,simple,local,c-command,1,b,none,none,daughter,girl,identified,herself,The daughter that the girl liked identified herself . <eos>,The daughter that the girl liked identified herself .,the daughter that the girl liked identified ***mask*** .,0.00019542570348017756
116,20,simple,local,no-c-command,0,a,matrix_subj,number,girls,daughter,identified,herself,The girls that the daughter liked identified herself . <eos>,The girls that the daughter liked identified herself .,the girls that the daughter liked identified ***mask*** .,0.0004783925853872376
117,20,simple,local,no-c-command,0,b,matrix_subj,number,daughters,girl,identified,herself,The daughters that the girl liked identified herself . <eos>,The daughters that the girl liked identified herself .,the daughters that the girl liked identified ***mask*** .,0.0004283506074248248
118,20,simple,local,c-command,1,a,rc_subj,number,girl,daughters,identified,herself,The girl that the daughters liked identified herself . <eos>,The girl that the daughters liked identified herself .,the girl that the daughters liked identified ***mask*** .,0.0004754911487622902
119,20,simple,local,c-command,1,b,rc_subj,number,daughter,girls,identified,herself,The daughter that the girls liked identified herself . <eos>,The daughter that the girls liked identified herself .,the daughter that the girls liked identified ***mask*** .,0.0007908408087986269
120,21,simple,local,c-command,1,a,none,none,girl,daughter,made,herself,The girl that the daughter liked made herself . <eos>,The girl that the daughter liked made herself .,the girl that the daughter liked made ***mask*** .,0.08034302514530714
121,21,simple,local,c-command,1,b,none,none,daughter,girl,made,herself,The daughter that the girl liked made herself . <eos>,The daughter that the girl liked made herself .,the daughter that the girl liked made ***mask*** .,0.1137408960499354
122,21,simple,local,no-c-command,0,a,matrix_subj,number,girls,daughter,made,herself,The girls that the daughter liked made herself . <eos>,The girls that the daughter liked made herself .,the girls that the daughter liked made ***mask*** .,0.07837096146063317
123,21,simple,local,no-c-command,0,b,matrix_subj,number,daughters,girl,made,herself,The daughters that the girl liked made herself . <eos>,The daughters that the girl liked made herself .,the daughters that the girl liked made ***mask*** .,0.1818661144236909
124,21,simple,local,c-command,1,a,rc_subj,number,girl,daughters,made,herself,The girl that the daughters liked made herself . <eos>,The girl that the daughters liked made herself .,the girl that the daughters liked made ***mask*** .,0.11203263916118267
125,21,simple,local,c-command,1,b,rc_subj,number,daughter,girls,made,herself,The daughter that the girls liked made herself . <eos>,The daughter that the girls liked made herself .,the daughter that the girls liked made ***mask*** .,0.2794471991155253
126,22,simple,local,c-command,1,a,none,none,girl,daughter,found,herself,The girl that the daughter liked found herself . <eos>,The girl that the daughter liked found herself .,the girl that the daughter liked found ***mask*** .,0.00223906668834097
127,22,simple,local,c-command,1,b,none,none,daughter,girl,found,herself,The daughter that the girl liked found herself . <eos>,The daughter that the girl liked found herself .,the daughter that the girl liked found ***mask*** .,0.0016081161704990408
128,22,simple,local,no-c-command,0,a,matrix_subj,number,girls,daughter,found,herself,The girls that the daughter liked found herself . <eos>,The girls that the daughter liked found herself .,the girls that the daughter liked found ***mask*** .,0.009633454023107325
129,22,simple,local,no-c-command,0,b,matrix_subj,number,daughters,girl,found,herself,The daughters that the girl liked found herself . <eos>,The daughters that the girl liked found herself .,the daughters that the girl liked found ***mask*** .,0.007235370355115006
130,22,simple,local,c-command,1,a,rc_subj,number,girl,daughters,found,herself,The girl that the daughters liked found herself . <eos>,The girl that the daughters liked found herself .,the girl that the daughters liked found ***mask*** .,0.0021285624227281603
131,22,simple,local,c-command,1,b,rc_subj,number,daughter,girls,found,herself,The daughter that the girls liked found herself . <eos>,The daughter that the girls liked found herself .,the daughter that the girls liked found ***mask*** .,0.001851285401280424
132,23,simple,local,c-command,1,a,none,none,girl,daughter,distinguished,herself,The girl that the daughter liked distinguished herself . <eos>,The girl that the daughter liked distinguished herself .,the girl that the daughter liked distinguished ***mask*** .,0.00018179198743366776
133,23,simple,local,c-command,1,b,none,none,daughter,girl,distinguished,herself,The daughter that the girl liked distinguished herself . <eos>,The daughter that the girl liked distinguished herself .,the daughter that the girl liked distinguished ***mask*** .,0.009656785614557512
134,23,simple,local,no-c-command,0,a,matrix_subj,number,girls,daughter,distinguished,herself,The girls that the daughter liked distinguished herself . <eos>,The girls that the daughter liked distinguished herself .,the girls that the daughter liked distinguished ***mask*** .,0.0010593513778612658
135,23,simple,local,no-c-command,0,b,matrix_subj,number,daughters,girl,distinguished,herself,The daughters that the girl liked distinguished herself . <eos>,The daughters that the girl liked distinguished herself .,the daughters that the girl liked distinguished ***mask*** .,0.003421170946099262
