item,clause_type,LocalityType,C-command,grammatical,head_mismatch,distract_mismatch,mismatch_position,mismatch_feature,head_noun,distractor noun,verb,residual,sentence,sentence_no_eos
5,simple,local,c-command,1,none,none,none,none,actors,men,were,leaving,The actors near the men were leaving . <eos>,The actors near the men were leaving .
5,simple,local,c-command,1,none,number,distractor,number,actors,man,were,leaving,The actors near the man were leaving . <eos>,The actors near the man were leaving .
5,simple,local,c-command,1,none,gender,distractor,gender,actors,women,were,leaving,The actors near the women were leaving . <eos>,The actors near the women were leaving .
5,simple,local,c-command,1,none,both,distractor,both,actors,woman,were,leaving,The actors near the woman were leaving . <eos>,The actors near the woman were leaving .
5,simple,local,no-c-command,0,number,none,head,number,man,actors,were,leaving,The man near the actors were leaving . <eos>,The man near the actors were leaving .
5,simple,local,no-c-command,1,gender,none,head,gender,women,actors,were,leaving,The women near the actors were leaving . <eos>,The women near the actors were leaving .
5,simple,local,no-c-command,0,both,none,head,both,woman,actors,were,leaving,The woman near the actors were leaving . <eos>,The woman near the actors were leaving .
6,simple,local,c-command,1,none,none,none,none,brothers,men,were,leaving,The brothers near the men were leaving . <eos>,The brothers near the men were leaving .
6,simple,local,c-command,1,none,number,distractor,number,brothers,man,were,leaving,The brothers near the man were leaving . <eos>,The brothers near the man were leaving .
6,simple,local,c-command,1,none,gender,distractor,gender,brothers,women,were,leaving,The brothers near the women were leaving . <eos>,The brothers near the women were leaving .
6,simple,local,c-command,1,none,both,distractor,both,brothers,woman,were,leaving,The brothers near the woman were leaving . <eos>,The brothers near the woman were leaving .
6,simple,local,no-c-command,0,number,none,head,number,man,brothers,were,leaving,The man near the brothers were leaving . <eos>,The man near the brothers were leaving .
6,simple,local,no-c-command,1,gender,none,head,gender,women,brothers,were,leaving,The women near the brothers were leaving . <eos>,The women near the brothers were leaving .
6,simple,local,no-c-command,0,both,none,head,both,woman,brothers,were,leaving,The woman near the brothers were leaving . <eos>,The woman near the brothers were leaving .
7,simple,local,c-command,1,none,none,none,none,sons,men,were,leaving,The sons near the men were leaving . <eos>,The sons near the men were leaving .
7,simple,local,c-command,1,none,number,distractor,number,sons,man,were,leaving,The sons near the man were leaving . <eos>,The sons near the man were leaving .
7,simple,local,c-command,1,none,gender,distractor,gender,sons,women,were,leaving,The sons near the women were leaving . <eos>,The sons near the women were leaving .
7,simple,local,c-command,1,none,both,distractor,both,sons,woman,were,leaving,The sons near the woman were leaving . <eos>,The sons near the woman were leaving .
7,simple,local,no-c-command,0,number,none,head,number,man,sons,were,leaving,The man near the sons were leaving . <eos>,The man near the sons were leaving .
7,simple,local,no-c-command,1,gender,none,head,gender,women,sons,were,leaving,The women near the sons were leaving . <eos>,The women near the sons were leaving .
7,simple,local,no-c-command,0,both,none,head,both,woman,sons,were,leaving,The woman near the sons were leaving . <eos>,The woman near the sons were leaving .
8,simple,local,c-command,1,none,none,none,none,fathers,men,were,leaving,The fathers near the men were leaving . <eos>,The fathers near the men were leaving .
8,simple,local,c-command,1,none,number,distractor,number,fathers,man,were,leaving,The fathers near the man were leaving . <eos>,The fathers near the man were leaving .
8,simple,local,c-command,1,none,gender,distractor,gender,fathers,women,were,leaving,The fathers near the women were leaving . <eos>,The fathers near the women were leaving .
8,simple,local,c-command,1,none,both,distractor,both,fathers,woman,were,leaving,The fathers near the woman were leaving . <eos>,The fathers near the woman were leaving .
8,simple,local,no-c-command,0,number,none,head,number,man,fathers,were,leaving,The man near the fathers were leaving . <eos>,The man near the fathers were leaving .
8,simple,local,no-c-command,1,gender,none,head,gender,women,fathers,were,leaving,The women near the fathers were leaving . <eos>,The women near the fathers were leaving .
8,simple,local,no-c-command,0,both,none,head,both,woman,fathers,were,leaving,The woman near the fathers were leaving . <eos>,The woman near the fathers were leaving .
9,simple,local,c-command,1,none,none,none,none,sons,men,were,leaving,The sons near the men were leaving . <eos>,The sons near the men were leaving .
9,simple,local,c-command,1,none,number,distractor,number,sons,man,were,leaving,The sons near the man were leaving . <eos>,The sons near the man were leaving .
9,simple,local,c-command,1,none,gender,distractor,gender,sons,women,were,leaving,The sons near the women were leaving . <eos>,The sons near the women were leaving .
9,simple,local,c-command,1,none,both,distractor,both,sons,woman,were,leaving,The sons near the woman were leaving . <eos>,The sons near the woman were leaving .
9,simple,local,no-c-command,0,number,none,head,number,man,sons,were,leaving,The man near the sons were leaving . <eos>,The man near the sons were leaving .
9,simple,local,no-c-command,1,gender,none,head,gender,women,sons,were,leaving,The women near the sons were leaving . <eos>,The women near the sons were leaving .
9,simple,local,no-c-command,0,both,none,head,both,woman,sons,were,leaving,The woman near the sons were leaving . <eos>,The woman near the sons were leaving .
10,simple,local,c-command,1,none,none,none,none,fathers,men,were,leaving,The fathers near the men were leaving . <eos>,The fathers near the men were leaving .
10,simple,local,c-command,1,none,number,distractor,number,fathers,man,were,leaving,The fathers near the man were leaving . <eos>,The fathers near the man were leaving .
10,simple,local,c-command,1,none,gender,distractor,gender,fathers,women,were,leaving,The fathers near the women were leaving . <eos>,The fathers near the women were leaving .
10,simple,local,c-command,1,none,both,distractor,both,fathers,woman,were,leaving,The fathers near the woman were leaving . <eos>,The fathers near the woman were leaving .
10,simple,local,no-c-command,0,number,none,head,number,man,fathers,were,leaving,The man near the fathers were leaving . <eos>,The man near the fathers were leaving .
10,simple,local,no-c-command,1,gender,none,head,gender,women,fathers,were,leaving,The women near the fathers were leaving . <eos>,The women near the fathers were leaving .
10,simple,local,no-c-command,0,both,none,head,both,woman,fathers,were,leaving,The woman near the fathers were leaving . <eos>,The woman near the fathers were leaving .
11,simple,local,c-command,1,none,none,none,none,sons,men,were,leaving,The sons near the men were leaving . <eos>,The sons near the men were leaving .
11,simple,local,c-command,1,none,number,distractor,number,sons,man,were,leaving,The sons near the man were leaving . <eos>,The sons near the man were leaving .
11,simple,local,c-command,1,none,gender,distractor,gender,sons,women,were,leaving,The sons near the women were leaving . <eos>,The sons near the women were leaving .
11,simple,local,c-command,1,none,both,distractor,both,sons,woman,were,leaving,The sons near the woman were leaving . <eos>,The sons near the woman were leaving .
11,simple,local,no-c-command,0,number,none,head,number,man,sons,were,leaving,The man near the sons were leaving . <eos>,The man near the sons were leaving .
11,simple,local,no-c-command,1,gender,none,head,gender,women,sons,were,leaving,The women near the sons were leaving . <eos>,The women near the sons were leaving .
11,simple,local,no-c-command,0,both,none,head,both,woman,sons,were,leaving,The woman near the sons were leaving . <eos>,The woman near the sons were leaving .
12,simple,local,c-command,1,none,none,none,none,fathers,men,were,leaving,The fathers near the men were leaving . <eos>,The fathers near the men were leaving .
12,simple,local,c-command,1,none,number,distractor,number,fathers,man,were,leaving,The fathers near the man were leaving . <eos>,The fathers near the man were leaving .
12,simple,local,c-command,1,none,gender,distractor,gender,fathers,women,were,leaving,The fathers near the women were leaving . <eos>,The fathers near the women were leaving .
12,simple,local,c-command,1,none,both,distractor,both,fathers,woman,were,leaving,The fathers near the woman were leaving . <eos>,The fathers near the woman were leaving .
12,simple,local,no-c-command,0,number,none,head,number,man,fathers,were,leaving,The man near the fathers were leaving . <eos>,The man near the fathers were leaving .
12,simple,local,no-c-command,1,gender,none,head,gender,women,fathers,were,leaving,The women near the fathers were leaving . <eos>,The women near the fathers were leaving .
12,simple,local,no-c-command,0,both,none,head,both,woman,fathers,were,leaving,The woman near the fathers were leaving . <eos>,The woman near the fathers were leaving .
13,simple,local,c-command,1,none,none,none,none,fathers,men,were,leaving,The fathers near the men were leaving . <eos>,The fathers near the men were leaving .
13,simple,local,c-command,1,none,number,distractor,number,fathers,man,were,leaving,The fathers near the man were leaving . <eos>,The fathers near the man were leaving .
13,simple,local,c-command,1,none,gender,distractor,gender,fathers,women,were,leaving,The fathers near the women were leaving . <eos>,The fathers near the women were leaving .
13,simple,local,c-command,1,none,both,distractor,both,fathers,woman,were,leaving,The fathers near the woman were leaving . <eos>,The fathers near the woman were leaving .
13,simple,local,no-c-command,0,number,none,head,number,man,fathers,were,leaving,The man near the fathers were leaving . <eos>,The man near the fathers were leaving .
13,simple,local,no-c-command,1,gender,none,head,gender,women,fathers,were,leaving,The women near the fathers were leaving . <eos>,The women near the fathers were leaving .
13,simple,local,no-c-command,0,both,none,head,both,woman,fathers,were,leaving,The woman near the fathers were leaving . <eos>,The woman near the fathers were leaving .
14,simple,local,c-command,1,none,none,none,none,grandfathers,men,were,leaving,The grandfathers near the men were leaving . <eos>,The grandfathers near the men were leaving .
14,simple,local,c-command,1,none,number,distractor,number,grandfathers,man,were,leaving,The grandfathers near the man were leaving . <eos>,The grandfathers near the man were leaving .
14,simple,local,c-command,1,none,gender,distractor,gender,grandfathers,women,were,leaving,The grandfathers near the women were leaving . <eos>,The grandfathers near the women were leaving .
14,simple,local,c-command,1,none,both,distractor,both,grandfathers,woman,were,leaving,The grandfathers near the woman were leaving . <eos>,The grandfathers near the woman were leaving .
14,simple,local,no-c-command,0,number,none,head,number,man,grandfathers,were,leaving,The man near the grandfathers were leaving . <eos>,The man near the grandfathers were leaving .
14,simple,local,no-c-command,1,gender,none,head,gender,women,grandfathers,were,leaving,The women near the grandfathers were leaving . <eos>,The women near the grandfathers were leaving .
14,simple,local,no-c-command,0,both,none,head,both,woman,grandfathers,were,leaving,The woman near the grandfathers were leaving . <eos>,The woman near the grandfathers were leaving .
15,simple,local,c-command,1,none,none,none,none,brothers,men,were,leaving,The brothers near the men were leaving . <eos>,The brothers near the men were leaving .
15,simple,local,c-command,1,none,number,distractor,number,brothers,man,were,leaving,The brothers near the man were leaving . <eos>,The brothers near the man were leaving .
15,simple,local,c-command,1,none,gender,distractor,gender,brothers,women,were,leaving,The brothers near the women were leaving . <eos>,The brothers near the women were leaving .
15,simple,local,c-command,1,none,both,distractor,both,brothers,woman,were,leaving,The brothers near the woman were leaving . <eos>,The brothers near the woman were leaving .
15,simple,local,no-c-command,0,number,none,head,number,man,brothers,were,leaving,The man near the brothers were leaving . <eos>,The man near the brothers were leaving .
15,simple,local,no-c-command,1,gender,none,head,gender,women,brothers,were,leaving,The women near the brothers were leaving . <eos>,The women near the brothers were leaving .
15,simple,local,no-c-command,0,both,none,head,both,woman,brothers,were,leaving,The woman near the brothers were leaving . <eos>,The woman near the brothers were leaving .
16,simple,local,c-command,1,none,none,none,none,kings,men,were,leaving,The kings near the men were leaving . <eos>,The kings near the men were leaving .
16,simple,local,c-command,1,none,number,distractor,number,kings,man,were,leaving,The kings near the man were leaving . <eos>,The kings near the man were leaving .
16,simple,local,c-command,1,none,gender,distractor,gender,kings,women,were,leaving,The kings near the women were leaving . <eos>,The kings near the women were leaving .
16,simple,local,c-command,1,none,both,distractor,both,kings,woman,were,leaving,The kings near the woman were leaving . <eos>,The kings near the woman were leaving .
16,simple,local,no-c-command,0,number,none,head,number,man,kings,were,leaving,The man near the kings were leaving . <eos>,The man near the kings were leaving .
16,simple,local,no-c-command,1,gender,none,head,gender,women,kings,were,leaving,The women near the kings were leaving . <eos>,The women near the kings were leaving .
16,simple,local,no-c-command,0,both,none,head,both,woman,kings,were,leaving,The woman near the kings were leaving . <eos>,The woman near the kings were leaving .
17,simple,local,c-command,1,none,none,none,none,fathers,men,were,leaving,The fathers near the men were leaving . <eos>,The fathers near the men were leaving .
17,simple,local,c-command,1,none,number,distractor,number,fathers,man,were,leaving,The fathers near the man were leaving . <eos>,The fathers near the man were leaving .
17,simple,local,c-command,1,none,gender,distractor,gender,fathers,women,were,leaving,The fathers near the women were leaving . <eos>,The fathers near the women were leaving .
17,simple,local,c-command,1,none,both,distractor,both,fathers,woman,were,leaving,The fathers near the woman were leaving . <eos>,The fathers near the woman were leaving .
17,simple,local,no-c-command,0,number,none,head,number,man,fathers,were,leaving,The man near the fathers were leaving . <eos>,The man near the fathers were leaving .
17,simple,local,no-c-command,1,gender,none,head,gender,women,fathers,were,leaving,The women near the fathers were leaving . <eos>,The women near the fathers were leaving .
17,simple,local,no-c-command,0,both,none,head,both,woman,fathers,were,leaving,The woman near the fathers were leaving . <eos>,The woman near the fathers were leaving .
18,simple,local,c-command,1,none,none,none,none,fathers,men,were,leaving,The fathers near the men were leaving . <eos>,The fathers near the men were leaving .
18,simple,local,c-command,1,none,number,distractor,number,fathers,man,were,leaving,The fathers near the man were leaving . <eos>,The fathers near the man were leaving .
18,simple,local,c-command,1,none,gender,distractor,gender,fathers,women,were,leaving,The fathers near the women were leaving . <eos>,The fathers near the women were leaving .
18,simple,local,c-command,1,none,both,distractor,both,fathers,woman,were,leaving,The fathers near the woman were leaving . <eos>,The fathers near the woman were leaving .
18,simple,local,no-c-command,0,number,none,head,number,man,fathers,were,leaving,The man near the fathers were leaving . <eos>,The man near the fathers were leaving .
18,simple,local,no-c-command,1,gender,none,head,gender,women,fathers,were,leaving,The women near the fathers were leaving . <eos>,The women near the fathers were leaving .
18,simple,local,no-c-command,0,both,none,head,both,woman,fathers,were,leaving,The woman near the fathers were leaving . <eos>,The woman near the fathers were leaving .
19,simple,local,c-command,1,none,none,none,none,uncles,men,were,leaving,The uncles near the men were leaving . <eos>,The uncles near the men were leaving .
19,simple,local,c-command,1,none,number,distractor,number,uncles,man,were,leaving,The uncles near the man were leaving . <eos>,The uncles near the man were leaving .
19,simple,local,c-command,1,none,gender,distractor,gender,uncles,women,were,leaving,The uncles near the women were leaving . <eos>,The uncles near the women were leaving .
19,simple,local,c-command,1,none,both,distractor,both,uncles,woman,were,leaving,The uncles near the woman were leaving . <eos>,The uncles near the woman were leaving .
19,simple,local,no-c-command,0,number,none,head,number,man,uncles,were,leaving,The man near the uncles were leaving . <eos>,The man near the uncles were leaving .
19,simple,local,no-c-command,1,gender,none,head,gender,women,uncles,were,leaving,The women near the uncles were leaving . <eos>,The women near the uncles were leaving .
19,simple,local,no-c-command,0,both,none,head,both,woman,uncles,were,leaving,The woman near the uncles were leaving . <eos>,The woman near the uncles were leaving .
20,simple,local,c-command,1,none,none,none,none,grandfathers,men,were,leaving,The grandfathers near the men were leaving . <eos>,The grandfathers near the men were leaving .
20,simple,local,c-command,1,none,number,distractor,number,grandfathers,man,were,leaving,The grandfathers near the man were leaving . <eos>,The grandfathers near the man were leaving .
20,simple,local,c-command,1,none,gender,distractor,gender,grandfathers,women,were,leaving,The grandfathers near the women were leaving . <eos>,The grandfathers near the women were leaving .
20,simple,local,c-command,1,none,both,distractor,both,grandfathers,woman,were,leaving,The grandfathers near the woman were leaving . <eos>,The grandfathers near the woman were leaving .
20,simple,local,no-c-command,0,number,none,head,number,man,grandfathers,were,leaving,The man near the grandfathers were leaving . <eos>,The man near the grandfathers were leaving .
20,simple,local,no-c-command,1,gender,none,head,gender,women,grandfathers,were,leaving,The women near the grandfathers were leaving . <eos>,The women near the grandfathers were leaving .
20,simple,local,no-c-command,0,both,none,head,both,woman,grandfathers,were,leaving,The woman near the grandfathers were leaving . <eos>,The woman near the grandfathers were leaving .
21,simple,local,c-command,1,none,none,none,none,fathers,men,were,leaving,The fathers near the men were leaving . <eos>,The fathers near the men were leaving .
21,simple,local,c-command,1,none,number,distractor,number,fathers,man,were,leaving,The fathers near the man were leaving . <eos>,The fathers near the man were leaving .
21,simple,local,c-command,1,none,gender,distractor,gender,fathers,women,were,leaving,The fathers near the women were leaving . <eos>,The fathers near the women were leaving .
21,simple,local,c-command,1,none,both,distractor,both,fathers,woman,were,leaving,The fathers near the woman were leaving . <eos>,The fathers near the woman were leaving .
21,simple,local,no-c-command,0,number,none,head,number,man,fathers,were,leaving,The man near the fathers were leaving . <eos>,The man near the fathers were leaving .
21,simple,local,no-c-command,1,gender,none,head,gender,women,fathers,were,leaving,The women near the fathers were leaving . <eos>,The women near the fathers were leaving .
21,simple,local,no-c-command,0,both,none,head,both,woman,fathers,were,leaving,The woman near the fathers were leaving . <eos>,The woman near the fathers were leaving .
22,simple,local,c-command,1,none,none,none,none,boys,men,were,leaving,The boys near the men were leaving . <eos>,The boys near the men were leaving .
22,simple,local,c-command,1,none,number,distractor,number,boys,man,were,leaving,The boys near the man were leaving . <eos>,The boys near the man were leaving .
22,simple,local,c-command,1,none,gender,distractor,gender,boys,women,were,leaving,The boys near the women were leaving . <eos>,The boys near the women were leaving .
22,simple,local,c-command,1,none,both,distractor,both,boys,woman,were,leaving,The boys near the woman were leaving . <eos>,The boys near the woman were leaving .
22,simple,local,no-c-command,0,number,none,head,number,man,boys,were,leaving,The man near the boys were leaving . <eos>,The man near the boys were leaving .
22,simple,local,no-c-command,1,gender,none,head,gender,women,boys,were,leaving,The women near the boys were leaving . <eos>,The women near the boys were leaving .
22,simple,local,no-c-command,0,both,none,head,both,woman,boys,were,leaving,The woman near the boys were leaving . <eos>,The woman near the boys were leaving .
23,simple,local,c-command,1,none,none,none,none,grandfathers,men,were,leaving,The grandfathers near the men were leaving . <eos>,The grandfathers near the men were leaving .
23,simple,local,c-command,1,none,number,distractor,number,grandfathers,man,were,leaving,The grandfathers near the man were leaving . <eos>,The grandfathers near the man were leaving .
23,simple,local,c-command,1,none,gender,distractor,gender,grandfathers,women,were,leaving,The grandfathers near the women were leaving . <eos>,The grandfathers near the women were leaving .
23,simple,local,c-command,1,none,both,distractor,both,grandfathers,woman,were,leaving,The grandfathers near the woman were leaving . <eos>,The grandfathers near the woman were leaving .
23,simple,local,no-c-command,0,number,none,head,number,man,grandfathers,were,leaving,The man near the grandfathers were leaving . <eos>,The man near the grandfathers were leaving .
23,simple,local,no-c-command,1,gender,none,head,gender,women,grandfathers,were,leaving,The women near the grandfathers were leaving . <eos>,The women near the grandfathers were leaving .
23,simple,local,no-c-command,0,both,none,head,both,woman,grandfathers,were,leaving,The woman near the grandfathers were leaving . <eos>,The woman near the grandfathers were leaving .
24,simple,local,c-command,1,none,none,none,none,grandfathers,men,were,leaving,The grandfathers near the men were leaving . <eos>,The grandfathers near the men were leaving .
24,simple,local,c-command,1,none,number,distractor,number,grandfathers,man,were,leaving,The grandfathers near the man were leaving . <eos>,The grandfathers near the man were leaving .
24,simple,local,c-command,1,none,gender,distractor,gender,grandfathers,women,were,leaving,The grandfathers near the women were leaving . <eos>,The grandfathers near the women were leaving .
24,simple,local,c-command,1,none,both,distractor,both,grandfathers,woman,were,leaving,The grandfathers near the woman were leaving . <eos>,The grandfathers near the woman were leaving .
24,simple,local,no-c-command,0,number,none,head,number,man,grandfathers,were,leaving,The man near the grandfathers were leaving . <eos>,The man near the grandfathers were leaving .
24,simple,local,no-c-command,1,gender,none,head,gender,women,grandfathers,were,leaving,The women near the grandfathers were leaving . <eos>,The women near the grandfathers were leaving .
24,simple,local,no-c-command,0,both,none,head,both,woman,grandfathers,were,leaving,The woman near the grandfathers were leaving . <eos>,The woman near the grandfathers were leaving .
25,simple,local,c-command,1,none,none,none,none,sons,men,were,leaving,The sons near the men were leaving . <eos>,The sons near the men were leaving .
25,simple,local,c-command,1,none,number,distractor,number,sons,man,were,leaving,The sons near the man were leaving . <eos>,The sons near the man were leaving .
25,simple,local,c-command,1,none,gender,distractor,gender,sons,women,were,leaving,The sons near the women were leaving . <eos>,The sons near the women were leaving .
25,simple,local,c-command,1,none,both,distractor,both,sons,woman,were,leaving,The sons near the woman were leaving . <eos>,The sons near the woman were leaving .
25,simple,local,no-c-command,0,number,none,head,number,man,sons,were,leaving,The man near the sons were leaving . <eos>,The man near the sons were leaving .
25,simple,local,no-c-command,1,gender,none,head,gender,women,sons,were,leaving,The women near the sons were leaving . <eos>,The women near the sons were leaving .
25,simple,local,no-c-command,0,both,none,head,both,woman,sons,were,leaving,The woman near the sons were leaving . <eos>,The woman near the sons were leaving .
26,simple,local,c-command,1,none,none,none,none,kings,men,were,leaving,The kings near the men were leaving . <eos>,The kings near the men were leaving .
26,simple,local,c-command,1,none,number,distractor,number,kings,man,were,leaving,The kings near the man were leaving . <eos>,The kings near the man were leaving .
26,simple,local,c-command,1,none,gender,distractor,gender,kings,women,were,leaving,The kings near the women were leaving . <eos>,The kings near the women were leaving .
26,simple,local,c-command,1,none,both,distractor,both,kings,woman,were,leaving,The kings near the woman were leaving . <eos>,The kings near the woman were leaving .
26,simple,local,no-c-command,0,number,none,head,number,man,kings,were,leaving,The man near the kings were leaving . <eos>,The man near the kings were leaving .
26,simple,local,no-c-command,1,gender,none,head,gender,women,kings,were,leaving,The women near the kings were leaving . <eos>,The women near the kings were leaving .
26,simple,local,no-c-command,0,both,none,head,both,woman,kings,were,leaving,The woman near the kings were leaving . <eos>,The woman near the kings were leaving .
27,simple,local,c-command,1,none,none,none,none,boys,men,were,leaving,The boys near the men were leaving . <eos>,The boys near the men were leaving .
27,simple,local,c-command,1,none,number,distractor,number,boys,man,were,leaving,The boys near the man were leaving . <eos>,The boys near the man were leaving .
27,simple,local,c-command,1,none,gender,distractor,gender,boys,women,were,leaving,The boys near the women were leaving . <eos>,The boys near the women were leaving .
27,simple,local,c-command,1,none,both,distractor,both,boys,woman,were,leaving,The boys near the woman were leaving . <eos>,The boys near the woman were leaving .
27,simple,local,no-c-command,0,number,none,head,number,man,boys,were,leaving,The man near the boys were leaving . <eos>,The man near the boys were leaving .
27,simple,local,no-c-command,1,gender,none,head,gender,women,boys,were,leaving,The women near the boys were leaving . <eos>,The women near the boys were leaving .
27,simple,local,no-c-command,0,both,none,head,both,woman,boys,were,leaving,The woman near the boys were leaving . <eos>,The woman near the boys were leaving .
28,simple,local,c-command,1,none,none,none,none,princes,men,were,leaving,The princes near the men were leaving . <eos>,The princes near the men were leaving .
28,simple,local,c-command,1,none,number,distractor,number,princes,man,were,leaving,The princes near the man were leaving . <eos>,The princes near the man were leaving .
28,simple,local,c-command,1,none,gender,distractor,gender,princes,women,were,leaving,The princes near the women were leaving . <eos>,The princes near the women were leaving .
28,simple,local,c-command,1,none,both,distractor,both,princes,woman,were,leaving,The princes near the woman were leaving . <eos>,The princes near the woman were leaving .
28,simple,local,no-c-command,0,number,none,head,number,man,princes,were,leaving,The man near the princes were leaving . <eos>,The man near the princes were leaving .
28,simple,local,no-c-command,1,gender,none,head,gender,women,princes,were,leaving,The women near the princes were leaving . <eos>,The women near the princes were leaving .
28,simple,local,no-c-command,0,both,none,head,both,woman,princes,were,leaving,The woman near the princes were leaving . <eos>,The woman near the princes were leaving .
29,simple,local,c-command,1,none,none,none,none,uncles,men,were,leaving,The uncles near the men were leaving . <eos>,The uncles near the men were leaving .
29,simple,local,c-command,1,none,number,distractor,number,uncles,man,were,leaving,The uncles near the man were leaving . <eos>,The uncles near the man were leaving .
29,simple,local,c-command,1,none,gender,distractor,gender,uncles,women,were,leaving,The uncles near the women were leaving . <eos>,The uncles near the women were leaving .
29,simple,local,c-command,1,none,both,distractor,both,uncles,woman,were,leaving,The uncles near the woman were leaving . <eos>,The uncles near the woman were leaving .
29,simple,local,no-c-command,0,number,none,head,number,man,uncles,were,leaving,The man near the uncles were leaving . <eos>,The man near the uncles were leaving .
29,simple,local,no-c-command,1,gender,none,head,gender,women,uncles,were,leaving,The women near the uncles were leaving . <eos>,The women near the uncles were leaving .
29,simple,local,no-c-command,0,both,none,head,both,woman,uncles,were,leaving,The woman near the uncles were leaving . <eos>,The woman near the uncles were leaving .
30,simple,local,c-command,1,none,none,none,none,husbands,men,were,leaving,The husbands near the men were leaving . <eos>,The husbands near the men were leaving .
30,simple,local,c-command,1,none,number,distractor,number,husbands,man,were,leaving,The husbands near the man were leaving . <eos>,The husbands near the man were leaving .
30,simple,local,c-command,1,none,gender,distractor,gender,husbands,women,were,leaving,The husbands near the women were leaving . <eos>,The husbands near the women were leaving .
30,simple,local,c-command,1,none,both,distractor,both,husbands,woman,were,leaving,The husbands near the woman were leaving . <eos>,The husbands near the woman were leaving .
30,simple,local,no-c-command,0,number,none,head,number,man,husbands,were,leaving,The man near the husbands were leaving . <eos>,The man near the husbands were leaving .
30,simple,local,no-c-command,1,gender,none,head,gender,women,husbands,were,leaving,The women near the husbands were leaving . <eos>,The women near the husbands were leaving .
30,simple,local,no-c-command,0,both,none,head,both,woman,husbands,were,leaving,The woman near the husbands were leaving . <eos>,The woman near the husbands were leaving .
