item,clause_type,locality,c-command,grammatical,counterbalance,mismatch_position,mismatch_feature,matrix_subj_noun,rc_subj_noun,verb,pronoun,sentence,sentence_no_eos
10,simple,local,c-command,1,b,rc_subj,number,father,boys,killed,himself,The father that the boys liked killed himself . <eos>,The father that the boys liked killed himself .
11,simple,local,c-command,1,a,none,none,boy,father,called,himself,The boy that the father liked called himself . <eos>,The boy that the father liked called himself .
11,simple,local,c-command,1,b,none,none,father,boy,called,himself,The father that the boy liked called himself . <eos>,The father that the boy liked called himself .
11,simple,local,no-c-command,0,a,matrix_subj,number,boys,father,called,himself,The boys that the father liked called himself . <eos>,The boys that the father liked called himself .
11,simple,local,no-c-command,0,b,matrix_subj,number,fathers,boy,called,himself,The fathers that the boy liked called himself . <eos>,The fathers that the boy liked called himself .
11,simple,local,c-command,1,a,rc_subj,number,boy,fathers,called,himself,The boy that the fathers liked called himself . <eos>,The boy that the fathers liked called himself .
11,simple,local,c-command,1,b,rc_subj,number,father,boys,called,himself,The father that the boys liked called himself . <eos>,The father that the boys liked called himself .
12,simple,local,c-command,1,a,none,none,boy,father,dedicated,himself,The boy that the father liked dedicated himself . <eos>,The boy that the father liked dedicated himself .
12,simple,local,c-command,1,b,none,none,father,boy,dedicated,himself,The father that the boy liked dedicated himself . <eos>,The father that the boy liked dedicated himself .
12,simple,local,no-c-command,0,a,matrix_subj,number,boys,father,dedicated,himself,The boys that the father liked dedicated himself . <eos>,The boys that the father liked dedicated himself .
12,simple,local,no-c-command,0,b,matrix_subj,number,fathers,boy,dedicated,himself,The fathers that the boy liked dedicated himself . <eos>,The fathers that the boy liked dedicated himself .
12,simple,local,c-command,1,a,rc_subj,number,boy,fathers,dedicated,himself,The boy that the fathers liked dedicated himself . <eos>,The boy that the fathers liked dedicated himself .
12,simple,local,c-command,1,b,rc_subj,number,father,boys,dedicated,himself,The father that the boys liked dedicated himself . <eos>,The father that the boys liked dedicated himself .
13,simple,local,c-command,1,a,none,none,boy,father,declared,himself,The boy that the father liked declared himself . <eos>,The boy that the father liked declared himself .
13,simple,local,c-command,1,b,none,none,father,boy,declared,himself,The father that the boy liked declared himself . <eos>,The father that the boy liked declared himself .
13,simple,local,no-c-command,0,a,matrix_subj,number,boys,father,declared,himself,The boys that the father liked declared himself . <eos>,The boys that the father liked declared himself .
13,simple,local,no-c-command,0,b,matrix_subj,number,fathers,boy,declared,himself,The fathers that the boy liked declared himself . <eos>,The fathers that the boy liked declared himself .
13,simple,local,c-command,1,a,rc_subj,number,boy,fathers,declared,himself,The boy that the fathers liked declared himself . <eos>,The boy that the fathers liked declared himself .
13,simple,local,c-command,1,b,rc_subj,number,father,boys,declared,himself,The father that the boys liked declared himself . <eos>,The father that the boys liked declared himself .
14,simple,local,c-command,1,a,none,none,boy,father,proved,himself,The boy that the father liked proved himself . <eos>,The boy that the father liked proved himself .
14,simple,local,c-command,1,b,none,none,father,boy,proved,himself,The father that the boy liked proved himself . <eos>,The father that the boy liked proved himself .
14,simple,local,no-c-command,0,a,matrix_subj,number,boys,father,proved,himself,The boys that the father liked proved himself . <eos>,The boys that the father liked proved himself .
14,simple,local,no-c-command,0,b,matrix_subj,number,fathers,boy,proved,himself,The fathers that the boy liked proved himself . <eos>,The fathers that the boy liked proved himself .
14,simple,local,c-command,1,a,rc_subj,number,boy,fathers,proved,himself,The boy that the fathers liked proved himself . <eos>,The boy that the fathers liked proved himself .
14,simple,local,c-command,1,b,rc_subj,number,father,boys,proved,himself,The father that the boys liked proved himself . <eos>,The father that the boys liked proved himself .
15,simple,local,c-command,1,a,none,none,boy,father,shot,himself,The boy that the father liked shot himself . <eos>,The boy that the father liked shot himself .
15,simple,local,c-command,1,b,none,none,father,boy,shot,himself,The father that the boy liked shot himself . <eos>,The father that the boy liked shot himself .
15,simple,local,no-c-command,0,a,matrix_subj,number,boys,father,shot,himself,The boys that the father liked shot himself . <eos>,The boys that the father liked shot himself .
15,simple,local,no-c-command,0,b,matrix_subj,number,fathers,boy,shot,himself,The fathers that the boy liked shot himself . <eos>,The fathers that the boy liked shot himself .
15,simple,local,c-command,1,a,rc_subj,number,boy,fathers,shot,himself,The boy that the fathers liked shot himself . <eos>,The boy that the fathers liked shot himself .
15,simple,local,c-command,1,b,rc_subj,number,father,boys,shot,himself,The father that the boys liked shot himself . <eos>,The father that the boys liked shot himself .
16,simple,local,c-command,1,a,none,none,boy,son,saw,himself,The boy that the son liked saw himself . <eos>,The boy that the son liked saw himself .
16,simple,local,c-command,1,b,none,none,son,boy,saw,himself,The son that the boy liked saw himself . <eos>,The son that the boy liked saw himself .
16,simple,local,no-c-command,0,a,matrix_subj,number,boys,son,saw,himself,The boys that the son liked saw himself . <eos>,The boys that the son liked saw himself .
16,simple,local,no-c-command,0,b,matrix_subj,number,sons,boy,saw,himself,The sons that the boy liked saw himself . <eos>,The sons that the boy liked saw himself .
16,simple,local,c-command,1,a,rc_subj,number,boy,sons,saw,himself,The boy that the sons liked saw himself . <eos>,The boy that the sons liked saw himself .
16,simple,local,c-command,1,b,rc_subj,number,son,boys,saw,himself,The son that the boys liked saw himself . <eos>,The son that the boys liked saw himself .
17,simple,local,c-command,1,a,none,none,boy,son,established,himself,The boy that the son liked established himself . <eos>,The boy that the son liked established himself .
17,simple,local,c-command,1,b,none,none,son,boy,established,himself,The son that the boy liked established himself . <eos>,The son that the boy liked established himself .
17,simple,local,no-c-command,0,a,matrix_subj,number,boys,son,established,himself,The boys that the son liked established himself . <eos>,The boys that the son liked established himself .
17,simple,local,no-c-command,0,b,matrix_subj,number,sons,boy,established,himself,The sons that the boy liked established himself . <eos>,The sons that the boy liked established himself .
17,simple,local,c-command,1,a,rc_subj,number,boy,sons,established,himself,The boy that the sons liked established himself . <eos>,The boy that the sons liked established himself .
17,simple,local,c-command,1,b,rc_subj,number,son,boys,established,himself,The son that the boys liked established himself . <eos>,The son that the boys liked established himself .
18,simple,local,c-command,1,a,none,none,boy,son,devoted,himself,The boy that the son liked devoted himself . <eos>,The boy that the son liked devoted himself .
18,simple,local,c-command,1,b,none,none,son,boy,devoted,himself,The son that the boy liked devoted himself . <eos>,The son that the boy liked devoted himself .
18,simple,local,no-c-command,0,a,matrix_subj,number,boys,son,devoted,himself,The boys that the son liked devoted himself . <eos>,The boys that the son liked devoted himself .
18,simple,local,no-c-command,0,b,matrix_subj,number,sons,boy,devoted,himself,The sons that the boy liked devoted himself . <eos>,The sons that the boy liked devoted himself .
18,simple,local,c-command,1,a,rc_subj,number,boy,sons,devoted,himself,The boy that the sons liked devoted himself . <eos>,The boy that the sons liked devoted himself .
18,simple,local,c-command,1,b,rc_subj,number,son,boys,devoted,himself,The son that the boys liked devoted himself . <eos>,The son that the boys liked devoted himself .
19,simple,local,c-command,1,a,none,none,boy,son,considered,himself,The boy that the son liked considered himself . <eos>,The boy that the son liked considered himself .
19,simple,local,c-command,1,b,none,none,son,boy,considered,himself,The son that the boy liked considered himself . <eos>,The son that the boy liked considered himself .
19,simple,local,no-c-command,0,a,matrix_subj,number,boys,son,considered,himself,The boys that the son liked considered himself . <eos>,The boys that the son liked considered himself .
19,simple,local,no-c-command,0,b,matrix_subj,number,sons,boy,considered,himself,The sons that the boy liked considered himself . <eos>,The sons that the boy liked considered himself .
19,simple,local,c-command,1,a,rc_subj,number,boy,sons,considered,himself,The boy that the sons liked considered himself . <eos>,The boy that the sons liked considered himself .
19,simple,local,c-command,1,b,rc_subj,number,son,boys,considered,himself,The son that the boys liked considered himself . <eos>,The son that the boys liked considered himself .
20,simple,local,c-command,1,a,none,none,boy,son,identified,himself,The boy that the son liked identified himself . <eos>,The boy that the son liked identified himself .
20,simple,local,c-command,1,b,none,none,son,boy,identified,himself,The son that the boy liked identified himself . <eos>,The son that the boy liked identified himself .
20,simple,local,no-c-command,0,a,matrix_subj,number,boys,son,identified,himself,The boys that the son liked identified himself . <eos>,The boys that the son liked identified himself .
20,simple,local,no-c-command,0,b,matrix_subj,number,sons,boy,identified,himself,The sons that the boy liked identified himself . <eos>,The sons that the boy liked identified himself .
20,simple,local,c-command,1,a,rc_subj,number,boy,sons,identified,himself,The boy that the sons liked identified himself . <eos>,The boy that the sons liked identified himself .
20,simple,local,c-command,1,b,rc_subj,number,son,boys,identified,himself,The son that the boys liked identified himself . <eos>,The son that the boys liked identified himself .
21,simple,local,c-command,1,a,none,none,boy,son,made,himself,The boy that the son liked made himself . <eos>,The boy that the son liked made himself .
21,simple,local,c-command,1,b,none,none,son,boy,made,himself,The son that the boy liked made himself . <eos>,The son that the boy liked made himself .
21,simple,local,no-c-command,0,a,matrix_subj,number,boys,son,made,himself,The boys that the son liked made himself . <eos>,The boys that the son liked made himself .
21,simple,local,no-c-command,0,b,matrix_subj,number,sons,boy,made,himself,The sons that the boy liked made himself . <eos>,The sons that the boy liked made himself .
21,simple,local,c-command,1,a,rc_subj,number,boy,sons,made,himself,The boy that the sons liked made himself . <eos>,The boy that the sons liked made himself .
21,simple,local,c-command,1,b,rc_subj,number,son,boys,made,himself,The son that the boys liked made himself . <eos>,The son that the boys liked made himself .
22,simple,local,c-command,1,a,none,none,boy,son,found,himself,The boy that the son liked found himself . <eos>,The boy that the son liked found himself .
22,simple,local,c-command,1,b,none,none,son,boy,found,himself,The son that the boy liked found himself . <eos>,The son that the boy liked found himself .
22,simple,local,no-c-command,0,a,matrix_subj,number,boys,son,found,himself,The boys that the son liked found himself . <eos>,The boys that the son liked found himself .
22,simple,local,no-c-command,0,b,matrix_subj,number,sons,boy,found,himself,The sons that the boy liked found himself . <eos>,The sons that the boy liked found himself .
22,simple,local,c-command,1,a,rc_subj,number,boy,sons,found,himself,The boy that the sons liked found himself . <eos>,The boy that the sons liked found himself .
22,simple,local,c-command,1,b,rc_subj,number,son,boys,found,himself,The son that the boys liked found himself . <eos>,The son that the boys liked found himself .
23,simple,local,c-command,1,a,none,none,boy,son,distinguished,himself,The boy that the son liked distinguished himself . <eos>,The boy that the son liked distinguished himself .
23,simple,local,c-command,1,b,none,none,son,boy,distinguished,himself,The son that the boy liked distinguished himself . <eos>,The son that the boy liked distinguished himself .
23,simple,local,no-c-command,0,a,matrix_subj,number,boys,son,distinguished,himself,The boys that the son liked distinguished himself . <eos>,The boys that the son liked distinguished himself .
23,simple,local,no-c-command,0,b,matrix_subj,number,sons,boy,distinguished,himself,The sons that the boy liked distinguished himself . <eos>,The sons that the boy liked distinguished himself .
23,simple,local,c-command,1,a,rc_subj,number,boy,sons,distinguished,himself,The boy that the sons liked distinguished himself . <eos>,The boy that the sons liked distinguished himself .
23,simple,local,c-command,1,b,rc_subj,number,son,boys,distinguished,himself,The son that the boys liked distinguished himself . <eos>,The son that the boys liked distinguished himself .
24,simple,local,c-command,1,a,none,none,boy,son,taught,himself,The boy that the son liked taught himself . <eos>,The boy that the son liked taught himself .
24,simple,local,c-command,1,b,none,none,son,boy,taught,himself,The son that the boy liked taught himself . <eos>,The son that the boy liked taught himself .
24,simple,local,no-c-command,0,a,matrix_subj,number,boys,son,taught,himself,The boys that the son liked taught himself . <eos>,The boys that the son liked taught himself .
24,simple,local,no-c-command,0,b,matrix_subj,number,sons,boy,taught,himself,The sons that the boy liked taught himself . <eos>,The sons that the boy liked taught himself .
24,simple,local,c-command,1,a,rc_subj,number,boy,sons,taught,himself,The boy that the sons liked taught himself . <eos>,The boy that the sons liked taught himself .
24,simple,local,c-command,1,b,rc_subj,number,son,boys,taught,himself,The son that the boys liked taught himself . <eos>,The son that the boys liked taught himself .
25,simple,local,c-command,1,a,none,none,boy,son,killed,himself,The boy that the son liked killed himself . <eos>,The boy that the son liked killed himself .
25,simple,local,c-command,1,b,none,none,son,boy,killed,himself,The son that the boy liked killed himself . <eos>,The son that the boy liked killed himself .
25,simple,local,no-c-command,0,a,matrix_subj,number,boys,son,killed,himself,The boys that the son liked killed himself . <eos>,The boys that the son liked killed himself .
25,simple,local,no-c-command,0,b,matrix_subj,number,sons,boy,killed,himself,The sons that the boy liked killed himself . <eos>,The sons that the boy liked killed himself .
25,simple,local,c-command,1,a,rc_subj,number,boy,sons,killed,himself,The boy that the sons liked killed himself . <eos>,The boy that the sons liked killed himself .
25,simple,local,c-command,1,b,rc_subj,number,son,boys,killed,himself,The son that the boys liked killed himself . <eos>,The son that the boys liked killed himself .
26,simple,local,c-command,1,a,none,none,boy,son,called,himself,The boy that the son liked called himself . <eos>,The boy that the son liked called himself .
26,simple,local,c-command,1,b,none,none,son,boy,called,himself,The son that the boy liked called himself . <eos>,The son that the boy liked called himself .
26,simple,local,no-c-command,0,a,matrix_subj,number,boys,son,called,himself,The boys that the son liked called himself . <eos>,The boys that the son liked called himself .
26,simple,local,no-c-command,0,b,matrix_subj,number,sons,boy,called,himself,The sons that the boy liked called himself . <eos>,The sons that the boy liked called himself .
26,simple,local,c-command,1,a,rc_subj,number,boy,sons,called,himself,The boy that the sons liked called himself . <eos>,The boy that the sons liked called himself .
26,simple,local,c-command,1,b,rc_subj,number,son,boys,called,himself,The son that the boys liked called himself . <eos>,The son that the boys liked called himself .
27,simple,local,c-command,1,a,none,none,boy,son,dedicated,himself,The boy that the son liked dedicated himself . <eos>,The boy that the son liked dedicated himself .
27,simple,local,c-command,1,b,none,none,son,boy,dedicated,himself,The son that the boy liked dedicated himself . <eos>,The son that the boy liked dedicated himself .
27,simple,local,no-c-command,0,a,matrix_subj,number,boys,son,dedicated,himself,The boys that the son liked dedicated himself . <eos>,The boys that the son liked dedicated himself .
27,simple,local,no-c-command,0,b,matrix_subj,number,sons,boy,dedicated,himself,The sons that the boy liked dedicated himself . <eos>,The sons that the boy liked dedicated himself .
27,simple,local,c-command,1,a,rc_subj,number,boy,sons,dedicated,himself,The boy that the sons liked dedicated himself . <eos>,The boy that the sons liked dedicated himself .
27,simple,local,c-command,1,b,rc_subj,number,son,boys,dedicated,himself,The son that the boys liked dedicated himself . <eos>,The son that the boys liked dedicated himself .
28,simple,local,c-command,1,a,none,none,boy,son,declared,himself,The boy that the son liked declared himself . <eos>,The boy that the son liked declared himself .
28,simple,local,c-command,1,b,none,none,son,boy,declared,himself,The son that the boy liked declared himself . <eos>,The son that the boy liked declared himself .
28,simple,local,no-c-command,0,a,matrix_subj,number,boys,son,declared,himself,The boys that the son liked declared himself . <eos>,The boys that the son liked declared himself .
28,simple,local,no-c-command,0,b,matrix_subj,number,sons,boy,declared,himself,The sons that the boy liked declared himself . <eos>,The sons that the boy liked declared himself .
28,simple,local,c-command,1,a,rc_subj,number,boy,sons,declared,himself,The boy that the sons liked declared himself . <eos>,The boy that the sons liked declared himself .
28,simple,local,c-command,1,b,rc_subj,number,son,boys,declared,himself,The son that the boys liked declared himself . <eos>,The son that the boys liked declared himself .
29,simple,local,c-command,1,a,none,none,boy,son,proved,himself,The boy that the son liked proved himself . <eos>,The boy that the son liked proved himself .
29,simple,local,c-command,1,b,none,none,son,boy,proved,himself,The son that the boy liked proved himself . <eos>,The son that the boy liked proved himself .
29,simple,local,no-c-command,0,a,matrix_subj,number,boys,son,proved,himself,The boys that the son liked proved himself . <eos>,The boys that the son liked proved himself .
29,simple,local,no-c-command,0,b,matrix_subj,number,sons,boy,proved,himself,The sons that the boy liked proved himself . <eos>,The sons that the boy liked proved himself .
29,simple,local,c-command,1,a,rc_subj,number,boy,sons,proved,himself,The boy that the sons liked proved himself . <eos>,The boy that the sons liked proved himself .
29,simple,local,c-command,1,b,rc_subj,number,son,boys,proved,himself,The son that the boys liked proved himself . <eos>,The son that the boys liked proved himself .
30,simple,local,c-command,1,a,none,none,boy,son,shot,himself,The boy that the son liked shot himself . <eos>,The boy that the son liked shot himself .
30,simple,local,c-command,1,b,none,none,son,boy,shot,himself,The son that the boy liked shot himself . <eos>,The son that the boy liked shot himself .
30,simple,local,no-c-command,0,a,matrix_subj,number,boys,son,shot,himself,The boys that the son liked shot himself . <eos>,The boys that the son liked shot himself .
30,simple,local,no-c-command,0,b,matrix_subj,number,sons,boy,shot,himself,The sons that the boy liked shot himself . <eos>,The sons that the boy liked shot himself .
30,simple,local,c-command,1,a,rc_subj,number,boy,sons,shot,himself,The boy that the sons liked shot himself . <eos>,The boy that the sons liked shot himself .
30,simple,local,c-command,1,b,rc_subj,number,son,boys,shot,himself,The son that the boys liked shot himself . <eos>,The son that the boys liked shot himself .
31,simple,local,c-command,1,a,none,none,boy,man,saw,himself,The boy that the man liked saw himself . <eos>,The boy that the man liked saw himself .
31,simple,local,c-command,1,b,none,none,man,boy,saw,himself,The man that the boy liked saw himself . <eos>,The man that the boy liked saw himself .
31,simple,local,no-c-command,0,a,matrix_subj,number,boys,man,saw,himself,The boys that the man liked saw himself . <eos>,The boys that the man liked saw himself .
31,simple,local,no-c-command,0,b,matrix_subj,number,men,boy,saw,himself,The men that the boy liked saw himself . <eos>,The men that the boy liked saw himself .
31,simple,local,c-command,1,a,rc_subj,number,boy,men,saw,himself,The boy that the men liked saw himself . <eos>,The boy that the men liked saw himself .
31,simple,local,c-command,1,b,rc_subj,number,man,boys,saw,himself,The man that the boys liked saw himself . <eos>,The man that the boys liked saw himself .
32,simple,local,c-command,1,a,none,none,boy,man,established,himself,The boy that the man liked established himself . <eos>,The boy that the man liked established himself .
32,simple,local,c-command,1,b,none,none,man,boy,established,himself,The man that the boy liked established himself . <eos>,The man that the boy liked established himself .
32,simple,local,no-c-command,0,a,matrix_subj,number,boys,man,established,himself,The boys that the man liked established himself . <eos>,The boys that the man liked established himself .
32,simple,local,no-c-command,0,b,matrix_subj,number,men,boy,established,himself,The men that the boy liked established himself . <eos>,The men that the boy liked established himself .
32,simple,local,c-command,1,a,rc_subj,number,boy,men,established,himself,The boy that the men liked established himself . <eos>,The boy that the men liked established himself .
32,simple,local,c-command,1,b,rc_subj,number,man,boys,established,himself,The man that the boys liked established himself . <eos>,The man that the boys liked established himself .
33,simple,local,c-command,1,a,none,none,boy,man,devoted,himself,The boy that the man liked devoted himself . <eos>,The boy that the man liked devoted himself .
33,simple,local,c-command,1,b,none,none,man,boy,devoted,himself,The man that the boy liked devoted himself . <eos>,The man that the boy liked devoted himself .
33,simple,local,no-c-command,0,a,matrix_subj,number,boys,man,devoted,himself,The boys that the man liked devoted himself . <eos>,The boys that the man liked devoted himself .
33,simple,local,no-c-command,0,b,matrix_subj,number,men,boy,devoted,himself,The men that the boy liked devoted himself . <eos>,The men that the boy liked devoted himself .
33,simple,local,c-command,1,a,rc_subj,number,boy,men,devoted,himself,The boy that the men liked devoted himself . <eos>,The boy that the men liked devoted himself .
33,simple,local,c-command,1,b,rc_subj,number,man,boys,devoted,himself,The man that the boys liked devoted himself . <eos>,The man that the boys liked devoted himself .
34,simple,local,c-command,1,a,none,none,boy,man,considered,himself,The boy that the man liked considered himself . <eos>,The boy that the man liked considered himself .
34,simple,local,c-command,1,b,none,none,man,boy,considered,himself,The man that the boy liked considered himself . <eos>,The man that the boy liked considered himself .
34,simple,local,no-c-command,0,a,matrix_subj,number,boys,man,considered,himself,The boys that the man liked considered himself . <eos>,The boys that the man liked considered himself .
34,simple,local,no-c-command,0,b,matrix_subj,number,men,boy,considered,himself,The men that the boy liked considered himself . <eos>,The men that the boy liked considered himself .
34,simple,local,c-command,1,a,rc_subj,number,boy,men,considered,himself,The boy that the men liked considered himself . <eos>,The boy that the men liked considered himself .
34,simple,local,c-command,1,b,rc_subj,number,man,boys,considered,himself,The man that the boys liked considered himself . <eos>,The man that the boys liked considered himself .
35,simple,local,c-command,1,a,none,none,boy,man,identified,himself,The boy that the man liked identified himself . <eos>,The boy that the man liked identified himself .
35,simple,local,c-command,1,b,none,none,man,boy,identified,himself,The man that the boy liked identified himself . <eos>,The man that the boy liked identified himself .
