item,clause_type,locality,grammatical,counterbalance,subject,mismatch_position,mismatch_feature,head_noun,distractor_noun,verb,pronoun,sentence,sentence_no_eos
5,embed,local,1,a,male,none,none,boys,fathers,identified,themselves,The boys said that the fathers identified themselves . <eos>,The boys said that the fathers identified themselves .
5,embed,local,1,b,male,none,none,fathers,boys,identified,themselves,The fathers said that the boys identified themselves . <eos>,The fathers said that the boys identified themselves .
5,embed,local,1,a,female,none,none,girls,mothers,identified,themselves,The girls said that the mothers identified themselves . <eos>,The girls said that the mothers identified themselves .
5,embed,local,1,b,female,none,none,mothers,girls,identified,themselves,The mothers said that the girls identified themselves . <eos>,The mothers said that the girls identified themselves .
5,embed,local,1,a,male,nonlocal_subj,number,boy,fathers,identified,themselves,The boy said that the fathers identified themselves . <eos>,The boy said that the fathers identified themselves .
5,embed,local,1,b,male,nonlocal_subj,number,father,boys,identified,themselves,The father said that the boys identified themselves . <eos>,The father said that the boys identified themselves .
5,embed,local,1,a,female,nonlocal_subj,number,girl,mothers,identified,themselves,The girl said that the mothers identified themselves . <eos>,The girl said that the mothers identified themselves .
5,embed,local,1,b,female,nonlocal_subj,number,mother,girls,identified,themselves,The mother said that the girls identified themselves . <eos>,The mother said that the girls identified themselves .
5,embed,nonlocal,0,a,male,local_subj,number,boys,father,identified,themselves,The boys said that the father identified themselves . <eos>,The boys said that the father identified themselves .
5,embed,nonlocal,0,b,male,local_subj,number,fathers,boy,identified,themselves,The fathers said that the boy identified themselves . <eos>,The fathers said that the boy identified themselves .
5,embed,nonlocal,0,a,female,local_subj,number,girls,mother,identified,themselves,The girls said that the mother identified themselves . <eos>,The girls said that the mother identified themselves .
5,embed,nonlocal,0,b,female,local_subj,number,mothers,girl,identified,themselves,The mothers said that the girl identified themselves . <eos>,The mothers said that the girl identified themselves .
6,embed,local,1,a,male,none,none,boys,fathers,made,themselves,The boys said that the fathers made themselves . <eos>,The boys said that the fathers made themselves .
6,embed,local,1,b,male,none,none,fathers,boys,made,themselves,The fathers said that the boys made themselves . <eos>,The fathers said that the boys made themselves .
6,embed,local,1,a,female,none,none,girls,mothers,made,themselves,The girls said that the mothers made themselves . <eos>,The girls said that the mothers made themselves .
6,embed,local,1,b,female,none,none,mothers,girls,made,themselves,The mothers said that the girls made themselves . <eos>,The mothers said that the girls made themselves .
6,embed,local,1,a,male,nonlocal_subj,number,boy,fathers,made,themselves,The boy said that the fathers made themselves . <eos>,The boy said that the fathers made themselves .
6,embed,local,1,b,male,nonlocal_subj,number,father,boys,made,themselves,The father said that the boys made themselves . <eos>,The father said that the boys made themselves .
6,embed,local,1,a,female,nonlocal_subj,number,girl,mothers,made,themselves,The girl said that the mothers made themselves . <eos>,The girl said that the mothers made themselves .
6,embed,local,1,b,female,nonlocal_subj,number,mother,girls,made,themselves,The mother said that the girls made themselves . <eos>,The mother said that the girls made themselves .
6,embed,nonlocal,0,a,male,local_subj,number,boys,father,made,themselves,The boys said that the father made themselves . <eos>,The boys said that the father made themselves .
6,embed,nonlocal,0,b,male,local_subj,number,fathers,boy,made,themselves,The fathers said that the boy made themselves . <eos>,The fathers said that the boy made themselves .
6,embed,nonlocal,0,a,female,local_subj,number,girls,mother,made,themselves,The girls said that the mother made themselves . <eos>,The girls said that the mother made themselves .
6,embed,nonlocal,0,b,female,local_subj,number,mothers,girl,made,themselves,The mothers said that the girl made themselves . <eos>,The mothers said that the girl made themselves .
7,embed,local,1,a,male,none,none,boys,fathers,found,themselves,The boys said that the fathers found themselves . <eos>,The boys said that the fathers found themselves .
7,embed,local,1,b,male,none,none,fathers,boys,found,themselves,The fathers said that the boys found themselves . <eos>,The fathers said that the boys found themselves .
7,embed,local,1,a,female,none,none,girls,mothers,found,themselves,The girls said that the mothers found themselves . <eos>,The girls said that the mothers found themselves .
7,embed,local,1,b,female,none,none,mothers,girls,found,themselves,The mothers said that the girls found themselves . <eos>,The mothers said that the girls found themselves .
7,embed,local,1,a,male,nonlocal_subj,number,boy,fathers,found,themselves,The boy said that the fathers found themselves . <eos>,The boy said that the fathers found themselves .
7,embed,local,1,b,male,nonlocal_subj,number,father,boys,found,themselves,The father said that the boys found themselves . <eos>,The father said that the boys found themselves .
7,embed,local,1,a,female,nonlocal_subj,number,girl,mothers,found,themselves,The girl said that the mothers found themselves . <eos>,The girl said that the mothers found themselves .
7,embed,local,1,b,female,nonlocal_subj,number,mother,girls,found,themselves,The mother said that the girls found themselves . <eos>,The mother said that the girls found themselves .
7,embed,nonlocal,0,a,male,local_subj,number,boys,father,found,themselves,The boys said that the father found themselves . <eos>,The boys said that the father found themselves .
7,embed,nonlocal,0,b,male,local_subj,number,fathers,boy,found,themselves,The fathers said that the boy found themselves . <eos>,The fathers said that the boy found themselves .
7,embed,nonlocal,0,a,female,local_subj,number,girls,mother,found,themselves,The girls said that the mother found themselves . <eos>,The girls said that the mother found themselves .
7,embed,nonlocal,0,b,female,local_subj,number,mothers,girl,found,themselves,The mothers said that the girl found themselves . <eos>,The mothers said that the girl found themselves .
8,embed,local,1,a,male,none,none,boys,fathers,distinguished,themselves,The boys said that the fathers distinguished themselves . <eos>,The boys said that the fathers distinguished themselves .
8,embed,local,1,b,male,none,none,fathers,boys,distinguished,themselves,The fathers said that the boys distinguished themselves . <eos>,The fathers said that the boys distinguished themselves .
8,embed,local,1,a,female,none,none,girls,mothers,distinguished,themselves,The girls said that the mothers distinguished themselves . <eos>,The girls said that the mothers distinguished themselves .
8,embed,local,1,b,female,none,none,mothers,girls,distinguished,themselves,The mothers said that the girls distinguished themselves . <eos>,The mothers said that the girls distinguished themselves .
8,embed,local,1,a,male,nonlocal_subj,number,boy,fathers,distinguished,themselves,The boy said that the fathers distinguished themselves . <eos>,The boy said that the fathers distinguished themselves .
8,embed,local,1,b,male,nonlocal_subj,number,father,boys,distinguished,themselves,The father said that the boys distinguished themselves . <eos>,The father said that the boys distinguished themselves .
8,embed,local,1,a,female,nonlocal_subj,number,girl,mothers,distinguished,themselves,The girl said that the mothers distinguished themselves . <eos>,The girl said that the mothers distinguished themselves .
8,embed,local,1,b,female,nonlocal_subj,number,mother,girls,distinguished,themselves,The mother said that the girls distinguished themselves . <eos>,The mother said that the girls distinguished themselves .
8,embed,nonlocal,0,a,male,local_subj,number,boys,father,distinguished,themselves,The boys said that the father distinguished themselves . <eos>,The boys said that the father distinguished themselves .
8,embed,nonlocal,0,b,male,local_subj,number,fathers,boy,distinguished,themselves,The fathers said that the boy distinguished themselves . <eos>,The fathers said that the boy distinguished themselves .
8,embed,nonlocal,0,a,female,local_subj,number,girls,mother,distinguished,themselves,The girls said that the mother distinguished themselves . <eos>,The girls said that the mother distinguished themselves .
8,embed,nonlocal,0,b,female,local_subj,number,mothers,girl,distinguished,themselves,The mothers said that the girl distinguished themselves . <eos>,The mothers said that the girl distinguished themselves .
9,embed,local,1,a,male,none,none,boys,fathers,taught,themselves,The boys said that the fathers taught themselves . <eos>,The boys said that the fathers taught themselves .
9,embed,local,1,b,male,none,none,fathers,boys,taught,themselves,The fathers said that the boys taught themselves . <eos>,The fathers said that the boys taught themselves .
9,embed,local,1,a,female,none,none,girls,mothers,taught,themselves,The girls said that the mothers taught themselves . <eos>,The girls said that the mothers taught themselves .
9,embed,local,1,b,female,none,none,mothers,girls,taught,themselves,The mothers said that the girls taught themselves . <eos>,The mothers said that the girls taught themselves .
9,embed,local,1,a,male,nonlocal_subj,number,boy,fathers,taught,themselves,The boy said that the fathers taught themselves . <eos>,The boy said that the fathers taught themselves .
9,embed,local,1,b,male,nonlocal_subj,number,father,boys,taught,themselves,The father said that the boys taught themselves . <eos>,The father said that the boys taught themselves .
9,embed,local,1,a,female,nonlocal_subj,number,girl,mothers,taught,themselves,The girl said that the mothers taught themselves . <eos>,The girl said that the mothers taught themselves .
9,embed,local,1,b,female,nonlocal_subj,number,mother,girls,taught,themselves,The mother said that the girls taught themselves . <eos>,The mother said that the girls taught themselves .
9,embed,nonlocal,0,a,male,local_subj,number,boys,father,taught,themselves,The boys said that the father taught themselves . <eos>,The boys said that the father taught themselves .
9,embed,nonlocal,0,b,male,local_subj,number,fathers,boy,taught,themselves,The fathers said that the boy taught themselves . <eos>,The fathers said that the boy taught themselves .
9,embed,nonlocal,0,a,female,local_subj,number,girls,mother,taught,themselves,The girls said that the mother taught themselves . <eos>,The girls said that the mother taught themselves .
9,embed,nonlocal,0,b,female,local_subj,number,mothers,girl,taught,themselves,The mothers said that the girl taught themselves . <eos>,The mothers said that the girl taught themselves .
10,embed,local,1,a,male,none,none,boys,fathers,killed,themselves,The boys said that the fathers killed themselves . <eos>,The boys said that the fathers killed themselves .
10,embed,local,1,b,male,none,none,fathers,boys,killed,themselves,The fathers said that the boys killed themselves . <eos>,The fathers said that the boys killed themselves .
10,embed,local,1,a,female,none,none,girls,mothers,killed,themselves,The girls said that the mothers killed themselves . <eos>,The girls said that the mothers killed themselves .
10,embed,local,1,b,female,none,none,mothers,girls,killed,themselves,The mothers said that the girls killed themselves . <eos>,The mothers said that the girls killed themselves .
10,embed,local,1,a,male,nonlocal_subj,number,boy,fathers,killed,themselves,The boy said that the fathers killed themselves . <eos>,The boy said that the fathers killed themselves .
10,embed,local,1,b,male,nonlocal_subj,number,father,boys,killed,themselves,The father said that the boys killed themselves . <eos>,The father said that the boys killed themselves .
10,embed,local,1,a,female,nonlocal_subj,number,girl,mothers,killed,themselves,The girl said that the mothers killed themselves . <eos>,The girl said that the mothers killed themselves .
10,embed,local,1,b,female,nonlocal_subj,number,mother,girls,killed,themselves,The mother said that the girls killed themselves . <eos>,The mother said that the girls killed themselves .
10,embed,nonlocal,0,a,male,local_subj,number,boys,father,killed,themselves,The boys said that the father killed themselves . <eos>,The boys said that the father killed themselves .
10,embed,nonlocal,0,b,male,local_subj,number,fathers,boy,killed,themselves,The fathers said that the boy killed themselves . <eos>,The fathers said that the boy killed themselves .
10,embed,nonlocal,0,a,female,local_subj,number,girls,mother,killed,themselves,The girls said that the mother killed themselves . <eos>,The girls said that the mother killed themselves .
10,embed,nonlocal,0,b,female,local_subj,number,mothers,girl,killed,themselves,The mothers said that the girl killed themselves . <eos>,The mothers said that the girl killed themselves .
11,embed,local,1,a,male,none,none,boys,fathers,called,themselves,The boys said that the fathers called themselves . <eos>,The boys said that the fathers called themselves .
11,embed,local,1,b,male,none,none,fathers,boys,called,themselves,The fathers said that the boys called themselves . <eos>,The fathers said that the boys called themselves .
11,embed,local,1,a,female,none,none,girls,mothers,called,themselves,The girls said that the mothers called themselves . <eos>,The girls said that the mothers called themselves .
11,embed,local,1,b,female,none,none,mothers,girls,called,themselves,The mothers said that the girls called themselves . <eos>,The mothers said that the girls called themselves .
11,embed,local,1,a,male,nonlocal_subj,number,boy,fathers,called,themselves,The boy said that the fathers called themselves . <eos>,The boy said that the fathers called themselves .
11,embed,local,1,b,male,nonlocal_subj,number,father,boys,called,themselves,The father said that the boys called themselves . <eos>,The father said that the boys called themselves .
11,embed,local,1,a,female,nonlocal_subj,number,girl,mothers,called,themselves,The girl said that the mothers called themselves . <eos>,The girl said that the mothers called themselves .
11,embed,local,1,b,female,nonlocal_subj,number,mother,girls,called,themselves,The mother said that the girls called themselves . <eos>,The mother said that the girls called themselves .
11,embed,nonlocal,0,a,male,local_subj,number,boys,father,called,themselves,The boys said that the father called themselves . <eos>,The boys said that the father called themselves .
11,embed,nonlocal,0,b,male,local_subj,number,fathers,boy,called,themselves,The fathers said that the boy called themselves . <eos>,The fathers said that the boy called themselves .
11,embed,nonlocal,0,a,female,local_subj,number,girls,mother,called,themselves,The girls said that the mother called themselves . <eos>,The girls said that the mother called themselves .
11,embed,nonlocal,0,b,female,local_subj,number,mothers,girl,called,themselves,The mothers said that the girl called themselves . <eos>,The mothers said that the girl called themselves .
12,embed,local,1,a,male,none,none,boys,fathers,dedicated,themselves,The boys said that the fathers dedicated themselves . <eos>,The boys said that the fathers dedicated themselves .
12,embed,local,1,b,male,none,none,fathers,boys,dedicated,themselves,The fathers said that the boys dedicated themselves . <eos>,The fathers said that the boys dedicated themselves .
12,embed,local,1,a,female,none,none,girls,mothers,dedicated,themselves,The girls said that the mothers dedicated themselves . <eos>,The girls said that the mothers dedicated themselves .
12,embed,local,1,b,female,none,none,mothers,girls,dedicated,themselves,The mothers said that the girls dedicated themselves . <eos>,The mothers said that the girls dedicated themselves .
12,embed,local,1,a,male,nonlocal_subj,number,boy,fathers,dedicated,themselves,The boy said that the fathers dedicated themselves . <eos>,The boy said that the fathers dedicated themselves .
12,embed,local,1,b,male,nonlocal_subj,number,father,boys,dedicated,themselves,The father said that the boys dedicated themselves . <eos>,The father said that the boys dedicated themselves .
12,embed,local,1,a,female,nonlocal_subj,number,girl,mothers,dedicated,themselves,The girl said that the mothers dedicated themselves . <eos>,The girl said that the mothers dedicated themselves .
12,embed,local,1,b,female,nonlocal_subj,number,mother,girls,dedicated,themselves,The mother said that the girls dedicated themselves . <eos>,The mother said that the girls dedicated themselves .
12,embed,nonlocal,0,a,male,local_subj,number,boys,father,dedicated,themselves,The boys said that the father dedicated themselves . <eos>,The boys said that the father dedicated themselves .
12,embed,nonlocal,0,b,male,local_subj,number,fathers,boy,dedicated,themselves,The fathers said that the boy dedicated themselves . <eos>,The fathers said that the boy dedicated themselves .
12,embed,nonlocal,0,a,female,local_subj,number,girls,mother,dedicated,themselves,The girls said that the mother dedicated themselves . <eos>,The girls said that the mother dedicated themselves .
12,embed,nonlocal,0,b,female,local_subj,number,mothers,girl,dedicated,themselves,The mothers said that the girl dedicated themselves . <eos>,The mothers said that the girl dedicated themselves .
13,embed,local,1,a,male,none,none,boys,fathers,declared,themselves,The boys said that the fathers declared themselves . <eos>,The boys said that the fathers declared themselves .
13,embed,local,1,b,male,none,none,fathers,boys,declared,themselves,The fathers said that the boys declared themselves . <eos>,The fathers said that the boys declared themselves .
13,embed,local,1,a,female,none,none,girls,mothers,declared,themselves,The girls said that the mothers declared themselves . <eos>,The girls said that the mothers declared themselves .
13,embed,local,1,b,female,none,none,mothers,girls,declared,themselves,The mothers said that the girls declared themselves . <eos>,The mothers said that the girls declared themselves .
13,embed,local,1,a,male,nonlocal_subj,number,boy,fathers,declared,themselves,The boy said that the fathers declared themselves . <eos>,The boy said that the fathers declared themselves .
13,embed,local,1,b,male,nonlocal_subj,number,father,boys,declared,themselves,The father said that the boys declared themselves . <eos>,The father said that the boys declared themselves .
13,embed,local,1,a,female,nonlocal_subj,number,girl,mothers,declared,themselves,The girl said that the mothers declared themselves . <eos>,The girl said that the mothers declared themselves .
13,embed,local,1,b,female,nonlocal_subj,number,mother,girls,declared,themselves,The mother said that the girls declared themselves . <eos>,The mother said that the girls declared themselves .
13,embed,nonlocal,0,a,male,local_subj,number,boys,father,declared,themselves,The boys said that the father declared themselves . <eos>,The boys said that the father declared themselves .
13,embed,nonlocal,0,b,male,local_subj,number,fathers,boy,declared,themselves,The fathers said that the boy declared themselves . <eos>,The fathers said that the boy declared themselves .
13,embed,nonlocal,0,a,female,local_subj,number,girls,mother,declared,themselves,The girls said that the mother declared themselves . <eos>,The girls said that the mother declared themselves .
13,embed,nonlocal,0,b,female,local_subj,number,mothers,girl,declared,themselves,The mothers said that the girl declared themselves . <eos>,The mothers said that the girl declared themselves .
14,embed,local,1,a,male,none,none,boys,fathers,proved,themselves,The boys said that the fathers proved themselves . <eos>,The boys said that the fathers proved themselves .
14,embed,local,1,b,male,none,none,fathers,boys,proved,themselves,The fathers said that the boys proved themselves . <eos>,The fathers said that the boys proved themselves .
14,embed,local,1,a,female,none,none,girls,mothers,proved,themselves,The girls said that the mothers proved themselves . <eos>,The girls said that the mothers proved themselves .
14,embed,local,1,b,female,none,none,mothers,girls,proved,themselves,The mothers said that the girls proved themselves . <eos>,The mothers said that the girls proved themselves .
14,embed,local,1,a,male,nonlocal_subj,number,boy,fathers,proved,themselves,The boy said that the fathers proved themselves . <eos>,The boy said that the fathers proved themselves .
14,embed,local,1,b,male,nonlocal_subj,number,father,boys,proved,themselves,The father said that the boys proved themselves . <eos>,The father said that the boys proved themselves .
14,embed,local,1,a,female,nonlocal_subj,number,girl,mothers,proved,themselves,The girl said that the mothers proved themselves . <eos>,The girl said that the mothers proved themselves .
14,embed,local,1,b,female,nonlocal_subj,number,mother,girls,proved,themselves,The mother said that the girls proved themselves . <eos>,The mother said that the girls proved themselves .
14,embed,nonlocal,0,a,male,local_subj,number,boys,father,proved,themselves,The boys said that the father proved themselves . <eos>,The boys said that the father proved themselves .
14,embed,nonlocal,0,b,male,local_subj,number,fathers,boy,proved,themselves,The fathers said that the boy proved themselves . <eos>,The fathers said that the boy proved themselves .
14,embed,nonlocal,0,a,female,local_subj,number,girls,mother,proved,themselves,The girls said that the mother proved themselves . <eos>,The girls said that the mother proved themselves .
14,embed,nonlocal,0,b,female,local_subj,number,mothers,girl,proved,themselves,The mothers said that the girl proved themselves . <eos>,The mothers said that the girl proved themselves .
15,embed,local,1,a,male,none,none,boys,fathers,shot,themselves,The boys said that the fathers shot themselves . <eos>,The boys said that the fathers shot themselves .
15,embed,local,1,b,male,none,none,fathers,boys,shot,themselves,The fathers said that the boys shot themselves . <eos>,The fathers said that the boys shot themselves .
15,embed,local,1,a,female,none,none,girls,mothers,shot,themselves,The girls said that the mothers shot themselves . <eos>,The girls said that the mothers shot themselves .
15,embed,local,1,b,female,none,none,mothers,girls,shot,themselves,The mothers said that the girls shot themselves . <eos>,The mothers said that the girls shot themselves .
15,embed,local,1,a,male,nonlocal_subj,number,boy,fathers,shot,themselves,The boy said that the fathers shot themselves . <eos>,The boy said that the fathers shot themselves .
15,embed,local,1,b,male,nonlocal_subj,number,father,boys,shot,themselves,The father said that the boys shot themselves . <eos>,The father said that the boys shot themselves .
15,embed,local,1,a,female,nonlocal_subj,number,girl,mothers,shot,themselves,The girl said that the mothers shot themselves . <eos>,The girl said that the mothers shot themselves .
15,embed,local,1,b,female,nonlocal_subj,number,mother,girls,shot,themselves,The mother said that the girls shot themselves . <eos>,The mother said that the girls shot themselves .
15,embed,nonlocal,0,a,male,local_subj,number,boys,father,shot,themselves,The boys said that the father shot themselves . <eos>,The boys said that the father shot themselves .
15,embed,nonlocal,0,b,male,local_subj,number,fathers,boy,shot,themselves,The fathers said that the boy shot themselves . <eos>,The fathers said that the boy shot themselves .
15,embed,nonlocal,0,a,female,local_subj,number,girls,mother,shot,themselves,The girls said that the mother shot themselves . <eos>,The girls said that the mother shot themselves .
15,embed,nonlocal,0,b,female,local_subj,number,mothers,girl,shot,themselves,The mothers said that the girl shot themselves . <eos>,The mothers said that the girl shot themselves .
16,embed,local,1,a,male,none,none,boys,sons,saw,themselves,The boys said that the sons saw themselves . <eos>,The boys said that the sons saw themselves .
16,embed,local,1,b,male,none,none,sons,boys,saw,themselves,The sons said that the boys saw themselves . <eos>,The sons said that the boys saw themselves .
16,embed,local,1,a,female,none,none,girls,daughters,saw,themselves,The girls said that the daughters saw themselves . <eos>,The girls said that the daughters saw themselves .
16,embed,local,1,b,female,none,none,daughters,girls,saw,themselves,The daughters said that the girls saw themselves . <eos>,The daughters said that the girls saw themselves .
16,embed,local,1,a,male,nonlocal_subj,number,boy,sons,saw,themselves,The boy said that the sons saw themselves . <eos>,The boy said that the sons saw themselves .
16,embed,local,1,b,male,nonlocal_subj,number,son,boys,saw,themselves,The son said that the boys saw themselves . <eos>,The son said that the boys saw themselves .
16,embed,local,1,a,female,nonlocal_subj,number,girl,daughters,saw,themselves,The girl said that the daughters saw themselves . <eos>,The girl said that the daughters saw themselves .
16,embed,local,1,b,female,nonlocal_subj,number,daughter,girls,saw,themselves,The daughter said that the girls saw themselves . <eos>,The daughter said that the girls saw themselves .
16,embed,nonlocal,0,a,male,local_subj,number,boys,son,saw,themselves,The boys said that the son saw themselves . <eos>,The boys said that the son saw themselves .
16,embed,nonlocal,0,b,male,local_subj,number,sons,boy,saw,themselves,The sons said that the boy saw themselves . <eos>,The sons said that the boy saw themselves .
16,embed,nonlocal,0,a,female,local_subj,number,girls,daughter,saw,themselves,The girls said that the daughter saw themselves . <eos>,The girls said that the daughter saw themselves .
16,embed,nonlocal,0,b,female,local_subj,number,daughters,girl,saw,themselves,The daughters said that the girl saw themselves . <eos>,The daughters said that the girl saw themselves .
17,embed,local,1,a,male,none,none,boys,sons,established,themselves,The boys said that the sons established themselves . <eos>,The boys said that the sons established themselves .
17,embed,local,1,b,male,none,none,sons,boys,established,themselves,The sons said that the boys established themselves . <eos>,The sons said that the boys established themselves .
17,embed,local,1,a,female,none,none,girls,daughters,established,themselves,The girls said that the daughters established themselves . <eos>,The girls said that the daughters established themselves .
17,embed,local,1,b,female,none,none,daughters,girls,established,themselves,The daughters said that the girls established themselves . <eos>,The daughters said that the girls established themselves .
17,embed,local,1,a,male,nonlocal_subj,number,boy,sons,established,themselves,The boy said that the sons established themselves . <eos>,The boy said that the sons established themselves .
