item,clause_type,locality,grammatical,counterbalance,mismatch_position,mismatch_feature,head_noun,distractor_noun,verb,pronoun,sentence,sentence_no_eos
13,embed,nonlocal,0,a,local_subj,number,boy,fathers,declared,himself,The boy said that the fathers declared himself . <eos>,The boy said that the fathers declared himself .
13,embed,nonlocal,0,b,local_subj,number,father,boys,declared,himself,The father said that the boys declared himself . <eos>,The father said that the boys declared himself .
14,embed,local,1,a,none,none,boy,father,proved,himself,The boy said that the father proved himself . <eos>,The boy said that the father proved himself .
14,embed,local,1,b,none,none,father,boy,proved,himself,The father said that the boy proved himself . <eos>,The father said that the boy proved himself .
14,embed,local,1,a,nonlocal_subj,number,boys,father,proved,himself,The boys said that the father proved himself . <eos>,The boys said that the father proved himself .
14,embed,local,1,b,nonlocal_subj,number,fathers,boy,proved,himself,The fathers said that the boy proved himself . <eos>,The fathers said that the boy proved himself .
14,embed,nonlocal,0,a,local_subj,number,boy,fathers,proved,himself,The boy said that the fathers proved himself . <eos>,The boy said that the fathers proved himself .
14,embed,nonlocal,0,b,local_subj,number,father,boys,proved,himself,The father said that the boys proved himself . <eos>,The father said that the boys proved himself .
15,embed,local,1,a,none,none,boy,father,shot,himself,The boy said that the father shot himself . <eos>,The boy said that the father shot himself .
15,embed,local,1,b,none,none,father,boy,shot,himself,The father said that the boy shot himself . <eos>,The father said that the boy shot himself .
15,embed,local,1,a,nonlocal_subj,number,boys,father,shot,himself,The boys said that the father shot himself . <eos>,The boys said that the father shot himself .
15,embed,local,1,b,nonlocal_subj,number,fathers,boy,shot,himself,The fathers said that the boy shot himself . <eos>,The fathers said that the boy shot himself .
15,embed,nonlocal,0,a,local_subj,number,boy,fathers,shot,himself,The boy said that the fathers shot himself . <eos>,The boy said that the fathers shot himself .
15,embed,nonlocal,0,b,local_subj,number,father,boys,shot,himself,The father said that the boys shot himself . <eos>,The father said that the boys shot himself .
16,embed,local,1,a,none,none,boy,son,saw,himself,The boy said that the son saw himself . <eos>,The boy said that the son saw himself .
16,embed,local,1,b,none,none,son,boy,saw,himself,The son said that the boy saw himself . <eos>,The son said that the boy saw himself .
16,embed,local,1,a,nonlocal_subj,number,boys,son,saw,himself,The boys said that the son saw himself . <eos>,The boys said that the son saw himself .
16,embed,local,1,b,nonlocal_subj,number,sons,boy,saw,himself,The sons said that the boy saw himself . <eos>,The sons said that the boy saw himself .
16,embed,nonlocal,0,a,local_subj,number,boy,sons,saw,himself,The boy said that the sons saw himself . <eos>,The boy said that the sons saw himself .
16,embed,nonlocal,0,b,local_subj,number,son,boys,saw,himself,The son said that the boys saw himself . <eos>,The son said that the boys saw himself .
17,embed,local,1,a,none,none,boy,son,established,himself,The boy said that the son established himself . <eos>,The boy said that the son established himself .
17,embed,local,1,b,none,none,son,boy,established,himself,The son said that the boy established himself . <eos>,The son said that the boy established himself .
17,embed,local,1,a,nonlocal_subj,number,boys,son,established,himself,The boys said that the son established himself . <eos>,The boys said that the son established himself .
17,embed,local,1,b,nonlocal_subj,number,sons,boy,established,himself,The sons said that the boy established himself . <eos>,The sons said that the boy established himself .
17,embed,nonlocal,0,a,local_subj,number,boy,sons,established,himself,The boy said that the sons established himself . <eos>,The boy said that the sons established himself .
17,embed,nonlocal,0,b,local_subj,number,son,boys,established,himself,The son said that the boys established himself . <eos>,The son said that the boys established himself .
18,embed,local,1,a,none,none,boy,son,devoted,himself,The boy said that the son devoted himself . <eos>,The boy said that the son devoted himself .
18,embed,local,1,b,none,none,son,boy,devoted,himself,The son said that the boy devoted himself . <eos>,The son said that the boy devoted himself .
18,embed,local,1,a,nonlocal_subj,number,boys,son,devoted,himself,The boys said that the son devoted himself . <eos>,The boys said that the son devoted himself .
18,embed,local,1,b,nonlocal_subj,number,sons,boy,devoted,himself,The sons said that the boy devoted himself . <eos>,The sons said that the boy devoted himself .
18,embed,nonlocal,0,a,local_subj,number,boy,sons,devoted,himself,The boy said that the sons devoted himself . <eos>,The boy said that the sons devoted himself .
18,embed,nonlocal,0,b,local_subj,number,son,boys,devoted,himself,The son said that the boys devoted himself . <eos>,The son said that the boys devoted himself .
19,embed,local,1,a,none,none,boy,son,considered,himself,The boy said that the son considered himself . <eos>,The boy said that the son considered himself .
19,embed,local,1,b,none,none,son,boy,considered,himself,The son said that the boy considered himself . <eos>,The son said that the boy considered himself .
19,embed,local,1,a,nonlocal_subj,number,boys,son,considered,himself,The boys said that the son considered himself . <eos>,The boys said that the son considered himself .
19,embed,local,1,b,nonlocal_subj,number,sons,boy,considered,himself,The sons said that the boy considered himself . <eos>,The sons said that the boy considered himself .
19,embed,nonlocal,0,a,local_subj,number,boy,sons,considered,himself,The boy said that the sons considered himself . <eos>,The boy said that the sons considered himself .
19,embed,nonlocal,0,b,local_subj,number,son,boys,considered,himself,The son said that the boys considered himself . <eos>,The son said that the boys considered himself .
20,embed,local,1,a,none,none,boy,son,identified,himself,The boy said that the son identified himself . <eos>,The boy said that the son identified himself .
20,embed,local,1,b,none,none,son,boy,identified,himself,The son said that the boy identified himself . <eos>,The son said that the boy identified himself .
20,embed,local,1,a,nonlocal_subj,number,boys,son,identified,himself,The boys said that the son identified himself . <eos>,The boys said that the son identified himself .
20,embed,local,1,b,nonlocal_subj,number,sons,boy,identified,himself,The sons said that the boy identified himself . <eos>,The sons said that the boy identified himself .
20,embed,nonlocal,0,a,local_subj,number,boy,sons,identified,himself,The boy said that the sons identified himself . <eos>,The boy said that the sons identified himself .
20,embed,nonlocal,0,b,local_subj,number,son,boys,identified,himself,The son said that the boys identified himself . <eos>,The son said that the boys identified himself .
21,embed,local,1,a,none,none,boy,son,made,himself,The boy said that the son made himself . <eos>,The boy said that the son made himself .
21,embed,local,1,b,none,none,son,boy,made,himself,The son said that the boy made himself . <eos>,The son said that the boy made himself .
21,embed,local,1,a,nonlocal_subj,number,boys,son,made,himself,The boys said that the son made himself . <eos>,The boys said that the son made himself .
21,embed,local,1,b,nonlocal_subj,number,sons,boy,made,himself,The sons said that the boy made himself . <eos>,The sons said that the boy made himself .
21,embed,nonlocal,0,a,local_subj,number,boy,sons,made,himself,The boy said that the sons made himself . <eos>,The boy said that the sons made himself .
21,embed,nonlocal,0,b,local_subj,number,son,boys,made,himself,The son said that the boys made himself . <eos>,The son said that the boys made himself .
22,embed,local,1,a,none,none,boy,son,found,himself,The boy said that the son found himself . <eos>,The boy said that the son found himself .
22,embed,local,1,b,none,none,son,boy,found,himself,The son said that the boy found himself . <eos>,The son said that the boy found himself .
22,embed,local,1,a,nonlocal_subj,number,boys,son,found,himself,The boys said that the son found himself . <eos>,The boys said that the son found himself .
22,embed,local,1,b,nonlocal_subj,number,sons,boy,found,himself,The sons said that the boy found himself . <eos>,The sons said that the boy found himself .
22,embed,nonlocal,0,a,local_subj,number,boy,sons,found,himself,The boy said that the sons found himself . <eos>,The boy said that the sons found himself .
22,embed,nonlocal,0,b,local_subj,number,son,boys,found,himself,The son said that the boys found himself . <eos>,The son said that the boys found himself .
23,embed,local,1,a,none,none,boy,son,distinguished,himself,The boy said that the son distinguished himself . <eos>,The boy said that the son distinguished himself .
23,embed,local,1,b,none,none,son,boy,distinguished,himself,The son said that the boy distinguished himself . <eos>,The son said that the boy distinguished himself .
23,embed,local,1,a,nonlocal_subj,number,boys,son,distinguished,himself,The boys said that the son distinguished himself . <eos>,The boys said that the son distinguished himself .
23,embed,local,1,b,nonlocal_subj,number,sons,boy,distinguished,himself,The sons said that the boy distinguished himself . <eos>,The sons said that the boy distinguished himself .
23,embed,nonlocal,0,a,local_subj,number,boy,sons,distinguished,himself,The boy said that the sons distinguished himself . <eos>,The boy said that the sons distinguished himself .
23,embed,nonlocal,0,b,local_subj,number,son,boys,distinguished,himself,The son said that the boys distinguished himself . <eos>,The son said that the boys distinguished himself .
24,embed,local,1,a,none,none,boy,son,taught,himself,The boy said that the son taught himself . <eos>,The boy said that the son taught himself .
24,embed,local,1,b,none,none,son,boy,taught,himself,The son said that the boy taught himself . <eos>,The son said that the boy taught himself .
24,embed,local,1,a,nonlocal_subj,number,boys,son,taught,himself,The boys said that the son taught himself . <eos>,The boys said that the son taught himself .
24,embed,local,1,b,nonlocal_subj,number,sons,boy,taught,himself,The sons said that the boy taught himself . <eos>,The sons said that the boy taught himself .
24,embed,nonlocal,0,a,local_subj,number,boy,sons,taught,himself,The boy said that the sons taught himself . <eos>,The boy said that the sons taught himself .
24,embed,nonlocal,0,b,local_subj,number,son,boys,taught,himself,The son said that the boys taught himself . <eos>,The son said that the boys taught himself .
25,embed,local,1,a,none,none,boy,son,killed,himself,The boy said that the son killed himself . <eos>,The boy said that the son killed himself .
25,embed,local,1,b,none,none,son,boy,killed,himself,The son said that the boy killed himself . <eos>,The son said that the boy killed himself .
25,embed,local,1,a,nonlocal_subj,number,boys,son,killed,himself,The boys said that the son killed himself . <eos>,The boys said that the son killed himself .
25,embed,local,1,b,nonlocal_subj,number,sons,boy,killed,himself,The sons said that the boy killed himself . <eos>,The sons said that the boy killed himself .
25,embed,nonlocal,0,a,local_subj,number,boy,sons,killed,himself,The boy said that the sons killed himself . <eos>,The boy said that the sons killed himself .
25,embed,nonlocal,0,b,local_subj,number,son,boys,killed,himself,The son said that the boys killed himself . <eos>,The son said that the boys killed himself .
26,embed,local,1,a,none,none,boy,son,called,himself,The boy said that the son called himself . <eos>,The boy said that the son called himself .
26,embed,local,1,b,none,none,son,boy,called,himself,The son said that the boy called himself . <eos>,The son said that the boy called himself .
26,embed,local,1,a,nonlocal_subj,number,boys,son,called,himself,The boys said that the son called himself . <eos>,The boys said that the son called himself .
26,embed,local,1,b,nonlocal_subj,number,sons,boy,called,himself,The sons said that the boy called himself . <eos>,The sons said that the boy called himself .
26,embed,nonlocal,0,a,local_subj,number,boy,sons,called,himself,The boy said that the sons called himself . <eos>,The boy said that the sons called himself .
26,embed,nonlocal,0,b,local_subj,number,son,boys,called,himself,The son said that the boys called himself . <eos>,The son said that the boys called himself .
27,embed,local,1,a,none,none,boy,son,dedicated,himself,The boy said that the son dedicated himself . <eos>,The boy said that the son dedicated himself .
27,embed,local,1,b,none,none,son,boy,dedicated,himself,The son said that the boy dedicated himself . <eos>,The son said that the boy dedicated himself .
27,embed,local,1,a,nonlocal_subj,number,boys,son,dedicated,himself,The boys said that the son dedicated himself . <eos>,The boys said that the son dedicated himself .
27,embed,local,1,b,nonlocal_subj,number,sons,boy,dedicated,himself,The sons said that the boy dedicated himself . <eos>,The sons said that the boy dedicated himself .
27,embed,nonlocal,0,a,local_subj,number,boy,sons,dedicated,himself,The boy said that the sons dedicated himself . <eos>,The boy said that the sons dedicated himself .
27,embed,nonlocal,0,b,local_subj,number,son,boys,dedicated,himself,The son said that the boys dedicated himself . <eos>,The son said that the boys dedicated himself .
28,embed,local,1,a,none,none,boy,son,declared,himself,The boy said that the son declared himself . <eos>,The boy said that the son declared himself .
28,embed,local,1,b,none,none,son,boy,declared,himself,The son said that the boy declared himself . <eos>,The son said that the boy declared himself .
28,embed,local,1,a,nonlocal_subj,number,boys,son,declared,himself,The boys said that the son declared himself . <eos>,The boys said that the son declared himself .
28,embed,local,1,b,nonlocal_subj,number,sons,boy,declared,himself,The sons said that the boy declared himself . <eos>,The sons said that the boy declared himself .
28,embed,nonlocal,0,a,local_subj,number,boy,sons,declared,himself,The boy said that the sons declared himself . <eos>,The boy said that the sons declared himself .
28,embed,nonlocal,0,b,local_subj,number,son,boys,declared,himself,The son said that the boys declared himself . <eos>,The son said that the boys declared himself .
29,embed,local,1,a,none,none,boy,son,proved,himself,The boy said that the son proved himself . <eos>,The boy said that the son proved himself .
29,embed,local,1,b,none,none,son,boy,proved,himself,The son said that the boy proved himself . <eos>,The son said that the boy proved himself .
29,embed,local,1,a,nonlocal_subj,number,boys,son,proved,himself,The boys said that the son proved himself . <eos>,The boys said that the son proved himself .
29,embed,local,1,b,nonlocal_subj,number,sons,boy,proved,himself,The sons said that the boy proved himself . <eos>,The sons said that the boy proved himself .
29,embed,nonlocal,0,a,local_subj,number,boy,sons,proved,himself,The boy said that the sons proved himself . <eos>,The boy said that the sons proved himself .
29,embed,nonlocal,0,b,local_subj,number,son,boys,proved,himself,The son said that the boys proved himself . <eos>,The son said that the boys proved himself .
30,embed,local,1,a,none,none,boy,son,shot,himself,The boy said that the son shot himself . <eos>,The boy said that the son shot himself .
30,embed,local,1,b,none,none,son,boy,shot,himself,The son said that the boy shot himself . <eos>,The son said that the boy shot himself .
30,embed,local,1,a,nonlocal_subj,number,boys,son,shot,himself,The boys said that the son shot himself . <eos>,The boys said that the son shot himself .
30,embed,local,1,b,nonlocal_subj,number,sons,boy,shot,himself,The sons said that the boy shot himself . <eos>,The sons said that the boy shot himself .
30,embed,nonlocal,0,a,local_subj,number,boy,sons,shot,himself,The boy said that the sons shot himself . <eos>,The boy said that the sons shot himself .
30,embed,nonlocal,0,b,local_subj,number,son,boys,shot,himself,The son said that the boys shot himself . <eos>,The son said that the boys shot himself .
31,embed,local,1,a,none,none,boy,man,saw,himself,The boy said that the man saw himself . <eos>,The boy said that the man saw himself .
31,embed,local,1,b,none,none,man,boy,saw,himself,The man said that the boy saw himself . <eos>,The man said that the boy saw himself .
31,embed,local,1,a,nonlocal_subj,number,boys,man,saw,himself,The boys said that the man saw himself . <eos>,The boys said that the man saw himself .
31,embed,local,1,b,nonlocal_subj,number,men,boy,saw,himself,The men said that the boy saw himself . <eos>,The men said that the boy saw himself .
31,embed,nonlocal,0,a,local_subj,number,boy,men,saw,himself,The boy said that the men saw himself . <eos>,The boy said that the men saw himself .
31,embed,nonlocal,0,b,local_subj,number,man,boys,saw,himself,The man said that the boys saw himself . <eos>,The man said that the boys saw himself .
32,embed,local,1,a,none,none,boy,man,established,himself,The boy said that the man established himself . <eos>,The boy said that the man established himself .
32,embed,local,1,b,none,none,man,boy,established,himself,The man said that the boy established himself . <eos>,The man said that the boy established himself .
32,embed,local,1,a,nonlocal_subj,number,boys,man,established,himself,The boys said that the man established himself . <eos>,The boys said that the man established himself .
32,embed,local,1,b,nonlocal_subj,number,men,boy,established,himself,The men said that the boy established himself . <eos>,The men said that the boy established himself .
32,embed,nonlocal,0,a,local_subj,number,boy,men,established,himself,The boy said that the men established himself . <eos>,The boy said that the men established himself .
32,embed,nonlocal,0,b,local_subj,number,man,boys,established,himself,The man said that the boys established himself . <eos>,The man said that the boys established himself .
33,embed,local,1,a,none,none,boy,man,devoted,himself,The boy said that the man devoted himself . <eos>,The boy said that the man devoted himself .
33,embed,local,1,b,none,none,man,boy,devoted,himself,The man said that the boy devoted himself . <eos>,The man said that the boy devoted himself .
33,embed,local,1,a,nonlocal_subj,number,boys,man,devoted,himself,The boys said that the man devoted himself . <eos>,The boys said that the man devoted himself .
33,embed,local,1,b,nonlocal_subj,number,men,boy,devoted,himself,The men said that the boy devoted himself . <eos>,The men said that the boy devoted himself .
33,embed,nonlocal,0,a,local_subj,number,boy,men,devoted,himself,The boy said that the men devoted himself . <eos>,The boy said that the men devoted himself .
33,embed,nonlocal,0,b,local_subj,number,man,boys,devoted,himself,The man said that the boys devoted himself . <eos>,The man said that the boys devoted himself .
34,embed,local,1,a,none,none,boy,man,considered,himself,The boy said that the man considered himself . <eos>,The boy said that the man considered himself .
34,embed,local,1,b,none,none,man,boy,considered,himself,The man said that the boy considered himself . <eos>,The man said that the boy considered himself .
34,embed,local,1,a,nonlocal_subj,number,boys,man,considered,himself,The boys said that the man considered himself . <eos>,The boys said that the man considered himself .
34,embed,local,1,b,nonlocal_subj,number,men,boy,considered,himself,The men said that the boy considered himself . <eos>,The men said that the boy considered himself .
34,embed,nonlocal,0,a,local_subj,number,boy,men,considered,himself,The boy said that the men considered himself . <eos>,The boy said that the men considered himself .
34,embed,nonlocal,0,b,local_subj,number,man,boys,considered,himself,The man said that the boys considered himself . <eos>,The man said that the boys considered himself .
35,embed,local,1,a,none,none,boy,man,identified,himself,The boy said that the man identified himself . <eos>,The boy said that the man identified himself .
35,embed,local,1,b,none,none,man,boy,identified,himself,The man said that the boy identified himself . <eos>,The man said that the boy identified himself .
35,embed,local,1,a,nonlocal_subj,number,boys,man,identified,himself,The boys said that the man identified himself . <eos>,The boys said that the man identified himself .
35,embed,local,1,b,nonlocal_subj,number,men,boy,identified,himself,The men said that the boy identified himself . <eos>,The men said that the boy identified himself .
35,embed,nonlocal,0,a,local_subj,number,boy,men,identified,himself,The boy said that the men identified himself . <eos>,The boy said that the men identified himself .
35,embed,nonlocal,0,b,local_subj,number,man,boys,identified,himself,The man said that the boys identified himself . <eos>,The man said that the boys identified himself .
36,embed,local,1,a,none,none,boy,man,made,himself,The boy said that the man made himself . <eos>,The boy said that the man made himself .
36,embed,local,1,b,none,none,man,boy,made,himself,The man said that the boy made himself . <eos>,The man said that the boy made himself .
36,embed,local,1,a,nonlocal_subj,number,boys,man,made,himself,The boys said that the man made himself . <eos>,The boys said that the man made himself .
36,embed,local,1,b,nonlocal_subj,number,men,boy,made,himself,The men said that the boy made himself . <eos>,The men said that the boy made himself .
36,embed,nonlocal,0,a,local_subj,number,boy,men,made,himself,The boy said that the men made himself . <eos>,The boy said that the men made himself .
36,embed,nonlocal,0,b,local_subj,number,man,boys,made,himself,The man said that the boys made himself . <eos>,The man said that the boys made himself .
37,embed,local,1,a,none,none,boy,man,found,himself,The boy said that the man found himself . <eos>,The boy said that the man found himself .
37,embed,local,1,b,none,none,man,boy,found,himself,The man said that the boy found himself . <eos>,The man said that the boy found himself .
37,embed,local,1,a,nonlocal_subj,number,boys,man,found,himself,The boys said that the man found himself . <eos>,The boys said that the man found himself .
37,embed,local,1,b,nonlocal_subj,number,men,boy,found,himself,The men said that the boy found himself . <eos>,The men said that the boy found himself .
37,embed,nonlocal,0,a,local_subj,number,boy,men,found,himself,The boy said that the men found himself . <eos>,The boy said that the men found himself .
37,embed,nonlocal,0,b,local_subj,number,man,boys,found,himself,The man said that the boys found himself . <eos>,The man said that the boys found himself .
38,embed,local,1,a,none,none,boy,man,distinguished,himself,The boy said that the man distinguished himself . <eos>,The boy said that the man distinguished himself .
38,embed,local,1,b,none,none,man,boy,distinguished,himself,The man said that the boy distinguished himself . <eos>,The man said that the boy distinguished himself .
