item,clause_type,locality,c-command,grammatical,counterbalance,mismatch_position,mismatch_feature,head_noun,distractor_noun,verb,pronoun,sentence,sentence_no_eos
6,simple,local,no-c-command,0,a,head,number,boys,father,made,himself,The boys near the father made himself . <eos>,The boys near the father made himself .
6,simple,local,no-c-command,0,b,head,number,fathers,boy,made,himself,The fathers near the boy made himself . <eos>,The fathers near the boy made himself .
6,simple,local,c-command,1,a,distractor,number,boy,fathers,made,himself,The boy near the fathers made himself . <eos>,The boy near the fathers made himself .
6,simple,local,c-command,1,b,distractor,number,father,boys,made,himself,The father near the boys made himself . <eos>,The father near the boys made himself .
7,simple,local,c-command,1,a,none,none,boy,father,found,himself,The boy near the father found himself . <eos>,The boy near the father found himself .
7,simple,local,c-command,1,b,none,none,father,boy,found,himself,The father near the boy found himself . <eos>,The father near the boy found himself .
7,simple,local,no-c-command,0,a,head,number,boys,father,found,himself,The boys near the father found himself . <eos>,The boys near the father found himself .
7,simple,local,no-c-command,0,b,head,number,fathers,boy,found,himself,The fathers near the boy found himself . <eos>,The fathers near the boy found himself .
7,simple,local,c-command,1,a,distractor,number,boy,fathers,found,himself,The boy near the fathers found himself . <eos>,The boy near the fathers found himself .
7,simple,local,c-command,1,b,distractor,number,father,boys,found,himself,The father near the boys found himself . <eos>,The father near the boys found himself .
8,simple,local,c-command,1,a,none,none,boy,father,distinguished,himself,The boy near the father distinguished himself . <eos>,The boy near the father distinguished himself .
8,simple,local,c-command,1,b,none,none,father,boy,distinguished,himself,The father near the boy distinguished himself . <eos>,The father near the boy distinguished himself .
8,simple,local,no-c-command,0,a,head,number,boys,father,distinguished,himself,The boys near the father distinguished himself . <eos>,The boys near the father distinguished himself .
8,simple,local,no-c-command,0,b,head,number,fathers,boy,distinguished,himself,The fathers near the boy distinguished himself . <eos>,The fathers near the boy distinguished himself .
8,simple,local,c-command,1,a,distractor,number,boy,fathers,distinguished,himself,The boy near the fathers distinguished himself . <eos>,The boy near the fathers distinguished himself .
8,simple,local,c-command,1,b,distractor,number,father,boys,distinguished,himself,The father near the boys distinguished himself . <eos>,The father near the boys distinguished himself .
9,simple,local,c-command,1,a,none,none,boy,father,taught,himself,The boy near the father taught himself . <eos>,The boy near the father taught himself .
9,simple,local,c-command,1,b,none,none,father,boy,taught,himself,The father near the boy taught himself . <eos>,The father near the boy taught himself .
9,simple,local,no-c-command,0,a,head,number,boys,father,taught,himself,The boys near the father taught himself . <eos>,The boys near the father taught himself .
9,simple,local,no-c-command,0,b,head,number,fathers,boy,taught,himself,The fathers near the boy taught himself . <eos>,The fathers near the boy taught himself .
9,simple,local,c-command,1,a,distractor,number,boy,fathers,taught,himself,The boy near the fathers taught himself . <eos>,The boy near the fathers taught himself .
9,simple,local,c-command,1,b,distractor,number,father,boys,taught,himself,The father near the boys taught himself . <eos>,The father near the boys taught himself .
10,simple,local,c-command,1,a,none,none,boy,father,killed,himself,The boy near the father killed himself . <eos>,The boy near the father killed himself .
10,simple,local,c-command,1,b,none,none,father,boy,killed,himself,The father near the boy killed himself . <eos>,The father near the boy killed himself .
10,simple,local,no-c-command,0,a,head,number,boys,father,killed,himself,The boys near the father killed himself . <eos>,The boys near the father killed himself .
10,simple,local,no-c-command,0,b,head,number,fathers,boy,killed,himself,The fathers near the boy killed himself . <eos>,The fathers near the boy killed himself .
10,simple,local,c-command,1,a,distractor,number,boy,fathers,killed,himself,The boy near the fathers killed himself . <eos>,The boy near the fathers killed himself .
10,simple,local,c-command,1,b,distractor,number,father,boys,killed,himself,The father near the boys killed himself . <eos>,The father near the boys killed himself .
11,simple,local,c-command,1,a,none,none,boy,father,called,himself,The boy near the father called himself . <eos>,The boy near the father called himself .
11,simple,local,c-command,1,b,none,none,father,boy,called,himself,The father near the boy called himself . <eos>,The father near the boy called himself .
11,simple,local,no-c-command,0,a,head,number,boys,father,called,himself,The boys near the father called himself . <eos>,The boys near the father called himself .
11,simple,local,no-c-command,0,b,head,number,fathers,boy,called,himself,The fathers near the boy called himself . <eos>,The fathers near the boy called himself .
11,simple,local,c-command,1,a,distractor,number,boy,fathers,called,himself,The boy near the fathers called himself . <eos>,The boy near the fathers called himself .
11,simple,local,c-command,1,b,distractor,number,father,boys,called,himself,The father near the boys called himself . <eos>,The father near the boys called himself .
12,simple,local,c-command,1,a,none,none,boy,father,dedicated,himself,The boy near the father dedicated himself . <eos>,The boy near the father dedicated himself .
12,simple,local,c-command,1,b,none,none,father,boy,dedicated,himself,The father near the boy dedicated himself . <eos>,The father near the boy dedicated himself .
12,simple,local,no-c-command,0,a,head,number,boys,father,dedicated,himself,The boys near the father dedicated himself . <eos>,The boys near the father dedicated himself .
12,simple,local,no-c-command,0,b,head,number,fathers,boy,dedicated,himself,The fathers near the boy dedicated himself . <eos>,The fathers near the boy dedicated himself .
12,simple,local,c-command,1,a,distractor,number,boy,fathers,dedicated,himself,The boy near the fathers dedicated himself . <eos>,The boy near the fathers dedicated himself .
12,simple,local,c-command,1,b,distractor,number,father,boys,dedicated,himself,The father near the boys dedicated himself . <eos>,The father near the boys dedicated himself .
13,simple,local,c-command,1,a,none,none,boy,father,declared,himself,The boy near the father declared himself . <eos>,The boy near the father declared himself .
13,simple,local,c-command,1,b,none,none,father,boy,declared,himself,The father near the boy declared himself . <eos>,The father near the boy declared himself .
13,simple,local,no-c-command,0,a,head,number,boys,father,declared,himself,The boys near the father declared himself . <eos>,The boys near the father declared himself .
13,simple,local,no-c-command,0,b,head,number,fathers,boy,declared,himself,The fathers near the boy declared himself . <eos>,The fathers near the boy declared himself .
13,simple,local,c-command,1,a,distractor,number,boy,fathers,declared,himself,The boy near the fathers declared himself . <eos>,The boy near the fathers declared himself .
13,simple,local,c-command,1,b,distractor,number,father,boys,declared,himself,The father near the boys declared himself . <eos>,The father near the boys declared himself .
14,simple,local,c-command,1,a,none,none,boy,father,proved,himself,The boy near the father proved himself . <eos>,The boy near the father proved himself .
14,simple,local,c-command,1,b,none,none,father,boy,proved,himself,The father near the boy proved himself . <eos>,The father near the boy proved himself .
14,simple,local,no-c-command,0,a,head,number,boys,father,proved,himself,The boys near the father proved himself . <eos>,The boys near the father proved himself .
14,simple,local,no-c-command,0,b,head,number,fathers,boy,proved,himself,The fathers near the boy proved himself . <eos>,The fathers near the boy proved himself .
14,simple,local,c-command,1,a,distractor,number,boy,fathers,proved,himself,The boy near the fathers proved himself . <eos>,The boy near the fathers proved himself .
14,simple,local,c-command,1,b,distractor,number,father,boys,proved,himself,The father near the boys proved himself . <eos>,The father near the boys proved himself .
15,simple,local,c-command,1,a,none,none,boy,father,shot,himself,The boy near the father shot himself . <eos>,The boy near the father shot himself .
15,simple,local,c-command,1,b,none,none,father,boy,shot,himself,The father near the boy shot himself . <eos>,The father near the boy shot himself .
15,simple,local,no-c-command,0,a,head,number,boys,father,shot,himself,The boys near the father shot himself . <eos>,The boys near the father shot himself .
15,simple,local,no-c-command,0,b,head,number,fathers,boy,shot,himself,The fathers near the boy shot himself . <eos>,The fathers near the boy shot himself .
15,simple,local,c-command,1,a,distractor,number,boy,fathers,shot,himself,The boy near the fathers shot himself . <eos>,The boy near the fathers shot himself .
15,simple,local,c-command,1,b,distractor,number,father,boys,shot,himself,The father near the boys shot himself . <eos>,The father near the boys shot himself .
16,simple,local,c-command,1,a,none,none,boy,son,saw,himself,The boy near the son saw himself . <eos>,The boy near the son saw himself .
16,simple,local,c-command,1,b,none,none,son,boy,saw,himself,The son near the boy saw himself . <eos>,The son near the boy saw himself .
16,simple,local,no-c-command,0,a,head,number,boys,son,saw,himself,The boys near the son saw himself . <eos>,The boys near the son saw himself .
16,simple,local,no-c-command,0,b,head,number,sons,boy,saw,himself,The sons near the boy saw himself . <eos>,The sons near the boy saw himself .
16,simple,local,c-command,1,a,distractor,number,boy,sons,saw,himself,The boy near the sons saw himself . <eos>,The boy near the sons saw himself .
16,simple,local,c-command,1,b,distractor,number,son,boys,saw,himself,The son near the boys saw himself . <eos>,The son near the boys saw himself .
17,simple,local,c-command,1,a,none,none,boy,son,established,himself,The boy near the son established himself . <eos>,The boy near the son established himself .
17,simple,local,c-command,1,b,none,none,son,boy,established,himself,The son near the boy established himself . <eos>,The son near the boy established himself .
17,simple,local,no-c-command,0,a,head,number,boys,son,established,himself,The boys near the son established himself . <eos>,The boys near the son established himself .
17,simple,local,no-c-command,0,b,head,number,sons,boy,established,himself,The sons near the boy established himself . <eos>,The sons near the boy established himself .
17,simple,local,c-command,1,a,distractor,number,boy,sons,established,himself,The boy near the sons established himself . <eos>,The boy near the sons established himself .
17,simple,local,c-command,1,b,distractor,number,son,boys,established,himself,The son near the boys established himself . <eos>,The son near the boys established himself .
18,simple,local,c-command,1,a,none,none,boy,son,devoted,himself,The boy near the son devoted himself . <eos>,The boy near the son devoted himself .
18,simple,local,c-command,1,b,none,none,son,boy,devoted,himself,The son near the boy devoted himself . <eos>,The son near the boy devoted himself .
18,simple,local,no-c-command,0,a,head,number,boys,son,devoted,himself,The boys near the son devoted himself . <eos>,The boys near the son devoted himself .
18,simple,local,no-c-command,0,b,head,number,sons,boy,devoted,himself,The sons near the boy devoted himself . <eos>,The sons near the boy devoted himself .
18,simple,local,c-command,1,a,distractor,number,boy,sons,devoted,himself,The boy near the sons devoted himself . <eos>,The boy near the sons devoted himself .
18,simple,local,c-command,1,b,distractor,number,son,boys,devoted,himself,The son near the boys devoted himself . <eos>,The son near the boys devoted himself .
19,simple,local,c-command,1,a,none,none,boy,son,considered,himself,The boy near the son considered himself . <eos>,The boy near the son considered himself .
19,simple,local,c-command,1,b,none,none,son,boy,considered,himself,The son near the boy considered himself . <eos>,The son near the boy considered himself .
19,simple,local,no-c-command,0,a,head,number,boys,son,considered,himself,The boys near the son considered himself . <eos>,The boys near the son considered himself .
19,simple,local,no-c-command,0,b,head,number,sons,boy,considered,himself,The sons near the boy considered himself . <eos>,The sons near the boy considered himself .
19,simple,local,c-command,1,a,distractor,number,boy,sons,considered,himself,The boy near the sons considered himself . <eos>,The boy near the sons considered himself .
19,simple,local,c-command,1,b,distractor,number,son,boys,considered,himself,The son near the boys considered himself . <eos>,The son near the boys considered himself .
20,simple,local,c-command,1,a,none,none,boy,son,identified,himself,The boy near the son identified himself . <eos>,The boy near the son identified himself .
20,simple,local,c-command,1,b,none,none,son,boy,identified,himself,The son near the boy identified himself . <eos>,The son near the boy identified himself .
20,simple,local,no-c-command,0,a,head,number,boys,son,identified,himself,The boys near the son identified himself . <eos>,The boys near the son identified himself .
20,simple,local,no-c-command,0,b,head,number,sons,boy,identified,himself,The sons near the boy identified himself . <eos>,The sons near the boy identified himself .
20,simple,local,c-command,1,a,distractor,number,boy,sons,identified,himself,The boy near the sons identified himself . <eos>,The boy near the sons identified himself .
20,simple,local,c-command,1,b,distractor,number,son,boys,identified,himself,The son near the boys identified himself . <eos>,The son near the boys identified himself .
21,simple,local,c-command,1,a,none,none,boy,son,made,himself,The boy near the son made himself . <eos>,The boy near the son made himself .
21,simple,local,c-command,1,b,none,none,son,boy,made,himself,The son near the boy made himself . <eos>,The son near the boy made himself .
21,simple,local,no-c-command,0,a,head,number,boys,son,made,himself,The boys near the son made himself . <eos>,The boys near the son made himself .
21,simple,local,no-c-command,0,b,head,number,sons,boy,made,himself,The sons near the boy made himself . <eos>,The sons near the boy made himself .
21,simple,local,c-command,1,a,distractor,number,boy,sons,made,himself,The boy near the sons made himself . <eos>,The boy near the sons made himself .
21,simple,local,c-command,1,b,distractor,number,son,boys,made,himself,The son near the boys made himself . <eos>,The son near the boys made himself .
22,simple,local,c-command,1,a,none,none,boy,son,found,himself,The boy near the son found himself . <eos>,The boy near the son found himself .
22,simple,local,c-command,1,b,none,none,son,boy,found,himself,The son near the boy found himself . <eos>,The son near the boy found himself .
22,simple,local,no-c-command,0,a,head,number,boys,son,found,himself,The boys near the son found himself . <eos>,The boys near the son found himself .
22,simple,local,no-c-command,0,b,head,number,sons,boy,found,himself,The sons near the boy found himself . <eos>,The sons near the boy found himself .
22,simple,local,c-command,1,a,distractor,number,boy,sons,found,himself,The boy near the sons found himself . <eos>,The boy near the sons found himself .
22,simple,local,c-command,1,b,distractor,number,son,boys,found,himself,The son near the boys found himself . <eos>,The son near the boys found himself .
23,simple,local,c-command,1,a,none,none,boy,son,distinguished,himself,The boy near the son distinguished himself . <eos>,The boy near the son distinguished himself .
23,simple,local,c-command,1,b,none,none,son,boy,distinguished,himself,The son near the boy distinguished himself . <eos>,The son near the boy distinguished himself .
23,simple,local,no-c-command,0,a,head,number,boys,son,distinguished,himself,The boys near the son distinguished himself . <eos>,The boys near the son distinguished himself .
23,simple,local,no-c-command,0,b,head,number,sons,boy,distinguished,himself,The sons near the boy distinguished himself . <eos>,The sons near the boy distinguished himself .
23,simple,local,c-command,1,a,distractor,number,boy,sons,distinguished,himself,The boy near the sons distinguished himself . <eos>,The boy near the sons distinguished himself .
23,simple,local,c-command,1,b,distractor,number,son,boys,distinguished,himself,The son near the boys distinguished himself . <eos>,The son near the boys distinguished himself .
24,simple,local,c-command,1,a,none,none,boy,son,taught,himself,The boy near the son taught himself . <eos>,The boy near the son taught himself .
24,simple,local,c-command,1,b,none,none,son,boy,taught,himself,The son near the boy taught himself . <eos>,The son near the boy taught himself .
24,simple,local,no-c-command,0,a,head,number,boys,son,taught,himself,The boys near the son taught himself . <eos>,The boys near the son taught himself .
24,simple,local,no-c-command,0,b,head,number,sons,boy,taught,himself,The sons near the boy taught himself . <eos>,The sons near the boy taught himself .
24,simple,local,c-command,1,a,distractor,number,boy,sons,taught,himself,The boy near the sons taught himself . <eos>,The boy near the sons taught himself .
24,simple,local,c-command,1,b,distractor,number,son,boys,taught,himself,The son near the boys taught himself . <eos>,The son near the boys taught himself .
25,simple,local,c-command,1,a,none,none,boy,son,killed,himself,The boy near the son killed himself . <eos>,The boy near the son killed himself .
25,simple,local,c-command,1,b,none,none,son,boy,killed,himself,The son near the boy killed himself . <eos>,The son near the boy killed himself .
25,simple,local,no-c-command,0,a,head,number,boys,son,killed,himself,The boys near the son killed himself . <eos>,The boys near the son killed himself .
25,simple,local,no-c-command,0,b,head,number,sons,boy,killed,himself,The sons near the boy killed himself . <eos>,The sons near the boy killed himself .
25,simple,local,c-command,1,a,distractor,number,boy,sons,killed,himself,The boy near the sons killed himself . <eos>,The boy near the sons killed himself .
25,simple,local,c-command,1,b,distractor,number,son,boys,killed,himself,The son near the boys killed himself . <eos>,The son near the boys killed himself .
26,simple,local,c-command,1,a,none,none,boy,son,called,himself,The boy near the son called himself . <eos>,The boy near the son called himself .
26,simple,local,c-command,1,b,none,none,son,boy,called,himself,The son near the boy called himself . <eos>,The son near the boy called himself .
26,simple,local,no-c-command,0,a,head,number,boys,son,called,himself,The boys near the son called himself . <eos>,The boys near the son called himself .
26,simple,local,no-c-command,0,b,head,number,sons,boy,called,himself,The sons near the boy called himself . <eos>,The sons near the boy called himself .
26,simple,local,c-command,1,a,distractor,number,boy,sons,called,himself,The boy near the sons called himself . <eos>,The boy near the sons called himself .
26,simple,local,c-command,1,b,distractor,number,son,boys,called,himself,The son near the boys called himself . <eos>,The son near the boys called himself .
27,simple,local,c-command,1,a,none,none,boy,son,dedicated,himself,The boy near the son dedicated himself . <eos>,The boy near the son dedicated himself .
27,simple,local,c-command,1,b,none,none,son,boy,dedicated,himself,The son near the boy dedicated himself . <eos>,The son near the boy dedicated himself .
27,simple,local,no-c-command,0,a,head,number,boys,son,dedicated,himself,The boys near the son dedicated himself . <eos>,The boys near the son dedicated himself .
27,simple,local,no-c-command,0,b,head,number,sons,boy,dedicated,himself,The sons near the boy dedicated himself . <eos>,The sons near the boy dedicated himself .
27,simple,local,c-command,1,a,distractor,number,boy,sons,dedicated,himself,The boy near the sons dedicated himself . <eos>,The boy near the sons dedicated himself .
27,simple,local,c-command,1,b,distractor,number,son,boys,dedicated,himself,The son near the boys dedicated himself . <eos>,The son near the boys dedicated himself .
28,simple,local,c-command,1,a,none,none,boy,son,declared,himself,The boy near the son declared himself . <eos>,The boy near the son declared himself .
28,simple,local,c-command,1,b,none,none,son,boy,declared,himself,The son near the boy declared himself . <eos>,The son near the boy declared himself .
28,simple,local,no-c-command,0,a,head,number,boys,son,declared,himself,The boys near the son declared himself . <eos>,The boys near the son declared himself .
28,simple,local,no-c-command,0,b,head,number,sons,boy,declared,himself,The sons near the boy declared himself . <eos>,The sons near the boy declared himself .
28,simple,local,c-command,1,a,distractor,number,boy,sons,declared,himself,The boy near the sons declared himself . <eos>,The boy near the sons declared himself .
28,simple,local,c-command,1,b,distractor,number,son,boys,declared,himself,The son near the boys declared himself . <eos>,The son near the boys declared himself .
29,simple,local,c-command,1,a,none,none,boy,son,proved,himself,The boy near the son proved himself . <eos>,The boy near the son proved himself .
29,simple,local,c-command,1,b,none,none,son,boy,proved,himself,The son near the boy proved himself . <eos>,The son near the boy proved himself .
29,simple,local,no-c-command,0,a,head,number,boys,son,proved,himself,The boys near the son proved himself . <eos>,The boys near the son proved himself .
29,simple,local,no-c-command,0,b,head,number,sons,boy,proved,himself,The sons near the boy proved himself . <eos>,The sons near the boy proved himself .
29,simple,local,c-command,1,a,distractor,number,boy,sons,proved,himself,The boy near the sons proved himself . <eos>,The boy near the sons proved himself .
29,simple,local,c-command,1,b,distractor,number,son,boys,proved,himself,The son near the boys proved himself . <eos>,The son near the boys proved himself .
30,simple,local,c-command,1,a,none,none,boy,son,shot,himself,The boy near the son shot himself . <eos>,The boy near the son shot himself .
30,simple,local,c-command,1,b,none,none,son,boy,shot,himself,The son near the boy shot himself . <eos>,The son near the boy shot himself .
30,simple,local,no-c-command,0,a,head,number,boys,son,shot,himself,The boys near the son shot himself . <eos>,The boys near the son shot himself .
30,simple,local,no-c-command,0,b,head,number,sons,boy,shot,himself,The sons near the boy shot himself . <eos>,The sons near the boy shot himself .
30,simple,local,c-command,1,a,distractor,number,boy,sons,shot,himself,The boy near the sons shot himself . <eos>,The boy near the sons shot himself .
30,simple,local,c-command,1,b,distractor,number,son,boys,shot,himself,The son near the boys shot himself . <eos>,The son near the boys shot himself .
31,simple,local,c-command,1,a,none,none,boy,man,saw,himself,The boy near the man saw himself . <eos>,The boy near the man saw himself .
31,simple,local,c-command,1,b,none,none,man,boy,saw,himself,The man near the boy saw himself . <eos>,The man near the boy saw himself .
31,simple,local,no-c-command,0,a,head,number,boys,man,saw,himself,The boys near the man saw himself . <eos>,The boys near the man saw himself .
31,simple,local,no-c-command,0,b,head,number,men,boy,saw,himself,The men near the boy saw himself . <eos>,The men near the boy saw himself .
31,simple,local,c-command,1,a,distractor,number,boy,men,saw,himself,The boy near the men saw himself . <eos>,The boy near the men saw himself .
31,simple,local,c-command,1,b,distractor,number,man,boys,saw,himself,The man near the boys saw himself . <eos>,The man near the boys saw himself .
32,simple,local,c-command,1,a,none,none,boy,man,established,himself,The boy near the man established himself . <eos>,The boy near the man established himself .
32,simple,local,c-command,1,b,none,none,man,boy,established,himself,The man near the boy established himself . <eos>,The man near the boy established himself .
32,simple,local,no-c-command,0,a,head,number,boys,man,established,himself,The boys near the man established himself . <eos>,The boys near the man established himself .
32,simple,local,no-c-command,0,b,head,number,men,boy,established,himself,The men near the boy established himself . <eos>,The men near the boy established himself .
32,simple,local,c-command,1,a,distractor,number,boy,men,established,himself,The boy near the men established himself . <eos>,The boy near the men established himself .
32,simple,local,c-command,1,b,distractor,number,man,boys,established,himself,The man near the boys established himself . <eos>,The man near the boys established himself .
33,simple,local,c-command,1,a,none,none,boy,man,devoted,himself,The boy near the man devoted himself . <eos>,The boy near the man devoted himself .
33,simple,local,c-command,1,b,none,none,man,boy,devoted,himself,The man near the boy devoted himself . <eos>,The man near the boy devoted himself .
33,simple,local,no-c-command,0,a,head,number,boys,man,devoted,himself,The boys near the man devoted himself . <eos>,The boys near the man devoted himself .
33,simple,local,no-c-command,0,b,head,number,men,boy,devoted,himself,The men near the boy devoted himself . <eos>,The men near the boy devoted himself .
33,simple,local,c-command,1,a,distractor,number,boy,men,devoted,himself,The boy near the men devoted himself . <eos>,The boy near the men devoted himself .
33,simple,local,c-command,1,b,distractor,number,man,boys,devoted,himself,The man near the boys devoted himself . <eos>,The man near the boys devoted himself .
34,simple,local,c-command,1,a,none,none,boy,man,considered,himself,The boy near the man considered himself . <eos>,The boy near the man considered himself .
34,simple,local,c-command,1,b,none,none,man,boy,considered,himself,The man near the boy considered himself . <eos>,The man near the boy considered himself .
34,simple,local,no-c-command,0,a,head,number,boys,man,considered,himself,The boys near the man considered himself . <eos>,The boys near the man considered himself .
34,simple,local,no-c-command,0,b,head,number,men,boy,considered,himself,The men near the boy considered himself . <eos>,The men near the boy considered himself .
34,simple,local,c-command,1,a,distractor,number,boy,men,considered,himself,The boy near the men considered himself . <eos>,The boy near the men considered himself .
34,simple,local,c-command,1,b,distractor,number,man,boys,considered,himself,The man near the boys considered himself . <eos>,The man near the boys considered himself .
35,simple,local,c-command,1,a,none,none,boy,man,identified,himself,The boy near the man identified himself . <eos>,The boy near the man identified himself .
35,simple,local,c-command,1,b,none,none,man,boy,identified,himself,The man near the boy identified himself . <eos>,The man near the boy identified himself .
35,simple,local,no-c-command,0,a,head,number,boys,man,identified,himself,The boys near the man identified himself . <eos>,The boys near the man identified himself .
35,simple,local,no-c-command,0,b,head,number,men,boy,identified,himself,The men near the boy identified himself . <eos>,The men near the boy identified himself .
35,simple,local,c-command,1,a,distractor,number,boy,men,identified,himself,The boy near the men identified himself . <eos>,The boy near the men identified himself .
35,simple,local,c-command,1,b,distractor,number,man,boys,identified,himself,The man near the boys identified himself . <eos>,The man near the boys identified himself .
36,simple,local,c-command,1,a,none,none,boy,man,made,himself,The boy near the man made himself . <eos>,The boy near the man made himself .
36,simple,local,c-command,1,b,none,none,man,boy,made,himself,The man near the boy made himself . <eos>,The man near the boy made himself .
36,simple,local,no-c-command,0,a,head,number,boys,man,made,himself,The boys near the man made himself . <eos>,The boys near the man made himself .
36,simple,local,no-c-command,0,b,head,number,men,boy,made,himself,The men near the boy made himself . <eos>,The men near the boy made himself .
36,simple,local,c-command,1,a,distractor,number,boy,men,made,himself,The boy near the men made himself . <eos>,The boy near the men made himself .
36,simple,local,c-command,1,b,distractor,number,man,boys,made,himself,The man near the boys made himself . <eos>,The man near the boys made himself .
37,simple,local,c-command,1,a,none,none,boy,man,found,himself,The boy near the man found himself . <eos>,The boy near the man found himself .
37,simple,local,c-command,1,b,none,none,man,boy,found,himself,The man near the boy found himself . <eos>,The man near the boy found himself .
37,simple,local,no-c-command,0,a,head,number,boys,man,found,himself,The boys near the man found himself . <eos>,The boys near the man found himself .
37,simple,local,no-c-command,0,b,head,number,men,boy,found,himself,The men near the boy found himself . <eos>,The men near the boy found himself .
37,simple,local,c-command,1,a,distractor,number,boy,men,found,himself,The boy near the men found himself . <eos>,The boy near the men found himself .
37,simple,local,c-command,1,b,distractor,number,man,boys,found,himself,The man near the boys found himself . <eos>,The man near the boys found himself .
38,simple,local,c-command,1,a,none,none,boy,man,distinguished,himself,The boy near the man distinguished himself . <eos>,The boy near the man distinguished himself .
38,simple,local,c-command,1,b,none,none,man,boy,distinguished,himself,The man near the boy distinguished himself . <eos>,The man near the boy distinguished himself .
38,simple,local,no-c-command,0,a,head,number,boys,man,distinguished,himself,The boys near the man distinguished himself . <eos>,The boys near the man distinguished himself .
38,simple,local,no-c-command,0,b,head,number,men,boy,distinguished,himself,The men near the boy distinguished himself . <eos>,The men near the boy distinguished himself .
38,simple,local,c-command,1,a,distractor,number,boy,men,distinguished,himself,The boy near the men distinguished himself . <eos>,The boy near the men distinguished himself .
38,simple,local,c-command,1,b,distractor,number,man,boys,distinguished,himself,The man near the boys distinguished himself . <eos>,The man near the boys distinguished himself .
