item,RC_verb,clause_type,locality,grammatical,counterbalance,mismatch_position,mismatch_feature,nonlocal_subj,local_sub,verb,pronoun,sentence,sentence_no_eos
3,liked,embed,nonlocal,0,a,matrix_subj,number,mechanics,author,congratulated,herself,The mechanics that the author liked congratulated herself . <eos>,The mechanics that the author liked congratulated herself .
3,liked,embed,nonlocal,0,b,matrix_subj,number,authors,mechanic,congratulated,herself,The authors that the mechanic liked congratulated herself . <eos>,The authors that the mechanic liked congratulated herself .
3,liked,embed,nonlocal,0,c,matrix_subj,number,bankers,author,congratulated,herself,The bankers that the author liked congratulated herself . <eos>,The bankers that the author liked congratulated herself .
3,liked,embed,nonlocal,0,d,matrix_subj,number,authors,banker,congratulated,herself,The authors that the banker liked congratulated herself . <eos>,The authors that the banker liked congratulated herself .
3,liked,embed,local,1,a,rc_subj,number,mechanic,authors,congratulated,herself,The mechanic that the authors liked congratulated herself . <eos>,The mechanic that the authors liked congratulated herself .
3,liked,embed,local,1,b,rc_subj,number,author,mechanics,congratulated,herself,The author that the mechanics liked congratulated herself . <eos>,The author that the mechanics liked congratulated herself .
3,liked,embed,local,1,c,rc_subj,number,banker,authors,congratulated,herself,The banker that the authors liked congratulated herself . <eos>,The banker that the authors liked congratulated herself .
3,liked,embed,local,1,d,rc_subj,number,author,bankers,congratulated,herself,The author that the bankers liked congratulated herself . <eos>,The author that the bankers liked congratulated herself .
4,liked,embed,local,1,a,none,none,mechanic,author,embarrassed,herself,The mechanic that the author liked embarrassed herself . <eos>,The mechanic that the author liked embarrassed herself .
4,liked,embed,local,1,b,none,none,author,mechanic,embarrassed,herself,The author that the mechanic liked embarrassed herself . <eos>,The author that the mechanic liked embarrassed herself .
4,liked,embed,local,1,c,none,none,banker,author,embarrassed,herself,The banker that the author liked embarrassed herself . <eos>,The banker that the author liked embarrassed herself .
4,liked,embed,local,1,d,none,none,author,banker,embarrassed,herself,The author that the banker liked embarrassed herself . <eos>,The author that the banker liked embarrassed herself .
4,liked,embed,nonlocal,0,a,matrix_subj,number,mechanics,author,embarrassed,herself,The mechanics that the author liked embarrassed herself . <eos>,The mechanics that the author liked embarrassed herself .
4,liked,embed,nonlocal,0,b,matrix_subj,number,authors,mechanic,embarrassed,herself,The authors that the mechanic liked embarrassed herself . <eos>,The authors that the mechanic liked embarrassed herself .
4,liked,embed,nonlocal,0,c,matrix_subj,number,bankers,author,embarrassed,herself,The bankers that the author liked embarrassed herself . <eos>,The bankers that the author liked embarrassed herself .
4,liked,embed,nonlocal,0,d,matrix_subj,number,authors,banker,embarrassed,herself,The authors that the banker liked embarrassed herself . <eos>,The authors that the banker liked embarrassed herself .
4,liked,embed,local,1,a,rc_subj,number,mechanic,authors,embarrassed,herself,The mechanic that the authors liked embarrassed herself . <eos>,The mechanic that the authors liked embarrassed herself .
4,liked,embed,local,1,b,rc_subj,number,author,mechanics,embarrassed,herself,The author that the mechanics liked embarrassed herself . <eos>,The author that the mechanics liked embarrassed herself .
4,liked,embed,local,1,c,rc_subj,number,banker,authors,embarrassed,herself,The banker that the authors liked embarrassed herself . <eos>,The banker that the authors liked embarrassed herself .
4,liked,embed,local,1,d,rc_subj,number,author,bankers,embarrassed,herself,The author that the bankers liked embarrassed herself . <eos>,The author that the bankers liked embarrassed herself .
5,liked,embed,local,1,a,none,none,mechanic,author,disguised,herself,The mechanic that the author liked disguised herself . <eos>,The mechanic that the author liked disguised herself .
5,liked,embed,local,1,b,none,none,author,mechanic,disguised,herself,The author that the mechanic liked disguised herself . <eos>,The author that the mechanic liked disguised herself .
5,liked,embed,local,1,c,none,none,banker,author,disguised,herself,The banker that the author liked disguised herself . <eos>,The banker that the author liked disguised herself .
5,liked,embed,local,1,d,none,none,author,banker,disguised,herself,The author that the banker liked disguised herself . <eos>,The author that the banker liked disguised herself .
5,liked,embed,nonlocal,0,a,matrix_subj,number,mechanics,author,disguised,herself,The mechanics that the author liked disguised herself . <eos>,The mechanics that the author liked disguised herself .
5,liked,embed,nonlocal,0,b,matrix_subj,number,authors,mechanic,disguised,herself,The authors that the mechanic liked disguised herself . <eos>,The authors that the mechanic liked disguised herself .
5,liked,embed,nonlocal,0,c,matrix_subj,number,bankers,author,disguised,herself,The bankers that the author liked disguised herself . <eos>,The bankers that the author liked disguised herself .
5,liked,embed,nonlocal,0,d,matrix_subj,number,authors,banker,disguised,herself,The authors that the banker liked disguised herself . <eos>,The authors that the banker liked disguised herself .
5,liked,embed,local,1,a,rc_subj,number,mechanic,authors,disguised,herself,The mechanic that the authors liked disguised herself . <eos>,The mechanic that the authors liked disguised herself .
5,liked,embed,local,1,b,rc_subj,number,author,mechanics,disguised,herself,The author that the mechanics liked disguised herself . <eos>,The author that the mechanics liked disguised herself .
5,liked,embed,local,1,c,rc_subj,number,banker,authors,disguised,herself,The banker that the authors liked disguised herself . <eos>,The banker that the authors liked disguised herself .
5,liked,embed,local,1,d,rc_subj,number,author,bankers,disguised,herself,The author that the bankers liked disguised herself . <eos>,The author that the bankers liked disguised herself .
6,liked,embed,local,1,a,none,none,mechanic,author,hated,herself,The mechanic that the author liked hated herself . <eos>,The mechanic that the author liked hated herself .
6,liked,embed,local,1,b,none,none,author,mechanic,hated,herself,The author that the mechanic liked hated herself . <eos>,The author that the mechanic liked hated herself .
6,liked,embed,local,1,c,none,none,banker,author,hated,herself,The banker that the author liked hated herself . <eos>,The banker that the author liked hated herself .
6,liked,embed,local,1,d,none,none,author,banker,hated,herself,The author that the banker liked hated herself . <eos>,The author that the banker liked hated herself .
6,liked,embed,nonlocal,0,a,matrix_subj,number,mechanics,author,hated,herself,The mechanics that the author liked hated herself . <eos>,The mechanics that the author liked hated herself .
6,liked,embed,nonlocal,0,b,matrix_subj,number,authors,mechanic,hated,herself,The authors that the mechanic liked hated herself . <eos>,The authors that the mechanic liked hated herself .
6,liked,embed,nonlocal,0,c,matrix_subj,number,bankers,author,hated,herself,The bankers that the author liked hated herself . <eos>,The bankers that the author liked hated herself .
6,liked,embed,nonlocal,0,d,matrix_subj,number,authors,banker,hated,herself,The authors that the banker liked hated herself . <eos>,The authors that the banker liked hated herself .
6,liked,embed,local,1,a,rc_subj,number,mechanic,authors,hated,herself,The mechanic that the authors liked hated herself . <eos>,The mechanic that the authors liked hated herself .
6,liked,embed,local,1,b,rc_subj,number,author,mechanics,hated,herself,The author that the mechanics liked hated herself . <eos>,The author that the mechanics liked hated herself .
6,liked,embed,local,1,c,rc_subj,number,banker,authors,hated,herself,The banker that the authors liked hated herself . <eos>,The banker that the authors liked hated herself .
6,liked,embed,local,1,d,rc_subj,number,author,bankers,hated,herself,The author that the bankers liked hated herself . <eos>,The author that the bankers liked hated herself .
7,liked,embed,local,1,a,none,none,mechanic,author,doubted,herself,The mechanic that the author liked doubted herself . <eos>,The mechanic that the author liked doubted herself .
7,liked,embed,local,1,b,none,none,author,mechanic,doubted,herself,The author that the mechanic liked doubted herself . <eos>,The author that the mechanic liked doubted herself .
7,liked,embed,local,1,c,none,none,banker,author,doubted,herself,The banker that the author liked doubted herself . <eos>,The banker that the author liked doubted herself .
7,liked,embed,local,1,d,none,none,author,banker,doubted,herself,The author that the banker liked doubted herself . <eos>,The author that the banker liked doubted herself .
7,liked,embed,nonlocal,0,a,matrix_subj,number,mechanics,author,doubted,herself,The mechanics that the author liked doubted herself . <eos>,The mechanics that the author liked doubted herself .
7,liked,embed,nonlocal,0,b,matrix_subj,number,authors,mechanic,doubted,herself,The authors that the mechanic liked doubted herself . <eos>,The authors that the mechanic liked doubted herself .
7,liked,embed,nonlocal,0,c,matrix_subj,number,bankers,author,doubted,herself,The bankers that the author liked doubted herself . <eos>,The bankers that the author liked doubted herself .
7,liked,embed,nonlocal,0,d,matrix_subj,number,authors,banker,doubted,herself,The authors that the banker liked doubted herself . <eos>,The authors that the banker liked doubted herself .
7,liked,embed,local,1,a,rc_subj,number,mechanic,authors,doubted,herself,The mechanic that the authors liked doubted herself . <eos>,The mechanic that the authors liked doubted herself .
7,liked,embed,local,1,b,rc_subj,number,author,mechanics,doubted,herself,The author that the mechanics liked doubted herself . <eos>,The author that the mechanics liked doubted herself .
7,liked,embed,local,1,c,rc_subj,number,banker,authors,doubted,herself,The banker that the authors liked doubted herself . <eos>,The banker that the authors liked doubted herself .
7,liked,embed,local,1,d,rc_subj,number,author,bankers,doubted,herself,The author that the bankers liked doubted herself . <eos>,The author that the bankers liked doubted herself .
8,liked,embed,local,1,a,none,none,mechanic,pilot,hurt,herself,The mechanic that the pilot liked hurt herself . <eos>,The mechanic that the pilot liked hurt herself .
8,liked,embed,local,1,b,none,none,pilot,mechanic,hurt,herself,The pilot that the mechanic liked hurt herself . <eos>,The pilot that the mechanic liked hurt herself .
8,liked,embed,local,1,c,none,none,banker,pilot,hurt,herself,The banker that the pilot liked hurt herself . <eos>,The banker that the pilot liked hurt herself .
8,liked,embed,local,1,d,none,none,pilot,banker,hurt,herself,The pilot that the banker liked hurt herself . <eos>,The pilot that the banker liked hurt herself .
8,liked,embed,nonlocal,0,a,matrix_subj,number,mechanics,pilot,hurt,herself,The mechanics that the pilot liked hurt herself . <eos>,The mechanics that the pilot liked hurt herself .
8,liked,embed,nonlocal,0,b,matrix_subj,number,pilots,mechanic,hurt,herself,The pilots that the mechanic liked hurt herself . <eos>,The pilots that the mechanic liked hurt herself .
8,liked,embed,nonlocal,0,c,matrix_subj,number,bankers,pilot,hurt,herself,The bankers that the pilot liked hurt herself . <eos>,The bankers that the pilot liked hurt herself .
8,liked,embed,nonlocal,0,d,matrix_subj,number,pilots,banker,hurt,herself,The pilots that the banker liked hurt herself . <eos>,The pilots that the banker liked hurt herself .
8,liked,embed,local,1,a,rc_subj,number,mechanic,pilots,hurt,herself,The mechanic that the pilots liked hurt herself . <eos>,The mechanic that the pilots liked hurt herself .
8,liked,embed,local,1,b,rc_subj,number,pilot,mechanics,hurt,herself,The pilot that the mechanics liked hurt herself . <eos>,The pilot that the mechanics liked hurt herself .
8,liked,embed,local,1,c,rc_subj,number,banker,pilots,hurt,herself,The banker that the pilots liked hurt herself . <eos>,The banker that the pilots liked hurt herself .
8,liked,embed,local,1,d,rc_subj,number,pilot,bankers,hurt,herself,The pilot that the bankers liked hurt herself . <eos>,The pilot that the bankers liked hurt herself .
9,liked,embed,local,1,a,none,none,mechanic,pilot,injured,herself,The mechanic that the pilot liked injured herself . <eos>,The mechanic that the pilot liked injured herself .
9,liked,embed,local,1,b,none,none,pilot,mechanic,injured,herself,The pilot that the mechanic liked injured herself . <eos>,The pilot that the mechanic liked injured herself .
9,liked,embed,local,1,c,none,none,banker,pilot,injured,herself,The banker that the pilot liked injured herself . <eos>,The banker that the pilot liked injured herself .
9,liked,embed,local,1,d,none,none,pilot,banker,injured,herself,The pilot that the banker liked injured herself . <eos>,The pilot that the banker liked injured herself .
9,liked,embed,nonlocal,0,a,matrix_subj,number,mechanics,pilot,injured,herself,The mechanics that the pilot liked injured herself . <eos>,The mechanics that the pilot liked injured herself .
9,liked,embed,nonlocal,0,b,matrix_subj,number,pilots,mechanic,injured,herself,The pilots that the mechanic liked injured herself . <eos>,The pilots that the mechanic liked injured herself .
9,liked,embed,nonlocal,0,c,matrix_subj,number,bankers,pilot,injured,herself,The bankers that the pilot liked injured herself . <eos>,The bankers that the pilot liked injured herself .
9,liked,embed,nonlocal,0,d,matrix_subj,number,pilots,banker,injured,herself,The pilots that the banker liked injured herself . <eos>,The pilots that the banker liked injured herself .
9,liked,embed,local,1,a,rc_subj,number,mechanic,pilots,injured,herself,The mechanic that the pilots liked injured herself . <eos>,The mechanic that the pilots liked injured herself .
9,liked,embed,local,1,b,rc_subj,number,pilot,mechanics,injured,herself,The pilot that the mechanics liked injured herself . <eos>,The pilot that the mechanics liked injured herself .
9,liked,embed,local,1,c,rc_subj,number,banker,pilots,injured,herself,The banker that the pilots liked injured herself . <eos>,The banker that the pilots liked injured herself .
9,liked,embed,local,1,d,rc_subj,number,pilot,bankers,injured,herself,The pilot that the bankers liked injured herself . <eos>,The pilot that the bankers liked injured herself .
10,liked,embed,local,1,a,none,none,mechanic,pilot,congratulated,herself,The mechanic that the pilot liked congratulated herself . <eos>,The mechanic that the pilot liked congratulated herself .
10,liked,embed,local,1,b,none,none,pilot,mechanic,congratulated,herself,The pilot that the mechanic liked congratulated herself . <eos>,The pilot that the mechanic liked congratulated herself .
10,liked,embed,local,1,c,none,none,banker,pilot,congratulated,herself,The banker that the pilot liked congratulated herself . <eos>,The banker that the pilot liked congratulated herself .
10,liked,embed,local,1,d,none,none,pilot,banker,congratulated,herself,The pilot that the banker liked congratulated herself . <eos>,The pilot that the banker liked congratulated herself .
10,liked,embed,nonlocal,0,a,matrix_subj,number,mechanics,pilot,congratulated,herself,The mechanics that the pilot liked congratulated herself . <eos>,The mechanics that the pilot liked congratulated herself .
10,liked,embed,nonlocal,0,b,matrix_subj,number,pilots,mechanic,congratulated,herself,The pilots that the mechanic liked congratulated herself . <eos>,The pilots that the mechanic liked congratulated herself .
10,liked,embed,nonlocal,0,c,matrix_subj,number,bankers,pilot,congratulated,herself,The bankers that the pilot liked congratulated herself . <eos>,The bankers that the pilot liked congratulated herself .
10,liked,embed,nonlocal,0,d,matrix_subj,number,pilots,banker,congratulated,herself,The pilots that the banker liked congratulated herself . <eos>,The pilots that the banker liked congratulated herself .
10,liked,embed,local,1,a,rc_subj,number,mechanic,pilots,congratulated,herself,The mechanic that the pilots liked congratulated herself . <eos>,The mechanic that the pilots liked congratulated herself .
10,liked,embed,local,1,b,rc_subj,number,pilot,mechanics,congratulated,herself,The pilot that the mechanics liked congratulated herself . <eos>,The pilot that the mechanics liked congratulated herself .
10,liked,embed,local,1,c,rc_subj,number,banker,pilots,congratulated,herself,The banker that the pilots liked congratulated herself . <eos>,The banker that the pilots liked congratulated herself .
10,liked,embed,local,1,d,rc_subj,number,pilot,bankers,congratulated,herself,The pilot that the bankers liked congratulated herself . <eos>,The pilot that the bankers liked congratulated herself .
11,liked,embed,local,1,a,none,none,mechanic,pilot,embarrassed,herself,The mechanic that the pilot liked embarrassed herself . <eos>,The mechanic that the pilot liked embarrassed herself .
11,liked,embed,local,1,b,none,none,pilot,mechanic,embarrassed,herself,The pilot that the mechanic liked embarrassed herself . <eos>,The pilot that the mechanic liked embarrassed herself .
11,liked,embed,local,1,c,none,none,banker,pilot,embarrassed,herself,The banker that the pilot liked embarrassed herself . <eos>,The banker that the pilot liked embarrassed herself .
11,liked,embed,local,1,d,none,none,pilot,banker,embarrassed,herself,The pilot that the banker liked embarrassed herself . <eos>,The pilot that the banker liked embarrassed herself .
11,liked,embed,nonlocal,0,a,matrix_subj,number,mechanics,pilot,embarrassed,herself,The mechanics that the pilot liked embarrassed herself . <eos>,The mechanics that the pilot liked embarrassed herself .
11,liked,embed,nonlocal,0,b,matrix_subj,number,pilots,mechanic,embarrassed,herself,The pilots that the mechanic liked embarrassed herself . <eos>,The pilots that the mechanic liked embarrassed herself .
11,liked,embed,nonlocal,0,c,matrix_subj,number,bankers,pilot,embarrassed,herself,The bankers that the pilot liked embarrassed herself . <eos>,The bankers that the pilot liked embarrassed herself .
11,liked,embed,nonlocal,0,d,matrix_subj,number,pilots,banker,embarrassed,herself,The pilots that the banker liked embarrassed herself . <eos>,The pilots that the banker liked embarrassed herself .
11,liked,embed,local,1,a,rc_subj,number,mechanic,pilots,embarrassed,herself,The mechanic that the pilots liked embarrassed herself . <eos>,The mechanic that the pilots liked embarrassed herself .
11,liked,embed,local,1,b,rc_subj,number,pilot,mechanics,embarrassed,herself,The pilot that the mechanics liked embarrassed herself . <eos>,The pilot that the mechanics liked embarrassed herself .
11,liked,embed,local,1,c,rc_subj,number,banker,pilots,embarrassed,herself,The banker that the pilots liked embarrassed herself . <eos>,The banker that the pilots liked embarrassed herself .
11,liked,embed,local,1,d,rc_subj,number,pilot,bankers,embarrassed,herself,The pilot that the bankers liked embarrassed herself . <eos>,The pilot that the bankers liked embarrassed herself .
12,liked,embed,local,1,a,none,none,mechanic,pilot,disguised,herself,The mechanic that the pilot liked disguised herself . <eos>,The mechanic that the pilot liked disguised herself .
12,liked,embed,local,1,b,none,none,pilot,mechanic,disguised,herself,The pilot that the mechanic liked disguised herself . <eos>,The pilot that the mechanic liked disguised herself .
12,liked,embed,local,1,c,none,none,banker,pilot,disguised,herself,The banker that the pilot liked disguised herself . <eos>,The banker that the pilot liked disguised herself .
12,liked,embed,local,1,d,none,none,pilot,banker,disguised,herself,The pilot that the banker liked disguised herself . <eos>,The pilot that the banker liked disguised herself .
12,liked,embed,nonlocal,0,a,matrix_subj,number,mechanics,pilot,disguised,herself,The mechanics that the pilot liked disguised herself . <eos>,The mechanics that the pilot liked disguised herself .
12,liked,embed,nonlocal,0,b,matrix_subj,number,pilots,mechanic,disguised,herself,The pilots that the mechanic liked disguised herself . <eos>,The pilots that the mechanic liked disguised herself .
12,liked,embed,nonlocal,0,c,matrix_subj,number,bankers,pilot,disguised,herself,The bankers that the pilot liked disguised herself . <eos>,The bankers that the pilot liked disguised herself .
12,liked,embed,nonlocal,0,d,matrix_subj,number,pilots,banker,disguised,herself,The pilots that the banker liked disguised herself . <eos>,The pilots that the banker liked disguised herself .
12,liked,embed,local,1,a,rc_subj,number,mechanic,pilots,disguised,herself,The mechanic that the pilots liked disguised herself . <eos>,The mechanic that the pilots liked disguised herself .
12,liked,embed,local,1,b,rc_subj,number,pilot,mechanics,disguised,herself,The pilot that the mechanics liked disguised herself . <eos>,The pilot that the mechanics liked disguised herself .
12,liked,embed,local,1,c,rc_subj,number,banker,pilots,disguised,herself,The banker that the pilots liked disguised herself . <eos>,The banker that the pilots liked disguised herself .
12,liked,embed,local,1,d,rc_subj,number,pilot,bankers,disguised,herself,The pilot that the bankers liked disguised herself . <eos>,The pilot that the bankers liked disguised herself .
13,liked,embed,local,1,a,none,none,mechanic,pilot,hated,herself,The mechanic that the pilot liked hated herself . <eos>,The mechanic that the pilot liked hated herself .
13,liked,embed,local,1,b,none,none,pilot,mechanic,hated,herself,The pilot that the mechanic liked hated herself . <eos>,The pilot that the mechanic liked hated herself .
13,liked,embed,local,1,c,none,none,banker,pilot,hated,herself,The banker that the pilot liked hated herself . <eos>,The banker that the pilot liked hated herself .
13,liked,embed,local,1,d,none,none,pilot,banker,hated,herself,The pilot that the banker liked hated herself . <eos>,The pilot that the banker liked hated herself .
13,liked,embed,nonlocal,0,a,matrix_subj,number,mechanics,pilot,hated,herself,The mechanics that the pilot liked hated herself . <eos>,The mechanics that the pilot liked hated herself .
13,liked,embed,nonlocal,0,b,matrix_subj,number,pilots,mechanic,hated,herself,The pilots that the mechanic liked hated herself . <eos>,The pilots that the mechanic liked hated herself .
13,liked,embed,nonlocal,0,c,matrix_subj,number,bankers,pilot,hated,herself,The bankers that the pilot liked hated herself . <eos>,The bankers that the pilot liked hated herself .
13,liked,embed,nonlocal,0,d,matrix_subj,number,pilots,banker,hated,herself,The pilots that the banker liked hated herself . <eos>,The pilots that the banker liked hated herself .
13,liked,embed,local,1,a,rc_subj,number,mechanic,pilots,hated,herself,The mechanic that the pilots liked hated herself . <eos>,The mechanic that the pilots liked hated herself .
13,liked,embed,local,1,b,rc_subj,number,pilot,mechanics,hated,herself,The pilot that the mechanics liked hated herself . <eos>,The pilot that the mechanics liked hated herself .
13,liked,embed,local,1,c,rc_subj,number,banker,pilots,hated,herself,The banker that the pilots liked hated herself . <eos>,The banker that the pilots liked hated herself .
13,liked,embed,local,1,d,rc_subj,number,pilot,bankers,hated,herself,The pilot that the bankers liked hated herself . <eos>,The pilot that the bankers liked hated herself .
14,liked,embed,local,1,a,none,none,mechanic,pilot,doubted,herself,The mechanic that the pilot liked doubted herself . <eos>,The mechanic that the pilot liked doubted herself .
14,liked,embed,local,1,b,none,none,pilot,mechanic,doubted,herself,The pilot that the mechanic liked doubted herself . <eos>,The pilot that the mechanic liked doubted herself .
14,liked,embed,local,1,c,none,none,banker,pilot,doubted,herself,The banker that the pilot liked doubted herself . <eos>,The banker that the pilot liked doubted herself .
14,liked,embed,local,1,d,none,none,pilot,banker,doubted,herself,The pilot that the banker liked doubted herself . <eos>,The pilot that the banker liked doubted herself .
14,liked,embed,nonlocal,0,a,matrix_subj,number,mechanics,pilot,doubted,herself,The mechanics that the pilot liked doubted herself . <eos>,The mechanics that the pilot liked doubted herself .
14,liked,embed,nonlocal,0,b,matrix_subj,number,pilots,mechanic,doubted,herself,The pilots that the mechanic liked doubted herself . <eos>,The pilots that the mechanic liked doubted herself .
14,liked,embed,nonlocal,0,c,matrix_subj,number,bankers,pilot,doubted,herself,The bankers that the pilot liked doubted herself . <eos>,The bankers that the pilot liked doubted herself .
14,liked,embed,nonlocal,0,d,matrix_subj,number,pilots,banker,doubted,herself,The pilots that the banker liked doubted herself . <eos>,The pilots that the banker liked doubted herself .
14,liked,embed,local,1,a,rc_subj,number,mechanic,pilots,doubted,herself,The mechanic that the pilots liked doubted herself . <eos>,The mechanic that the pilots liked doubted herself .
14,liked,embed,local,1,b,rc_subj,number,pilot,mechanics,doubted,herself,The pilot that the mechanics liked doubted herself . <eos>,The pilot that the mechanics liked doubted herself .
14,liked,embed,local,1,c,rc_subj,number,banker,pilots,doubted,herself,The banker that the pilots liked doubted herself . <eos>,The banker that the pilots liked doubted herself .
14,liked,embed,local,1,d,rc_subj,number,pilot,bankers,doubted,herself,The pilot that the bankers liked doubted herself . <eos>,The pilot that the bankers liked doubted herself .
15,liked,embed,local,1,a,none,none,mechanic,surgeon,hurt,herself,The mechanic that the surgeon liked hurt herself . <eos>,The mechanic that the surgeon liked hurt herself .
15,liked,embed,local,1,b,none,none,surgeon,mechanic,hurt,herself,The surgeon that the mechanic liked hurt herself . <eos>,The surgeon that the mechanic liked hurt herself .
15,liked,embed,local,1,c,none,none,banker,surgeon,hurt,herself,The banker that the surgeon liked hurt herself . <eos>,The banker that the surgeon liked hurt herself .
15,liked,embed,local,1,d,none,none,surgeon,banker,hurt,herself,The surgeon that the banker liked hurt herself . <eos>,The surgeon that the banker liked hurt herself .
15,liked,embed,nonlocal,0,a,matrix_subj,number,mechanics,surgeon,hurt,herself,The mechanics that the surgeon liked hurt herself . <eos>,The mechanics that the surgeon liked hurt herself .
15,liked,embed,nonlocal,0,b,matrix_subj,number,surgeons,mechanic,hurt,herself,The surgeons that the mechanic liked hurt herself . <eos>,The surgeons that the mechanic liked hurt herself .
15,liked,embed,nonlocal,0,c,matrix_subj,number,bankers,surgeon,hurt,herself,The bankers that the surgeon liked hurt herself . <eos>,The bankers that the surgeon liked hurt herself .
15,liked,embed,nonlocal,0,d,matrix_subj,number,surgeons,banker,hurt,herself,The surgeons that the banker liked hurt herself . <eos>,The surgeons that the banker liked hurt herself .
15,liked,embed,local,1,a,rc_subj,number,mechanic,surgeons,hurt,herself,The mechanic that the surgeons liked hurt herself . <eos>,The mechanic that the surgeons liked hurt herself .
15,liked,embed,local,1,b,rc_subj,number,surgeon,mechanics,hurt,herself,The surgeon that the mechanics liked hurt herself . <eos>,The surgeon that the mechanics liked hurt herself .
15,liked,embed,local,1,c,rc_subj,number,banker,surgeons,hurt,herself,The banker that the surgeons liked hurt herself . <eos>,The banker that the surgeons liked hurt herself .
15,liked,embed,local,1,d,rc_subj,number,surgeon,bankers,hurt,herself,The surgeon that the bankers liked hurt herself . <eos>,The surgeon that the bankers liked hurt herself .
16,liked,embed,local,1,a,none,none,mechanic,surgeon,injured,herself,The mechanic that the surgeon liked injured herself . <eos>,The mechanic that the surgeon liked injured herself .
