item,clause_type,locality,grammatical,counterbalance,mismatch_position,mismatch_feature,nonlocal_subj,local_sub,verb,pronoun,sentence,sentence_no_eos
2,embed,nonlocal,0,c,local_subj,number,banker,authors,injured,himself,The banker said that the authors injured himself . <eos>,The banker said that the authors injured himself .
2,embed,nonlocal,0,d,local_subj,number,author,bankers,injured,himself,The author said that the bankers injured himself . <eos>,The author said that the bankers injured himself .
3,embed,local,1,a,none,none,mechanic,author,congratulated,himself,The mechanic said that the author congratulated himself . <eos>,The mechanic said that the author congratulated himself .
3,embed,local,1,b,none,none,author,mechanic,congratulated,himself,The author said that the mechanic congratulated himself . <eos>,The author said that the mechanic congratulated himself .
3,embed,local,1,c,none,none,banker,author,congratulated,himself,The banker said that the author congratulated himself . <eos>,The banker said that the author congratulated himself .
3,embed,local,1,d,none,none,author,banker,congratulated,himself,The author said that the banker congratulated himself . <eos>,The author said that the banker congratulated himself .
3,embed,local,1,a,nonlocal_subj,number,mechanics,author,congratulated,himself,The mechanics said that the author congratulated himself . <eos>,The mechanics said that the author congratulated himself .
3,embed,local,1,b,nonlocal_subj,number,authors,mechanic,congratulated,himself,The authors said that the mechanic congratulated himself . <eos>,The authors said that the mechanic congratulated himself .
3,embed,local,1,c,nonlocal_subj,number,bankers,author,congratulated,himself,The bankers said that the author congratulated himself . <eos>,The bankers said that the author congratulated himself .
3,embed,local,1,d,nonlocal_subj,number,authors,banker,congratulated,himself,The authors said that the banker congratulated himself . <eos>,The authors said that the banker congratulated himself .
3,embed,nonlocal,0,a,local_subj,number,mechanic,authors,congratulated,himself,The mechanic said that the authors congratulated himself . <eos>,The mechanic said that the authors congratulated himself .
3,embed,nonlocal,0,b,local_subj,number,author,mechanics,congratulated,himself,The author said that the mechanics congratulated himself . <eos>,The author said that the mechanics congratulated himself .
3,embed,nonlocal,0,c,local_subj,number,banker,authors,congratulated,himself,The banker said that the authors congratulated himself . <eos>,The banker said that the authors congratulated himself .
3,embed,nonlocal,0,d,local_subj,number,author,bankers,congratulated,himself,The author said that the bankers congratulated himself . <eos>,The author said that the bankers congratulated himself .
4,embed,local,1,a,none,none,mechanic,author,embarrassed,himself,The mechanic said that the author embarrassed himself . <eos>,The mechanic said that the author embarrassed himself .
4,embed,local,1,b,none,none,author,mechanic,embarrassed,himself,The author said that the mechanic embarrassed himself . <eos>,The author said that the mechanic embarrassed himself .
4,embed,local,1,c,none,none,banker,author,embarrassed,himself,The banker said that the author embarrassed himself . <eos>,The banker said that the author embarrassed himself .
4,embed,local,1,d,none,none,author,banker,embarrassed,himself,The author said that the banker embarrassed himself . <eos>,The author said that the banker embarrassed himself .
4,embed,local,1,a,nonlocal_subj,number,mechanics,author,embarrassed,himself,The mechanics said that the author embarrassed himself . <eos>,The mechanics said that the author embarrassed himself .
4,embed,local,1,b,nonlocal_subj,number,authors,mechanic,embarrassed,himself,The authors said that the mechanic embarrassed himself . <eos>,The authors said that the mechanic embarrassed himself .
4,embed,local,1,c,nonlocal_subj,number,bankers,author,embarrassed,himself,The bankers said that the author embarrassed himself . <eos>,The bankers said that the author embarrassed himself .
4,embed,local,1,d,nonlocal_subj,number,authors,banker,embarrassed,himself,The authors said that the banker embarrassed himself . <eos>,The authors said that the banker embarrassed himself .
4,embed,nonlocal,0,a,local_subj,number,mechanic,authors,embarrassed,himself,The mechanic said that the authors embarrassed himself . <eos>,The mechanic said that the authors embarrassed himself .
4,embed,nonlocal,0,b,local_subj,number,author,mechanics,embarrassed,himself,The author said that the mechanics embarrassed himself . <eos>,The author said that the mechanics embarrassed himself .
4,embed,nonlocal,0,c,local_subj,number,banker,authors,embarrassed,himself,The banker said that the authors embarrassed himself . <eos>,The banker said that the authors embarrassed himself .
4,embed,nonlocal,0,d,local_subj,number,author,bankers,embarrassed,himself,The author said that the bankers embarrassed himself . <eos>,The author said that the bankers embarrassed himself .
5,embed,local,1,a,none,none,mechanic,author,disguised,himself,The mechanic said that the author disguised himself . <eos>,The mechanic said that the author disguised himself .
5,embed,local,1,b,none,none,author,mechanic,disguised,himself,The author said that the mechanic disguised himself . <eos>,The author said that the mechanic disguised himself .
5,embed,local,1,c,none,none,banker,author,disguised,himself,The banker said that the author disguised himself . <eos>,The banker said that the author disguised himself .
5,embed,local,1,d,none,none,author,banker,disguised,himself,The author said that the banker disguised himself . <eos>,The author said that the banker disguised himself .
5,embed,local,1,a,nonlocal_subj,number,mechanics,author,disguised,himself,The mechanics said that the author disguised himself . <eos>,The mechanics said that the author disguised himself .
5,embed,local,1,b,nonlocal_subj,number,authors,mechanic,disguised,himself,The authors said that the mechanic disguised himself . <eos>,The authors said that the mechanic disguised himself .
5,embed,local,1,c,nonlocal_subj,number,bankers,author,disguised,himself,The bankers said that the author disguised himself . <eos>,The bankers said that the author disguised himself .
5,embed,local,1,d,nonlocal_subj,number,authors,banker,disguised,himself,The authors said that the banker disguised himself . <eos>,The authors said that the banker disguised himself .
5,embed,nonlocal,0,a,local_subj,number,mechanic,authors,disguised,himself,The mechanic said that the authors disguised himself . <eos>,The mechanic said that the authors disguised himself .
5,embed,nonlocal,0,b,local_subj,number,author,mechanics,disguised,himself,The author said that the mechanics disguised himself . <eos>,The author said that the mechanics disguised himself .
5,embed,nonlocal,0,c,local_subj,number,banker,authors,disguised,himself,The banker said that the authors disguised himself . <eos>,The banker said that the authors disguised himself .
5,embed,nonlocal,0,d,local_subj,number,author,bankers,disguised,himself,The author said that the bankers disguised himself . <eos>,The author said that the bankers disguised himself .
6,embed,local,1,a,none,none,mechanic,author,hated,himself,The mechanic said that the author hated himself . <eos>,The mechanic said that the author hated himself .
6,embed,local,1,b,none,none,author,mechanic,hated,himself,The author said that the mechanic hated himself . <eos>,The author said that the mechanic hated himself .
6,embed,local,1,c,none,none,banker,author,hated,himself,The banker said that the author hated himself . <eos>,The banker said that the author hated himself .
6,embed,local,1,d,none,none,author,banker,hated,himself,The author said that the banker hated himself . <eos>,The author said that the banker hated himself .
6,embed,local,1,a,nonlocal_subj,number,mechanics,author,hated,himself,The mechanics said that the author hated himself . <eos>,The mechanics said that the author hated himself .
6,embed,local,1,b,nonlocal_subj,number,authors,mechanic,hated,himself,The authors said that the mechanic hated himself . <eos>,The authors said that the mechanic hated himself .
6,embed,local,1,c,nonlocal_subj,number,bankers,author,hated,himself,The bankers said that the author hated himself . <eos>,The bankers said that the author hated himself .
6,embed,local,1,d,nonlocal_subj,number,authors,banker,hated,himself,The authors said that the banker hated himself . <eos>,The authors said that the banker hated himself .
6,embed,nonlocal,0,a,local_subj,number,mechanic,authors,hated,himself,The mechanic said that the authors hated himself . <eos>,The mechanic said that the authors hated himself .
6,embed,nonlocal,0,b,local_subj,number,author,mechanics,hated,himself,The author said that the mechanics hated himself . <eos>,The author said that the mechanics hated himself .
6,embed,nonlocal,0,c,local_subj,number,banker,authors,hated,himself,The banker said that the authors hated himself . <eos>,The banker said that the authors hated himself .
6,embed,nonlocal,0,d,local_subj,number,author,bankers,hated,himself,The author said that the bankers hated himself . <eos>,The author said that the bankers hated himself .
7,embed,local,1,a,none,none,mechanic,author,doubted,himself,The mechanic said that the author doubted himself . <eos>,The mechanic said that the author doubted himself .
7,embed,local,1,b,none,none,author,mechanic,doubted,himself,The author said that the mechanic doubted himself . <eos>,The author said that the mechanic doubted himself .
7,embed,local,1,c,none,none,banker,author,doubted,himself,The banker said that the author doubted himself . <eos>,The banker said that the author doubted himself .
7,embed,local,1,d,none,none,author,banker,doubted,himself,The author said that the banker doubted himself . <eos>,The author said that the banker doubted himself .
7,embed,local,1,a,nonlocal_subj,number,mechanics,author,doubted,himself,The mechanics said that the author doubted himself . <eos>,The mechanics said that the author doubted himself .
7,embed,local,1,b,nonlocal_subj,number,authors,mechanic,doubted,himself,The authors said that the mechanic doubted himself . <eos>,The authors said that the mechanic doubted himself .
7,embed,local,1,c,nonlocal_subj,number,bankers,author,doubted,himself,The bankers said that the author doubted himself . <eos>,The bankers said that the author doubted himself .
7,embed,local,1,d,nonlocal_subj,number,authors,banker,doubted,himself,The authors said that the banker doubted himself . <eos>,The authors said that the banker doubted himself .
7,embed,nonlocal,0,a,local_subj,number,mechanic,authors,doubted,himself,The mechanic said that the authors doubted himself . <eos>,The mechanic said that the authors doubted himself .
7,embed,nonlocal,0,b,local_subj,number,author,mechanics,doubted,himself,The author said that the mechanics doubted himself . <eos>,The author said that the mechanics doubted himself .
7,embed,nonlocal,0,c,local_subj,number,banker,authors,doubted,himself,The banker said that the authors doubted himself . <eos>,The banker said that the authors doubted himself .
7,embed,nonlocal,0,d,local_subj,number,author,bankers,doubted,himself,The author said that the bankers doubted himself . <eos>,The author said that the bankers doubted himself .
8,embed,local,1,a,none,none,mechanic,pilot,hurt,himself,The mechanic said that the pilot hurt himself . <eos>,The mechanic said that the pilot hurt himself .
8,embed,local,1,b,none,none,pilot,mechanic,hurt,himself,The pilot said that the mechanic hurt himself . <eos>,The pilot said that the mechanic hurt himself .
8,embed,local,1,c,none,none,banker,pilot,hurt,himself,The banker said that the pilot hurt himself . <eos>,The banker said that the pilot hurt himself .
8,embed,local,1,d,none,none,pilot,banker,hurt,himself,The pilot said that the banker hurt himself . <eos>,The pilot said that the banker hurt himself .
8,embed,local,1,a,nonlocal_subj,number,mechanics,pilot,hurt,himself,The mechanics said that the pilot hurt himself . <eos>,The mechanics said that the pilot hurt himself .
8,embed,local,1,b,nonlocal_subj,number,pilots,mechanic,hurt,himself,The pilots said that the mechanic hurt himself . <eos>,The pilots said that the mechanic hurt himself .
8,embed,local,1,c,nonlocal_subj,number,bankers,pilot,hurt,himself,The bankers said that the pilot hurt himself . <eos>,The bankers said that the pilot hurt himself .
8,embed,local,1,d,nonlocal_subj,number,pilots,banker,hurt,himself,The pilots said that the banker hurt himself . <eos>,The pilots said that the banker hurt himself .
8,embed,nonlocal,0,a,local_subj,number,mechanic,pilots,hurt,himself,The mechanic said that the pilots hurt himself . <eos>,The mechanic said that the pilots hurt himself .
8,embed,nonlocal,0,b,local_subj,number,pilot,mechanics,hurt,himself,The pilot said that the mechanics hurt himself . <eos>,The pilot said that the mechanics hurt himself .
8,embed,nonlocal,0,c,local_subj,number,banker,pilots,hurt,himself,The banker said that the pilots hurt himself . <eos>,The banker said that the pilots hurt himself .
8,embed,nonlocal,0,d,local_subj,number,pilot,bankers,hurt,himself,The pilot said that the bankers hurt himself . <eos>,The pilot said that the bankers hurt himself .
9,embed,local,1,a,none,none,mechanic,pilot,injured,himself,The mechanic said that the pilot injured himself . <eos>,The mechanic said that the pilot injured himself .
9,embed,local,1,b,none,none,pilot,mechanic,injured,himself,The pilot said that the mechanic injured himself . <eos>,The pilot said that the mechanic injured himself .
9,embed,local,1,c,none,none,banker,pilot,injured,himself,The banker said that the pilot injured himself . <eos>,The banker said that the pilot injured himself .
9,embed,local,1,d,none,none,pilot,banker,injured,himself,The pilot said that the banker injured himself . <eos>,The pilot said that the banker injured himself .
9,embed,local,1,a,nonlocal_subj,number,mechanics,pilot,injured,himself,The mechanics said that the pilot injured himself . <eos>,The mechanics said that the pilot injured himself .
9,embed,local,1,b,nonlocal_subj,number,pilots,mechanic,injured,himself,The pilots said that the mechanic injured himself . <eos>,The pilots said that the mechanic injured himself .
9,embed,local,1,c,nonlocal_subj,number,bankers,pilot,injured,himself,The bankers said that the pilot injured himself . <eos>,The bankers said that the pilot injured himself .
9,embed,local,1,d,nonlocal_subj,number,pilots,banker,injured,himself,The pilots said that the banker injured himself . <eos>,The pilots said that the banker injured himself .
9,embed,nonlocal,0,a,local_subj,number,mechanic,pilots,injured,himself,The mechanic said that the pilots injured himself . <eos>,The mechanic said that the pilots injured himself .
9,embed,nonlocal,0,b,local_subj,number,pilot,mechanics,injured,himself,The pilot said that the mechanics injured himself . <eos>,The pilot said that the mechanics injured himself .
9,embed,nonlocal,0,c,local_subj,number,banker,pilots,injured,himself,The banker said that the pilots injured himself . <eos>,The banker said that the pilots injured himself .
9,embed,nonlocal,0,d,local_subj,number,pilot,bankers,injured,himself,The pilot said that the bankers injured himself . <eos>,The pilot said that the bankers injured himself .
10,embed,local,1,a,none,none,mechanic,pilot,congratulated,himself,The mechanic said that the pilot congratulated himself . <eos>,The mechanic said that the pilot congratulated himself .
10,embed,local,1,b,none,none,pilot,mechanic,congratulated,himself,The pilot said that the mechanic congratulated himself . <eos>,The pilot said that the mechanic congratulated himself .
10,embed,local,1,c,none,none,banker,pilot,congratulated,himself,The banker said that the pilot congratulated himself . <eos>,The banker said that the pilot congratulated himself .
10,embed,local,1,d,none,none,pilot,banker,congratulated,himself,The pilot said that the banker congratulated himself . <eos>,The pilot said that the banker congratulated himself .
10,embed,local,1,a,nonlocal_subj,number,mechanics,pilot,congratulated,himself,The mechanics said that the pilot congratulated himself . <eos>,The mechanics said that the pilot congratulated himself .
10,embed,local,1,b,nonlocal_subj,number,pilots,mechanic,congratulated,himself,The pilots said that the mechanic congratulated himself . <eos>,The pilots said that the mechanic congratulated himself .
10,embed,local,1,c,nonlocal_subj,number,bankers,pilot,congratulated,himself,The bankers said that the pilot congratulated himself . <eos>,The bankers said that the pilot congratulated himself .
10,embed,local,1,d,nonlocal_subj,number,pilots,banker,congratulated,himself,The pilots said that the banker congratulated himself . <eos>,The pilots said that the banker congratulated himself .
10,embed,nonlocal,0,a,local_subj,number,mechanic,pilots,congratulated,himself,The mechanic said that the pilots congratulated himself . <eos>,The mechanic said that the pilots congratulated himself .
10,embed,nonlocal,0,b,local_subj,number,pilot,mechanics,congratulated,himself,The pilot said that the mechanics congratulated himself . <eos>,The pilot said that the mechanics congratulated himself .
10,embed,nonlocal,0,c,local_subj,number,banker,pilots,congratulated,himself,The banker said that the pilots congratulated himself . <eos>,The banker said that the pilots congratulated himself .
10,embed,nonlocal,0,d,local_subj,number,pilot,bankers,congratulated,himself,The pilot said that the bankers congratulated himself . <eos>,The pilot said that the bankers congratulated himself .
11,embed,local,1,a,none,none,mechanic,pilot,embarrassed,himself,The mechanic said that the pilot embarrassed himself . <eos>,The mechanic said that the pilot embarrassed himself .
11,embed,local,1,b,none,none,pilot,mechanic,embarrassed,himself,The pilot said that the mechanic embarrassed himself . <eos>,The pilot said that the mechanic embarrassed himself .
11,embed,local,1,c,none,none,banker,pilot,embarrassed,himself,The banker said that the pilot embarrassed himself . <eos>,The banker said that the pilot embarrassed himself .
11,embed,local,1,d,none,none,pilot,banker,embarrassed,himself,The pilot said that the banker embarrassed himself . <eos>,The pilot said that the banker embarrassed himself .
11,embed,local,1,a,nonlocal_subj,number,mechanics,pilot,embarrassed,himself,The mechanics said that the pilot embarrassed himself . <eos>,The mechanics said that the pilot embarrassed himself .
11,embed,local,1,b,nonlocal_subj,number,pilots,mechanic,embarrassed,himself,The pilots said that the mechanic embarrassed himself . <eos>,The pilots said that the mechanic embarrassed himself .
11,embed,local,1,c,nonlocal_subj,number,bankers,pilot,embarrassed,himself,The bankers said that the pilot embarrassed himself . <eos>,The bankers said that the pilot embarrassed himself .
11,embed,local,1,d,nonlocal_subj,number,pilots,banker,embarrassed,himself,The pilots said that the banker embarrassed himself . <eos>,The pilots said that the banker embarrassed himself .
11,embed,nonlocal,0,a,local_subj,number,mechanic,pilots,embarrassed,himself,The mechanic said that the pilots embarrassed himself . <eos>,The mechanic said that the pilots embarrassed himself .
11,embed,nonlocal,0,b,local_subj,number,pilot,mechanics,embarrassed,himself,The pilot said that the mechanics embarrassed himself . <eos>,The pilot said that the mechanics embarrassed himself .
11,embed,nonlocal,0,c,local_subj,number,banker,pilots,embarrassed,himself,The banker said that the pilots embarrassed himself . <eos>,The banker said that the pilots embarrassed himself .
11,embed,nonlocal,0,d,local_subj,number,pilot,bankers,embarrassed,himself,The pilot said that the bankers embarrassed himself . <eos>,The pilot said that the bankers embarrassed himself .
12,embed,local,1,a,none,none,mechanic,pilot,disguised,himself,The mechanic said that the pilot disguised himself . <eos>,The mechanic said that the pilot disguised himself .
12,embed,local,1,b,none,none,pilot,mechanic,disguised,himself,The pilot said that the mechanic disguised himself . <eos>,The pilot said that the mechanic disguised himself .
12,embed,local,1,c,none,none,banker,pilot,disguised,himself,The banker said that the pilot disguised himself . <eos>,The banker said that the pilot disguised himself .
12,embed,local,1,d,none,none,pilot,banker,disguised,himself,The pilot said that the banker disguised himself . <eos>,The pilot said that the banker disguised himself .
12,embed,local,1,a,nonlocal_subj,number,mechanics,pilot,disguised,himself,The mechanics said that the pilot disguised himself . <eos>,The mechanics said that the pilot disguised himself .
12,embed,local,1,b,nonlocal_subj,number,pilots,mechanic,disguised,himself,The pilots said that the mechanic disguised himself . <eos>,The pilots said that the mechanic disguised himself .
12,embed,local,1,c,nonlocal_subj,number,bankers,pilot,disguised,himself,The bankers said that the pilot disguised himself . <eos>,The bankers said that the pilot disguised himself .
12,embed,local,1,d,nonlocal_subj,number,pilots,banker,disguised,himself,The pilots said that the banker disguised himself . <eos>,The pilots said that the banker disguised himself .
12,embed,nonlocal,0,a,local_subj,number,mechanic,pilots,disguised,himself,The mechanic said that the pilots disguised himself . <eos>,The mechanic said that the pilots disguised himself .
12,embed,nonlocal,0,b,local_subj,number,pilot,mechanics,disguised,himself,The pilot said that the mechanics disguised himself . <eos>,The pilot said that the mechanics disguised himself .
12,embed,nonlocal,0,c,local_subj,number,banker,pilots,disguised,himself,The banker said that the pilots disguised himself . <eos>,The banker said that the pilots disguised himself .
12,embed,nonlocal,0,d,local_subj,number,pilot,bankers,disguised,himself,The pilot said that the bankers disguised himself . <eos>,The pilot said that the bankers disguised himself .
13,embed,local,1,a,none,none,mechanic,pilot,hated,himself,The mechanic said that the pilot hated himself . <eos>,The mechanic said that the pilot hated himself .
13,embed,local,1,b,none,none,pilot,mechanic,hated,himself,The pilot said that the mechanic hated himself . <eos>,The pilot said that the mechanic hated himself .
13,embed,local,1,c,none,none,banker,pilot,hated,himself,The banker said that the pilot hated himself . <eos>,The banker said that the pilot hated himself .
13,embed,local,1,d,none,none,pilot,banker,hated,himself,The pilot said that the banker hated himself . <eos>,The pilot said that the banker hated himself .
13,embed,local,1,a,nonlocal_subj,number,mechanics,pilot,hated,himself,The mechanics said that the pilot hated himself . <eos>,The mechanics said that the pilot hated himself .
13,embed,local,1,b,nonlocal_subj,number,pilots,mechanic,hated,himself,The pilots said that the mechanic hated himself . <eos>,The pilots said that the mechanic hated himself .
13,embed,local,1,c,nonlocal_subj,number,bankers,pilot,hated,himself,The bankers said that the pilot hated himself . <eos>,The bankers said that the pilot hated himself .
13,embed,local,1,d,nonlocal_subj,number,pilots,banker,hated,himself,The pilots said that the banker hated himself . <eos>,The pilots said that the banker hated himself .
13,embed,nonlocal,0,a,local_subj,number,mechanic,pilots,hated,himself,The mechanic said that the pilots hated himself . <eos>,The mechanic said that the pilots hated himself .
13,embed,nonlocal,0,b,local_subj,number,pilot,mechanics,hated,himself,The pilot said that the mechanics hated himself . <eos>,The pilot said that the mechanics hated himself .
13,embed,nonlocal,0,c,local_subj,number,banker,pilots,hated,himself,The banker said that the pilots hated himself . <eos>,The banker said that the pilots hated himself .
13,embed,nonlocal,0,d,local_subj,number,pilot,bankers,hated,himself,The pilot said that the bankers hated himself . <eos>,The pilot said that the bankers hated himself .
14,embed,local,1,a,none,none,mechanic,pilot,doubted,himself,The mechanic said that the pilot doubted himself . <eos>,The mechanic said that the pilot doubted himself .
14,embed,local,1,b,none,none,pilot,mechanic,doubted,himself,The pilot said that the mechanic doubted himself . <eos>,The pilot said that the mechanic doubted himself .
14,embed,local,1,c,none,none,banker,pilot,doubted,himself,The banker said that the pilot doubted himself . <eos>,The banker said that the pilot doubted himself .
14,embed,local,1,d,none,none,pilot,banker,doubted,himself,The pilot said that the banker doubted himself . <eos>,The pilot said that the banker doubted himself .
14,embed,local,1,a,nonlocal_subj,number,mechanics,pilot,doubted,himself,The mechanics said that the pilot doubted himself . <eos>,The mechanics said that the pilot doubted himself .
14,embed,local,1,b,nonlocal_subj,number,pilots,mechanic,doubted,himself,The pilots said that the mechanic doubted himself . <eos>,The pilots said that the mechanic doubted himself .
14,embed,local,1,c,nonlocal_subj,number,bankers,pilot,doubted,himself,The bankers said that the pilot doubted himself . <eos>,The bankers said that the pilot doubted himself .
14,embed,local,1,d,nonlocal_subj,number,pilots,banker,doubted,himself,The pilots said that the banker doubted himself . <eos>,The pilots said that the banker doubted himself .
14,embed,nonlocal,0,a,local_subj,number,mechanic,pilots,doubted,himself,The mechanic said that the pilots doubted himself . <eos>,The mechanic said that the pilots doubted himself .
14,embed,nonlocal,0,b,local_subj,number,pilot,mechanics,doubted,himself,The pilot said that the mechanics doubted himself . <eos>,The pilot said that the mechanics doubted himself .
14,embed,nonlocal,0,c,local_subj,number,banker,pilots,doubted,himself,The banker said that the pilots doubted himself . <eos>,The banker said that the pilots doubted himself .
14,embed,nonlocal,0,d,local_subj,number,pilot,bankers,doubted,himself,The pilot said that the bankers doubted himself . <eos>,The pilot said that the bankers doubted himself .
15,embed,local,1,a,none,none,mechanic,surgeon,hurt,himself,The mechanic said that the surgeon hurt himself . <eos>,The mechanic said that the surgeon hurt himself .
15,embed,local,1,b,none,none,surgeon,mechanic,hurt,himself,The surgeon said that the mechanic hurt himself . <eos>,The surgeon said that the mechanic hurt himself .
15,embed,local,1,c,none,none,banker,surgeon,hurt,himself,The banker said that the surgeon hurt himself . <eos>,The banker said that the surgeon hurt himself .
15,embed,local,1,d,none,none,surgeon,banker,hurt,himself,The surgeon said that the banker hurt himself . <eos>,The surgeon said that the banker hurt himself .
15,embed,local,1,a,nonlocal_subj,number,mechanics,surgeon,hurt,himself,The mechanics said that the surgeon hurt himself . <eos>,The mechanics said that the surgeon hurt himself .
15,embed,local,1,b,nonlocal_subj,number,surgeons,mechanic,hurt,himself,The surgeons said that the mechanic hurt himself . <eos>,The surgeons said that the mechanic hurt himself .
15,embed,local,1,c,nonlocal_subj,number,bankers,surgeon,hurt,himself,The bankers said that the surgeon hurt himself . <eos>,The bankers said that the surgeon hurt himself .
15,embed,local,1,d,nonlocal_subj,number,surgeons,banker,hurt,himself,The surgeons said that the banker hurt himself . <eos>,The surgeons said that the banker hurt himself .
15,embed,nonlocal,0,a,local_subj,number,mechanic,surgeons,hurt,himself,The mechanic said that the surgeons hurt himself . <eos>,The mechanic said that the surgeons hurt himself .
15,embed,nonlocal,0,b,local_subj,number,surgeon,mechanics,hurt,himself,The surgeon said that the mechanics hurt himself . <eos>,The surgeon said that the mechanics hurt himself .
15,embed,nonlocal,0,c,local_subj,number,banker,surgeons,hurt,himself,The banker said that the surgeons hurt himself . <eos>,The banker said that the surgeons hurt himself .
15,embed,nonlocal,0,d,local_subj,number,surgeon,bankers,hurt,himself,The surgeon said that the bankers hurt himself . <eos>,The surgeon said that the bankers hurt himself .
16,embed,local,1,a,none,none,mechanic,surgeon,injured,himself,The mechanic said that the surgeon injured himself . <eos>,The mechanic said that the surgeon injured himself .
16,embed,local,1,b,none,none,surgeon,mechanic,injured,himself,The surgeon said that the mechanic injured himself . <eos>,The surgeon said that the mechanic injured himself .
16,embed,local,1,c,none,none,banker,surgeon,injured,himself,The banker said that the surgeon injured himself . <eos>,The banker said that the surgeon injured himself .
16,embed,local,1,d,none,none,surgeon,banker,injured,himself,The surgeon said that the banker injured himself . <eos>,The surgeon said that the banker injured himself .
16,embed,local,1,a,nonlocal_subj,number,mechanics,surgeon,injured,himself,The mechanics said that the surgeon injured himself . <eos>,The mechanics said that the surgeon injured himself .
16,embed,local,1,b,nonlocal_subj,number,surgeons,mechanic,injured,himself,The surgeons said that the mechanic injured himself . <eos>,The surgeons said that the mechanic injured himself .
16,embed,local,1,c,nonlocal_subj,number,bankers,surgeon,injured,himself,The bankers said that the surgeon injured himself . <eos>,The bankers said that the surgeon injured himself .
16,embed,local,1,d,nonlocal_subj,number,surgeons,banker,injured,himself,The surgeons said that the banker injured himself . <eos>,The surgeons said that the banker injured himself .
16,embed,nonlocal,0,a,local_subj,number,mechanic,surgeons,injured,himself,The mechanic said that the surgeons injured himself . <eos>,The mechanic said that the surgeons injured himself .
16,embed,nonlocal,0,b,local_subj,number,surgeon,mechanics,injured,himself,The surgeon said that the mechanics injured himself . <eos>,The surgeon said that the mechanics injured himself .
16,embed,nonlocal,0,c,local_subj,number,banker,surgeons,injured,himself,The banker said that the surgeons injured himself . <eos>,The banker said that the surgeons injured himself .
16,embed,nonlocal,0,d,local_subj,number,surgeon,bankers,injured,himself,The surgeon said that the bankers injured himself . <eos>,The surgeon said that the bankers injured himself .
17,embed,local,1,a,none,none,mechanic,surgeon,congratulated,himself,The mechanic said that the surgeon congratulated himself . <eos>,The mechanic said that the surgeon congratulated himself .
