item,rc_verb,clause_type,locality,grammatical,counterbalance,mismatch_position,mismatch_feature,nonlocal_subj,local_sub,verb,pronoun,sentence,sentence_no_eos
8,telephoned,embed,local,1,a,none,none,hygenist,cheerleader,had taught,herself,The hygenist who the cheerleader telephoned had taught herself . <eos>,The hygenist who the cheerleader telephoned had taught herself .
8,telephoned,embed,local,1,b,none,none,cheerleader,hygenist,had taught,herself,The cheerleader who the hygenist telephoned had taught herself . <eos>,The cheerleader who the hygenist telephoned had taught herself .
8,telephoned,embed,nonlocal,0,a,matrix_subj,gender,mechanic,hygenist,had taught,herself,The mechanic who the hygenist telephoned had taught herself . <eos>,The mechanic who the hygenist telephoned had taught herself .
8,telephoned,embed,nonlocal,0,b,matrix_subj,gender,mechanic,cheerleader,had taught,herself,The mechanic who the cheerleader telephoned had taught herself . <eos>,The mechanic who the cheerleader telephoned had taught herself .
8,telephoned,embed,local,1,a,rc_subj,gender,hygenist,mechanic,had taught,herself,The hygenist who the mechanic telephoned had taught herself . <eos>,The hygenist who the mechanic telephoned had taught herself .
8,telephoned,embed,local,1,b,rc_subj,gender,cheerleader,mechanic,had taught,herself,The cheerleader who the mechanic telephoned had taught herself . <eos>,The cheerleader who the mechanic telephoned had taught herself .
9,telephoned,embed,local,1,a,none,none,hygenist,cheerleader,had introduced,herself,The hygenist who the cheerleader telephoned had introduced herself . <eos>,The hygenist who the cheerleader telephoned had introduced herself .
9,telephoned,embed,local,1,b,none,none,cheerleader,hygenist,had introduced,herself,The cheerleader who the hygenist telephoned had introduced herself . <eos>,The cheerleader who the hygenist telephoned had introduced herself .
9,telephoned,embed,nonlocal,0,a,matrix_subj,gender,mechanic,hygenist,had introduced,herself,The mechanic who the hygenist telephoned had introduced herself . <eos>,The mechanic who the hygenist telephoned had introduced herself .
9,telephoned,embed,nonlocal,0,b,matrix_subj,gender,mechanic,cheerleader,had introduced,herself,The mechanic who the cheerleader telephoned had introduced herself . <eos>,The mechanic who the cheerleader telephoned had introduced herself .
9,telephoned,embed,local,1,a,rc_subj,gender,hygenist,mechanic,had introduced,herself,The hygenist who the mechanic telephoned had introduced herself . <eos>,The hygenist who the mechanic telephoned had introduced herself .
9,telephoned,embed,local,1,b,rc_subj,gender,cheerleader,mechanic,had introduced,herself,The cheerleader who the mechanic telephoned had introduced herself . <eos>,The cheerleader who the mechanic telephoned had introduced herself .
10,telephoned,embed,local,1,a,none,none,hygenist,cheerleader,had enjoyed,herself,The hygenist who the cheerleader telephoned had enjoyed herself . <eos>,The hygenist who the cheerleader telephoned had enjoyed herself .
10,telephoned,embed,local,1,b,none,none,cheerleader,hygenist,had enjoyed,herself,The cheerleader who the hygenist telephoned had enjoyed herself . <eos>,The cheerleader who the hygenist telephoned had enjoyed herself .
10,telephoned,embed,nonlocal,0,a,matrix_subj,gender,mechanic,hygenist,had enjoyed,herself,The mechanic who the hygenist telephoned had enjoyed herself . <eos>,The mechanic who the hygenist telephoned had enjoyed herself .
10,telephoned,embed,nonlocal,0,b,matrix_subj,gender,mechanic,cheerleader,had enjoyed,herself,The mechanic who the cheerleader telephoned had enjoyed herself . <eos>,The mechanic who the cheerleader telephoned had enjoyed herself .
10,telephoned,embed,local,1,a,rc_subj,gender,hygenist,mechanic,had enjoyed,herself,The hygenist who the mechanic telephoned had enjoyed herself . <eos>,The hygenist who the mechanic telephoned had enjoyed herself .
10,telephoned,embed,local,1,b,rc_subj,gender,cheerleader,mechanic,had enjoyed,herself,The cheerleader who the mechanic telephoned had enjoyed herself . <eos>,The cheerleader who the mechanic telephoned had enjoyed herself .
11,telephoned,embed,local,1,a,none,none,hygenist,cheerleader,had prepared,herself,The hygenist who the cheerleader telephoned had prepared herself . <eos>,The hygenist who the cheerleader telephoned had prepared herself .
11,telephoned,embed,local,1,b,none,none,cheerleader,hygenist,had prepared,herself,The cheerleader who the hygenist telephoned had prepared herself . <eos>,The cheerleader who the hygenist telephoned had prepared herself .
11,telephoned,embed,nonlocal,0,a,matrix_subj,gender,mechanic,hygenist,had prepared,herself,The mechanic who the hygenist telephoned had prepared herself . <eos>,The mechanic who the hygenist telephoned had prepared herself .
11,telephoned,embed,nonlocal,0,b,matrix_subj,gender,mechanic,cheerleader,had prepared,herself,The mechanic who the cheerleader telephoned had prepared herself . <eos>,The mechanic who the cheerleader telephoned had prepared herself .
11,telephoned,embed,local,1,a,rc_subj,gender,hygenist,mechanic,had prepared,herself,The hygenist who the mechanic telephoned had prepared herself . <eos>,The hygenist who the mechanic telephoned had prepared herself .
11,telephoned,embed,local,1,b,rc_subj,gender,cheerleader,mechanic,had prepared,herself,The cheerleader who the mechanic telephoned had prepared herself . <eos>,The cheerleader who the mechanic telephoned had prepared herself .
12,telephoned,embed,local,1,a,none,none,hygenist,cheerleader,had shouted,herself,The hygenist who the cheerleader telephoned had shouted herself . <eos>,The hygenist who the cheerleader telephoned had shouted herself .
12,telephoned,embed,local,1,b,none,none,cheerleader,hygenist,had shouted,herself,The cheerleader who the hygenist telephoned had shouted herself . <eos>,The cheerleader who the hygenist telephoned had shouted herself .
12,telephoned,embed,nonlocal,0,a,matrix_subj,gender,mechanic,hygenist,had shouted,herself,The mechanic who the hygenist telephoned had shouted herself . <eos>,The mechanic who the hygenist telephoned had shouted herself .
12,telephoned,embed,nonlocal,0,b,matrix_subj,gender,mechanic,cheerleader,had shouted,herself,The mechanic who the cheerleader telephoned had shouted herself . <eos>,The mechanic who the cheerleader telephoned had shouted herself .
12,telephoned,embed,local,1,a,rc_subj,gender,hygenist,mechanic,had shouted,herself,The hygenist who the mechanic telephoned had shouted herself . <eos>,The hygenist who the mechanic telephoned had shouted herself .
12,telephoned,embed,local,1,b,rc_subj,gender,cheerleader,mechanic,had shouted,herself,The cheerleader who the mechanic telephoned had shouted herself . <eos>,The cheerleader who the mechanic telephoned had shouted herself .
13,telephoned,embed,local,1,a,none,none,hygenist,cheerleader,had washed,herself,The hygenist who the cheerleader telephoned had washed herself . <eos>,The hygenist who the cheerleader telephoned had washed herself .
13,telephoned,embed,local,1,b,none,none,cheerleader,hygenist,had washed,herself,The cheerleader who the hygenist telephoned had washed herself . <eos>,The cheerleader who the hygenist telephoned had washed herself .
13,telephoned,embed,nonlocal,0,a,matrix_subj,gender,mechanic,hygenist,had washed,herself,The mechanic who the hygenist telephoned had washed herself . <eos>,The mechanic who the hygenist telephoned had washed herself .
13,telephoned,embed,nonlocal,0,b,matrix_subj,gender,mechanic,cheerleader,had washed,herself,The mechanic who the cheerleader telephoned had washed herself . <eos>,The mechanic who the cheerleader telephoned had washed herself .
13,telephoned,embed,local,1,a,rc_subj,gender,hygenist,mechanic,had washed,herself,The hygenist who the mechanic telephoned had washed herself . <eos>,The hygenist who the mechanic telephoned had washed herself .
13,telephoned,embed,local,1,b,rc_subj,gender,cheerleader,mechanic,had washed,herself,The cheerleader who the mechanic telephoned had washed herself . <eos>,The cheerleader who the mechanic telephoned had washed herself .
14,telephoned,embed,local,1,a,none,none,hygenist,cheerleader,had asserted,herself,The hygenist who the cheerleader telephoned had asserted herself . <eos>,The hygenist who the cheerleader telephoned had asserted herself .
14,telephoned,embed,local,1,b,none,none,cheerleader,hygenist,had asserted,herself,The cheerleader who the hygenist telephoned had asserted herself . <eos>,The cheerleader who the hygenist telephoned had asserted herself .
14,telephoned,embed,nonlocal,0,a,matrix_subj,gender,mechanic,hygenist,had asserted,herself,The mechanic who the hygenist telephoned had asserted herself . <eos>,The mechanic who the hygenist telephoned had asserted herself .
14,telephoned,embed,nonlocal,0,b,matrix_subj,gender,mechanic,cheerleader,had asserted,herself,The mechanic who the cheerleader telephoned had asserted herself . <eos>,The mechanic who the cheerleader telephoned had asserted herself .
14,telephoned,embed,local,1,a,rc_subj,gender,hygenist,mechanic,had asserted,herself,The hygenist who the mechanic telephoned had asserted herself . <eos>,The hygenist who the mechanic telephoned had asserted herself .
14,telephoned,embed,local,1,b,rc_subj,gender,cheerleader,mechanic,had asserted,herself,The cheerleader who the mechanic telephoned had asserted herself . <eos>,The cheerleader who the mechanic telephoned had asserted herself .
15,telephoned,embed,local,1,a,none,none,hygenist,cheerleader,kicked,herself,The hygenist who the cheerleader telephoned kicked herself . <eos>,The hygenist who the cheerleader telephoned kicked herself .
15,telephoned,embed,local,1,b,none,none,cheerleader,hygenist,kicked,herself,The cheerleader who the hygenist telephoned kicked herself . <eos>,The cheerleader who the hygenist telephoned kicked herself .
15,telephoned,embed,nonlocal,0,a,matrix_subj,gender,mechanic,hygenist,kicked,herself,The mechanic who the hygenist telephoned kicked herself . <eos>,The mechanic who the hygenist telephoned kicked herself .
15,telephoned,embed,nonlocal,0,b,matrix_subj,gender,mechanic,cheerleader,kicked,herself,The mechanic who the cheerleader telephoned kicked herself . <eos>,The mechanic who the cheerleader telephoned kicked herself .
15,telephoned,embed,local,1,a,rc_subj,gender,hygenist,mechanic,kicked,herself,The hygenist who the mechanic telephoned kicked herself . <eos>,The hygenist who the mechanic telephoned kicked herself .
15,telephoned,embed,local,1,b,rc_subj,gender,cheerleader,mechanic,kicked,herself,The cheerleader who the mechanic telephoned kicked herself . <eos>,The cheerleader who the mechanic telephoned kicked herself .
16,telephoned,embed,local,1,a,none,none,receptionist,typist,had admired,herself,The receptionist who the typist telephoned had admired herself . <eos>,The receptionist who the typist telephoned had admired herself .
16,telephoned,embed,local,1,b,none,none,typist,receptionist,had admired,herself,The typist who the receptionist telephoned had admired herself . <eos>,The typist who the receptionist telephoned had admired herself .
16,telephoned,embed,nonlocal,0,a,matrix_subj,gender,mechanics,receptionist,had admired,herself,The mechanics who the receptionist telephoned had admired herself . <eos>,The mechanics who the receptionist telephoned had admired herself .
16,telephoned,embed,nonlocal,0,b,matrix_subj,gender,mechanics,typist,had admired,herself,The mechanics who the typist telephoned had admired herself . <eos>,The mechanics who the typist telephoned had admired herself .
16,telephoned,embed,local,1,a,rc_subj,gender,receptionist,mechanics,had admired,herself,The receptionist who the mechanics telephoned had admired herself . <eos>,The receptionist who the mechanics telephoned had admired herself .
16,telephoned,embed,local,1,b,rc_subj,gender,typist,mechanics,had admired,herself,The typist who the mechanics telephoned had admired herself . <eos>,The typist who the mechanics telephoned had admired herself .
17,telephoned,embed,local,1,a,none,none,receptionist,typist,had convinced,herself,The receptionist who the typist telephoned had convinced herself . <eos>,The receptionist who the typist telephoned had convinced herself .
17,telephoned,embed,local,1,b,none,none,typist,receptionist,had convinced,herself,The typist who the receptionist telephoned had convinced herself . <eos>,The typist who the receptionist telephoned had convinced herself .
17,telephoned,embed,nonlocal,0,a,matrix_subj,gender,mechanics,receptionist,had convinced,herself,The mechanics who the receptionist telephoned had convinced herself . <eos>,The mechanics who the receptionist telephoned had convinced herself .
17,telephoned,embed,nonlocal,0,b,matrix_subj,gender,mechanics,typist,had convinced,herself,The mechanics who the typist telephoned had convinced herself . <eos>,The mechanics who the typist telephoned had convinced herself .
17,telephoned,embed,local,1,a,rc_subj,gender,receptionist,mechanics,had convinced,herself,The receptionist who the mechanics telephoned had convinced herself . <eos>,The receptionist who the mechanics telephoned had convinced herself .
17,telephoned,embed,local,1,b,rc_subj,gender,typist,mechanics,had convinced,herself,The typist who the mechanics telephoned had convinced herself . <eos>,The typist who the mechanics telephoned had convinced herself .
18,telephoned,embed,local,1,a,none,none,receptionist,typist,saw,herself,The receptionist who the typist telephoned saw herself . <eos>,The receptionist who the typist telephoned saw herself .
18,telephoned,embed,local,1,b,none,none,typist,receptionist,saw,herself,The typist who the receptionist telephoned saw herself . <eos>,The typist who the receptionist telephoned saw herself .
18,telephoned,embed,nonlocal,0,a,matrix_subj,gender,mechanics,receptionist,saw,herself,The mechanics who the receptionist telephoned saw herself . <eos>,The mechanics who the receptionist telephoned saw herself .
18,telephoned,embed,nonlocal,0,b,matrix_subj,gender,mechanics,typist,saw,herself,The mechanics who the typist telephoned saw herself . <eos>,The mechanics who the typist telephoned saw herself .
18,telephoned,embed,local,1,a,rc_subj,gender,receptionist,mechanics,saw,herself,The receptionist who the mechanics telephoned saw herself . <eos>,The receptionist who the mechanics telephoned saw herself .
18,telephoned,embed,local,1,b,rc_subj,gender,typist,mechanics,saw,herself,The typist who the mechanics telephoned saw herself . <eos>,The typist who the mechanics telephoned saw herself .
19,telephoned,embed,local,1,a,none,none,receptionist,typist,had blamed,herself,The receptionist who the typist telephoned had blamed herself . <eos>,The receptionist who the typist telephoned had blamed herself .
19,telephoned,embed,local,1,b,none,none,typist,receptionist,had blamed,herself,The typist who the receptionist telephoned had blamed herself . <eos>,The typist who the receptionist telephoned had blamed herself .
19,telephoned,embed,nonlocal,0,a,matrix_subj,gender,mechanics,receptionist,had blamed,herself,The mechanics who the receptionist telephoned had blamed herself . <eos>,The mechanics who the receptionist telephoned had blamed herself .
19,telephoned,embed,nonlocal,0,b,matrix_subj,gender,mechanics,typist,had blamed,herself,The mechanics who the typist telephoned had blamed herself . <eos>,The mechanics who the typist telephoned had blamed herself .
19,telephoned,embed,local,1,a,rc_subj,gender,receptionist,mechanics,had blamed,herself,The receptionist who the mechanics telephoned had blamed herself . <eos>,The receptionist who the mechanics telephoned had blamed herself .
19,telephoned,embed,local,1,b,rc_subj,gender,typist,mechanics,had blamed,herself,The typist who the mechanics telephoned had blamed herself . <eos>,The typist who the mechanics telephoned had blamed herself .
20,telephoned,embed,local,1,a,none,none,receptionist,typist,had cut,herself,The receptionist who the typist telephoned had cut herself . <eos>,The receptionist who the typist telephoned had cut herself .
20,telephoned,embed,local,1,b,none,none,typist,receptionist,had cut,herself,The typist who the receptionist telephoned had cut herself . <eos>,The typist who the receptionist telephoned had cut herself .
20,telephoned,embed,nonlocal,0,a,matrix_subj,gender,mechanics,receptionist,had cut,herself,The mechanics who the receptionist telephoned had cut herself . <eos>,The mechanics who the receptionist telephoned had cut herself .
20,telephoned,embed,nonlocal,0,b,matrix_subj,gender,mechanics,typist,had cut,herself,The mechanics who the typist telephoned had cut herself . <eos>,The mechanics who the typist telephoned had cut herself .
20,telephoned,embed,local,1,a,rc_subj,gender,receptionist,mechanics,had cut,herself,The receptionist who the mechanics telephoned had cut herself . <eos>,The receptionist who the mechanics telephoned had cut herself .
20,telephoned,embed,local,1,b,rc_subj,gender,typist,mechanics,had cut,herself,The typist who the mechanics telephoned had cut herself . <eos>,The typist who the mechanics telephoned had cut herself .
21,telephoned,embed,local,1,a,none,none,receptionist,typist,had amused,herself,The receptionist who the typist telephoned had amused herself . <eos>,The receptionist who the typist telephoned had amused herself .
21,telephoned,embed,local,1,b,none,none,typist,receptionist,had amused,herself,The typist who the receptionist telephoned had amused herself . <eos>,The typist who the receptionist telephoned had amused herself .
21,telephoned,embed,nonlocal,0,a,matrix_subj,gender,mechanics,receptionist,had amused,herself,The mechanics who the receptionist telephoned had amused herself . <eos>,The mechanics who the receptionist telephoned had amused herself .
21,telephoned,embed,nonlocal,0,b,matrix_subj,gender,mechanics,typist,had amused,herself,The mechanics who the typist telephoned had amused herself . <eos>,The mechanics who the typist telephoned had amused herself .
21,telephoned,embed,local,1,a,rc_subj,gender,receptionist,mechanics,had amused,herself,The receptionist who the mechanics telephoned had amused herself . <eos>,The receptionist who the mechanics telephoned had amused herself .
21,telephoned,embed,local,1,b,rc_subj,gender,typist,mechanics,had amused,herself,The typist who the mechanics telephoned had amused herself . <eos>,The typist who the mechanics telephoned had amused herself .
22,telephoned,embed,local,1,a,none,none,receptionist,typist,had hurt,herself,The receptionist who the typist telephoned had hurt herself . <eos>,The receptionist who the typist telephoned had hurt herself .
22,telephoned,embed,local,1,b,none,none,typist,receptionist,had hurt,herself,The typist who the receptionist telephoned had hurt herself . <eos>,The typist who the receptionist telephoned had hurt herself .
22,telephoned,embed,nonlocal,0,a,matrix_subj,gender,mechanics,receptionist,had hurt,herself,The mechanics who the receptionist telephoned had hurt herself . <eos>,The mechanics who the receptionist telephoned had hurt herself .
22,telephoned,embed,nonlocal,0,b,matrix_subj,gender,mechanics,typist,had hurt,herself,The mechanics who the typist telephoned had hurt herself . <eos>,The mechanics who the typist telephoned had hurt herself .
22,telephoned,embed,local,1,a,rc_subj,gender,receptionist,mechanics,had hurt,herself,The receptionist who the mechanics telephoned had hurt herself . <eos>,The receptionist who the mechanics telephoned had hurt herself .
22,telephoned,embed,local,1,b,rc_subj,gender,typist,mechanics,had hurt,herself,The typist who the mechanics telephoned had hurt herself . <eos>,The typist who the mechanics telephoned had hurt herself .
23,telephoned,embed,local,1,a,none,none,receptionist,typist,had taught,herself,The receptionist who the typist telephoned had taught herself . <eos>,The receptionist who the typist telephoned had taught herself .
23,telephoned,embed,local,1,b,none,none,typist,receptionist,had taught,herself,The typist who the receptionist telephoned had taught herself . <eos>,The typist who the receptionist telephoned had taught herself .
23,telephoned,embed,nonlocal,0,a,matrix_subj,gender,mechanics,receptionist,had taught,herself,The mechanics who the receptionist telephoned had taught herself . <eos>,The mechanics who the receptionist telephoned had taught herself .
23,telephoned,embed,nonlocal,0,b,matrix_subj,gender,mechanics,typist,had taught,herself,The mechanics who the typist telephoned had taught herself . <eos>,The mechanics who the typist telephoned had taught herself .
23,telephoned,embed,local,1,a,rc_subj,gender,receptionist,mechanics,had taught,herself,The receptionist who the mechanics telephoned had taught herself . <eos>,The receptionist who the mechanics telephoned had taught herself .
23,telephoned,embed,local,1,b,rc_subj,gender,typist,mechanics,had taught,herself,The typist who the mechanics telephoned had taught herself . <eos>,The typist who the mechanics telephoned had taught herself .
24,telephoned,embed,local,1,a,none,none,receptionist,typist,had introduced,herself,The receptionist who the typist telephoned had introduced herself . <eos>,The receptionist who the typist telephoned had introduced herself .
24,telephoned,embed,local,1,b,none,none,typist,receptionist,had introduced,herself,The typist who the receptionist telephoned had introduced herself . <eos>,The typist who the receptionist telephoned had introduced herself .
24,telephoned,embed,nonlocal,0,a,matrix_subj,gender,mechanics,receptionist,had introduced,herself,The mechanics who the receptionist telephoned had introduced herself . <eos>,The mechanics who the receptionist telephoned had introduced herself .
24,telephoned,embed,nonlocal,0,b,matrix_subj,gender,mechanics,typist,had introduced,herself,The mechanics who the typist telephoned had introduced herself . <eos>,The mechanics who the typist telephoned had introduced herself .
24,telephoned,embed,local,1,a,rc_subj,gender,receptionist,mechanics,had introduced,herself,The receptionist who the mechanics telephoned had introduced herself . <eos>,The receptionist who the mechanics telephoned had introduced herself .
24,telephoned,embed,local,1,b,rc_subj,gender,typist,mechanics,had introduced,herself,The typist who the mechanics telephoned had introduced herself . <eos>,The typist who the mechanics telephoned had introduced herself .
25,telephoned,embed,local,1,a,none,none,receptionist,typist,had enjoyed,herself,The receptionist who the typist telephoned had enjoyed herself . <eos>,The receptionist who the typist telephoned had enjoyed herself .
25,telephoned,embed,local,1,b,none,none,typist,receptionist,had enjoyed,herself,The typist who the receptionist telephoned had enjoyed herself . <eos>,The typist who the receptionist telephoned had enjoyed herself .
25,telephoned,embed,nonlocal,0,a,matrix_subj,gender,mechanics,receptionist,had enjoyed,herself,The mechanics who the receptionist telephoned had enjoyed herself . <eos>,The mechanics who the receptionist telephoned had enjoyed herself .
25,telephoned,embed,nonlocal,0,b,matrix_subj,gender,mechanics,typist,had enjoyed,herself,The mechanics who the typist telephoned had enjoyed herself . <eos>,The mechanics who the typist telephoned had enjoyed herself .
25,telephoned,embed,local,1,a,rc_subj,gender,receptionist,mechanics,had enjoyed,herself,The receptionist who the mechanics telephoned had enjoyed herself . <eos>,The receptionist who the mechanics telephoned had enjoyed herself .
25,telephoned,embed,local,1,b,rc_subj,gender,typist,mechanics,had enjoyed,herself,The typist who the mechanics telephoned had enjoyed herself . <eos>,The typist who the mechanics telephoned had enjoyed herself .
26,telephoned,embed,local,1,a,none,none,receptionist,typist,had prepared,herself,The receptionist who the typist telephoned had prepared herself . <eos>,The receptionist who the typist telephoned had prepared herself .
