item,clause_type,locality,grammatical,counterbalance,mismatch_position,mismatch_feature,head_noun,distractor_noun,verb,pronoun,sentence,sentence_no_eos
16,embed,local,1,a,nonlocal_subj,number,girls,daughter,saw,herself,The girls said that the daughter saw herself . <eos>,The girls said that the daughter saw herself .
16,embed,local,1,b,nonlocal_subj,number,daughters,girl,saw,herself,The daughters said that the girl saw herself . <eos>,The daughters said that the girl saw herself .
16,embed,nonlocal,0,a,local_subj,number,girl,daughters,saw,herself,The girl said that the daughters saw herself . <eos>,The girl said that the daughters saw herself .
16,embed,nonlocal,0,b,local_subj,number,daughter,girls,saw,herself,The daughter said that the girls saw herself . <eos>,The daughter said that the girls saw herself .
17,embed,local,1,a,none,none,girl,daughter,established,herself,The girl said that the daughter established herself . <eos>,The girl said that the daughter established herself .
17,embed,local,1,b,none,none,daughter,girl,established,herself,The daughter said that the girl established herself . <eos>,The daughter said that the girl established herself .
17,embed,local,1,a,nonlocal_subj,number,girls,daughter,established,herself,The girls said that the daughter established herself . <eos>,The girls said that the daughter established herself .
17,embed,local,1,b,nonlocal_subj,number,daughters,girl,established,herself,The daughters said that the girl established herself . <eos>,The daughters said that the girl established herself .
17,embed,nonlocal,0,a,local_subj,number,girl,daughters,established,herself,The girl said that the daughters established herself . <eos>,The girl said that the daughters established herself .
17,embed,nonlocal,0,b,local_subj,number,daughter,girls,established,herself,The daughter said that the girls established herself . <eos>,The daughter said that the girls established herself .
18,embed,local,1,a,none,none,girl,daughter,devoted,herself,The girl said that the daughter devoted herself . <eos>,The girl said that the daughter devoted herself .
18,embed,local,1,b,none,none,daughter,girl,devoted,herself,The daughter said that the girl devoted herself . <eos>,The daughter said that the girl devoted herself .
18,embed,local,1,a,nonlocal_subj,number,girls,daughter,devoted,herself,The girls said that the daughter devoted herself . <eos>,The girls said that the daughter devoted herself .
18,embed,local,1,b,nonlocal_subj,number,daughters,girl,devoted,herself,The daughters said that the girl devoted herself . <eos>,The daughters said that the girl devoted herself .
18,embed,nonlocal,0,a,local_subj,number,girl,daughters,devoted,herself,The girl said that the daughters devoted herself . <eos>,The girl said that the daughters devoted herself .
18,embed,nonlocal,0,b,local_subj,number,daughter,girls,devoted,herself,The daughter said that the girls devoted herself . <eos>,The daughter said that the girls devoted herself .
19,embed,local,1,a,none,none,girl,daughter,considered,herself,The girl said that the daughter considered herself . <eos>,The girl said that the daughter considered herself .
19,embed,local,1,b,none,none,daughter,girl,considered,herself,The daughter said that the girl considered herself . <eos>,The daughter said that the girl considered herself .
19,embed,local,1,a,nonlocal_subj,number,girls,daughter,considered,herself,The girls said that the daughter considered herself . <eos>,The girls said that the daughter considered herself .
19,embed,local,1,b,nonlocal_subj,number,daughters,girl,considered,herself,The daughters said that the girl considered herself . <eos>,The daughters said that the girl considered herself .
19,embed,nonlocal,0,a,local_subj,number,girl,daughters,considered,herself,The girl said that the daughters considered herself . <eos>,The girl said that the daughters considered herself .
19,embed,nonlocal,0,b,local_subj,number,daughter,girls,considered,herself,The daughter said that the girls considered herself . <eos>,The daughter said that the girls considered herself .
20,embed,local,1,a,none,none,girl,daughter,identified,herself,The girl said that the daughter identified herself . <eos>,The girl said that the daughter identified herself .
20,embed,local,1,b,none,none,daughter,girl,identified,herself,The daughter said that the girl identified herself . <eos>,The daughter said that the girl identified herself .
20,embed,local,1,a,nonlocal_subj,number,girls,daughter,identified,herself,The girls said that the daughter identified herself . <eos>,The girls said that the daughter identified herself .
20,embed,local,1,b,nonlocal_subj,number,daughters,girl,identified,herself,The daughters said that the girl identified herself . <eos>,The daughters said that the girl identified herself .
20,embed,nonlocal,0,a,local_subj,number,girl,daughters,identified,herself,The girl said that the daughters identified herself . <eos>,The girl said that the daughters identified herself .
20,embed,nonlocal,0,b,local_subj,number,daughter,girls,identified,herself,The daughter said that the girls identified herself . <eos>,The daughter said that the girls identified herself .
21,embed,local,1,a,none,none,girl,daughter,made,herself,The girl said that the daughter made herself . <eos>,The girl said that the daughter made herself .
21,embed,local,1,b,none,none,daughter,girl,made,herself,The daughter said that the girl made herself . <eos>,The daughter said that the girl made herself .
21,embed,local,1,a,nonlocal_subj,number,girls,daughter,made,herself,The girls said that the daughter made herself . <eos>,The girls said that the daughter made herself .
21,embed,local,1,b,nonlocal_subj,number,daughters,girl,made,herself,The daughters said that the girl made herself . <eos>,The daughters said that the girl made herself .
21,embed,nonlocal,0,a,local_subj,number,girl,daughters,made,herself,The girl said that the daughters made herself . <eos>,The girl said that the daughters made herself .
21,embed,nonlocal,0,b,local_subj,number,daughter,girls,made,herself,The daughter said that the girls made herself . <eos>,The daughter said that the girls made herself .
22,embed,local,1,a,none,none,girl,daughter,found,herself,The girl said that the daughter found herself . <eos>,The girl said that the daughter found herself .
22,embed,local,1,b,none,none,daughter,girl,found,herself,The daughter said that the girl found herself . <eos>,The daughter said that the girl found herself .
22,embed,local,1,a,nonlocal_subj,number,girls,daughter,found,herself,The girls said that the daughter found herself . <eos>,The girls said that the daughter found herself .
22,embed,local,1,b,nonlocal_subj,number,daughters,girl,found,herself,The daughters said that the girl found herself . <eos>,The daughters said that the girl found herself .
22,embed,nonlocal,0,a,local_subj,number,girl,daughters,found,herself,The girl said that the daughters found herself . <eos>,The girl said that the daughters found herself .
22,embed,nonlocal,0,b,local_subj,number,daughter,girls,found,herself,The daughter said that the girls found herself . <eos>,The daughter said that the girls found herself .
23,embed,local,1,a,none,none,girl,daughter,distinguished,herself,The girl said that the daughter distinguished herself . <eos>,The girl said that the daughter distinguished herself .
23,embed,local,1,b,none,none,daughter,girl,distinguished,herself,The daughter said that the girl distinguished herself . <eos>,The daughter said that the girl distinguished herself .
23,embed,local,1,a,nonlocal_subj,number,girls,daughter,distinguished,herself,The girls said that the daughter distinguished herself . <eos>,The girls said that the daughter distinguished herself .
23,embed,local,1,b,nonlocal_subj,number,daughters,girl,distinguished,herself,The daughters said that the girl distinguished herself . <eos>,The daughters said that the girl distinguished herself .
23,embed,nonlocal,0,a,local_subj,number,girl,daughters,distinguished,herself,The girl said that the daughters distinguished herself . <eos>,The girl said that the daughters distinguished herself .
23,embed,nonlocal,0,b,local_subj,number,daughter,girls,distinguished,herself,The daughter said that the girls distinguished herself . <eos>,The daughter said that the girls distinguished herself .
24,embed,local,1,a,none,none,girl,daughter,taught,herself,The girl said that the daughter taught herself . <eos>,The girl said that the daughter taught herself .
24,embed,local,1,b,none,none,daughter,girl,taught,herself,The daughter said that the girl taught herself . <eos>,The daughter said that the girl taught herself .
24,embed,local,1,a,nonlocal_subj,number,girls,daughter,taught,herself,The girls said that the daughter taught herself . <eos>,The girls said that the daughter taught herself .
24,embed,local,1,b,nonlocal_subj,number,daughters,girl,taught,herself,The daughters said that the girl taught herself . <eos>,The daughters said that the girl taught herself .
24,embed,nonlocal,0,a,local_subj,number,girl,daughters,taught,herself,The girl said that the daughters taught herself . <eos>,The girl said that the daughters taught herself .
24,embed,nonlocal,0,b,local_subj,number,daughter,girls,taught,herself,The daughter said that the girls taught herself . <eos>,The daughter said that the girls taught herself .
25,embed,local,1,a,none,none,girl,daughter,killed,herself,The girl said that the daughter killed herself . <eos>,The girl said that the daughter killed herself .
25,embed,local,1,b,none,none,daughter,girl,killed,herself,The daughter said that the girl killed herself . <eos>,The daughter said that the girl killed herself .
25,embed,local,1,a,nonlocal_subj,number,girls,daughter,killed,herself,The girls said that the daughter killed herself . <eos>,The girls said that the daughter killed herself .
25,embed,local,1,b,nonlocal_subj,number,daughters,girl,killed,herself,The daughters said that the girl killed herself . <eos>,The daughters said that the girl killed herself .
25,embed,nonlocal,0,a,local_subj,number,girl,daughters,killed,herself,The girl said that the daughters killed herself . <eos>,The girl said that the daughters killed herself .
25,embed,nonlocal,0,b,local_subj,number,daughter,girls,killed,herself,The daughter said that the girls killed herself . <eos>,The daughter said that the girls killed herself .
26,embed,local,1,a,none,none,girl,daughter,called,herself,The girl said that the daughter called herself . <eos>,The girl said that the daughter called herself .
26,embed,local,1,b,none,none,daughter,girl,called,herself,The daughter said that the girl called herself . <eos>,The daughter said that the girl called herself .
26,embed,local,1,a,nonlocal_subj,number,girls,daughter,called,herself,The girls said that the daughter called herself . <eos>,The girls said that the daughter called herself .
26,embed,local,1,b,nonlocal_subj,number,daughters,girl,called,herself,The daughters said that the girl called herself . <eos>,The daughters said that the girl called herself .
26,embed,nonlocal,0,a,local_subj,number,girl,daughters,called,herself,The girl said that the daughters called herself . <eos>,The girl said that the daughters called herself .
26,embed,nonlocal,0,b,local_subj,number,daughter,girls,called,herself,The daughter said that the girls called herself . <eos>,The daughter said that the girls called herself .
27,embed,local,1,a,none,none,girl,daughter,dedicated,herself,The girl said that the daughter dedicated herself . <eos>,The girl said that the daughter dedicated herself .
27,embed,local,1,b,none,none,daughter,girl,dedicated,herself,The daughter said that the girl dedicated herself . <eos>,The daughter said that the girl dedicated herself .
27,embed,local,1,a,nonlocal_subj,number,girls,daughter,dedicated,herself,The girls said that the daughter dedicated herself . <eos>,The girls said that the daughter dedicated herself .
27,embed,local,1,b,nonlocal_subj,number,daughters,girl,dedicated,herself,The daughters said that the girl dedicated herself . <eos>,The daughters said that the girl dedicated herself .
27,embed,nonlocal,0,a,local_subj,number,girl,daughters,dedicated,herself,The girl said that the daughters dedicated herself . <eos>,The girl said that the daughters dedicated herself .
27,embed,nonlocal,0,b,local_subj,number,daughter,girls,dedicated,herself,The daughter said that the girls dedicated herself . <eos>,The daughter said that the girls dedicated herself .
28,embed,local,1,a,none,none,girl,daughter,declared,herself,The girl said that the daughter declared herself . <eos>,The girl said that the daughter declared herself .
28,embed,local,1,b,none,none,daughter,girl,declared,herself,The daughter said that the girl declared herself . <eos>,The daughter said that the girl declared herself .
28,embed,local,1,a,nonlocal_subj,number,girls,daughter,declared,herself,The girls said that the daughter declared herself . <eos>,The girls said that the daughter declared herself .
28,embed,local,1,b,nonlocal_subj,number,daughters,girl,declared,herself,The daughters said that the girl declared herself . <eos>,The daughters said that the girl declared herself .
28,embed,nonlocal,0,a,local_subj,number,girl,daughters,declared,herself,The girl said that the daughters declared herself . <eos>,The girl said that the daughters declared herself .
28,embed,nonlocal,0,b,local_subj,number,daughter,girls,declared,herself,The daughter said that the girls declared herself . <eos>,The daughter said that the girls declared herself .
29,embed,local,1,a,none,none,girl,daughter,proved,herself,The girl said that the daughter proved herself . <eos>,The girl said that the daughter proved herself .
29,embed,local,1,b,none,none,daughter,girl,proved,herself,The daughter said that the girl proved herself . <eos>,The daughter said that the girl proved herself .
29,embed,local,1,a,nonlocal_subj,number,girls,daughter,proved,herself,The girls said that the daughter proved herself . <eos>,The girls said that the daughter proved herself .
29,embed,local,1,b,nonlocal_subj,number,daughters,girl,proved,herself,The daughters said that the girl proved herself . <eos>,The daughters said that the girl proved herself .
29,embed,nonlocal,0,a,local_subj,number,girl,daughters,proved,herself,The girl said that the daughters proved herself . <eos>,The girl said that the daughters proved herself .
29,embed,nonlocal,0,b,local_subj,number,daughter,girls,proved,herself,The daughter said that the girls proved herself . <eos>,The daughter said that the girls proved herself .
30,embed,local,1,a,none,none,girl,daughter,shot,herself,The girl said that the daughter shot herself . <eos>,The girl said that the daughter shot herself .
30,embed,local,1,b,none,none,daughter,girl,shot,herself,The daughter said that the girl shot herself . <eos>,The daughter said that the girl shot herself .
30,embed,local,1,a,nonlocal_subj,number,girls,daughter,shot,herself,The girls said that the daughter shot herself . <eos>,The girls said that the daughter shot herself .
30,embed,local,1,b,nonlocal_subj,number,daughters,girl,shot,herself,The daughters said that the girl shot herself . <eos>,The daughters said that the girl shot herself .
30,embed,nonlocal,0,a,local_subj,number,girl,daughters,shot,herself,The girl said that the daughters shot herself . <eos>,The girl said that the daughters shot herself .
30,embed,nonlocal,0,b,local_subj,number,daughter,girls,shot,herself,The daughter said that the girls shot herself . <eos>,The daughter said that the girls shot herself .
31,embed,local,1,a,none,none,girl,woman,saw,herself,The girl said that the woman saw herself . <eos>,The girl said that the woman saw herself .
31,embed,local,1,b,none,none,woman,girl,saw,herself,The woman said that the girl saw herself . <eos>,The woman said that the girl saw herself .
31,embed,local,1,a,nonlocal_subj,number,girls,woman,saw,herself,The girls said that the woman saw herself . <eos>,The girls said that the woman saw herself .
31,embed,local,1,b,nonlocal_subj,number,women,girl,saw,herself,The women said that the girl saw herself . <eos>,The women said that the girl saw herself .
31,embed,nonlocal,0,a,local_subj,number,girl,women,saw,herself,The girl said that the women saw herself . <eos>,The girl said that the women saw herself .
31,embed,nonlocal,0,b,local_subj,number,woman,girls,saw,herself,The woman said that the girls saw herself . <eos>,The woman said that the girls saw herself .
32,embed,local,1,a,none,none,girl,woman,established,herself,The girl said that the woman established herself . <eos>,The girl said that the woman established herself .
32,embed,local,1,b,none,none,woman,girl,established,herself,The woman said that the girl established herself . <eos>,The woman said that the girl established herself .
32,embed,local,1,a,nonlocal_subj,number,girls,woman,established,herself,The girls said that the woman established herself . <eos>,The girls said that the woman established herself .
32,embed,local,1,b,nonlocal_subj,number,women,girl,established,herself,The women said that the girl established herself . <eos>,The women said that the girl established herself .
32,embed,nonlocal,0,a,local_subj,number,girl,women,established,herself,The girl said that the women established herself . <eos>,The girl said that the women established herself .
32,embed,nonlocal,0,b,local_subj,number,woman,girls,established,herself,The woman said that the girls established herself . <eos>,The woman said that the girls established herself .
33,embed,local,1,a,none,none,girl,woman,devoted,herself,The girl said that the woman devoted herself . <eos>,The girl said that the woman devoted herself .
33,embed,local,1,b,none,none,woman,girl,devoted,herself,The woman said that the girl devoted herself . <eos>,The woman said that the girl devoted herself .
33,embed,local,1,a,nonlocal_subj,number,girls,woman,devoted,herself,The girls said that the woman devoted herself . <eos>,The girls said that the woman devoted herself .
33,embed,local,1,b,nonlocal_subj,number,women,girl,devoted,herself,The women said that the girl devoted herself . <eos>,The women said that the girl devoted herself .
33,embed,nonlocal,0,a,local_subj,number,girl,women,devoted,herself,The girl said that the women devoted herself . <eos>,The girl said that the women devoted herself .
33,embed,nonlocal,0,b,local_subj,number,woman,girls,devoted,herself,The woman said that the girls devoted herself . <eos>,The woman said that the girls devoted herself .
34,embed,local,1,a,none,none,girl,woman,considered,herself,The girl said that the woman considered herself . <eos>,The girl said that the woman considered herself .
34,embed,local,1,b,none,none,woman,girl,considered,herself,The woman said that the girl considered herself . <eos>,The woman said that the girl considered herself .
34,embed,local,1,a,nonlocal_subj,number,girls,woman,considered,herself,The girls said that the woman considered herself . <eos>,The girls said that the woman considered herself .
34,embed,local,1,b,nonlocal_subj,number,women,girl,considered,herself,The women said that the girl considered herself . <eos>,The women said that the girl considered herself .
34,embed,nonlocal,0,a,local_subj,number,girl,women,considered,herself,The girl said that the women considered herself . <eos>,The girl said that the women considered herself .
34,embed,nonlocal,0,b,local_subj,number,woman,girls,considered,herself,The woman said that the girls considered herself . <eos>,The woman said that the girls considered herself .
35,embed,local,1,a,none,none,girl,woman,identified,herself,The girl said that the woman identified herself . <eos>,The girl said that the woman identified herself .
35,embed,local,1,b,none,none,woman,girl,identified,herself,The woman said that the girl identified herself . <eos>,The woman said that the girl identified herself .
35,embed,local,1,a,nonlocal_subj,number,girls,woman,identified,herself,The girls said that the woman identified herself . <eos>,The girls said that the woman identified herself .
35,embed,local,1,b,nonlocal_subj,number,women,girl,identified,herself,The women said that the girl identified herself . <eos>,The women said that the girl identified herself .
35,embed,nonlocal,0,a,local_subj,number,girl,women,identified,herself,The girl said that the women identified herself . <eos>,The girl said that the women identified herself .
35,embed,nonlocal,0,b,local_subj,number,woman,girls,identified,herself,The woman said that the girls identified herself . <eos>,The woman said that the girls identified herself .
36,embed,local,1,a,none,none,girl,woman,made,herself,The girl said that the woman made herself . <eos>,The girl said that the woman made herself .
36,embed,local,1,b,none,none,woman,girl,made,herself,The woman said that the girl made herself . <eos>,The woman said that the girl made herself .
