item,clause_type,locality,c-command,grammatical,counterbalance,mismatch_position,mismatch_feature,head_noun,distractor_noun,verb,pronoun,sentence,sentence_no_eos
6,simple,local,no-c-command,1,a,head,number,girls,mother,made,her,The girls near the mother made her . <eos>,The girls near the mother made her .
6,simple,local,no-c-command,1,b,head,number,mothers,girl,made,her,The mothers near the girl made her . <eos>,The mothers near the girl made her .
6,simple,local,c-command,0,a,distractor,number,girl,mothers,made,her,The girl near the mothers made her . <eos>,The girl near the mothers made her .
6,simple,local,c-command,0,b,distractor,number,mother,girls,made,her,The mother near the girls made her . <eos>,The mother near the girls made her .
7,simple,local,no-c-command,1,a,none,none,girl,mother,found,her,The girl near the mother found her . <eos>,The girl near the mother found her .
7,simple,local,no-c-command,1,b,none,none,mother,girl,found,her,The mother near the girl found her . <eos>,The mother near the girl found her .
7,simple,local,no-c-command,1,a,head,number,girls,mother,found,her,The girls near the mother found her . <eos>,The girls near the mother found her .
7,simple,local,no-c-command,1,b,head,number,mothers,girl,found,her,The mothers near the girl found her . <eos>,The mothers near the girl found her .
7,simple,local,c-command,0,a,distractor,number,girl,mothers,found,her,The girl near the mothers found her . <eos>,The girl near the mothers found her .
7,simple,local,c-command,0,b,distractor,number,mother,girls,found,her,The mother near the girls found her . <eos>,The mother near the girls found her .
8,simple,local,no-c-command,1,a,none,none,girl,mother,distinguished,her,The girl near the mother distinguished her . <eos>,The girl near the mother distinguished her .
8,simple,local,no-c-command,1,b,none,none,mother,girl,distinguished,her,The mother near the girl distinguished her . <eos>,The mother near the girl distinguished her .
8,simple,local,no-c-command,1,a,head,number,girls,mother,distinguished,her,The girls near the mother distinguished her . <eos>,The girls near the mother distinguished her .
8,simple,local,no-c-command,1,b,head,number,mothers,girl,distinguished,her,The mothers near the girl distinguished her . <eos>,The mothers near the girl distinguished her .
8,simple,local,c-command,0,a,distractor,number,girl,mothers,distinguished,her,The girl near the mothers distinguished her . <eos>,The girl near the mothers distinguished her .
8,simple,local,c-command,0,b,distractor,number,mother,girls,distinguished,her,The mother near the girls distinguished her . <eos>,The mother near the girls distinguished her .
9,simple,local,no-c-command,1,a,none,none,girl,mother,taught,her,The girl near the mother taught her . <eos>,The girl near the mother taught her .
9,simple,local,no-c-command,1,b,none,none,mother,girl,taught,her,The mother near the girl taught her . <eos>,The mother near the girl taught her .
9,simple,local,no-c-command,1,a,head,number,girls,mother,taught,her,The girls near the mother taught her . <eos>,The girls near the mother taught her .
9,simple,local,no-c-command,1,b,head,number,mothers,girl,taught,her,The mothers near the girl taught her . <eos>,The mothers near the girl taught her .
9,simple,local,c-command,0,a,distractor,number,girl,mothers,taught,her,The girl near the mothers taught her . <eos>,The girl near the mothers taught her .
9,simple,local,c-command,0,b,distractor,number,mother,girls,taught,her,The mother near the girls taught her . <eos>,The mother near the girls taught her .
10,simple,local,no-c-command,1,a,none,none,girl,mother,killed,her,The girl near the mother killed her . <eos>,The girl near the mother killed her .
10,simple,local,no-c-command,1,b,none,none,mother,girl,killed,her,The mother near the girl killed her . <eos>,The mother near the girl killed her .
10,simple,local,no-c-command,1,a,head,number,girls,mother,killed,her,The girls near the mother killed her . <eos>,The girls near the mother killed her .
10,simple,local,no-c-command,1,b,head,number,mothers,girl,killed,her,The mothers near the girl killed her . <eos>,The mothers near the girl killed her .
10,simple,local,c-command,0,a,distractor,number,girl,mothers,killed,her,The girl near the mothers killed her . <eos>,The girl near the mothers killed her .
10,simple,local,c-command,0,b,distractor,number,mother,girls,killed,her,The mother near the girls killed her . <eos>,The mother near the girls killed her .
11,simple,local,no-c-command,1,a,none,none,girl,mother,called,her,The girl near the mother called her . <eos>,The girl near the mother called her .
11,simple,local,no-c-command,1,b,none,none,mother,girl,called,her,The mother near the girl called her . <eos>,The mother near the girl called her .
11,simple,local,no-c-command,1,a,head,number,girls,mother,called,her,The girls near the mother called her . <eos>,The girls near the mother called her .
11,simple,local,no-c-command,1,b,head,number,mothers,girl,called,her,The mothers near the girl called her . <eos>,The mothers near the girl called her .
11,simple,local,c-command,0,a,distractor,number,girl,mothers,called,her,The girl near the mothers called her . <eos>,The girl near the mothers called her .
11,simple,local,c-command,0,b,distractor,number,mother,girls,called,her,The mother near the girls called her . <eos>,The mother near the girls called her .
12,simple,local,no-c-command,1,a,none,none,girl,mother,dedicated,her,The girl near the mother dedicated her . <eos>,The girl near the mother dedicated her .
12,simple,local,no-c-command,1,b,none,none,mother,girl,dedicated,her,The mother near the girl dedicated her . <eos>,The mother near the girl dedicated her .
12,simple,local,no-c-command,1,a,head,number,girls,mother,dedicated,her,The girls near the mother dedicated her . <eos>,The girls near the mother dedicated her .
12,simple,local,no-c-command,1,b,head,number,mothers,girl,dedicated,her,The mothers near the girl dedicated her . <eos>,The mothers near the girl dedicated her .
12,simple,local,c-command,0,a,distractor,number,girl,mothers,dedicated,her,The girl near the mothers dedicated her . <eos>,The girl near the mothers dedicated her .
12,simple,local,c-command,0,b,distractor,number,mother,girls,dedicated,her,The mother near the girls dedicated her . <eos>,The mother near the girls dedicated her .
13,simple,local,no-c-command,1,a,none,none,girl,mother,declared,her,The girl near the mother declared her . <eos>,The girl near the mother declared her .
13,simple,local,no-c-command,1,b,none,none,mother,girl,declared,her,The mother near the girl declared her . <eos>,The mother near the girl declared her .
13,simple,local,no-c-command,1,a,head,number,girls,mother,declared,her,The girls near the mother declared her . <eos>,The girls near the mother declared her .
13,simple,local,no-c-command,1,b,head,number,mothers,girl,declared,her,The mothers near the girl declared her . <eos>,The mothers near the girl declared her .
13,simple,local,c-command,0,a,distractor,number,girl,mothers,declared,her,The girl near the mothers declared her . <eos>,The girl near the mothers declared her .
13,simple,local,c-command,0,b,distractor,number,mother,girls,declared,her,The mother near the girls declared her . <eos>,The mother near the girls declared her .
14,simple,local,no-c-command,1,a,none,none,girl,mother,proved,her,The girl near the mother proved her . <eos>,The girl near the mother proved her .
14,simple,local,no-c-command,1,b,none,none,mother,girl,proved,her,The mother near the girl proved her . <eos>,The mother near the girl proved her .
14,simple,local,no-c-command,1,a,head,number,girls,mother,proved,her,The girls near the mother proved her . <eos>,The girls near the mother proved her .
14,simple,local,no-c-command,1,b,head,number,mothers,girl,proved,her,The mothers near the girl proved her . <eos>,The mothers near the girl proved her .
14,simple,local,c-command,0,a,distractor,number,girl,mothers,proved,her,The girl near the mothers proved her . <eos>,The girl near the mothers proved her .
14,simple,local,c-command,0,b,distractor,number,mother,girls,proved,her,The mother near the girls proved her . <eos>,The mother near the girls proved her .
15,simple,local,no-c-command,1,a,none,none,girl,mother,shot,her,The girl near the mother shot her . <eos>,The girl near the mother shot her .
15,simple,local,no-c-command,1,b,none,none,mother,girl,shot,her,The mother near the girl shot her . <eos>,The mother near the girl shot her .
15,simple,local,no-c-command,1,a,head,number,girls,mother,shot,her,The girls near the mother shot her . <eos>,The girls near the mother shot her .
15,simple,local,no-c-command,1,b,head,number,mothers,girl,shot,her,The mothers near the girl shot her . <eos>,The mothers near the girl shot her .
15,simple,local,c-command,0,a,distractor,number,girl,mothers,shot,her,The girl near the mothers shot her . <eos>,The girl near the mothers shot her .
15,simple,local,c-command,0,b,distractor,number,mother,girls,shot,her,The mother near the girls shot her . <eos>,The mother near the girls shot her .
16,simple,local,no-c-command,1,a,none,none,girl,daughter,saw,her,The girl near the daughter saw her . <eos>,The girl near the daughter saw her .
16,simple,local,no-c-command,1,b,none,none,daughter,girl,saw,her,The daughter near the girl saw her . <eos>,The daughter near the girl saw her .
16,simple,local,no-c-command,1,a,head,number,girls,daughter,saw,her,The girls near the daughter saw her . <eos>,The girls near the daughter saw her .
16,simple,local,no-c-command,1,b,head,number,daughters,girl,saw,her,The daughters near the girl saw her . <eos>,The daughters near the girl saw her .
16,simple,local,c-command,0,a,distractor,number,girl,daughters,saw,her,The girl near the daughters saw her . <eos>,The girl near the daughters saw her .
16,simple,local,c-command,0,b,distractor,number,daughter,girls,saw,her,The daughter near the girls saw her . <eos>,The daughter near the girls saw her .
17,simple,local,no-c-command,1,a,none,none,girl,daughter,established,her,The girl near the daughter established her . <eos>,The girl near the daughter established her .
17,simple,local,no-c-command,1,b,none,none,daughter,girl,established,her,The daughter near the girl established her . <eos>,The daughter near the girl established her .
17,simple,local,no-c-command,1,a,head,number,girls,daughter,established,her,The girls near the daughter established her . <eos>,The girls near the daughter established her .
17,simple,local,no-c-command,1,b,head,number,daughters,girl,established,her,The daughters near the girl established her . <eos>,The daughters near the girl established her .
17,simple,local,c-command,0,a,distractor,number,girl,daughters,established,her,The girl near the daughters established her . <eos>,The girl near the daughters established her .
17,simple,local,c-command,0,b,distractor,number,daughter,girls,established,her,The daughter near the girls established her . <eos>,The daughter near the girls established her .
18,simple,local,no-c-command,1,a,none,none,girl,daughter,devoted,her,The girl near the daughter devoted her . <eos>,The girl near the daughter devoted her .
18,simple,local,no-c-command,1,b,none,none,daughter,girl,devoted,her,The daughter near the girl devoted her . <eos>,The daughter near the girl devoted her .
18,simple,local,no-c-command,1,a,head,number,girls,daughter,devoted,her,The girls near the daughter devoted her . <eos>,The girls near the daughter devoted her .
18,simple,local,no-c-command,1,b,head,number,daughters,girl,devoted,her,The daughters near the girl devoted her . <eos>,The daughters near the girl devoted her .
18,simple,local,c-command,0,a,distractor,number,girl,daughters,devoted,her,The girl near the daughters devoted her . <eos>,The girl near the daughters devoted her .
18,simple,local,c-command,0,b,distractor,number,daughter,girls,devoted,her,The daughter near the girls devoted her . <eos>,The daughter near the girls devoted her .
19,simple,local,no-c-command,1,a,none,none,girl,daughter,considered,her,The girl near the daughter considered her . <eos>,The girl near the daughter considered her .
19,simple,local,no-c-command,1,b,none,none,daughter,girl,considered,her,The daughter near the girl considered her . <eos>,The daughter near the girl considered her .
19,simple,local,no-c-command,1,a,head,number,girls,daughter,considered,her,The girls near the daughter considered her . <eos>,The girls near the daughter considered her .
19,simple,local,no-c-command,1,b,head,number,daughters,girl,considered,her,The daughters near the girl considered her . <eos>,The daughters near the girl considered her .
19,simple,local,c-command,0,a,distractor,number,girl,daughters,considered,her,The girl near the daughters considered her . <eos>,The girl near the daughters considered her .
19,simple,local,c-command,0,b,distractor,number,daughter,girls,considered,her,The daughter near the girls considered her . <eos>,The daughter near the girls considered her .
20,simple,local,no-c-command,1,a,none,none,girl,daughter,identified,her,The girl near the daughter identified her . <eos>,The girl near the daughter identified her .
20,simple,local,no-c-command,1,b,none,none,daughter,girl,identified,her,The daughter near the girl identified her . <eos>,The daughter near the girl identified her .
20,simple,local,no-c-command,1,a,head,number,girls,daughter,identified,her,The girls near the daughter identified her . <eos>,The girls near the daughter identified her .
20,simple,local,no-c-command,1,b,head,number,daughters,girl,identified,her,The daughters near the girl identified her . <eos>,The daughters near the girl identified her .
20,simple,local,c-command,0,a,distractor,number,girl,daughters,identified,her,The girl near the daughters identified her . <eos>,The girl near the daughters identified her .
20,simple,local,c-command,0,b,distractor,number,daughter,girls,identified,her,The daughter near the girls identified her . <eos>,The daughter near the girls identified her .
21,simple,local,no-c-command,1,a,none,none,girl,daughter,made,her,The girl near the daughter made her . <eos>,The girl near the daughter made her .
21,simple,local,no-c-command,1,b,none,none,daughter,girl,made,her,The daughter near the girl made her . <eos>,The daughter near the girl made her .
21,simple,local,no-c-command,1,a,head,number,girls,daughter,made,her,The girls near the daughter made her . <eos>,The girls near the daughter made her .
21,simple,local,no-c-command,1,b,head,number,daughters,girl,made,her,The daughters near the girl made her . <eos>,The daughters near the girl made her .
21,simple,local,c-command,0,a,distractor,number,girl,daughters,made,her,The girl near the daughters made her . <eos>,The girl near the daughters made her .
21,simple,local,c-command,0,b,distractor,number,daughter,girls,made,her,The daughter near the girls made her . <eos>,The daughter near the girls made her .
22,simple,local,no-c-command,1,a,none,none,girl,daughter,found,her,The girl near the daughter found her . <eos>,The girl near the daughter found her .
22,simple,local,no-c-command,1,b,none,none,daughter,girl,found,her,The daughter near the girl found her . <eos>,The daughter near the girl found her .
22,simple,local,no-c-command,1,a,head,number,girls,daughter,found,her,The girls near the daughter found her . <eos>,The girls near the daughter found her .
22,simple,local,no-c-command,1,b,head,number,daughters,girl,found,her,The daughters near the girl found her . <eos>,The daughters near the girl found her .
22,simple,local,c-command,0,a,distractor,number,girl,daughters,found,her,The girl near the daughters found her . <eos>,The girl near the daughters found her .
22,simple,local,c-command,0,b,distractor,number,daughter,girls,found,her,The daughter near the girls found her . <eos>,The daughter near the girls found her .
23,simple,local,no-c-command,1,a,none,none,girl,daughter,distinguished,her,The girl near the daughter distinguished her . <eos>,The girl near the daughter distinguished her .
23,simple,local,no-c-command,1,b,none,none,daughter,girl,distinguished,her,The daughter near the girl distinguished her . <eos>,The daughter near the girl distinguished her .
23,simple,local,no-c-command,1,a,head,number,girls,daughter,distinguished,her,The girls near the daughter distinguished her . <eos>,The girls near the daughter distinguished her .
23,simple,local,no-c-command,1,b,head,number,daughters,girl,distinguished,her,The daughters near the girl distinguished her . <eos>,The daughters near the girl distinguished her .
23,simple,local,c-command,0,a,distractor,number,girl,daughters,distinguished,her,The girl near the daughters distinguished her . <eos>,The girl near the daughters distinguished her .
23,simple,local,c-command,0,b,distractor,number,daughter,girls,distinguished,her,The daughter near the girls distinguished her . <eos>,The daughter near the girls distinguished her .
24,simple,local,no-c-command,1,a,none,none,girl,daughter,taught,her,The girl near the daughter taught her . <eos>,The girl near the daughter taught her .
24,simple,local,no-c-command,1,b,none,none,daughter,girl,taught,her,The daughter near the girl taught her . <eos>,The daughter near the girl taught her .
24,simple,local,no-c-command,1,a,head,number,girls,daughter,taught,her,The girls near the daughter taught her . <eos>,The girls near the daughter taught her .
24,simple,local,no-c-command,1,b,head,number,daughters,girl,taught,her,The daughters near the girl taught her . <eos>,The daughters near the girl taught her .
24,simple,local,c-command,0,a,distractor,number,girl,daughters,taught,her,The girl near the daughters taught her . <eos>,The girl near the daughters taught her .
24,simple,local,c-command,0,b,distractor,number,daughter,girls,taught,her,The daughter near the girls taught her . <eos>,The daughter near the girls taught her .
25,simple,local,no-c-command,1,a,none,none,girl,daughter,killed,her,The girl near the daughter killed her . <eos>,The girl near the daughter killed her .
25,simple,local,no-c-command,1,b,none,none,daughter,girl,killed,her,The daughter near the girl killed her . <eos>,The daughter near the girl killed her .
25,simple,local,no-c-command,1,a,head,number,girls,daughter,killed,her,The girls near the daughter killed her . <eos>,The girls near the daughter killed her .
25,simple,local,no-c-command,1,b,head,number,daughters,girl,killed,her,The daughters near the girl killed her . <eos>,The daughters near the girl killed her .
25,simple,local,c-command,0,a,distractor,number,girl,daughters,killed,her,The girl near the daughters killed her . <eos>,The girl near the daughters killed her .
25,simple,local,c-command,0,b,distractor,number,daughter,girls,killed,her,The daughter near the girls killed her . <eos>,The daughter near the girls killed her .
26,simple,local,no-c-command,1,a,none,none,girl,daughter,called,her,The girl near the daughter called her . <eos>,The girl near the daughter called her .
26,simple,local,no-c-command,1,b,none,none,daughter,girl,called,her,The daughter near the girl called her . <eos>,The daughter near the girl called her .
26,simple,local,no-c-command,1,a,head,number,girls,daughter,called,her,The girls near the daughter called her . <eos>,The girls near the daughter called her .
26,simple,local,no-c-command,1,b,head,number,daughters,girl,called,her,The daughters near the girl called her . <eos>,The daughters near the girl called her .
26,simple,local,c-command,0,a,distractor,number,girl,daughters,called,her,The girl near the daughters called her . <eos>,The girl near the daughters called her .
26,simple,local,c-command,0,b,distractor,number,daughter,girls,called,her,The daughter near the girls called her . <eos>,The daughter near the girls called her .
27,simple,local,no-c-command,1,a,none,none,girl,daughter,dedicated,her,The girl near the daughter dedicated her . <eos>,The girl near the daughter dedicated her .
27,simple,local,no-c-command,1,b,none,none,daughter,girl,dedicated,her,The daughter near the girl dedicated her . <eos>,The daughter near the girl dedicated her .
27,simple,local,no-c-command,1,a,head,number,girls,daughter,dedicated,her,The girls near the daughter dedicated her . <eos>,The girls near the daughter dedicated her .
27,simple,local,no-c-command,1,b,head,number,daughters,girl,dedicated,her,The daughters near the girl dedicated her . <eos>,The daughters near the girl dedicated her .
27,simple,local,c-command,0,a,distractor,number,girl,daughters,dedicated,her,The girl near the daughters dedicated her . <eos>,The girl near the daughters dedicated her .
27,simple,local,c-command,0,b,distractor,number,daughter,girls,dedicated,her,The daughter near the girls dedicated her . <eos>,The daughter near the girls dedicated her .
28,simple,local,no-c-command,1,a,none,none,girl,daughter,declared,her,The girl near the daughter declared her . <eos>,The girl near the daughter declared her .
28,simple,local,no-c-command,1,b,none,none,daughter,girl,declared,her,The daughter near the girl declared her . <eos>,The daughter near the girl declared her .
28,simple,local,no-c-command,1,a,head,number,girls,daughter,declared,her,The girls near the daughter declared her . <eos>,The girls near the daughter declared her .
28,simple,local,no-c-command,1,b,head,number,daughters,girl,declared,her,The daughters near the girl declared her . <eos>,The daughters near the girl declared her .
28,simple,local,c-command,0,a,distractor,number,girl,daughters,declared,her,The girl near the daughters declared her . <eos>,The girl near the daughters declared her .
28,simple,local,c-command,0,b,distractor,number,daughter,girls,declared,her,The daughter near the girls declared her . <eos>,The daughter near the girls declared her .
29,simple,local,no-c-command,1,a,none,none,girl,daughter,proved,her,The girl near the daughter proved her . <eos>,The girl near the daughter proved her .
29,simple,local,no-c-command,1,b,none,none,daughter,girl,proved,her,The daughter near the girl proved her . <eos>,The daughter near the girl proved her .
29,simple,local,no-c-command,1,a,head,number,girls,daughter,proved,her,The girls near the daughter proved her . <eos>,The girls near the daughter proved her .
29,simple,local,no-c-command,1,b,head,number,daughters,girl,proved,her,The daughters near the girl proved her . <eos>,The daughters near the girl proved her .
29,simple,local,c-command,0,a,distractor,number,girl,daughters,proved,her,The girl near the daughters proved her . <eos>,The girl near the daughters proved her .
29,simple,local,c-command,0,b,distractor,number,daughter,girls,proved,her,The daughter near the girls proved her . <eos>,The daughter near the girls proved her .
30,simple,local,no-c-command,1,a,none,none,girl,daughter,shot,her,The girl near the daughter shot her . <eos>,The girl near the daughter shot her .
30,simple,local,no-c-command,1,b,none,none,daughter,girl,shot,her,The daughter near the girl shot her . <eos>,The daughter near the girl shot her .
30,simple,local,no-c-command,1,a,head,number,girls,daughter,shot,her,The girls near the daughter shot her . <eos>,The girls near the daughter shot her .
30,simple,local,no-c-command,1,b,head,number,daughters,girl,shot,her,The daughters near the girl shot her . <eos>,The daughters near the girl shot her .
30,simple,local,c-command,0,a,distractor,number,girl,daughters,shot,her,The girl near the daughters shot her . <eos>,The girl near the daughters shot her .
30,simple,local,c-command,0,b,distractor,number,daughter,girls,shot,her,The daughter near the girls shot her . <eos>,The daughter near the girls shot her .
31,simple,local,no-c-command,1,a,none,none,girl,woman,saw,her,The girl near the woman saw her . <eos>,The girl near the woman saw her .
31,simple,local,no-c-command,1,b,none,none,woman,girl,saw,her,The woman near the girl saw her . <eos>,The woman near the girl saw her .
31,simple,local,no-c-command,1,a,head,number,girls,woman,saw,her,The girls near the woman saw her . <eos>,The girls near the woman saw her .
31,simple,local,no-c-command,1,b,head,number,women,girl,saw,her,The women near the girl saw her . <eos>,The women near the girl saw her .
31,simple,local,c-command,0,a,distractor,number,girl,women,saw,her,The girl near the women saw her . <eos>,The girl near the women saw her .
31,simple,local,c-command,0,b,distractor,number,woman,girls,saw,her,The woman near the girls saw her . <eos>,The woman near the girls saw her .
32,simple,local,no-c-command,1,a,none,none,girl,woman,established,her,The girl near the woman established her . <eos>,The girl near the woman established her .
32,simple,local,no-c-command,1,b,none,none,woman,girl,established,her,The woman near the girl established her . <eos>,The woman near the girl established her .
32,simple,local,no-c-command,1,a,head,number,girls,woman,established,her,The girls near the woman established her . <eos>,The girls near the woman established her .
32,simple,local,no-c-command,1,b,head,number,women,girl,established,her,The women near the girl established her . <eos>,The women near the girl established her .
32,simple,local,c-command,0,a,distractor,number,girl,women,established,her,The girl near the women established her . <eos>,The girl near the women established her .
32,simple,local,c-command,0,b,distractor,number,woman,girls,established,her,The woman near the girls established her . <eos>,The woman near the girls established her .
33,simple,local,no-c-command,1,a,none,none,girl,woman,devoted,her,The girl near the woman devoted her . <eos>,The girl near the woman devoted her .
33,simple,local,no-c-command,1,b,none,none,woman,girl,devoted,her,The woman near the girl devoted her . <eos>,The woman near the girl devoted her .
33,simple,local,no-c-command,1,a,head,number,girls,woman,devoted,her,The girls near the woman devoted her . <eos>,The girls near the woman devoted her .
33,simple,local,no-c-command,1,b,head,number,women,girl,devoted,her,The women near the girl devoted her . <eos>,The women near the girl devoted her .
33,simple,local,c-command,0,a,distractor,number,girl,women,devoted,her,The girl near the women devoted her . <eos>,The girl near the women devoted her .
33,simple,local,c-command,0,b,distractor,number,woman,girls,devoted,her,The woman near the girls devoted her . <eos>,The woman near the girls devoted her .
34,simple,local,no-c-command,1,a,none,none,girl,woman,considered,her,The girl near the woman considered her . <eos>,The girl near the woman considered her .
34,simple,local,no-c-command,1,b,none,none,woman,girl,considered,her,The woman near the girl considered her . <eos>,The woman near the girl considered her .
34,simple,local,no-c-command,1,a,head,number,girls,woman,considered,her,The girls near the woman considered her . <eos>,The girls near the woman considered her .
34,simple,local,no-c-command,1,b,head,number,women,girl,considered,her,The women near the girl considered her . <eos>,The women near the girl considered her .
34,simple,local,c-command,0,a,distractor,number,girl,women,considered,her,The girl near the women considered her . <eos>,The girl near the women considered her .
34,simple,local,c-command,0,b,distractor,number,woman,girls,considered,her,The woman near the girls considered her . <eos>,The woman near the girls considered her .
35,simple,local,no-c-command,1,a,none,none,girl,woman,identified,her,The girl near the woman identified her . <eos>,The girl near the woman identified her .
35,simple,local,no-c-command,1,b,none,none,woman,girl,identified,her,The woman near the girl identified her . <eos>,The woman near the girl identified her .
35,simple,local,no-c-command,1,a,head,number,girls,woman,identified,her,The girls near the woman identified her . <eos>,The girls near the woman identified her .
35,simple,local,no-c-command,1,b,head,number,women,girl,identified,her,The women near the girl identified her . <eos>,The women near the girl identified her .
35,simple,local,c-command,0,a,distractor,number,girl,women,identified,her,The girl near the women identified her . <eos>,The girl near the women identified her .
35,simple,local,c-command,0,b,distractor,number,woman,girls,identified,her,The woman near the girls identified her . <eos>,The woman near the girls identified her .
36,simple,local,no-c-command,1,a,none,none,girl,woman,made,her,The girl near the woman made her . <eos>,The girl near the woman made her .
36,simple,local,no-c-command,1,b,none,none,woman,girl,made,her,The woman near the girl made her . <eos>,The woman near the girl made her .
36,simple,local,no-c-command,1,a,head,number,girls,woman,made,her,The girls near the woman made her . <eos>,The girls near the woman made her .
36,simple,local,no-c-command,1,b,head,number,women,girl,made,her,The women near the girl made her . <eos>,The women near the girl made her .
36,simple,local,c-command,0,a,distractor,number,girl,women,made,her,The girl near the women made her . <eos>,The girl near the women made her .
36,simple,local,c-command,0,b,distractor,number,woman,girls,made,her,The woman near the girls made her . <eos>,The woman near the girls made her .
37,simple,local,no-c-command,1,a,none,none,girl,woman,found,her,The girl near the woman found her . <eos>,The girl near the woman found her .
37,simple,local,no-c-command,1,b,none,none,woman,girl,found,her,The woman near the girl found her . <eos>,The woman near the girl found her .
37,simple,local,no-c-command,1,a,head,number,girls,woman,found,her,The girls near the woman found her . <eos>,The girls near the woman found her .
37,simple,local,no-c-command,1,b,head,number,women,girl,found,her,The women near the girl found her . <eos>,The women near the girl found her .
37,simple,local,c-command,0,a,distractor,number,girl,women,found,her,The girl near the women found her . <eos>,The girl near the women found her .
37,simple,local,c-command,0,b,distractor,number,woman,girls,found,her,The woman near the girls found her . <eos>,The woman near the girls found her .
38,simple,local,no-c-command,1,a,none,none,girl,woman,distinguished,her,The girl near the woman distinguished her . <eos>,The girl near the woman distinguished her .
38,simple,local,no-c-command,1,b,none,none,woman,girl,distinguished,her,The woman near the girl distinguished her . <eos>,The woman near the girl distinguished her .
38,simple,local,no-c-command,1,a,head,number,girls,woman,distinguished,her,The girls near the woman distinguished her . <eos>,The girls near the woman distinguished her .
