item,clause_type,locality,c-command,grammatical,counterbalance,subject,mismatch_position,mismatch_feature,matrix_subj_noun,rc_subj_noun,verb,pronoun,sentence,sentence_no_eos
2,simple,local,c-command,1,b,female,rc_subj,number,mothers,girl,established,themselves,The mothers that the girl liked established themselves . <eos>,The mothers that the girl liked established themselves .
3,simple,local,c-command,1,a,male,none,none,boys,fathers,devoted,themselves,The boys that the fathers liked devoted themselves . <eos>,The boys that the fathers liked devoted themselves .
3,simple,local,c-command,1,b,male,none,none,fathers,boys,devoted,themselves,The fathers that the boys liked devoted themselves . <eos>,The fathers that the boys liked devoted themselves .
3,simple,local,c-command,1,a,female,none,none,girls,mothers,devoted,themselves,The girls that the mothers liked devoted themselves . <eos>,The girls that the mothers liked devoted themselves .
3,simple,local,c-command,1,b,female,none,none,mothers,girls,devoted,themselves,The mothers that the girls liked devoted themselves . <eos>,The mothers that the girls liked devoted themselves .
3,simple,local,no-c-command,0,a,male,matrix_subj,number,boy,fathers,devoted,themselves,The boy that the fathers liked devoted themselves . <eos>,The boy that the fathers liked devoted themselves .
3,simple,local,no-c-command,0,b,male,matrix_subj,number,father,boys,devoted,themselves,The father that the boys liked devoted themselves . <eos>,The father that the boys liked devoted themselves .
3,simple,local,no-c-command,0,a,female,matrix_subj,number,girl,mothers,devoted,themselves,The girl that the mothers liked devoted themselves . <eos>,The girl that the mothers liked devoted themselves .
3,simple,local,no-c-command,0,b,female,matrix_subj,number,mother,girls,devoted,themselves,The mother that the girls liked devoted themselves . <eos>,The mother that the girls liked devoted themselves .
3,simple,local,c-command,1,a,male,rc_subj,number,boys,father,devoted,themselves,The boys that the father liked devoted themselves . <eos>,The boys that the father liked devoted themselves .
3,simple,local,c-command,1,b,male,rc_subj,number,fathers,boy,devoted,themselves,The fathers that the boy liked devoted themselves . <eos>,The fathers that the boy liked devoted themselves .
3,simple,local,c-command,1,a,female,rc_subj,number,girls,mother,devoted,themselves,The girls that the mother liked devoted themselves . <eos>,The girls that the mother liked devoted themselves .
3,simple,local,c-command,1,b,female,rc_subj,number,mothers,girl,devoted,themselves,The mothers that the girl liked devoted themselves . <eos>,The mothers that the girl liked devoted themselves .
4,simple,local,c-command,1,a,male,none,none,boys,fathers,considered,themselves,The boys that the fathers liked considered themselves . <eos>,The boys that the fathers liked considered themselves .
4,simple,local,c-command,1,b,male,none,none,fathers,boys,considered,themselves,The fathers that the boys liked considered themselves . <eos>,The fathers that the boys liked considered themselves .
4,simple,local,c-command,1,a,female,none,none,girls,mothers,considered,themselves,The girls that the mothers liked considered themselves . <eos>,The girls that the mothers liked considered themselves .
4,simple,local,c-command,1,b,female,none,none,mothers,girls,considered,themselves,The mothers that the girls liked considered themselves . <eos>,The mothers that the girls liked considered themselves .
4,simple,local,no-c-command,0,a,male,matrix_subj,number,boy,fathers,considered,themselves,The boy that the fathers liked considered themselves . <eos>,The boy that the fathers liked considered themselves .
4,simple,local,no-c-command,0,b,male,matrix_subj,number,father,boys,considered,themselves,The father that the boys liked considered themselves . <eos>,The father that the boys liked considered themselves .
4,simple,local,no-c-command,0,a,female,matrix_subj,number,girl,mothers,considered,themselves,The girl that the mothers liked considered themselves . <eos>,The girl that the mothers liked considered themselves .
4,simple,local,no-c-command,0,b,female,matrix_subj,number,mother,girls,considered,themselves,The mother that the girls liked considered themselves . <eos>,The mother that the girls liked considered themselves .
4,simple,local,c-command,1,a,male,rc_subj,number,boys,father,considered,themselves,The boys that the father liked considered themselves . <eos>,The boys that the father liked considered themselves .
4,simple,local,c-command,1,b,male,rc_subj,number,fathers,boy,considered,themselves,The fathers that the boy liked considered themselves . <eos>,The fathers that the boy liked considered themselves .
4,simple,local,c-command,1,a,female,rc_subj,number,girls,mother,considered,themselves,The girls that the mother liked considered themselves . <eos>,The girls that the mother liked considered themselves .
4,simple,local,c-command,1,b,female,rc_subj,number,mothers,girl,considered,themselves,The mothers that the girl liked considered themselves . <eos>,The mothers that the girl liked considered themselves .
5,simple,local,c-command,1,a,male,none,none,boys,fathers,identified,themselves,The boys that the fathers liked identified themselves . <eos>,The boys that the fathers liked identified themselves .
5,simple,local,c-command,1,b,male,none,none,fathers,boys,identified,themselves,The fathers that the boys liked identified themselves . <eos>,The fathers that the boys liked identified themselves .
5,simple,local,c-command,1,a,female,none,none,girls,mothers,identified,themselves,The girls that the mothers liked identified themselves . <eos>,The girls that the mothers liked identified themselves .
5,simple,local,c-command,1,b,female,none,none,mothers,girls,identified,themselves,The mothers that the girls liked identified themselves . <eos>,The mothers that the girls liked identified themselves .
5,simple,local,no-c-command,0,a,male,matrix_subj,number,boy,fathers,identified,themselves,The boy that the fathers liked identified themselves . <eos>,The boy that the fathers liked identified themselves .
5,simple,local,no-c-command,0,b,male,matrix_subj,number,father,boys,identified,themselves,The father that the boys liked identified themselves . <eos>,The father that the boys liked identified themselves .
5,simple,local,no-c-command,0,a,female,matrix_subj,number,girl,mothers,identified,themselves,The girl that the mothers liked identified themselves . <eos>,The girl that the mothers liked identified themselves .
5,simple,local,no-c-command,0,b,female,matrix_subj,number,mother,girls,identified,themselves,The mother that the girls liked identified themselves . <eos>,The mother that the girls liked identified themselves .
5,simple,local,c-command,1,a,male,rc_subj,number,boys,father,identified,themselves,The boys that the father liked identified themselves . <eos>,The boys that the father liked identified themselves .
5,simple,local,c-command,1,b,male,rc_subj,number,fathers,boy,identified,themselves,The fathers that the boy liked identified themselves . <eos>,The fathers that the boy liked identified themselves .
5,simple,local,c-command,1,a,female,rc_subj,number,girls,mother,identified,themselves,The girls that the mother liked identified themselves . <eos>,The girls that the mother liked identified themselves .
5,simple,local,c-command,1,b,female,rc_subj,number,mothers,girl,identified,themselves,The mothers that the girl liked identified themselves . <eos>,The mothers that the girl liked identified themselves .
6,simple,local,c-command,1,a,male,none,none,boys,fathers,made,themselves,The boys that the fathers liked made themselves . <eos>,The boys that the fathers liked made themselves .
6,simple,local,c-command,1,b,male,none,none,fathers,boys,made,themselves,The fathers that the boys liked made themselves . <eos>,The fathers that the boys liked made themselves .
6,simple,local,c-command,1,a,female,none,none,girls,mothers,made,themselves,The girls that the mothers liked made themselves . <eos>,The girls that the mothers liked made themselves .
6,simple,local,c-command,1,b,female,none,none,mothers,girls,made,themselves,The mothers that the girls liked made themselves . <eos>,The mothers that the girls liked made themselves .
6,simple,local,no-c-command,0,a,male,matrix_subj,number,boy,fathers,made,themselves,The boy that the fathers liked made themselves . <eos>,The boy that the fathers liked made themselves .
6,simple,local,no-c-command,0,b,male,matrix_subj,number,father,boys,made,themselves,The father that the boys liked made themselves . <eos>,The father that the boys liked made themselves .
6,simple,local,no-c-command,0,a,female,matrix_subj,number,girl,mothers,made,themselves,The girl that the mothers liked made themselves . <eos>,The girl that the mothers liked made themselves .
6,simple,local,no-c-command,0,b,female,matrix_subj,number,mother,girls,made,themselves,The mother that the girls liked made themselves . <eos>,The mother that the girls liked made themselves .
6,simple,local,c-command,1,a,male,rc_subj,number,boys,father,made,themselves,The boys that the father liked made themselves . <eos>,The boys that the father liked made themselves .
6,simple,local,c-command,1,b,male,rc_subj,number,fathers,boy,made,themselves,The fathers that the boy liked made themselves . <eos>,The fathers that the boy liked made themselves .
6,simple,local,c-command,1,a,female,rc_subj,number,girls,mother,made,themselves,The girls that the mother liked made themselves . <eos>,The girls that the mother liked made themselves .
6,simple,local,c-command,1,b,female,rc_subj,number,mothers,girl,made,themselves,The mothers that the girl liked made themselves . <eos>,The mothers that the girl liked made themselves .
7,simple,local,c-command,1,a,male,none,none,boys,fathers,found,themselves,The boys that the fathers liked found themselves . <eos>,The boys that the fathers liked found themselves .
7,simple,local,c-command,1,b,male,none,none,fathers,boys,found,themselves,The fathers that the boys liked found themselves . <eos>,The fathers that the boys liked found themselves .
7,simple,local,c-command,1,a,female,none,none,girls,mothers,found,themselves,The girls that the mothers liked found themselves . <eos>,The girls that the mothers liked found themselves .
7,simple,local,c-command,1,b,female,none,none,mothers,girls,found,themselves,The mothers that the girls liked found themselves . <eos>,The mothers that the girls liked found themselves .
7,simple,local,no-c-command,0,a,male,matrix_subj,number,boy,fathers,found,themselves,The boy that the fathers liked found themselves . <eos>,The boy that the fathers liked found themselves .
7,simple,local,no-c-command,0,b,male,matrix_subj,number,father,boys,found,themselves,The father that the boys liked found themselves . <eos>,The father that the boys liked found themselves .
7,simple,local,no-c-command,0,a,female,matrix_subj,number,girl,mothers,found,themselves,The girl that the mothers liked found themselves . <eos>,The girl that the mothers liked found themselves .
7,simple,local,no-c-command,0,b,female,matrix_subj,number,mother,girls,found,themselves,The mother that the girls liked found themselves . <eos>,The mother that the girls liked found themselves .
7,simple,local,c-command,1,a,male,rc_subj,number,boys,father,found,themselves,The boys that the father liked found themselves . <eos>,The boys that the father liked found themselves .
7,simple,local,c-command,1,b,male,rc_subj,number,fathers,boy,found,themselves,The fathers that the boy liked found themselves . <eos>,The fathers that the boy liked found themselves .
7,simple,local,c-command,1,a,female,rc_subj,number,girls,mother,found,themselves,The girls that the mother liked found themselves . <eos>,The girls that the mother liked found themselves .
7,simple,local,c-command,1,b,female,rc_subj,number,mothers,girl,found,themselves,The mothers that the girl liked found themselves . <eos>,The mothers that the girl liked found themselves .
8,simple,local,c-command,1,a,male,none,none,boys,fathers,distinguished,themselves,The boys that the fathers liked distinguished themselves . <eos>,The boys that the fathers liked distinguished themselves .
8,simple,local,c-command,1,b,male,none,none,fathers,boys,distinguished,themselves,The fathers that the boys liked distinguished themselves . <eos>,The fathers that the boys liked distinguished themselves .
8,simple,local,c-command,1,a,female,none,none,girls,mothers,distinguished,themselves,The girls that the mothers liked distinguished themselves . <eos>,The girls that the mothers liked distinguished themselves .
8,simple,local,c-command,1,b,female,none,none,mothers,girls,distinguished,themselves,The mothers that the girls liked distinguished themselves . <eos>,The mothers that the girls liked distinguished themselves .
8,simple,local,no-c-command,0,a,male,matrix_subj,number,boy,fathers,distinguished,themselves,The boy that the fathers liked distinguished themselves . <eos>,The boy that the fathers liked distinguished themselves .
8,simple,local,no-c-command,0,b,male,matrix_subj,number,father,boys,distinguished,themselves,The father that the boys liked distinguished themselves . <eos>,The father that the boys liked distinguished themselves .
8,simple,local,no-c-command,0,a,female,matrix_subj,number,girl,mothers,distinguished,themselves,The girl that the mothers liked distinguished themselves . <eos>,The girl that the mothers liked distinguished themselves .
8,simple,local,no-c-command,0,b,female,matrix_subj,number,mother,girls,distinguished,themselves,The mother that the girls liked distinguished themselves . <eos>,The mother that the girls liked distinguished themselves .
8,simple,local,c-command,1,a,male,rc_subj,number,boys,father,distinguished,themselves,The boys that the father liked distinguished themselves . <eos>,The boys that the father liked distinguished themselves .
8,simple,local,c-command,1,b,male,rc_subj,number,fathers,boy,distinguished,themselves,The fathers that the boy liked distinguished themselves . <eos>,The fathers that the boy liked distinguished themselves .
8,simple,local,c-command,1,a,female,rc_subj,number,girls,mother,distinguished,themselves,The girls that the mother liked distinguished themselves . <eos>,The girls that the mother liked distinguished themselves .
8,simple,local,c-command,1,b,female,rc_subj,number,mothers,girl,distinguished,themselves,The mothers that the girl liked distinguished themselves . <eos>,The mothers that the girl liked distinguished themselves .
9,simple,local,c-command,1,a,male,none,none,boys,fathers,taught,themselves,The boys that the fathers liked taught themselves . <eos>,The boys that the fathers liked taught themselves .
9,simple,local,c-command,1,b,male,none,none,fathers,boys,taught,themselves,The fathers that the boys liked taught themselves . <eos>,The fathers that the boys liked taught themselves .
9,simple,local,c-command,1,a,female,none,none,girls,mothers,taught,themselves,The girls that the mothers liked taught themselves . <eos>,The girls that the mothers liked taught themselves .
9,simple,local,c-command,1,b,female,none,none,mothers,girls,taught,themselves,The mothers that the girls liked taught themselves . <eos>,The mothers that the girls liked taught themselves .
9,simple,local,no-c-command,0,a,male,matrix_subj,number,boy,fathers,taught,themselves,The boy that the fathers liked taught themselves . <eos>,The boy that the fathers liked taught themselves .
9,simple,local,no-c-command,0,b,male,matrix_subj,number,father,boys,taught,themselves,The father that the boys liked taught themselves . <eos>,The father that the boys liked taught themselves .
9,simple,local,no-c-command,0,a,female,matrix_subj,number,girl,mothers,taught,themselves,The girl that the mothers liked taught themselves . <eos>,The girl that the mothers liked taught themselves .
9,simple,local,no-c-command,0,b,female,matrix_subj,number,mother,girls,taught,themselves,The mother that the girls liked taught themselves . <eos>,The mother that the girls liked taught themselves .
9,simple,local,c-command,1,a,male,rc_subj,number,boys,father,taught,themselves,The boys that the father liked taught themselves . <eos>,The boys that the father liked taught themselves .
9,simple,local,c-command,1,b,male,rc_subj,number,fathers,boy,taught,themselves,The fathers that the boy liked taught themselves . <eos>,The fathers that the boy liked taught themselves .
9,simple,local,c-command,1,a,female,rc_subj,number,girls,mother,taught,themselves,The girls that the mother liked taught themselves . <eos>,The girls that the mother liked taught themselves .
9,simple,local,c-command,1,b,female,rc_subj,number,mothers,girl,taught,themselves,The mothers that the girl liked taught themselves . <eos>,The mothers that the girl liked taught themselves .
10,simple,local,c-command,1,a,male,none,none,boys,fathers,killed,themselves,The boys that the fathers liked killed themselves . <eos>,The boys that the fathers liked killed themselves .
10,simple,local,c-command,1,b,male,none,none,fathers,boys,killed,themselves,The fathers that the boys liked killed themselves . <eos>,The fathers that the boys liked killed themselves .
10,simple,local,c-command,1,a,female,none,none,girls,mothers,killed,themselves,The girls that the mothers liked killed themselves . <eos>,The girls that the mothers liked killed themselves .
10,simple,local,c-command,1,b,female,none,none,mothers,girls,killed,themselves,The mothers that the girls liked killed themselves . <eos>,The mothers that the girls liked killed themselves .
10,simple,local,no-c-command,0,a,male,matrix_subj,number,boy,fathers,killed,themselves,The boy that the fathers liked killed themselves . <eos>,The boy that the fathers liked killed themselves .
10,simple,local,no-c-command,0,b,male,matrix_subj,number,father,boys,killed,themselves,The father that the boys liked killed themselves . <eos>,The father that the boys liked killed themselves .
10,simple,local,no-c-command,0,a,female,matrix_subj,number,girl,mothers,killed,themselves,The girl that the mothers liked killed themselves . <eos>,The girl that the mothers liked killed themselves .
10,simple,local,no-c-command,0,b,female,matrix_subj,number,mother,girls,killed,themselves,The mother that the girls liked killed themselves . <eos>,The mother that the girls liked killed themselves .
10,simple,local,c-command,1,a,male,rc_subj,number,boys,father,killed,themselves,The boys that the father liked killed themselves . <eos>,The boys that the father liked killed themselves .
10,simple,local,c-command,1,b,male,rc_subj,number,fathers,boy,killed,themselves,The fathers that the boy liked killed themselves . <eos>,The fathers that the boy liked killed themselves .
10,simple,local,c-command,1,a,female,rc_subj,number,girls,mother,killed,themselves,The girls that the mother liked killed themselves . <eos>,The girls that the mother liked killed themselves .
10,simple,local,c-command,1,b,female,rc_subj,number,mothers,girl,killed,themselves,The mothers that the girl liked killed themselves . <eos>,The mothers that the girl liked killed themselves .
11,simple,local,c-command,1,a,male,none,none,boys,fathers,called,themselves,The boys that the fathers liked called themselves . <eos>,The boys that the fathers liked called themselves .
11,simple,local,c-command,1,b,male,none,none,fathers,boys,called,themselves,The fathers that the boys liked called themselves . <eos>,The fathers that the boys liked called themselves .
11,simple,local,c-command,1,a,female,none,none,girls,mothers,called,themselves,The girls that the mothers liked called themselves . <eos>,The girls that the mothers liked called themselves .
11,simple,local,c-command,1,b,female,none,none,mothers,girls,called,themselves,The mothers that the girls liked called themselves . <eos>,The mothers that the girls liked called themselves .
11,simple,local,no-c-command,0,a,male,matrix_subj,number,boy,fathers,called,themselves,The boy that the fathers liked called themselves . <eos>,The boy that the fathers liked called themselves .
11,simple,local,no-c-command,0,b,male,matrix_subj,number,father,boys,called,themselves,The father that the boys liked called themselves . <eos>,The father that the boys liked called themselves .
11,simple,local,no-c-command,0,a,female,matrix_subj,number,girl,mothers,called,themselves,The girl that the mothers liked called themselves . <eos>,The girl that the mothers liked called themselves .
11,simple,local,no-c-command,0,b,female,matrix_subj,number,mother,girls,called,themselves,The mother that the girls liked called themselves . <eos>,The mother that the girls liked called themselves .
11,simple,local,c-command,1,a,male,rc_subj,number,boys,father,called,themselves,The boys that the father liked called themselves . <eos>,The boys that the father liked called themselves .
11,simple,local,c-command,1,b,male,rc_subj,number,fathers,boy,called,themselves,The fathers that the boy liked called themselves . <eos>,The fathers that the boy liked called themselves .
11,simple,local,c-command,1,a,female,rc_subj,number,girls,mother,called,themselves,The girls that the mother liked called themselves . <eos>,The girls that the mother liked called themselves .
11,simple,local,c-command,1,b,female,rc_subj,number,mothers,girl,called,themselves,The mothers that the girl liked called themselves . <eos>,The mothers that the girl liked called themselves .
12,simple,local,c-command,1,a,male,none,none,boys,fathers,dedicated,themselves,The boys that the fathers liked dedicated themselves . <eos>,The boys that the fathers liked dedicated themselves .
12,simple,local,c-command,1,b,male,none,none,fathers,boys,dedicated,themselves,The fathers that the boys liked dedicated themselves . <eos>,The fathers that the boys liked dedicated themselves .
12,simple,local,c-command,1,a,female,none,none,girls,mothers,dedicated,themselves,The girls that the mothers liked dedicated themselves . <eos>,The girls that the mothers liked dedicated themselves .
12,simple,local,c-command,1,b,female,none,none,mothers,girls,dedicated,themselves,The mothers that the girls liked dedicated themselves . <eos>,The mothers that the girls liked dedicated themselves .
12,simple,local,no-c-command,0,a,male,matrix_subj,number,boy,fathers,dedicated,themselves,The boy that the fathers liked dedicated themselves . <eos>,The boy that the fathers liked dedicated themselves .
12,simple,local,no-c-command,0,b,male,matrix_subj,number,father,boys,dedicated,themselves,The father that the boys liked dedicated themselves . <eos>,The father that the boys liked dedicated themselves .
12,simple,local,no-c-command,0,a,female,matrix_subj,number,girl,mothers,dedicated,themselves,The girl that the mothers liked dedicated themselves . <eos>,The girl that the mothers liked dedicated themselves .
12,simple,local,no-c-command,0,b,female,matrix_subj,number,mother,girls,dedicated,themselves,The mother that the girls liked dedicated themselves . <eos>,The mother that the girls liked dedicated themselves .
12,simple,local,c-command,1,a,male,rc_subj,number,boys,father,dedicated,themselves,The boys that the father liked dedicated themselves . <eos>,The boys that the father liked dedicated themselves .
12,simple,local,c-command,1,b,male,rc_subj,number,fathers,boy,dedicated,themselves,The fathers that the boy liked dedicated themselves . <eos>,The fathers that the boy liked dedicated themselves .
12,simple,local,c-command,1,a,female,rc_subj,number,girls,mother,dedicated,themselves,The girls that the mother liked dedicated themselves . <eos>,The girls that the mother liked dedicated themselves .
12,simple,local,c-command,1,b,female,rc_subj,number,mothers,girl,dedicated,themselves,The mothers that the girl liked dedicated themselves . <eos>,The mothers that the girl liked dedicated themselves .
13,simple,local,c-command,1,a,male,none,none,boys,fathers,declared,themselves,The boys that the fathers liked declared themselves . <eos>,The boys that the fathers liked declared themselves .
13,simple,local,c-command,1,b,male,none,none,fathers,boys,declared,themselves,The fathers that the boys liked declared themselves . <eos>,The fathers that the boys liked declared themselves .
13,simple,local,c-command,1,a,female,none,none,girls,mothers,declared,themselves,The girls that the mothers liked declared themselves . <eos>,The girls that the mothers liked declared themselves .
13,simple,local,c-command,1,b,female,none,none,mothers,girls,declared,themselves,The mothers that the girls liked declared themselves . <eos>,The mothers that the girls liked declared themselves .
13,simple,local,no-c-command,0,a,male,matrix_subj,number,boy,fathers,declared,themselves,The boy that the fathers liked declared themselves . <eos>,The boy that the fathers liked declared themselves .
13,simple,local,no-c-command,0,b,male,matrix_subj,number,father,boys,declared,themselves,The father that the boys liked declared themselves . <eos>,The father that the boys liked declared themselves .
13,simple,local,no-c-command,0,a,female,matrix_subj,number,girl,mothers,declared,themselves,The girl that the mothers liked declared themselves . <eos>,The girl that the mothers liked declared themselves .
13,simple,local,no-c-command,0,b,female,matrix_subj,number,mother,girls,declared,themselves,The mother that the girls liked declared themselves . <eos>,The mother that the girls liked declared themselves .
13,simple,local,c-command,1,a,male,rc_subj,number,boys,father,declared,themselves,The boys that the father liked declared themselves . <eos>,The boys that the father liked declared themselves .
13,simple,local,c-command,1,b,male,rc_subj,number,fathers,boy,declared,themselves,The fathers that the boy liked declared themselves . <eos>,The fathers that the boy liked declared themselves .
13,simple,local,c-command,1,a,female,rc_subj,number,girls,mother,declared,themselves,The girls that the mother liked declared themselves . <eos>,The girls that the mother liked declared themselves .
13,simple,local,c-command,1,b,female,rc_subj,number,mothers,girl,declared,themselves,The mothers that the girl liked declared themselves . <eos>,The mothers that the girl liked declared themselves .
14,simple,local,c-command,1,a,male,none,none,boys,fathers,proved,themselves,The boys that the fathers liked proved themselves . <eos>,The boys that the fathers liked proved themselves .
14,simple,local,c-command,1,b,male,none,none,fathers,boys,proved,themselves,The fathers that the boys liked proved themselves . <eos>,The fathers that the boys liked proved themselves .
14,simple,local,c-command,1,a,female,none,none,girls,mothers,proved,themselves,The girls that the mothers liked proved themselves . <eos>,The girls that the mothers liked proved themselves .
14,simple,local,c-command,1,b,female,none,none,mothers,girls,proved,themselves,The mothers that the girls liked proved themselves . <eos>,The mothers that the girls liked proved themselves .
14,simple,local,no-c-command,0,a,male,matrix_subj,number,boy,fathers,proved,themselves,The boy that the fathers liked proved themselves . <eos>,The boy that the fathers liked proved themselves .
14,simple,local,no-c-command,0,b,male,matrix_subj,number,father,boys,proved,themselves,The father that the boys liked proved themselves . <eos>,The father that the boys liked proved themselves .
14,simple,local,no-c-command,0,a,female,matrix_subj,number,girl,mothers,proved,themselves,The girl that the mothers liked proved themselves . <eos>,The girl that the mothers liked proved themselves .
14,simple,local,no-c-command,0,b,female,matrix_subj,number,mother,girls,proved,themselves,The mother that the girls liked proved themselves . <eos>,The mother that the girls liked proved themselves .
14,simple,local,c-command,1,a,male,rc_subj,number,boys,father,proved,themselves,The boys that the father liked proved themselves . <eos>,The boys that the father liked proved themselves .
14,simple,local,c-command,1,b,male,rc_subj,number,fathers,boy,proved,themselves,The fathers that the boy liked proved themselves . <eos>,The fathers that the boy liked proved themselves .
14,simple,local,c-command,1,a,female,rc_subj,number,girls,mother,proved,themselves,The girls that the mother liked proved themselves . <eos>,The girls that the mother liked proved themselves .
14,simple,local,c-command,1,b,female,rc_subj,number,mothers,girl,proved,themselves,The mothers that the girl liked proved themselves . <eos>,The mothers that the girl liked proved themselves .
15,simple,local,c-command,1,a,male,none,none,boys,fathers,shot,themselves,The boys that the fathers liked shot themselves . <eos>,The boys that the fathers liked shot themselves .
15,simple,local,c-command,1,b,male,none,none,fathers,boys,shot,themselves,The fathers that the boys liked shot themselves . <eos>,The fathers that the boys liked shot themselves .
15,simple,local,c-command,1,a,female,none,none,girls,mothers,shot,themselves,The girls that the mothers liked shot themselves . <eos>,The girls that the mothers liked shot themselves .
15,simple,local,c-command,1,b,female,none,none,mothers,girls,shot,themselves,The mothers that the girls liked shot themselves . <eos>,The mothers that the girls liked shot themselves .
15,simple,local,no-c-command,0,a,male,matrix_subj,number,boy,fathers,shot,themselves,The boy that the fathers liked shot themselves . <eos>,The boy that the fathers liked shot themselves .
15,simple,local,no-c-command,0,b,male,matrix_subj,number,father,boys,shot,themselves,The father that the boys liked shot themselves . <eos>,The father that the boys liked shot themselves .
15,simple,local,no-c-command,0,a,female,matrix_subj,number,girl,mothers,shot,themselves,The girl that the mothers liked shot themselves . <eos>,The girl that the mothers liked shot themselves .
15,simple,local,no-c-command,0,b,female,matrix_subj,number,mother,girls,shot,themselves,The mother that the girls liked shot themselves . <eos>,The mother that the girls liked shot themselves .
15,simple,local,c-command,1,a,male,rc_subj,number,boys,father,shot,themselves,The boys that the father liked shot themselves . <eos>,The boys that the father liked shot themselves .
15,simple,local,c-command,1,b,male,rc_subj,number,fathers,boy,shot,themselves,The fathers that the boy liked shot themselves . <eos>,The fathers that the boy liked shot themselves .
15,simple,local,c-command,1,a,female,rc_subj,number,girls,mother,shot,themselves,The girls that the mother liked shot themselves . <eos>,The girls that the mother liked shot themselves .
15,simple,local,c-command,1,b,female,rc_subj,number,mothers,girl,shot,themselves,The mothers that the girl liked shot themselves . <eos>,The mothers that the girl liked shot themselves .
16,simple,local,c-command,1,a,male,none,none,boys,sons,saw,themselves,The boys that the sons liked saw themselves . <eos>,The boys that the sons liked saw themselves .
16,simple,local,c-command,1,b,male,none,none,sons,boys,saw,themselves,The sons that the boys liked saw themselves . <eos>,The sons that the boys liked saw themselves .
16,simple,local,c-command,1,a,female,none,none,girls,daughters,saw,themselves,The girls that the daughters liked saw themselves . <eos>,The girls that the daughters liked saw themselves .
