,item,clause_type,locality,c-command,grammatical,counterbalance,subject,mismatch_position,mismatch_feature,head_noun,distractor_noun,verb,pronoun,sentence,sentence_no_eos,bert_sentence,surprisal
91,8,simple,local,no-c-command,0,b,female,head,number,mother,girls,distinguished,themselves,The mother near the girls distinguished themselves . <eos>,The mother near the girls distinguished themselves .,the mother near the girls distinguished ***mask*** .,0.9187428329456464
92,8,simple,local,c-command,1,a,male,distractor,number,boys,father,distinguished,themselves,The boys near the father distinguished themselves . <eos>,The boys near the father distinguished themselves .,the boys near the father distinguished ***mask*** .,0.007044035635784137
93,8,simple,local,c-command,1,b,male,distractor,number,fathers,boy,distinguished,themselves,The fathers near the boy distinguished themselves . <eos>,The fathers near the boy distinguished themselves .,the fathers near the boy distinguished ***mask*** .,0.007336484191265656
94,8,simple,local,c-command,1,a,female,distractor,number,girls,mother,distinguished,themselves,The girls near the mother distinguished themselves . <eos>,The girls near the mother distinguished themselves .,the girls near the mother distinguished ***mask*** .,0.01780558147234713
95,8,simple,local,c-command,1,b,female,distractor,number,mothers,girl,distinguished,themselves,The mothers near the girl distinguished themselves . <eos>,The mothers near the girl distinguished themselves .,the mothers near the girl distinguished ***mask*** .,0.01132025333637363
96,9,simple,local,c-command,1,a,male,none,none,boys,fathers,taught,themselves,The boys near the fathers taught themselves . <eos>,The boys near the fathers taught themselves .,the boys near the fathers taught ***mask*** .,5.996082742654581
97,9,simple,local,c-command,1,b,male,none,none,fathers,boys,taught,themselves,The fathers near the boys taught themselves . <eos>,The fathers near the boys taught themselves .,the fathers near the boys taught ***mask*** .,6.528950856893281
98,9,simple,local,c-command,1,a,female,none,none,girls,mothers,taught,themselves,The girls near the mothers taught themselves . <eos>,The girls near the mothers taught themselves .,the girls near the mothers taught ***mask*** .,5.749981534881343
99,9,simple,local,c-command,1,b,female,none,none,mothers,girls,taught,themselves,The mothers near the girls taught themselves . <eos>,The mothers near the girls taught themselves .,the mothers near the girls taught ***mask*** .,6.1761877906325315
100,9,simple,local,no-c-command,0,a,male,head,number,boy,fathers,taught,themselves,The boy near the fathers taught themselves . <eos>,The boy near the fathers taught themselves .,the boy near the fathers taught ***mask*** .,11.588238962297781
101,9,simple,local,no-c-command,0,b,male,head,number,father,boys,taught,themselves,The father near the boys taught themselves . <eos>,The father near the boys taught themselves .,the father near the boys taught ***mask*** .,6.798780631691032
102,9,simple,local,no-c-command,0,a,female,head,number,girl,mothers,taught,themselves,The girl near the mothers taught themselves . <eos>,The girl near the mothers taught themselves .,the girl near the mothers taught ***mask*** .,10.599063771890199
103,9,simple,local,no-c-command,0,b,female,head,number,mother,girls,taught,themselves,The mother near the girls taught themselves . <eos>,The mother near the girls taught themselves .,the mother near the girls taught ***mask*** .,7.431193439910778
104,9,simple,local,c-command,1,a,male,distractor,number,boys,father,taught,themselves,The boys near the father taught themselves . <eos>,The boys near the father taught themselves .,the boys near the father taught ***mask*** .,5.504102775571277
105,9,simple,local,c-command,1,b,male,distractor,number,fathers,boy,taught,themselves,The fathers near the boy taught themselves . <eos>,The fathers near the boy taught themselves .,the fathers near the boy taught ***mask*** .,12.644782135102759
106,9,simple,local,c-command,1,a,female,distractor,number,girls,mother,taught,themselves,The girls near the mother taught themselves . <eos>,The girls near the mother taught themselves .,the girls near the mother taught ***mask*** .,5.716541806356501
107,9,simple,local,c-command,1,b,female,distractor,number,mothers,girl,taught,themselves,The mothers near the girl taught themselves . <eos>,The mothers near the girl taught themselves .,the mothers near the girl taught ***mask*** .,11.14936017415861
108,10,simple,local,c-command,1,a,male,none,none,boys,fathers,killed,themselves,The boys near the fathers killed themselves . <eos>,The boys near the fathers killed themselves .,the boys near the fathers killed ***mask*** .,2.826609395291883
109,10,simple,local,c-command,1,b,male,none,none,fathers,boys,killed,themselves,The fathers near the boys killed themselves . <eos>,The fathers near the boys killed themselves .,the fathers near the boys killed ***mask*** .,3.258181864549113
110,10,simple,local,c-command,1,a,female,none,none,girls,mothers,killed,themselves,The girls near the mothers killed themselves . <eos>,The girls near the mothers killed themselves .,the girls near the mothers killed ***mask*** .,1.380260026003673
111,10,simple,local,c-command,1,b,female,none,none,mothers,girls,killed,themselves,The mothers near the girls killed themselves . <eos>,The mothers near the girls killed themselves .,the mothers near the girls killed ***mask*** .,1.7017207728131578
112,10,simple,local,no-c-command,0,a,male,head,number,boy,fathers,killed,themselves,The boy near the fathers killed themselves . <eos>,The boy near the fathers killed themselves .,the boy near the fathers killed ***mask*** .,7.820270371402662
113,10,simple,local,no-c-command,0,b,male,head,number,father,boys,killed,themselves,The father near the boys killed themselves . <eos>,The father near the boys killed themselves .,the father near the boys killed ***mask*** .,4.831401326754195
114,10,simple,local,no-c-command,0,a,female,head,number,girl,mothers,killed,themselves,The girl near the mothers killed themselves . <eos>,The girl near the mothers killed themselves .,the girl near the mothers killed ***mask*** .,6.154414527263651
115,10,simple,local,no-c-command,0,b,female,head,number,mother,girls,killed,themselves,The mother near the girls killed themselves . <eos>,The mother near the girls killed themselves .,the mother near the girls killed ***mask*** .,4.7504874964599795
116,10,simple,local,c-command,1,a,male,distractor,number,boys,father,killed,themselves,The boys near the father killed themselves . <eos>,The boys near the father killed themselves .,the boys near the father killed ***mask*** .,3.2322265229573177
117,10,simple,local,c-command,1,b,male,distractor,number,fathers,boy,killed,themselves,The fathers near the boy killed themselves . <eos>,The fathers near the boy killed themselves .,the fathers near the boy killed ***mask*** .,5.568309720292727
118,10,simple,local,c-command,1,a,female,distractor,number,girls,mother,killed,themselves,The girls near the mother killed themselves . <eos>,The girls near the mother killed themselves .,the girls near the mother killed ***mask*** .,3.311004990177245
119,10,simple,local,c-command,1,b,female,distractor,number,mothers,girl,killed,themselves,The mothers near the girl killed themselves . <eos>,The mothers near the girl killed themselves .,the mothers near the girl killed ***mask*** .,3.669868721755054
120,11,simple,local,c-command,1,a,male,none,none,boys,fathers,called,themselves,The boys near the fathers called themselves . <eos>,The boys near the fathers called themselves .,the boys near the fathers called ***mask*** .,9.978874298679347
121,11,simple,local,c-command,1,b,male,none,none,fathers,boys,called,themselves,The fathers near the boys called themselves . <eos>,The fathers near the boys called themselves .,the fathers near the boys called ***mask*** .,11.025829289212659
122,11,simple,local,c-command,1,a,female,none,none,girls,mothers,called,themselves,The girls near the mothers called themselves . <eos>,The girls near the mothers called themselves .,the girls near the mothers called ***mask*** .,11.128496469885203
123,11,simple,local,c-command,1,b,female,none,none,mothers,girls,called,themselves,The mothers near the girls called themselves . <eos>,The mothers near the girls called themselves .,the mothers near the girls called ***mask*** .,12.085284949815165
124,11,simple,local,no-c-command,0,a,male,head,number,boy,fathers,called,themselves,The boy near the fathers called themselves . <eos>,The boy near the fathers called themselves .,the boy near the fathers called ***mask*** .,14.874050888072663
125,11,simple,local,no-c-command,0,b,male,head,number,father,boys,called,themselves,The father near the boys called themselves . <eos>,The father near the boys called themselves .,the father near the boys called ***mask*** .,12.844550658422955
126,11,simple,local,no-c-command,0,a,female,head,number,girl,mothers,called,themselves,The girl near the mothers called themselves . <eos>,The girl near the mothers called themselves .,the girl near the mothers called ***mask*** .,15.648432298481618
127,11,simple,local,no-c-command,0,b,female,head,number,mother,girls,called,themselves,The mother near the girls called themselves . <eos>,The mother near the girls called themselves .,the mother near the girls called ***mask*** .,14.099140284342152
128,11,simple,local,c-command,1,a,male,distractor,number,boys,father,called,themselves,The boys near the father called themselves . <eos>,The boys near the father called themselves .,the boys near the father called ***mask*** .,10.060787668873692
129,11,simple,local,c-command,1,b,male,distractor,number,fathers,boy,called,themselves,The fathers near the boy called themselves . <eos>,The fathers near the boy called themselves .,the fathers near the boy called ***mask*** .,12.867115311031917
130,11,simple,local,c-command,1,a,female,distractor,number,girls,mother,called,themselves,The girls near the mother called themselves . <eos>,The girls near the mother called themselves .,the girls near the mother called ***mask*** .,10.898012791392734
131,11,simple,local,c-command,1,b,female,distractor,number,mothers,girl,called,themselves,The mothers near the girl called themselves . <eos>,The mothers near the girl called themselves .,the mothers near the girl called ***mask*** .,13.011897755914116
132,12,simple,local,c-command,1,a,male,none,none,boys,fathers,dedicated,themselves,The boys near the fathers dedicated themselves . <eos>,The boys near the fathers dedicated themselves .,the boys near the fathers dedicated ***mask*** .,1.0633795822751133
133,12,simple,local,c-command,1,b,male,none,none,fathers,boys,dedicated,themselves,The fathers near the boys dedicated themselves . <eos>,The fathers near the boys dedicated themselves .,the fathers near the boys dedicated ***mask*** .,1.5784432446856862
134,12,simple,local,c-command,1,a,female,none,none,girls,mothers,dedicated,themselves,The girls near the mothers dedicated themselves . <eos>,The girls near the mothers dedicated themselves .,the girls near the mothers dedicated ***mask*** .,0.3519805234205041
135,12,simple,local,c-command,1,b,female,none,none,mothers,girls,dedicated,themselves,The mothers near the girls dedicated themselves . <eos>,The mothers near the girls dedicated themselves .,the mothers near the girls dedicated ***mask*** .,0.33015246393646
136,12,simple,local,no-c-command,0,a,male,head,number,boy,fathers,dedicated,themselves,The boy near the fathers dedicated themselves . <eos>,The boy near the fathers dedicated themselves .,the boy near the fathers dedicated ***mask*** .,6.66455144286547
137,12,simple,local,no-c-command,0,b,male,head,number,father,boys,dedicated,themselves,The father near the boys dedicated themselves . <eos>,The father near the boys dedicated themselves .,the father near the boys dedicated ***mask*** .,3.631851398371242
138,12,simple,local,no-c-command,0,a,female,head,number,girl,mothers,dedicated,themselves,The girl near the mothers dedicated themselves . <eos>,The girl near the mothers dedicated themselves .,the girl near the mothers dedicated ***mask*** .,5.529445629243249
139,12,simple,local,no-c-command,0,b,female,head,number,mother,girls,dedicated,themselves,The mother near the girls dedicated themselves . <eos>,The mother near the girls dedicated themselves .,the mother near the girls dedicated ***mask*** .,5.176889464429306
140,12,simple,local,c-command,1,a,male,distractor,number,boys,father,dedicated,themselves,The boys near the father dedicated themselves . <eos>,The boys near the father dedicated themselves .,the boys near the father dedicated ***mask*** .,1.6755614928096811
141,12,simple,local,c-command,1,b,male,distractor,number,fathers,boy,dedicated,themselves,The fathers near the boy dedicated themselves . <eos>,The fathers near the boy dedicated themselves .,the fathers near the boy dedicated ***mask*** .,3.030833962681248
