item,clause_type,locality,grammatical,counterbalance,mismatch_position,mismatch_feature,nonlocal_subj,local_sub,verb,pronoun,sentence,sentence_no_eos
3,embed,nonlocal,0,a,local_subj,gender,surgeon,maid,saw,himself,The surgeon said that the maid saw himself . <eos>,The surgeon said that the maid saw himself .
3,embed,nonlocal,0,b,local_subj,gender,sergeant,maid,saw,himself,The sergeant said that the maid saw himself . <eos>,The sergeant said that the maid saw himself .
4,embed,local,1,a,none,none,surgeon,sergeant,had blamed,himself,The surgeon said that the sergeant had blamed himself . <eos>,The surgeon said that the sergeant had blamed himself .
4,embed,local,1,b,none,none,sergeant,surgeon,had blamed,himself,The sergeant said that the surgeon had blamed himself . <eos>,The sergeant said that the surgeon had blamed himself .
4,embed,local,1,a,nonlocal_subj,gender,maid,surgeon,had blamed,himself,The maid said that the surgeon had blamed himself . <eos>,The maid said that the surgeon had blamed himself .
4,embed,local,1,b,nonlocal_subj,gender,maid,sergeant,had blamed,himself,The maid said that the sergeant had blamed himself . <eos>,The maid said that the sergeant had blamed himself .
4,embed,nonlocal,0,a,local_subj,gender,surgeon,maid,had blamed,himself,The surgeon said that the maid had blamed himself . <eos>,The surgeon said that the maid had blamed himself .
4,embed,nonlocal,0,b,local_subj,gender,sergeant,maid,had blamed,himself,The sergeant said that the maid had blamed himself . <eos>,The sergeant said that the maid had blamed himself .
5,embed,local,1,a,none,none,surgeon,sergeant,had cut,himself,The surgeon said that the sergeant had cut himself . <eos>,The surgeon said that the sergeant had cut himself .
5,embed,local,1,b,none,none,sergeant,surgeon,had cut,himself,The sergeant said that the surgeon had cut himself . <eos>,The sergeant said that the surgeon had cut himself .
5,embed,local,1,a,nonlocal_subj,gender,maid,surgeon,had cut,himself,The maid said that the surgeon had cut himself . <eos>,The maid said that the surgeon had cut himself .
5,embed,local,1,b,nonlocal_subj,gender,maid,sergeant,had cut,himself,The maid said that the sergeant had cut himself . <eos>,The maid said that the sergeant had cut himself .
5,embed,nonlocal,0,a,local_subj,gender,surgeon,maid,had cut,himself,The surgeon said that the maid had cut himself . <eos>,The surgeon said that the maid had cut himself .
5,embed,nonlocal,0,b,local_subj,gender,sergeant,maid,had cut,himself,The sergeant said that the maid had cut himself . <eos>,The sergeant said that the maid had cut himself .
6,embed,local,1,a,none,none,surgeon,sergeant,had amused,himself,The surgeon said that the sergeant had amused himself . <eos>,The surgeon said that the sergeant had amused himself .
6,embed,local,1,b,none,none,sergeant,surgeon,had amused,himself,The sergeant said that the surgeon had amused himself . <eos>,The sergeant said that the surgeon had amused himself .
6,embed,local,1,a,nonlocal_subj,gender,maid,surgeon,had amused,himself,The maid said that the surgeon had amused himself . <eos>,The maid said that the surgeon had amused himself .
6,embed,local,1,b,nonlocal_subj,gender,maid,sergeant,had amused,himself,The maid said that the sergeant had amused himself . <eos>,The maid said that the sergeant had amused himself .
6,embed,nonlocal,0,a,local_subj,gender,surgeon,maid,had amused,himself,The surgeon said that the maid had amused himself . <eos>,The surgeon said that the maid had amused himself .
6,embed,nonlocal,0,b,local_subj,gender,sergeant,maid,had amused,himself,The sergeant said that the maid had amused himself . <eos>,The sergeant said that the maid had amused himself .
7,embed,local,1,a,none,none,surgeon,sergeant,had hurt,himself,The surgeon said that the sergeant had hurt himself . <eos>,The surgeon said that the sergeant had hurt himself .
7,embed,local,1,b,none,none,sergeant,surgeon,had hurt,himself,The sergeant said that the surgeon had hurt himself . <eos>,The sergeant said that the surgeon had hurt himself .
7,embed,local,1,a,nonlocal_subj,gender,maid,surgeon,had hurt,himself,The maid said that the surgeon had hurt himself . <eos>,The maid said that the surgeon had hurt himself .
7,embed,local,1,b,nonlocal_subj,gender,maid,sergeant,had hurt,himself,The maid said that the sergeant had hurt himself . <eos>,The maid said that the sergeant had hurt himself .
7,embed,nonlocal,0,a,local_subj,gender,surgeon,maid,had hurt,himself,The surgeon said that the maid had hurt himself . <eos>,The surgeon said that the maid had hurt himself .
7,embed,nonlocal,0,b,local_subj,gender,sergeant,maid,had hurt,himself,The sergeant said that the maid had hurt himself . <eos>,The sergeant said that the maid had hurt himself .
8,embed,local,1,a,none,none,surgeon,sergeant,had taught,himself,The surgeon said that the sergeant had taught himself . <eos>,The surgeon said that the sergeant had taught himself .
8,embed,local,1,b,none,none,sergeant,surgeon,had taught,himself,The sergeant said that the surgeon had taught himself . <eos>,The sergeant said that the surgeon had taught himself .
8,embed,local,1,a,nonlocal_subj,gender,maid,surgeon,had taught,himself,The maid said that the surgeon had taught himself . <eos>,The maid said that the surgeon had taught himself .
8,embed,local,1,b,nonlocal_subj,gender,maid,sergeant,had taught,himself,The maid said that the sergeant had taught himself . <eos>,The maid said that the sergeant had taught himself .
8,embed,nonlocal,0,a,local_subj,gender,surgeon,maid,had taught,himself,The surgeon said that the maid had taught himself . <eos>,The surgeon said that the maid had taught himself .
8,embed,nonlocal,0,b,local_subj,gender,sergeant,maid,had taught,himself,The sergeant said that the maid had taught himself . <eos>,The sergeant said that the maid had taught himself .
9,embed,local,1,a,none,none,surgeon,sergeant,had introduced,himself,The surgeon said that the sergeant had introduced himself . <eos>,The surgeon said that the sergeant had introduced himself .
9,embed,local,1,b,none,none,sergeant,surgeon,had introduced,himself,The sergeant said that the surgeon had introduced himself . <eos>,The sergeant said that the surgeon had introduced himself .
9,embed,local,1,a,nonlocal_subj,gender,maid,surgeon,had introduced,himself,The maid said that the surgeon had introduced himself . <eos>,The maid said that the surgeon had introduced himself .
9,embed,local,1,b,nonlocal_subj,gender,maid,sergeant,had introduced,himself,The maid said that the sergeant had introduced himself . <eos>,The maid said that the sergeant had introduced himself .
9,embed,nonlocal,0,a,local_subj,gender,surgeon,maid,had introduced,himself,The surgeon said that the maid had introduced himself . <eos>,The surgeon said that the maid had introduced himself .
9,embed,nonlocal,0,b,local_subj,gender,sergeant,maid,had introduced,himself,The sergeant said that the maid had introduced himself . <eos>,The sergeant said that the maid had introduced himself .
10,embed,local,1,a,none,none,surgeon,sergeant,had enjoyed,himself,The surgeon said that the sergeant had enjoyed himself . <eos>,The surgeon said that the sergeant had enjoyed himself .
10,embed,local,1,b,none,none,sergeant,surgeon,had enjoyed,himself,The sergeant said that the surgeon had enjoyed himself . <eos>,The sergeant said that the surgeon had enjoyed himself .
10,embed,local,1,a,nonlocal_subj,gender,maid,surgeon,had enjoyed,himself,The maid said that the surgeon had enjoyed himself . <eos>,The maid said that the surgeon had enjoyed himself .
10,embed,local,1,b,nonlocal_subj,gender,maid,sergeant,had enjoyed,himself,The maid said that the sergeant had enjoyed himself . <eos>,The maid said that the sergeant had enjoyed himself .
10,embed,nonlocal,0,a,local_subj,gender,surgeon,maid,had enjoyed,himself,The surgeon said that the maid had enjoyed himself . <eos>,The surgeon said that the maid had enjoyed himself .
10,embed,nonlocal,0,b,local_subj,gender,sergeant,maid,had enjoyed,himself,The sergeant said that the maid had enjoyed himself . <eos>,The sergeant said that the maid had enjoyed himself .
11,embed,local,1,a,none,none,surgeon,sergeant,had prepared,himself,The surgeon said that the sergeant had prepared himself . <eos>,The surgeon said that the sergeant had prepared himself .
11,embed,local,1,b,none,none,sergeant,surgeon,had prepared,himself,The sergeant said that the surgeon had prepared himself . <eos>,The sergeant said that the surgeon had prepared himself .
11,embed,local,1,a,nonlocal_subj,gender,maid,surgeon,had prepared,himself,The maid said that the surgeon had prepared himself . <eos>,The maid said that the surgeon had prepared himself .
11,embed,local,1,b,nonlocal_subj,gender,maid,sergeant,had prepared,himself,The maid said that the sergeant had prepared himself . <eos>,The maid said that the sergeant had prepared himself .
11,embed,nonlocal,0,a,local_subj,gender,surgeon,maid,had prepared,himself,The surgeon said that the maid had prepared himself . <eos>,The surgeon said that the maid had prepared himself .
11,embed,nonlocal,0,b,local_subj,gender,sergeant,maid,had prepared,himself,The sergeant said that the maid had prepared himself . <eos>,The sergeant said that the maid had prepared himself .
12,embed,local,1,a,none,none,surgeon,sergeant,had shouted,himself,The surgeon said that the sergeant had shouted himself . <eos>,The surgeon said that the sergeant had shouted himself .
12,embed,local,1,b,none,none,sergeant,surgeon,had shouted,himself,The sergeant said that the surgeon had shouted himself . <eos>,The sergeant said that the surgeon had shouted himself .
12,embed,local,1,a,nonlocal_subj,gender,maid,surgeon,had shouted,himself,The maid said that the surgeon had shouted himself . <eos>,The maid said that the surgeon had shouted himself .
12,embed,local,1,b,nonlocal_subj,gender,maid,sergeant,had shouted,himself,The maid said that the sergeant had shouted himself . <eos>,The maid said that the sergeant had shouted himself .
12,embed,nonlocal,0,a,local_subj,gender,surgeon,maid,had shouted,himself,The surgeon said that the maid had shouted himself . <eos>,The surgeon said that the maid had shouted himself .
12,embed,nonlocal,0,b,local_subj,gender,sergeant,maid,had shouted,himself,The sergeant said that the maid had shouted himself . <eos>,The sergeant said that the maid had shouted himself .
13,embed,local,1,a,none,none,surgeon,sergeant,had washed,himself,The surgeon said that the sergeant had washed himself . <eos>,The surgeon said that the sergeant had washed himself .
13,embed,local,1,b,none,none,sergeant,surgeon,had washed,himself,The sergeant said that the surgeon had washed himself . <eos>,The sergeant said that the surgeon had washed himself .
13,embed,local,1,a,nonlocal_subj,gender,maid,surgeon,had washed,himself,The maid said that the surgeon had washed himself . <eos>,The maid said that the surgeon had washed himself .
13,embed,local,1,b,nonlocal_subj,gender,maid,sergeant,had washed,himself,The maid said that the sergeant had washed himself . <eos>,The maid said that the sergeant had washed himself .
13,embed,nonlocal,0,a,local_subj,gender,surgeon,maid,had washed,himself,The surgeon said that the maid had washed himself . <eos>,The surgeon said that the maid had washed himself .
13,embed,nonlocal,0,b,local_subj,gender,sergeant,maid,had washed,himself,The sergeant said that the maid had washed himself . <eos>,The sergeant said that the maid had washed himself .
14,embed,local,1,a,none,none,surgeon,sergeant,had asserted,himself,The surgeon said that the sergeant had asserted himself . <eos>,The surgeon said that the sergeant had asserted himself .
14,embed,local,1,b,none,none,sergeant,surgeon,had asserted,himself,The sergeant said that the surgeon had asserted himself . <eos>,The sergeant said that the surgeon had asserted himself .
14,embed,local,1,a,nonlocal_subj,gender,maid,surgeon,had asserted,himself,The maid said that the surgeon had asserted himself . <eos>,The maid said that the surgeon had asserted himself .
14,embed,local,1,b,nonlocal_subj,gender,maid,sergeant,had asserted,himself,The maid said that the sergeant had asserted himself . <eos>,The maid said that the sergeant had asserted himself .
14,embed,nonlocal,0,a,local_subj,gender,surgeon,maid,had asserted,himself,The surgeon said that the maid had asserted himself . <eos>,The surgeon said that the maid had asserted himself .
14,embed,nonlocal,0,b,local_subj,gender,sergeant,maid,had asserted,himself,The sergeant said that the maid had asserted himself . <eos>,The sergeant said that the maid had asserted himself .
15,embed,local,1,a,none,none,surgeon,sergeant,kicked,himself,The surgeon said that the sergeant kicked himself . <eos>,The surgeon said that the sergeant kicked himself .
15,embed,local,1,b,none,none,sergeant,surgeon,kicked,himself,The sergeant said that the surgeon kicked himself . <eos>,The sergeant said that the surgeon kicked himself .
15,embed,local,1,a,nonlocal_subj,gender,maid,surgeon,kicked,himself,The maid said that the surgeon kicked himself . <eos>,The maid said that the surgeon kicked himself .
15,embed,local,1,b,nonlocal_subj,gender,maid,sergeant,kicked,himself,The maid said that the sergeant kicked himself . <eos>,The maid said that the sergeant kicked himself .
15,embed,nonlocal,0,a,local_subj,gender,surgeon,maid,kicked,himself,The surgeon said that the maid kicked himself . <eos>,The surgeon said that the maid kicked himself .
15,embed,nonlocal,0,b,local_subj,gender,sergeant,maid,kicked,himself,The sergeant said that the maid kicked himself . <eos>,The sergeant said that the maid kicked himself .
16,embed,local,1,a,none,none,plumber,quarterback,had admired,himself,The plumber said that the quarterback had admired himself . <eos>,The plumber said that the quarterback had admired himself .
16,embed,local,1,b,none,none,quarterback,plumber,had admired,himself,The quarterback said that the plumber had admired himself . <eos>,The quarterback said that the plumber had admired himself .
16,embed,local,1,a,nonlocal_subj,gender,maid,plumber,had admired,himself,The maid said that the plumber had admired himself . <eos>,The maid said that the plumber had admired himself .
16,embed,local,1,b,nonlocal_subj,gender,maid,quarterback,had admired,himself,The maid said that the quarterback had admired himself . <eos>,The maid said that the quarterback had admired himself .
16,embed,nonlocal,0,a,local_subj,gender,plumber,maid,had admired,himself,The plumber said that the maid had admired himself . <eos>,The plumber said that the maid had admired himself .
16,embed,nonlocal,0,b,local_subj,gender,quarterback,maid,had admired,himself,The quarterback said that the maid had admired himself . <eos>,The quarterback said that the maid had admired himself .
17,embed,local,1,a,none,none,plumber,quarterback,had convinced,himself,The plumber said that the quarterback had convinced himself . <eos>,The plumber said that the quarterback had convinced himself .
17,embed,local,1,b,none,none,quarterback,plumber,had convinced,himself,The quarterback said that the plumber had convinced himself . <eos>,The quarterback said that the plumber had convinced himself .
17,embed,local,1,a,nonlocal_subj,gender,maid,plumber,had convinced,himself,The maid said that the plumber had convinced himself . <eos>,The maid said that the plumber had convinced himself .
17,embed,local,1,b,nonlocal_subj,gender,maid,quarterback,had convinced,himself,The maid said that the quarterback had convinced himself . <eos>,The maid said that the quarterback had convinced himself .
17,embed,nonlocal,0,a,local_subj,gender,plumber,maid,had convinced,himself,The plumber said that the maid had convinced himself . <eos>,The plumber said that the maid had convinced himself .
17,embed,nonlocal,0,b,local_subj,gender,quarterback,maid,had convinced,himself,The quarterback said that the maid had convinced himself . <eos>,The quarterback said that the maid had convinced himself .
18,embed,local,1,a,none,none,plumber,quarterback,saw,himself,The plumber said that the quarterback saw himself . <eos>,The plumber said that the quarterback saw himself .
18,embed,local,1,b,none,none,quarterback,plumber,saw,himself,The quarterback said that the plumber saw himself . <eos>,The quarterback said that the plumber saw himself .
18,embed,local,1,a,nonlocal_subj,gender,maid,plumber,saw,himself,The maid said that the plumber saw himself . <eos>,The maid said that the plumber saw himself .
18,embed,local,1,b,nonlocal_subj,gender,maid,quarterback,saw,himself,The maid said that the quarterback saw himself . <eos>,The maid said that the quarterback saw himself .
18,embed,nonlocal,0,a,local_subj,gender,plumber,maid,saw,himself,The plumber said that the maid saw himself . <eos>,The plumber said that the maid saw himself .
18,embed,nonlocal,0,b,local_subj,gender,quarterback,maid,saw,himself,The quarterback said that the maid saw himself . <eos>,The quarterback said that the maid saw himself .
19,embed,local,1,a,none,none,plumber,quarterback,had blamed,himself,The plumber said that the quarterback had blamed himself . <eos>,The plumber said that the quarterback had blamed himself .
19,embed,local,1,b,none,none,quarterback,plumber,had blamed,himself,The quarterback said that the plumber had blamed himself . <eos>,The quarterback said that the plumber had blamed himself .
19,embed,local,1,a,nonlocal_subj,gender,maid,plumber,had blamed,himself,The maid said that the plumber had blamed himself . <eos>,The maid said that the plumber had blamed himself .
19,embed,local,1,b,nonlocal_subj,gender,maid,quarterback,had blamed,himself,The maid said that the quarterback had blamed himself . <eos>,The maid said that the quarterback had blamed himself .
19,embed,nonlocal,0,a,local_subj,gender,plumber,maid,had blamed,himself,The plumber said that the maid had blamed himself . <eos>,The plumber said that the maid had blamed himself .
19,embed,nonlocal,0,b,local_subj,gender,quarterback,maid,had blamed,himself,The quarterback said that the maid had blamed himself . <eos>,The quarterback said that the maid had blamed himself .
20,embed,local,1,a,none,none,plumber,quarterback,had cut,himself,The plumber said that the quarterback had cut himself . <eos>,The plumber said that the quarterback had cut himself .
20,embed,local,1,b,none,none,quarterback,plumber,had cut,himself,The quarterback said that the plumber had cut himself . <eos>,The quarterback said that the plumber had cut himself .
20,embed,local,1,a,nonlocal_subj,gender,maid,plumber,had cut,himself,The maid said that the plumber had cut himself . <eos>,The maid said that the plumber had cut himself .
20,embed,local,1,b,nonlocal_subj,gender,maid,quarterback,had cut,himself,The maid said that the quarterback had cut himself . <eos>,The maid said that the quarterback had cut himself .
20,embed,nonlocal,0,a,local_subj,gender,plumber,maid,had cut,himself,The plumber said that the maid had cut himself . <eos>,The plumber said that the maid had cut himself .
20,embed,nonlocal,0,b,local_subj,gender,quarterback,maid,had cut,himself,The quarterback said that the maid had cut himself . <eos>,The quarterback said that the maid had cut himself .
21,embed,local,1,a,none,none,plumber,quarterback,had amused,himself,The plumber said that the quarterback had amused himself . <eos>,The plumber said that the quarterback had amused himself .
21,embed,local,1,b,none,none,quarterback,plumber,had amused,himself,The quarterback said that the plumber had amused himself . <eos>,The quarterback said that the plumber had amused himself .
21,embed,local,1,a,nonlocal_subj,gender,maid,plumber,had amused,himself,The maid said that the plumber had amused himself . <eos>,The maid said that the plumber had amused himself .
21,embed,local,1,b,nonlocal_subj,gender,maid,quarterback,had amused,himself,The maid said that the quarterback had amused himself . <eos>,The maid said that the quarterback had amused himself .
21,embed,nonlocal,0,a,local_subj,gender,plumber,maid,had amused,himself,The plumber said that the maid had amused himself . <eos>,The plumber said that the maid had amused himself .
21,embed,nonlocal,0,b,local_subj,gender,quarterback,maid,had amused,himself,The quarterback said that the maid had amused himself . <eos>,The quarterback said that the maid had amused himself .
22,embed,local,1,a,none,none,plumber,quarterback,had hurt,himself,The plumber said that the quarterback had hurt himself . <eos>,The plumber said that the quarterback had hurt himself .
22,embed,local,1,b,none,none,quarterback,plumber,had hurt,himself,The quarterback said that the plumber had hurt himself . <eos>,The quarterback said that the plumber had hurt himself .
22,embed,local,1,a,nonlocal_subj,gender,maid,plumber,had hurt,himself,The maid said that the plumber had hurt himself . <eos>,The maid said that the plumber had hurt himself .
22,embed,local,1,b,nonlocal_subj,gender,maid,quarterback,had hurt,himself,The maid said that the quarterback had hurt himself . <eos>,The maid said that the quarterback had hurt himself .
22,embed,nonlocal,0,a,local_subj,gender,plumber,maid,had hurt,himself,The plumber said that the maid had hurt himself . <eos>,The plumber said that the maid had hurt himself .
22,embed,nonlocal,0,b,local_subj,gender,quarterback,maid,had hurt,himself,The quarterback said that the maid had hurt himself . <eos>,The quarterback said that the maid had hurt himself .
23,embed,local,1,a,none,none,plumber,quarterback,had taught,himself,The plumber said that the quarterback had taught himself . <eos>,The plumber said that the quarterback had taught himself .
23,embed,local,1,b,none,none,quarterback,plumber,had taught,himself,The quarterback said that the plumber had taught himself . <eos>,The quarterback said that the plumber had taught himself .
23,embed,local,1,a,nonlocal_subj,gender,maid,plumber,had taught,himself,The maid said that the plumber had taught himself . <eos>,The maid said that the plumber had taught himself .
23,embed,local,1,b,nonlocal_subj,gender,maid,quarterback,had taught,himself,The maid said that the quarterback had taught himself . <eos>,The maid said that the quarterback had taught himself .
23,embed,nonlocal,0,a,local_subj,gender,plumber,maid,had taught,himself,The plumber said that the maid had taught himself . <eos>,The plumber said that the maid had taught himself .
23,embed,nonlocal,0,b,local_subj,gender,quarterback,maid,had taught,himself,The quarterback said that the maid had taught himself . <eos>,The quarterback said that the maid had taught himself .
24,embed,local,1,a,none,none,plumber,quarterback,had introduced,himself,The plumber said that the quarterback had introduced himself . <eos>,The plumber said that the quarterback had introduced himself .
24,embed,local,1,b,none,none,quarterback,plumber,had introduced,himself,The quarterback said that the plumber had introduced himself . <eos>,The quarterback said that the plumber had introduced himself .
24,embed,local,1,a,nonlocal_subj,gender,maid,plumber,had introduced,himself,The maid said that the plumber had introduced himself . <eos>,The maid said that the plumber had introduced himself .
24,embed,local,1,b,nonlocal_subj,gender,maid,quarterback,had introduced,himself,The maid said that the quarterback had introduced himself . <eos>,The maid said that the quarterback had introduced himself .
24,embed,nonlocal,0,a,local_subj,gender,plumber,maid,had introduced,himself,The plumber said that the maid had introduced himself . <eos>,The plumber said that the maid had introduced himself .
24,embed,nonlocal,0,b,local_subj,gender,quarterback,maid,had introduced,himself,The quarterback said that the maid had introduced himself . <eos>,The quarterback said that the maid had introduced himself .
25,embed,local,1,a,none,none,plumber,quarterback,had enjoyed,himself,The plumber said that the quarterback had enjoyed himself . <eos>,The plumber said that the quarterback had enjoyed himself .
25,embed,local,1,b,none,none,quarterback,plumber,had enjoyed,himself,The quarterback said that the plumber had enjoyed himself . <eos>,The quarterback said that the plumber had enjoyed himself .
25,embed,local,1,a,nonlocal_subj,gender,maid,plumber,had enjoyed,himself,The maid said that the plumber had enjoyed himself . <eos>,The maid said that the plumber had enjoyed himself .
25,embed,local,1,b,nonlocal_subj,gender,maid,quarterback,had enjoyed,himself,The maid said that the quarterback had enjoyed himself . <eos>,The maid said that the quarterback had enjoyed himself .
25,embed,nonlocal,0,a,local_subj,gender,plumber,maid,had enjoyed,himself,The plumber said that the maid had enjoyed himself . <eos>,The plumber said that the maid had enjoyed himself .
25,embed,nonlocal,0,b,local_subj,gender,quarterback,maid,had enjoyed,himself,The quarterback said that the maid had enjoyed himself . <eos>,The quarterback said that the maid had enjoyed himself .
26,embed,local,1,a,none,none,plumber,quarterback,had prepared,himself,The plumber said that the quarterback had prepared himself . <eos>,The plumber said that the quarterback had prepared himself .
26,embed,local,1,b,none,none,quarterback,plumber,had prepared,himself,The quarterback said that the plumber had prepared himself . <eos>,The quarterback said that the plumber had prepared himself .
26,embed,local,1,a,nonlocal_subj,gender,maid,plumber,had prepared,himself,The maid said that the plumber had prepared himself . <eos>,The maid said that the plumber had prepared himself .
26,embed,local,1,b,nonlocal_subj,gender,maid,quarterback,had prepared,himself,The maid said that the quarterback had prepared himself . <eos>,The maid said that the quarterback had prepared himself .
26,embed,nonlocal,0,a,local_subj,gender,plumber,maid,had prepared,himself,The plumber said that the maid had prepared himself . <eos>,The plumber said that the maid had prepared himself .
26,embed,nonlocal,0,b,local_subj,gender,quarterback,maid,had prepared,himself,The quarterback said that the maid had prepared himself . <eos>,The quarterback said that the maid had prepared himself .
27,embed,local,1,a,none,none,plumber,quarterback,had shouted,himself,The plumber said that the quarterback had shouted himself . <eos>,The plumber said that the quarterback had shouted himself .
27,embed,local,1,b,none,none,quarterback,plumber,had shouted,himself,The quarterback said that the plumber had shouted himself . <eos>,The quarterback said that the plumber had shouted himself .
27,embed,local,1,a,nonlocal_subj,gender,maid,plumber,had shouted,himself,The maid said that the plumber had shouted himself . <eos>,The maid said that the plumber had shouted himself .
27,embed,local,1,b,nonlocal_subj,gender,maid,quarterback,had shouted,himself,The maid said that the quarterback had shouted himself . <eos>,The maid said that the quarterback had shouted himself .
27,embed,nonlocal,0,a,local_subj,gender,plumber,maid,had shouted,himself,The plumber said that the maid had shouted himself . <eos>,The plumber said that the maid had shouted himself .
27,embed,nonlocal,0,b,local_subj,gender,quarterback,maid,had shouted,himself,The quarterback said that the maid had shouted himself . <eos>,The quarterback said that the maid had shouted himself .
28,embed,local,1,a,none,none,plumber,quarterback,had washed,himself,The plumber said that the quarterback had washed himself . <eos>,The plumber said that the quarterback had washed himself .
28,embed,local,1,b,none,none,quarterback,plumber,had washed,himself,The quarterback said that the plumber had washed himself . <eos>,The quarterback said that the plumber had washed himself .
28,embed,local,1,a,nonlocal_subj,gender,maid,plumber,had washed,himself,The maid said that the plumber had washed himself . <eos>,The maid said that the plumber had washed himself .
28,embed,local,1,b,nonlocal_subj,gender,maid,quarterback,had washed,himself,The maid said that the quarterback had washed himself . <eos>,The maid said that the quarterback had washed himself .
28,embed,nonlocal,0,a,local_subj,gender,plumber,maid,had washed,himself,The plumber said that the maid had washed himself . <eos>,The plumber said that the maid had washed himself .
28,embed,nonlocal,0,b,local_subj,gender,quarterback,maid,had washed,himself,The quarterback said that the maid had washed himself . <eos>,The quarterback said that the maid had washed himself .
29,embed,local,1,a,none,none,plumber,quarterback,had asserted,himself,The plumber said that the quarterback had asserted himself . <eos>,The plumber said that the quarterback had asserted himself .
29,embed,local,1,b,none,none,quarterback,plumber,had asserted,himself,The quarterback said that the plumber had asserted himself . <eos>,The quarterback said that the plumber had asserted himself .
29,embed,local,1,a,nonlocal_subj,gender,maid,plumber,had asserted,himself,The maid said that the plumber had asserted himself . <eos>,The maid said that the plumber had asserted himself .
29,embed,local,1,b,nonlocal_subj,gender,maid,quarterback,had asserted,himself,The maid said that the quarterback had asserted himself . <eos>,The maid said that the quarterback had asserted himself .
29,embed,nonlocal,0,a,local_subj,gender,plumber,maid,had asserted,himself,The plumber said that the maid had asserted himself . <eos>,The plumber said that the maid had asserted himself .
29,embed,nonlocal,0,b,local_subj,gender,quarterback,maid,had asserted,himself,The quarterback said that the maid had asserted himself . <eos>,The quarterback said that the maid had asserted himself .
30,embed,local,1,a,none,none,plumber,quarterback,kicked,himself,The plumber said that the quarterback kicked himself . <eos>,The plumber said that the quarterback kicked himself .
30,embed,local,1,b,none,none,quarterback,plumber,kicked,himself,The quarterback said that the plumber kicked himself . <eos>,The quarterback said that the plumber kicked himself .
30,embed,local,1,a,nonlocal_subj,gender,maid,plumber,kicked,himself,The maid said that the plumber kicked himself . <eos>,The maid said that the plumber kicked himself .
30,embed,local,1,b,nonlocal_subj,gender,maid,quarterback,kicked,himself,The maid said that the quarterback kicked himself . <eos>,The maid said that the quarterback kicked himself .
30,embed,nonlocal,0,a,local_subj,gender,plumber,maid,kicked,himself,The plumber said that the maid kicked himself . <eos>,The plumber said that the maid kicked himself .
30,embed,nonlocal,0,b,local_subj,gender,quarterback,maid,kicked,himself,The quarterback said that the maid kicked himself . <eos>,The quarterback said that the maid kicked himself .
31,embed,local,1,a,none,none,president,pilot,had admired,himself,The president said that the pilot had admired himself . <eos>,The president said that the pilot had admired himself .
31,embed,local,1,b,none,none,pilot,president,had admired,himself,The pilot said that the president had admired himself . <eos>,The pilot said that the president had admired himself .
