item,clause_type,locality,grammatical,counterbalance,mismatch_position,mismatch_feature,nonlocal_subj,local_sub,verb,pronoun,sentence,sentence_no_eos
2,embed,local,1,d,nonlocal_subj,number,author,bankers,injured,themselves,The author said that the bankers injured themselves . <eos>,The author said that the bankers injured themselves .
3,embed,local,1,a,none,none,mechanics,authors,congratulated,themselves,The mechanics said that the authors congratulated themselves . <eos>,The mechanics said that the authors congratulated themselves .
3,embed,local,1,b,none,none,authors,mechanics,congratulated,themselves,The authors said that the mechanics congratulated themselves . <eos>,The authors said that the mechanics congratulated themselves .
3,embed,local,1,c,none,none,bankers,authors,congratulated,themselves,The bankers said that the authors congratulated themselves . <eos>,The bankers said that the authors congratulated themselves .
3,embed,local,1,d,none,none,authors,bankers,congratulated,themselves,The authors said that the bankers congratulated themselves . <eos>,The authors said that the bankers congratulated themselves .
3,embed,nonlocal,0,a,local_subj,number,mechanics,author,congratulated,themselves,The mechanics said that the author congratulated themselves . <eos>,The mechanics said that the author congratulated themselves .
3,embed,nonlocal,0,b,local_subj,number,authors,mechanic,congratulated,themselves,The authors said that the mechanic congratulated themselves . <eos>,The authors said that the mechanic congratulated themselves .
3,embed,nonlocal,0,c,local_subj,number,bankers,author,congratulated,themselves,The bankers said that the author congratulated themselves . <eos>,The bankers said that the author congratulated themselves .
3,embed,nonlocal,0,d,local_subj,number,authors,banker,congratulated,themselves,The authors said that the banker congratulated themselves . <eos>,The authors said that the banker congratulated themselves .
3,embed,local,1,a,nonlocal_subj,number,mechanic,authors,congratulated,themselves,The mechanic said that the authors congratulated themselves . <eos>,The mechanic said that the authors congratulated themselves .
3,embed,local,1,b,nonlocal_subj,number,author,mechanics,congratulated,themselves,The author said that the mechanics congratulated themselves . <eos>,The author said that the mechanics congratulated themselves .
3,embed,local,1,c,nonlocal_subj,number,banker,authors,congratulated,themselves,The banker said that the authors congratulated themselves . <eos>,The banker said that the authors congratulated themselves .
3,embed,local,1,d,nonlocal_subj,number,author,bankers,congratulated,themselves,The author said that the bankers congratulated themselves . <eos>,The author said that the bankers congratulated themselves .
4,embed,local,1,a,none,none,mechanics,authors,embarrassed,themselves,The mechanics said that the authors embarrassed themselves . <eos>,The mechanics said that the authors embarrassed themselves .
4,embed,local,1,b,none,none,authors,mechanics,embarrassed,themselves,The authors said that the mechanics embarrassed themselves . <eos>,The authors said that the mechanics embarrassed themselves .
4,embed,local,1,c,none,none,bankers,authors,embarrassed,themselves,The bankers said that the authors embarrassed themselves . <eos>,The bankers said that the authors embarrassed themselves .
4,embed,local,1,d,none,none,authors,bankers,embarrassed,themselves,The authors said that the bankers embarrassed themselves . <eos>,The authors said that the bankers embarrassed themselves .
4,embed,nonlocal,0,a,local_subj,number,mechanics,author,embarrassed,themselves,The mechanics said that the author embarrassed themselves . <eos>,The mechanics said that the author embarrassed themselves .
4,embed,nonlocal,0,b,local_subj,number,authors,mechanic,embarrassed,themselves,The authors said that the mechanic embarrassed themselves . <eos>,The authors said that the mechanic embarrassed themselves .
4,embed,nonlocal,0,c,local_subj,number,bankers,author,embarrassed,themselves,The bankers said that the author embarrassed themselves . <eos>,The bankers said that the author embarrassed themselves .
4,embed,nonlocal,0,d,local_subj,number,authors,banker,embarrassed,themselves,The authors said that the banker embarrassed themselves . <eos>,The authors said that the banker embarrassed themselves .
4,embed,local,1,a,nonlocal_subj,number,mechanic,authors,embarrassed,themselves,The mechanic said that the authors embarrassed themselves . <eos>,The mechanic said that the authors embarrassed themselves .
4,embed,local,1,b,nonlocal_subj,number,author,mechanics,embarrassed,themselves,The author said that the mechanics embarrassed themselves . <eos>,The author said that the mechanics embarrassed themselves .
4,embed,local,1,c,nonlocal_subj,number,banker,authors,embarrassed,themselves,The banker said that the authors embarrassed themselves . <eos>,The banker said that the authors embarrassed themselves .
4,embed,local,1,d,nonlocal_subj,number,author,bankers,embarrassed,themselves,The author said that the bankers embarrassed themselves . <eos>,The author said that the bankers embarrassed themselves .
5,embed,local,1,a,none,none,mechanics,authors,disguised,themselves,The mechanics said that the authors disguised themselves . <eos>,The mechanics said that the authors disguised themselves .
5,embed,local,1,b,none,none,authors,mechanics,disguised,themselves,The authors said that the mechanics disguised themselves . <eos>,The authors said that the mechanics disguised themselves .
5,embed,local,1,c,none,none,bankers,authors,disguised,themselves,The bankers said that the authors disguised themselves . <eos>,The bankers said that the authors disguised themselves .
5,embed,local,1,d,none,none,authors,bankers,disguised,themselves,The authors said that the bankers disguised themselves . <eos>,The authors said that the bankers disguised themselves .
5,embed,nonlocal,0,a,local_subj,number,mechanics,author,disguised,themselves,The mechanics said that the author disguised themselves . <eos>,The mechanics said that the author disguised themselves .
5,embed,nonlocal,0,b,local_subj,number,authors,mechanic,disguised,themselves,The authors said that the mechanic disguised themselves . <eos>,The authors said that the mechanic disguised themselves .
5,embed,nonlocal,0,c,local_subj,number,bankers,author,disguised,themselves,The bankers said that the author disguised themselves . <eos>,The bankers said that the author disguised themselves .
5,embed,nonlocal,0,d,local_subj,number,authors,banker,disguised,themselves,The authors said that the banker disguised themselves . <eos>,The authors said that the banker disguised themselves .
5,embed,local,1,a,nonlocal_subj,number,mechanic,authors,disguised,themselves,The mechanic said that the authors disguised themselves . <eos>,The mechanic said that the authors disguised themselves .
5,embed,local,1,b,nonlocal_subj,number,author,mechanics,disguised,themselves,The author said that the mechanics disguised themselves . <eos>,The author said that the mechanics disguised themselves .
5,embed,local,1,c,nonlocal_subj,number,banker,authors,disguised,themselves,The banker said that the authors disguised themselves . <eos>,The banker said that the authors disguised themselves .
5,embed,local,1,d,nonlocal_subj,number,author,bankers,disguised,themselves,The author said that the bankers disguised themselves . <eos>,The author said that the bankers disguised themselves .
6,embed,local,1,a,none,none,mechanics,authors,hated,themselves,The mechanics said that the authors hated themselves . <eos>,The mechanics said that the authors hated themselves .
6,embed,local,1,b,none,none,authors,mechanics,hated,themselves,The authors said that the mechanics hated themselves . <eos>,The authors said that the mechanics hated themselves .
6,embed,local,1,c,none,none,bankers,authors,hated,themselves,The bankers said that the authors hated themselves . <eos>,The bankers said that the authors hated themselves .
6,embed,local,1,d,none,none,authors,bankers,hated,themselves,The authors said that the bankers hated themselves . <eos>,The authors said that the bankers hated themselves .
6,embed,nonlocal,0,a,local_subj,number,mechanics,author,hated,themselves,The mechanics said that the author hated themselves . <eos>,The mechanics said that the author hated themselves .
6,embed,nonlocal,0,b,local_subj,number,authors,mechanic,hated,themselves,The authors said that the mechanic hated themselves . <eos>,The authors said that the mechanic hated themselves .
6,embed,nonlocal,0,c,local_subj,number,bankers,author,hated,themselves,The bankers said that the author hated themselves . <eos>,The bankers said that the author hated themselves .
6,embed,nonlocal,0,d,local_subj,number,authors,banker,hated,themselves,The authors said that the banker hated themselves . <eos>,The authors said that the banker hated themselves .
6,embed,local,1,a,nonlocal_subj,number,mechanic,authors,hated,themselves,The mechanic said that the authors hated themselves . <eos>,The mechanic said that the authors hated themselves .
6,embed,local,1,b,nonlocal_subj,number,author,mechanics,hated,themselves,The author said that the mechanics hated themselves . <eos>,The author said that the mechanics hated themselves .
6,embed,local,1,c,nonlocal_subj,number,banker,authors,hated,themselves,The banker said that the authors hated themselves . <eos>,The banker said that the authors hated themselves .
6,embed,local,1,d,nonlocal_subj,number,author,bankers,hated,themselves,The author said that the bankers hated themselves . <eos>,The author said that the bankers hated themselves .
7,embed,local,1,a,none,none,mechanics,authors,doubted,themselves,The mechanics said that the authors doubted themselves . <eos>,The mechanics said that the authors doubted themselves .
7,embed,local,1,b,none,none,authors,mechanics,doubted,themselves,The authors said that the mechanics doubted themselves . <eos>,The authors said that the mechanics doubted themselves .
7,embed,local,1,c,none,none,bankers,authors,doubted,themselves,The bankers said that the authors doubted themselves . <eos>,The bankers said that the authors doubted themselves .
7,embed,local,1,d,none,none,authors,bankers,doubted,themselves,The authors said that the bankers doubted themselves . <eos>,The authors said that the bankers doubted themselves .
7,embed,nonlocal,0,a,local_subj,number,mechanics,author,doubted,themselves,The mechanics said that the author doubted themselves . <eos>,The mechanics said that the author doubted themselves .
7,embed,nonlocal,0,b,local_subj,number,authors,mechanic,doubted,themselves,The authors said that the mechanic doubted themselves . <eos>,The authors said that the mechanic doubted themselves .
7,embed,nonlocal,0,c,local_subj,number,bankers,author,doubted,themselves,The bankers said that the author doubted themselves . <eos>,The bankers said that the author doubted themselves .
7,embed,nonlocal,0,d,local_subj,number,authors,banker,doubted,themselves,The authors said that the banker doubted themselves . <eos>,The authors said that the banker doubted themselves .
7,embed,local,1,a,nonlocal_subj,number,mechanic,authors,doubted,themselves,The mechanic said that the authors doubted themselves . <eos>,The mechanic said that the authors doubted themselves .
7,embed,local,1,b,nonlocal_subj,number,author,mechanics,doubted,themselves,The author said that the mechanics doubted themselves . <eos>,The author said that the mechanics doubted themselves .
7,embed,local,1,c,nonlocal_subj,number,banker,authors,doubted,themselves,The banker said that the authors doubted themselves . <eos>,The banker said that the authors doubted themselves .
7,embed,local,1,d,nonlocal_subj,number,author,bankers,doubted,themselves,The author said that the bankers doubted themselves . <eos>,The author said that the bankers doubted themselves .
8,embed,local,1,a,none,none,mechanics,pilots,hurt,themselves,The mechanics said that the pilots hurt themselves . <eos>,The mechanics said that the pilots hurt themselves .
8,embed,local,1,b,none,none,pilots,mechanics,hurt,themselves,The pilots said that the mechanics hurt themselves . <eos>,The pilots said that the mechanics hurt themselves .
8,embed,local,1,c,none,none,bankers,pilots,hurt,themselves,The bankers said that the pilots hurt themselves . <eos>,The bankers said that the pilots hurt themselves .
8,embed,local,1,d,none,none,pilots,bankers,hurt,themselves,The pilots said that the bankers hurt themselves . <eos>,The pilots said that the bankers hurt themselves .
8,embed,nonlocal,0,a,local_subj,number,mechanics,pilot,hurt,themselves,The mechanics said that the pilot hurt themselves . <eos>,The mechanics said that the pilot hurt themselves .
8,embed,nonlocal,0,b,local_subj,number,pilots,mechanic,hurt,themselves,The pilots said that the mechanic hurt themselves . <eos>,The pilots said that the mechanic hurt themselves .
8,embed,nonlocal,0,c,local_subj,number,bankers,pilot,hurt,themselves,The bankers said that the pilot hurt themselves . <eos>,The bankers said that the pilot hurt themselves .
8,embed,nonlocal,0,d,local_subj,number,pilots,banker,hurt,themselves,The pilots said that the banker hurt themselves . <eos>,The pilots said that the banker hurt themselves .
8,embed,local,1,a,nonlocal_subj,number,mechanic,pilots,hurt,themselves,The mechanic said that the pilots hurt themselves . <eos>,The mechanic said that the pilots hurt themselves .
8,embed,local,1,b,nonlocal_subj,number,pilot,mechanics,hurt,themselves,The pilot said that the mechanics hurt themselves . <eos>,The pilot said that the mechanics hurt themselves .
8,embed,local,1,c,nonlocal_subj,number,banker,pilots,hurt,themselves,The banker said that the pilots hurt themselves . <eos>,The banker said that the pilots hurt themselves .
8,embed,local,1,d,nonlocal_subj,number,pilot,bankers,hurt,themselves,The pilot said that the bankers hurt themselves . <eos>,The pilot said that the bankers hurt themselves .
9,embed,local,1,a,none,none,mechanics,pilots,injured,themselves,The mechanics said that the pilots injured themselves . <eos>,The mechanics said that the pilots injured themselves .
9,embed,local,1,b,none,none,pilots,mechanics,injured,themselves,The pilots said that the mechanics injured themselves . <eos>,The pilots said that the mechanics injured themselves .
9,embed,local,1,c,none,none,bankers,pilots,injured,themselves,The bankers said that the pilots injured themselves . <eos>,The bankers said that the pilots injured themselves .
9,embed,local,1,d,none,none,pilots,bankers,injured,themselves,The pilots said that the bankers injured themselves . <eos>,The pilots said that the bankers injured themselves .
9,embed,nonlocal,0,a,local_subj,number,mechanics,pilot,injured,themselves,The mechanics said that the pilot injured themselves . <eos>,The mechanics said that the pilot injured themselves .
9,embed,nonlocal,0,b,local_subj,number,pilots,mechanic,injured,themselves,The pilots said that the mechanic injured themselves . <eos>,The pilots said that the mechanic injured themselves .
9,embed,nonlocal,0,c,local_subj,number,bankers,pilot,injured,themselves,The bankers said that the pilot injured themselves . <eos>,The bankers said that the pilot injured themselves .
9,embed,nonlocal,0,d,local_subj,number,pilots,banker,injured,themselves,The pilots said that the banker injured themselves . <eos>,The pilots said that the banker injured themselves .
9,embed,local,1,a,nonlocal_subj,number,mechanic,pilots,injured,themselves,The mechanic said that the pilots injured themselves . <eos>,The mechanic said that the pilots injured themselves .
9,embed,local,1,b,nonlocal_subj,number,pilot,mechanics,injured,themselves,The pilot said that the mechanics injured themselves . <eos>,The pilot said that the mechanics injured themselves .
9,embed,local,1,c,nonlocal_subj,number,banker,pilots,injured,themselves,The banker said that the pilots injured themselves . <eos>,The banker said that the pilots injured themselves .
9,embed,local,1,d,nonlocal_subj,number,pilot,bankers,injured,themselves,The pilot said that the bankers injured themselves . <eos>,The pilot said that the bankers injured themselves .
10,embed,local,1,a,none,none,mechanics,pilots,congratulated,themselves,The mechanics said that the pilots congratulated themselves . <eos>,The mechanics said that the pilots congratulated themselves .
10,embed,local,1,b,none,none,pilots,mechanics,congratulated,themselves,The pilots said that the mechanics congratulated themselves . <eos>,The pilots said that the mechanics congratulated themselves .
10,embed,local,1,c,none,none,bankers,pilots,congratulated,themselves,The bankers said that the pilots congratulated themselves . <eos>,The bankers said that the pilots congratulated themselves .
10,embed,local,1,d,none,none,pilots,bankers,congratulated,themselves,The pilots said that the bankers congratulated themselves . <eos>,The pilots said that the bankers congratulated themselves .
10,embed,nonlocal,0,a,local_subj,number,mechanics,pilot,congratulated,themselves,The mechanics said that the pilot congratulated themselves . <eos>,The mechanics said that the pilot congratulated themselves .
10,embed,nonlocal,0,b,local_subj,number,pilots,mechanic,congratulated,themselves,The pilots said that the mechanic congratulated themselves . <eos>,The pilots said that the mechanic congratulated themselves .
10,embed,nonlocal,0,c,local_subj,number,bankers,pilot,congratulated,themselves,The bankers said that the pilot congratulated themselves . <eos>,The bankers said that the pilot congratulated themselves .
10,embed,nonlocal,0,d,local_subj,number,pilots,banker,congratulated,themselves,The pilots said that the banker congratulated themselves . <eos>,The pilots said that the banker congratulated themselves .
10,embed,local,1,a,nonlocal_subj,number,mechanic,pilots,congratulated,themselves,The mechanic said that the pilots congratulated themselves . <eos>,The mechanic said that the pilots congratulated themselves .
10,embed,local,1,b,nonlocal_subj,number,pilot,mechanics,congratulated,themselves,The pilot said that the mechanics congratulated themselves . <eos>,The pilot said that the mechanics congratulated themselves .
10,embed,local,1,c,nonlocal_subj,number,banker,pilots,congratulated,themselves,The banker said that the pilots congratulated themselves . <eos>,The banker said that the pilots congratulated themselves .
10,embed,local,1,d,nonlocal_subj,number,pilot,bankers,congratulated,themselves,The pilot said that the bankers congratulated themselves . <eos>,The pilot said that the bankers congratulated themselves .
11,embed,local,1,a,none,none,mechanics,pilots,embarrassed,themselves,The mechanics said that the pilots embarrassed themselves . <eos>,The mechanics said that the pilots embarrassed themselves .
11,embed,local,1,b,none,none,pilots,mechanics,embarrassed,themselves,The pilots said that the mechanics embarrassed themselves . <eos>,The pilots said that the mechanics embarrassed themselves .
11,embed,local,1,c,none,none,bankers,pilots,embarrassed,themselves,The bankers said that the pilots embarrassed themselves . <eos>,The bankers said that the pilots embarrassed themselves .
11,embed,local,1,d,none,none,pilots,bankers,embarrassed,themselves,The pilots said that the bankers embarrassed themselves . <eos>,The pilots said that the bankers embarrassed themselves .
11,embed,nonlocal,0,a,local_subj,number,mechanics,pilot,embarrassed,themselves,The mechanics said that the pilot embarrassed themselves . <eos>,The mechanics said that the pilot embarrassed themselves .
11,embed,nonlocal,0,b,local_subj,number,pilots,mechanic,embarrassed,themselves,The pilots said that the mechanic embarrassed themselves . <eos>,The pilots said that the mechanic embarrassed themselves .
11,embed,nonlocal,0,c,local_subj,number,bankers,pilot,embarrassed,themselves,The bankers said that the pilot embarrassed themselves . <eos>,The bankers said that the pilot embarrassed themselves .
11,embed,nonlocal,0,d,local_subj,number,pilots,banker,embarrassed,themselves,The pilots said that the banker embarrassed themselves . <eos>,The pilots said that the banker embarrassed themselves .
11,embed,local,1,a,nonlocal_subj,number,mechanic,pilots,embarrassed,themselves,The mechanic said that the pilots embarrassed themselves . <eos>,The mechanic said that the pilots embarrassed themselves .
11,embed,local,1,b,nonlocal_subj,number,pilot,mechanics,embarrassed,themselves,The pilot said that the mechanics embarrassed themselves . <eos>,The pilot said that the mechanics embarrassed themselves .
11,embed,local,1,c,nonlocal_subj,number,banker,pilots,embarrassed,themselves,The banker said that the pilots embarrassed themselves . <eos>,The banker said that the pilots embarrassed themselves .
11,embed,local,1,d,nonlocal_subj,number,pilot,bankers,embarrassed,themselves,The pilot said that the bankers embarrassed themselves . <eos>,The pilot said that the bankers embarrassed themselves .
12,embed,local,1,a,none,none,mechanics,pilots,disguised,themselves,The mechanics said that the pilots disguised themselves . <eos>,The mechanics said that the pilots disguised themselves .
12,embed,local,1,b,none,none,pilots,mechanics,disguised,themselves,The pilots said that the mechanics disguised themselves . <eos>,The pilots said that the mechanics disguised themselves .
12,embed,local,1,c,none,none,bankers,pilots,disguised,themselves,The bankers said that the pilots disguised themselves . <eos>,The bankers said that the pilots disguised themselves .
12,embed,local,1,d,none,none,pilots,bankers,disguised,themselves,The pilots said that the bankers disguised themselves . <eos>,The pilots said that the bankers disguised themselves .
12,embed,nonlocal,0,a,local_subj,number,mechanics,pilot,disguised,themselves,The mechanics said that the pilot disguised themselves . <eos>,The mechanics said that the pilot disguised themselves .
12,embed,nonlocal,0,b,local_subj,number,pilots,mechanic,disguised,themselves,The pilots said that the mechanic disguised themselves . <eos>,The pilots said that the mechanic disguised themselves .
12,embed,nonlocal,0,c,local_subj,number,bankers,pilot,disguised,themselves,The bankers said that the pilot disguised themselves . <eos>,The bankers said that the pilot disguised themselves .
12,embed,nonlocal,0,d,local_subj,number,pilots,banker,disguised,themselves,The pilots said that the banker disguised themselves . <eos>,The pilots said that the banker disguised themselves .
12,embed,local,1,a,nonlocal_subj,number,mechanic,pilots,disguised,themselves,The mechanic said that the pilots disguised themselves . <eos>,The mechanic said that the pilots disguised themselves .
12,embed,local,1,b,nonlocal_subj,number,pilot,mechanics,disguised,themselves,The pilot said that the mechanics disguised themselves . <eos>,The pilot said that the mechanics disguised themselves .
12,embed,local,1,c,nonlocal_subj,number,banker,pilots,disguised,themselves,The banker said that the pilots disguised themselves . <eos>,The banker said that the pilots disguised themselves .
12,embed,local,1,d,nonlocal_subj,number,pilot,bankers,disguised,themselves,The pilot said that the bankers disguised themselves . <eos>,The pilot said that the bankers disguised themselves .
13,embed,local,1,a,none,none,mechanics,pilots,hated,themselves,The mechanics said that the pilots hated themselves . <eos>,The mechanics said that the pilots hated themselves .
13,embed,local,1,b,none,none,pilots,mechanics,hated,themselves,The pilots said that the mechanics hated themselves . <eos>,The pilots said that the mechanics hated themselves .
13,embed,local,1,c,none,none,bankers,pilots,hated,themselves,The bankers said that the pilots hated themselves . <eos>,The bankers said that the pilots hated themselves .
13,embed,local,1,d,none,none,pilots,bankers,hated,themselves,The pilots said that the bankers hated themselves . <eos>,The pilots said that the bankers hated themselves .
13,embed,nonlocal,0,a,local_subj,number,mechanics,pilot,hated,themselves,The mechanics said that the pilot hated themselves . <eos>,The mechanics said that the pilot hated themselves .
13,embed,nonlocal,0,b,local_subj,number,pilots,mechanic,hated,themselves,The pilots said that the mechanic hated themselves . <eos>,The pilots said that the mechanic hated themselves .
13,embed,nonlocal,0,c,local_subj,number,bankers,pilot,hated,themselves,The bankers said that the pilot hated themselves . <eos>,The bankers said that the pilot hated themselves .
13,embed,nonlocal,0,d,local_subj,number,pilots,banker,hated,themselves,The pilots said that the banker hated themselves . <eos>,The pilots said that the banker hated themselves .
13,embed,local,1,a,nonlocal_subj,number,mechanic,pilots,hated,themselves,The mechanic said that the pilots hated themselves . <eos>,The mechanic said that the pilots hated themselves .
13,embed,local,1,b,nonlocal_subj,number,pilot,mechanics,hated,themselves,The pilot said that the mechanics hated themselves . <eos>,The pilot said that the mechanics hated themselves .
13,embed,local,1,c,nonlocal_subj,number,banker,pilots,hated,themselves,The banker said that the pilots hated themselves . <eos>,The banker said that the pilots hated themselves .
13,embed,local,1,d,nonlocal_subj,number,pilot,bankers,hated,themselves,The pilot said that the bankers hated themselves . <eos>,The pilot said that the bankers hated themselves .
14,embed,local,1,a,none,none,mechanics,pilots,doubted,themselves,The mechanics said that the pilots doubted themselves . <eos>,The mechanics said that the pilots doubted themselves .
14,embed,local,1,b,none,none,pilots,mechanics,doubted,themselves,The pilots said that the mechanics doubted themselves . <eos>,The pilots said that the mechanics doubted themselves .
14,embed,local,1,c,none,none,bankers,pilots,doubted,themselves,The bankers said that the pilots doubted themselves . <eos>,The bankers said that the pilots doubted themselves .
14,embed,local,1,d,none,none,pilots,bankers,doubted,themselves,The pilots said that the bankers doubted themselves . <eos>,The pilots said that the bankers doubted themselves .
14,embed,nonlocal,0,a,local_subj,number,mechanics,pilot,doubted,themselves,The mechanics said that the pilot doubted themselves . <eos>,The mechanics said that the pilot doubted themselves .
14,embed,nonlocal,0,b,local_subj,number,pilots,mechanic,doubted,themselves,The pilots said that the mechanic doubted themselves . <eos>,The pilots said that the mechanic doubted themselves .
14,embed,nonlocal,0,c,local_subj,number,bankers,pilot,doubted,themselves,The bankers said that the pilot doubted themselves . <eos>,The bankers said that the pilot doubted themselves .
14,embed,nonlocal,0,d,local_subj,number,pilots,banker,doubted,themselves,The pilots said that the banker doubted themselves . <eos>,The pilots said that the banker doubted themselves .
14,embed,local,1,a,nonlocal_subj,number,mechanic,pilots,doubted,themselves,The mechanic said that the pilots doubted themselves . <eos>,The mechanic said that the pilots doubted themselves .
14,embed,local,1,b,nonlocal_subj,number,pilot,mechanics,doubted,themselves,The pilot said that the mechanics doubted themselves . <eos>,The pilot said that the mechanics doubted themselves .
14,embed,local,1,c,nonlocal_subj,number,banker,pilots,doubted,themselves,The banker said that the pilots doubted themselves . <eos>,The banker said that the pilots doubted themselves .
14,embed,local,1,d,nonlocal_subj,number,pilot,bankers,doubted,themselves,The pilot said that the bankers doubted themselves . <eos>,The pilot said that the bankers doubted themselves .
15,embed,local,1,a,none,none,mechanics,surgeons,hurt,themselves,The mechanics said that the surgeons hurt themselves . <eos>,The mechanics said that the surgeons hurt themselves .
15,embed,local,1,b,none,none,surgeons,mechanics,hurt,themselves,The surgeons said that the mechanics hurt themselves . <eos>,The surgeons said that the mechanics hurt themselves .
15,embed,local,1,c,none,none,bankers,surgeons,hurt,themselves,The bankers said that the surgeons hurt themselves . <eos>,The bankers said that the surgeons hurt themselves .
15,embed,local,1,d,none,none,surgeons,bankers,hurt,themselves,The surgeons said that the bankers hurt themselves . <eos>,The surgeons said that the bankers hurt themselves .
15,embed,nonlocal,0,a,local_subj,number,mechanics,surgeon,hurt,themselves,The mechanics said that the surgeon hurt themselves . <eos>,The mechanics said that the surgeon hurt themselves .
15,embed,nonlocal,0,b,local_subj,number,surgeons,mechanic,hurt,themselves,The surgeons said that the mechanic hurt themselves . <eos>,The surgeons said that the mechanic hurt themselves .
15,embed,nonlocal,0,c,local_subj,number,bankers,surgeon,hurt,themselves,The bankers said that the surgeon hurt themselves . <eos>,The bankers said that the surgeon hurt themselves .
15,embed,nonlocal,0,d,local_subj,number,surgeons,banker,hurt,themselves,The surgeons said that the banker hurt themselves . <eos>,The surgeons said that the banker hurt themselves .
15,embed,local,1,a,nonlocal_subj,number,mechanic,surgeons,hurt,themselves,The mechanic said that the surgeons hurt themselves . <eos>,The mechanic said that the surgeons hurt themselves .
15,embed,local,1,b,nonlocal_subj,number,surgeon,mechanics,hurt,themselves,The surgeon said that the mechanics hurt themselves . <eos>,The surgeon said that the mechanics hurt themselves .
15,embed,local,1,c,nonlocal_subj,number,banker,surgeons,hurt,themselves,The banker said that the surgeons hurt themselves . <eos>,The banker said that the surgeons hurt themselves .
15,embed,local,1,d,nonlocal_subj,number,surgeon,bankers,hurt,themselves,The surgeon said that the bankers hurt themselves . <eos>,The surgeon said that the bankers hurt themselves .
16,embed,local,1,a,none,none,mechanics,surgeons,injured,themselves,The mechanics said that the surgeons injured themselves . <eos>,The mechanics said that the surgeons injured themselves .
16,embed,local,1,b,none,none,surgeons,mechanics,injured,themselves,The surgeons said that the mechanics injured themselves . <eos>,The surgeons said that the mechanics injured themselves .
16,embed,local,1,c,none,none,bankers,surgeons,injured,themselves,The bankers said that the surgeons injured themselves . <eos>,The bankers said that the surgeons injured themselves .
