item,clause_type,locality,grammatical,counterbalance,subject,mismatch_position,mismatch_feature,nonlocal_subj,local_sub,verb,pronoun,sentence,sentence_no_eos
5,embed,nonlocal,1,b,female,local_subj,number,mothers,girl,identified,them,The mothers said that the girl identified them . <eos>,The mothers said that the girl identified them .
6,embed,nonlocal,1,a,male,none,none,boys,fathers,made,them,The boys said that the fathers made them . <eos>,The boys said that the fathers made them .
6,embed,nonlocal,1,b,male,none,none,fathers,boys,made,them,The fathers said that the boys made them . <eos>,The fathers said that the boys made them .
6,embed,local,0,a,female,none,none,girls,mothers,made,them,The girls said that the mothers made them . <eos>,The girls said that the mothers made them .
6,embed,local,0,b,female,none,none,mothers,girls,made,them,The mothers said that the girls made them . <eos>,The mothers said that the girls made them .
6,embed,nonlocal,1,a,male,nonlocal_subj,number,boy,fathers,made,them,The boy said that the fathers made them . <eos>,The boy said that the fathers made them .
6,embed,nonlocal,1,b,male,nonlocal_subj,number,father,boys,made,them,The father said that the boys made them . <eos>,The father said that the boys made them .
6,embed,nonlocal,1,a,female,nonlocal_subj,number,girl,mothers,made,them,The girl said that the mothers made them . <eos>,The girl said that the mothers made them .
6,embed,nonlocal,1,b,female,nonlocal_subj,number,mother,girls,made,them,The mother said that the girls made them . <eos>,The mother said that the girls made them .
6,embed,local,0,a,male,local_subj,number,boys,father,made,them,The boys said that the father made them . <eos>,The boys said that the father made them .
6,embed,local,0,b,male,local_subj,number,fathers,boy,made,them,The fathers said that the boy made them . <eos>,The fathers said that the boy made them .
6,embed,nonlocal,1,a,female,local_subj,number,girls,mother,made,them,The girls said that the mother made them . <eos>,The girls said that the mother made them .
6,embed,nonlocal,1,b,female,local_subj,number,mothers,girl,made,them,The mothers said that the girl made them . <eos>,The mothers said that the girl made them .
7,embed,nonlocal,1,a,male,none,none,boys,fathers,found,them,The boys said that the fathers found them . <eos>,The boys said that the fathers found them .
7,embed,nonlocal,1,b,male,none,none,fathers,boys,found,them,The fathers said that the boys found them . <eos>,The fathers said that the boys found them .
7,embed,local,0,a,female,none,none,girls,mothers,found,them,The girls said that the mothers found them . <eos>,The girls said that the mothers found them .
7,embed,local,0,b,female,none,none,mothers,girls,found,them,The mothers said that the girls found them . <eos>,The mothers said that the girls found them .
7,embed,nonlocal,1,a,male,nonlocal_subj,number,boy,fathers,found,them,The boy said that the fathers found them . <eos>,The boy said that the fathers found them .
7,embed,nonlocal,1,b,male,nonlocal_subj,number,father,boys,found,them,The father said that the boys found them . <eos>,The father said that the boys found them .
7,embed,nonlocal,1,a,female,nonlocal_subj,number,girl,mothers,found,them,The girl said that the mothers found them . <eos>,The girl said that the mothers found them .
7,embed,nonlocal,1,b,female,nonlocal_subj,number,mother,girls,found,them,The mother said that the girls found them . <eos>,The mother said that the girls found them .
7,embed,local,0,a,male,local_subj,number,boys,father,found,them,The boys said that the father found them . <eos>,The boys said that the father found them .
7,embed,local,0,b,male,local_subj,number,fathers,boy,found,them,The fathers said that the boy found them . <eos>,The fathers said that the boy found them .
7,embed,nonlocal,1,a,female,local_subj,number,girls,mother,found,them,The girls said that the mother found them . <eos>,The girls said that the mother found them .
7,embed,nonlocal,1,b,female,local_subj,number,mothers,girl,found,them,The mothers said that the girl found them . <eos>,The mothers said that the girl found them .
8,embed,nonlocal,1,a,male,none,none,boys,fathers,distinguished,them,The boys said that the fathers distinguished them . <eos>,The boys said that the fathers distinguished them .
8,embed,nonlocal,1,b,male,none,none,fathers,boys,distinguished,them,The fathers said that the boys distinguished them . <eos>,The fathers said that the boys distinguished them .
8,embed,local,0,a,female,none,none,girls,mothers,distinguished,them,The girls said that the mothers distinguished them . <eos>,The girls said that the mothers distinguished them .
8,embed,local,0,b,female,none,none,mothers,girls,distinguished,them,The mothers said that the girls distinguished them . <eos>,The mothers said that the girls distinguished them .
8,embed,nonlocal,1,a,male,nonlocal_subj,number,boy,fathers,distinguished,them,The boy said that the fathers distinguished them . <eos>,The boy said that the fathers distinguished them .
8,embed,nonlocal,1,b,male,nonlocal_subj,number,father,boys,distinguished,them,The father said that the boys distinguished them . <eos>,The father said that the boys distinguished them .
8,embed,nonlocal,1,a,female,nonlocal_subj,number,girl,mothers,distinguished,them,The girl said that the mothers distinguished them . <eos>,The girl said that the mothers distinguished them .
8,embed,nonlocal,1,b,female,nonlocal_subj,number,mother,girls,distinguished,them,The mother said that the girls distinguished them . <eos>,The mother said that the girls distinguished them .
8,embed,local,0,a,male,local_subj,number,boys,father,distinguished,them,The boys said that the father distinguished them . <eos>,The boys said that the father distinguished them .
8,embed,local,0,b,male,local_subj,number,fathers,boy,distinguished,them,The fathers said that the boy distinguished them . <eos>,The fathers said that the boy distinguished them .
8,embed,nonlocal,1,a,female,local_subj,number,girls,mother,distinguished,them,The girls said that the mother distinguished them . <eos>,The girls said that the mother distinguished them .
8,embed,nonlocal,1,b,female,local_subj,number,mothers,girl,distinguished,them,The mothers said that the girl distinguished them . <eos>,The mothers said that the girl distinguished them .
9,embed,nonlocal,1,a,male,none,none,boys,fathers,taught,them,The boys said that the fathers taught them . <eos>,The boys said that the fathers taught them .
9,embed,nonlocal,1,b,male,none,none,fathers,boys,taught,them,The fathers said that the boys taught them . <eos>,The fathers said that the boys taught them .
9,embed,local,0,a,female,none,none,girls,mothers,taught,them,The girls said that the mothers taught them . <eos>,The girls said that the mothers taught them .
9,embed,local,0,b,female,none,none,mothers,girls,taught,them,The mothers said that the girls taught them . <eos>,The mothers said that the girls taught them .
9,embed,nonlocal,1,a,male,nonlocal_subj,number,boy,fathers,taught,them,The boy said that the fathers taught them . <eos>,The boy said that the fathers taught them .
9,embed,nonlocal,1,b,male,nonlocal_subj,number,father,boys,taught,them,The father said that the boys taught them . <eos>,The father said that the boys taught them .
9,embed,nonlocal,1,a,female,nonlocal_subj,number,girl,mothers,taught,them,The girl said that the mothers taught them . <eos>,The girl said that the mothers taught them .
9,embed,nonlocal,1,b,female,nonlocal_subj,number,mother,girls,taught,them,The mother said that the girls taught them . <eos>,The mother said that the girls taught them .
9,embed,local,0,a,male,local_subj,number,boys,father,taught,them,The boys said that the father taught them . <eos>,The boys said that the father taught them .
9,embed,local,0,b,male,local_subj,number,fathers,boy,taught,them,The fathers said that the boy taught them . <eos>,The fathers said that the boy taught them .
9,embed,nonlocal,1,a,female,local_subj,number,girls,mother,taught,them,The girls said that the mother taught them . <eos>,The girls said that the mother taught them .
9,embed,nonlocal,1,b,female,local_subj,number,mothers,girl,taught,them,The mothers said that the girl taught them . <eos>,The mothers said that the girl taught them .
10,embed,nonlocal,1,a,male,none,none,boys,fathers,killed,them,The boys said that the fathers killed them . <eos>,The boys said that the fathers killed them .
10,embed,nonlocal,1,b,male,none,none,fathers,boys,killed,them,The fathers said that the boys killed them . <eos>,The fathers said that the boys killed them .
10,embed,local,0,a,female,none,none,girls,mothers,killed,them,The girls said that the mothers killed them . <eos>,The girls said that the mothers killed them .
10,embed,local,0,b,female,none,none,mothers,girls,killed,them,The mothers said that the girls killed them . <eos>,The mothers said that the girls killed them .
10,embed,nonlocal,1,a,male,nonlocal_subj,number,boy,fathers,killed,them,The boy said that the fathers killed them . <eos>,The boy said that the fathers killed them .
10,embed,nonlocal,1,b,male,nonlocal_subj,number,father,boys,killed,them,The father said that the boys killed them . <eos>,The father said that the boys killed them .
10,embed,nonlocal,1,a,female,nonlocal_subj,number,girl,mothers,killed,them,The girl said that the mothers killed them . <eos>,The girl said that the mothers killed them .
10,embed,nonlocal,1,b,female,nonlocal_subj,number,mother,girls,killed,them,The mother said that the girls killed them . <eos>,The mother said that the girls killed them .
10,embed,local,0,a,male,local_subj,number,boys,father,killed,them,The boys said that the father killed them . <eos>,The boys said that the father killed them .
10,embed,local,0,b,male,local_subj,number,fathers,boy,killed,them,The fathers said that the boy killed them . <eos>,The fathers said that the boy killed them .
10,embed,nonlocal,1,a,female,local_subj,number,girls,mother,killed,them,The girls said that the mother killed them . <eos>,The girls said that the mother killed them .
10,embed,nonlocal,1,b,female,local_subj,number,mothers,girl,killed,them,The mothers said that the girl killed them . <eos>,The mothers said that the girl killed them .
11,embed,nonlocal,1,a,male,none,none,boys,fathers,called,them,The boys said that the fathers called them . <eos>,The boys said that the fathers called them .
11,embed,nonlocal,1,b,male,none,none,fathers,boys,called,them,The fathers said that the boys called them . <eos>,The fathers said that the boys called them .
11,embed,local,0,a,female,none,none,girls,mothers,called,them,The girls said that the mothers called them . <eos>,The girls said that the mothers called them .
11,embed,local,0,b,female,none,none,mothers,girls,called,them,The mothers said that the girls called them . <eos>,The mothers said that the girls called them .
11,embed,nonlocal,1,a,male,nonlocal_subj,number,boy,fathers,called,them,The boy said that the fathers called them . <eos>,The boy said that the fathers called them .
11,embed,nonlocal,1,b,male,nonlocal_subj,number,father,boys,called,them,The father said that the boys called them . <eos>,The father said that the boys called them .
11,embed,nonlocal,1,a,female,nonlocal_subj,number,girl,mothers,called,them,The girl said that the mothers called them . <eos>,The girl said that the mothers called them .
11,embed,nonlocal,1,b,female,nonlocal_subj,number,mother,girls,called,them,The mother said that the girls called them . <eos>,The mother said that the girls called them .
11,embed,local,0,a,male,local_subj,number,boys,father,called,them,The boys said that the father called them . <eos>,The boys said that the father called them .
11,embed,local,0,b,male,local_subj,number,fathers,boy,called,them,The fathers said that the boy called them . <eos>,The fathers said that the boy called them .
11,embed,nonlocal,1,a,female,local_subj,number,girls,mother,called,them,The girls said that the mother called them . <eos>,The girls said that the mother called them .
11,embed,nonlocal,1,b,female,local_subj,number,mothers,girl,called,them,The mothers said that the girl called them . <eos>,The mothers said that the girl called them .
12,embed,nonlocal,1,a,male,none,none,boys,fathers,dedicated,them,The boys said that the fathers dedicated them . <eos>,The boys said that the fathers dedicated them .
12,embed,nonlocal,1,b,male,none,none,fathers,boys,dedicated,them,The fathers said that the boys dedicated them . <eos>,The fathers said that the boys dedicated them .
12,embed,local,0,a,female,none,none,girls,mothers,dedicated,them,The girls said that the mothers dedicated them . <eos>,The girls said that the mothers dedicated them .
12,embed,local,0,b,female,none,none,mothers,girls,dedicated,them,The mothers said that the girls dedicated them . <eos>,The mothers said that the girls dedicated them .
12,embed,nonlocal,1,a,male,nonlocal_subj,number,boy,fathers,dedicated,them,The boy said that the fathers dedicated them . <eos>,The boy said that the fathers dedicated them .
12,embed,nonlocal,1,b,male,nonlocal_subj,number,father,boys,dedicated,them,The father said that the boys dedicated them . <eos>,The father said that the boys dedicated them .
12,embed,nonlocal,1,a,female,nonlocal_subj,number,girl,mothers,dedicated,them,The girl said that the mothers dedicated them . <eos>,The girl said that the mothers dedicated them .
12,embed,nonlocal,1,b,female,nonlocal_subj,number,mother,girls,dedicated,them,The mother said that the girls dedicated them . <eos>,The mother said that the girls dedicated them .
12,embed,local,0,a,male,local_subj,number,boys,father,dedicated,them,The boys said that the father dedicated them . <eos>,The boys said that the father dedicated them .
12,embed,local,0,b,male,local_subj,number,fathers,boy,dedicated,them,The fathers said that the boy dedicated them . <eos>,The fathers said that the boy dedicated them .
12,embed,nonlocal,1,a,female,local_subj,number,girls,mother,dedicated,them,The girls said that the mother dedicated them . <eos>,The girls said that the mother dedicated them .
12,embed,nonlocal,1,b,female,local_subj,number,mothers,girl,dedicated,them,The mothers said that the girl dedicated them . <eos>,The mothers said that the girl dedicated them .
13,embed,nonlocal,1,a,male,none,none,boys,fathers,declared,them,The boys said that the fathers declared them . <eos>,The boys said that the fathers declared them .
13,embed,nonlocal,1,b,male,none,none,fathers,boys,declared,them,The fathers said that the boys declared them . <eos>,The fathers said that the boys declared them .
13,embed,local,0,a,female,none,none,girls,mothers,declared,them,The girls said that the mothers declared them . <eos>,The girls said that the mothers declared them .
13,embed,local,0,b,female,none,none,mothers,girls,declared,them,The mothers said that the girls declared them . <eos>,The mothers said that the girls declared them .
13,embed,nonlocal,1,a,male,nonlocal_subj,number,boy,fathers,declared,them,The boy said that the fathers declared them . <eos>,The boy said that the fathers declared them .
13,embed,nonlocal,1,b,male,nonlocal_subj,number,father,boys,declared,them,The father said that the boys declared them . <eos>,The father said that the boys declared them .
13,embed,nonlocal,1,a,female,nonlocal_subj,number,girl,mothers,declared,them,The girl said that the mothers declared them . <eos>,The girl said that the mothers declared them .
13,embed,nonlocal,1,b,female,nonlocal_subj,number,mother,girls,declared,them,The mother said that the girls declared them . <eos>,The mother said that the girls declared them .
13,embed,local,0,a,male,local_subj,number,boys,father,declared,them,The boys said that the father declared them . <eos>,The boys said that the father declared them .
13,embed,local,0,b,male,local_subj,number,fathers,boy,declared,them,The fathers said that the boy declared them . <eos>,The fathers said that the boy declared them .
13,embed,nonlocal,1,a,female,local_subj,number,girls,mother,declared,them,The girls said that the mother declared them . <eos>,The girls said that the mother declared them .
13,embed,nonlocal,1,b,female,local_subj,number,mothers,girl,declared,them,The mothers said that the girl declared them . <eos>,The mothers said that the girl declared them .
14,embed,nonlocal,1,a,male,none,none,boys,fathers,proved,them,The boys said that the fathers proved them . <eos>,The boys said that the fathers proved them .
14,embed,nonlocal,1,b,male,none,none,fathers,boys,proved,them,The fathers said that the boys proved them . <eos>,The fathers said that the boys proved them .
14,embed,local,0,a,female,none,none,girls,mothers,proved,them,The girls said that the mothers proved them . <eos>,The girls said that the mothers proved them .
14,embed,local,0,b,female,none,none,mothers,girls,proved,them,The mothers said that the girls proved them . <eos>,The mothers said that the girls proved them .
14,embed,nonlocal,1,a,male,nonlocal_subj,number,boy,fathers,proved,them,The boy said that the fathers proved them . <eos>,The boy said that the fathers proved them .
14,embed,nonlocal,1,b,male,nonlocal_subj,number,father,boys,proved,them,The father said that the boys proved them . <eos>,The father said that the boys proved them .
14,embed,nonlocal,1,a,female,nonlocal_subj,number,girl,mothers,proved,them,The girl said that the mothers proved them . <eos>,The girl said that the mothers proved them .
14,embed,nonlocal,1,b,female,nonlocal_subj,number,mother,girls,proved,them,The mother said that the girls proved them . <eos>,The mother said that the girls proved them .
14,embed,local,0,a,male,local_subj,number,boys,father,proved,them,The boys said that the father proved them . <eos>,The boys said that the father proved them .
14,embed,local,0,b,male,local_subj,number,fathers,boy,proved,them,The fathers said that the boy proved them . <eos>,The fathers said that the boy proved them .
14,embed,nonlocal,1,a,female,local_subj,number,girls,mother,proved,them,The girls said that the mother proved them . <eos>,The girls said that the mother proved them .
14,embed,nonlocal,1,b,female,local_subj,number,mothers,girl,proved,them,The mothers said that the girl proved them . <eos>,The mothers said that the girl proved them .
15,embed,nonlocal,1,a,male,none,none,boys,fathers,shot,them,The boys said that the fathers shot them . <eos>,The boys said that the fathers shot them .
15,embed,nonlocal,1,b,male,none,none,fathers,boys,shot,them,The fathers said that the boys shot them . <eos>,The fathers said that the boys shot them .
15,embed,local,0,a,female,none,none,girls,mothers,shot,them,The girls said that the mothers shot them . <eos>,The girls said that the mothers shot them .
15,embed,local,0,b,female,none,none,mothers,girls,shot,them,The mothers said that the girls shot them . <eos>,The mothers said that the girls shot them .
15,embed,nonlocal,1,a,male,nonlocal_subj,number,boy,fathers,shot,them,The boy said that the fathers shot them . <eos>,The boy said that the fathers shot them .
15,embed,nonlocal,1,b,male,nonlocal_subj,number,father,boys,shot,them,The father said that the boys shot them . <eos>,The father said that the boys shot them .
15,embed,nonlocal,1,a,female,nonlocal_subj,number,girl,mothers,shot,them,The girl said that the mothers shot them . <eos>,The girl said that the mothers shot them .
15,embed,nonlocal,1,b,female,nonlocal_subj,number,mother,girls,shot,them,The mother said that the girls shot them . <eos>,The mother said that the girls shot them .
15,embed,local,0,a,male,local_subj,number,boys,father,shot,them,The boys said that the father shot them . <eos>,The boys said that the father shot them .
15,embed,local,0,b,male,local_subj,number,fathers,boy,shot,them,The fathers said that the boy shot them . <eos>,The fathers said that the boy shot them .
15,embed,nonlocal,1,a,female,local_subj,number,girls,mother,shot,them,The girls said that the mother shot them . <eos>,The girls said that the mother shot them .
15,embed,nonlocal,1,b,female,local_subj,number,mothers,girl,shot,them,The mothers said that the girl shot them . <eos>,The mothers said that the girl shot them .
16,embed,nonlocal,1,a,male,none,none,boys,sons,saw,them,The boys said that the sons saw them . <eos>,The boys said that the sons saw them .
16,embed,nonlocal,1,b,male,none,none,sons,boys,saw,them,The sons said that the boys saw them . <eos>,The sons said that the boys saw them .
16,embed,local,0,a,female,none,none,girls,daughters,saw,them,The girls said that the daughters saw them . <eos>,The girls said that the daughters saw them .
16,embed,local,0,b,female,none,none,daughters,girls,saw,them,The daughters said that the girls saw them . <eos>,The daughters said that the girls saw them .
16,embed,nonlocal,1,a,male,nonlocal_subj,number,boy,sons,saw,them,The boy said that the sons saw them . <eos>,The boy said that the sons saw them .
16,embed,nonlocal,1,b,male,nonlocal_subj,number,son,boys,saw,them,The son said that the boys saw them . <eos>,The son said that the boys saw them .
16,embed,nonlocal,1,a,female,nonlocal_subj,number,girl,daughters,saw,them,The girl said that the daughters saw them . <eos>,The girl said that the daughters saw them .
16,embed,nonlocal,1,b,female,nonlocal_subj,number,daughter,girls,saw,them,The daughter said that the girls saw them . <eos>,The daughter said that the girls saw them .
16,embed,local,0,a,male,local_subj,number,boys,son,saw,them,The boys said that the son saw them . <eos>,The boys said that the son saw them .
16,embed,local,0,b,male,local_subj,number,sons,boy,saw,them,The sons said that the boy saw them . <eos>,The sons said that the boy saw them .
16,embed,nonlocal,1,a,female,local_subj,number,girls,daughter,saw,them,The girls said that the daughter saw them . <eos>,The girls said that the daughter saw them .
16,embed,nonlocal,1,b,female,local_subj,number,daughters,girl,saw,them,The daughters said that the girl saw them . <eos>,The daughters said that the girl saw them .
17,embed,nonlocal,1,a,male,none,none,boys,sons,established,them,The boys said that the sons established them . <eos>,The boys said that the sons established them .
17,embed,nonlocal,1,b,male,none,none,sons,boys,established,them,The sons said that the boys established them . <eos>,The sons said that the boys established them .
17,embed,local,0,a,female,none,none,girls,daughters,established,them,The girls said that the daughters established them . <eos>,The girls said that the daughters established them .
17,embed,local,0,b,female,none,none,daughters,girls,established,them,The daughters said that the girls established them . <eos>,The daughters said that the girls established them .
17,embed,nonlocal,1,a,male,nonlocal_subj,number,boy,sons,established,them,The boy said that the sons established them . <eos>,The boy said that the sons established them .
17,embed,nonlocal,1,b,male,nonlocal_subj,number,son,boys,established,them,The son said that the boys established them . <eos>,The son said that the boys established them .
17,embed,nonlocal,1,a,female,nonlocal_subj,number,girl,daughters,established,them,The girl said that the daughters established them . <eos>,The girl said that the daughters established them .
17,embed,nonlocal,1,b,female,nonlocal_subj,number,daughter,girls,established,them,The daughter said that the girls established them . <eos>,The daughter said that the girls established them .
17,embed,local,0,a,male,local_subj,number,boys,son,established,them,The boys said that the son established them . <eos>,The boys said that the son established them .
17,embed,local,0,b,male,local_subj,number,sons,boy,established,them,The sons said that the boy established them . <eos>,The sons said that the boy established them .
17,embed,nonlocal,1,a,female,local_subj,number,girls,daughter,established,them,The girls said that the daughter established them . <eos>,The girls said that the daughter established them .
17,embed,nonlocal,1,b,female,local_subj,number,daughters,girl,established,them,The daughters said that the girl established them . <eos>,The daughters said that the girl established them .
18,embed,nonlocal,1,a,male,none,none,boys,sons,devoted,them,The boys said that the sons devoted them . <eos>,The boys said that the sons devoted them .
18,embed,nonlocal,1,b,male,none,none,sons,boys,devoted,them,The sons said that the boys devoted them . <eos>,The sons said that the boys devoted them .
18,embed,local,0,a,female,none,none,girls,daughters,devoted,them,The girls said that the daughters devoted them . <eos>,The girls said that the daughters devoted them .
18,embed,local,0,b,female,none,none,daughters,girls,devoted,them,The daughters said that the girls devoted them . <eos>,The daughters said that the girls devoted them .
18,embed,nonlocal,1,a,male,nonlocal_subj,number,boy,sons,devoted,them,The boy said that the sons devoted them . <eos>,The boy said that the sons devoted them .
18,embed,nonlocal,1,b,male,nonlocal_subj,number,son,boys,devoted,them,The son said that the boys devoted them . <eos>,The son said that the boys devoted them .
18,embed,nonlocal,1,a,female,nonlocal_subj,number,girl,daughters,devoted,them,The girl said that the daughters devoted them . <eos>,The girl said that the daughters devoted them .
