item,clause_type,locality,grammatical,counterbalance,mismatch_position,mismatch_feature,nonlocal_subj,local_sub,verb,pronoun,sentence,sentence_no_eos
19,embed,local,0,b,nonlocal_subj,number,daughters,girl,considered,her,The daughters said that the girl considered her . <eos>,The daughters said that the girl considered her .
19,embed,nonlocal,1,a,local_subj,number,girl,daughters,considered,her,The girl said that the daughters considered her . <eos>,The girl said that the daughters considered her .
19,embed,nonlocal,1,b,local_subj,number,daughter,girls,considered,her,The daughter said that the girls considered her . <eos>,The daughter said that the girls considered her .
20,embed,nonlocal,1,a,none,none,girl,daughter,identified,her,The girl said that the daughter identified her . <eos>,The girl said that the daughter identified her .
20,embed,nonlocal,1,b,none,none,daughter,girl,identified,her,The daughter said that the girl identified her . <eos>,The daughter said that the girl identified her .
20,embed,local,0,a,nonlocal_subj,number,girls,daughter,identified,her,The girls said that the daughter identified her . <eos>,The girls said that the daughter identified her .
20,embed,local,0,b,nonlocal_subj,number,daughters,girl,identified,her,The daughters said that the girl identified her . <eos>,The daughters said that the girl identified her .
20,embed,nonlocal,1,a,local_subj,number,girl,daughters,identified,her,The girl said that the daughters identified her . <eos>,The girl said that the daughters identified her .
20,embed,nonlocal,1,b,local_subj,number,daughter,girls,identified,her,The daughter said that the girls identified her . <eos>,The daughter said that the girls identified her .
21,embed,nonlocal,1,a,none,none,girl,daughter,made,her,The girl said that the daughter made her . <eos>,The girl said that the daughter made her .
21,embed,nonlocal,1,b,none,none,daughter,girl,made,her,The daughter said that the girl made her . <eos>,The daughter said that the girl made her .
21,embed,local,0,a,nonlocal_subj,number,girls,daughter,made,her,The girls said that the daughter made her . <eos>,The girls said that the daughter made her .
21,embed,local,0,b,nonlocal_subj,number,daughters,girl,made,her,The daughters said that the girl made her . <eos>,The daughters said that the girl made her .
21,embed,nonlocal,1,a,local_subj,number,girl,daughters,made,her,The girl said that the daughters made her . <eos>,The girl said that the daughters made her .
21,embed,nonlocal,1,b,local_subj,number,daughter,girls,made,her,The daughter said that the girls made her . <eos>,The daughter said that the girls made her .
22,embed,nonlocal,1,a,none,none,girl,daughter,found,her,The girl said that the daughter found her . <eos>,The girl said that the daughter found her .
22,embed,nonlocal,1,b,none,none,daughter,girl,found,her,The daughter said that the girl found her . <eos>,The daughter said that the girl found her .
22,embed,local,0,a,nonlocal_subj,number,girls,daughter,found,her,The girls said that the daughter found her . <eos>,The girls said that the daughter found her .
22,embed,local,0,b,nonlocal_subj,number,daughters,girl,found,her,The daughters said that the girl found her . <eos>,The daughters said that the girl found her .
22,embed,nonlocal,1,a,local_subj,number,girl,daughters,found,her,The girl said that the daughters found her . <eos>,The girl said that the daughters found her .
22,embed,nonlocal,1,b,local_subj,number,daughter,girls,found,her,The daughter said that the girls found her . <eos>,The daughter said that the girls found her .
23,embed,nonlocal,1,a,none,none,girl,daughter,distinguished,her,The girl said that the daughter distinguished her . <eos>,The girl said that the daughter distinguished her .
23,embed,nonlocal,1,b,none,none,daughter,girl,distinguished,her,The daughter said that the girl distinguished her . <eos>,The daughter said that the girl distinguished her .
23,embed,local,0,a,nonlocal_subj,number,girls,daughter,distinguished,her,The girls said that the daughter distinguished her . <eos>,The girls said that the daughter distinguished her .
23,embed,local,0,b,nonlocal_subj,number,daughters,girl,distinguished,her,The daughters said that the girl distinguished her . <eos>,The daughters said that the girl distinguished her .
23,embed,nonlocal,1,a,local_subj,number,girl,daughters,distinguished,her,The girl said that the daughters distinguished her . <eos>,The girl said that the daughters distinguished her .
23,embed,nonlocal,1,b,local_subj,number,daughter,girls,distinguished,her,The daughter said that the girls distinguished her . <eos>,The daughter said that the girls distinguished her .
24,embed,nonlocal,1,a,none,none,girl,daughter,taught,her,The girl said that the daughter taught her . <eos>,The girl said that the daughter taught her .
24,embed,nonlocal,1,b,none,none,daughter,girl,taught,her,The daughter said that the girl taught her . <eos>,The daughter said that the girl taught her .
24,embed,local,0,a,nonlocal_subj,number,girls,daughter,taught,her,The girls said that the daughter taught her . <eos>,The girls said that the daughter taught her .
24,embed,local,0,b,nonlocal_subj,number,daughters,girl,taught,her,The daughters said that the girl taught her . <eos>,The daughters said that the girl taught her .
24,embed,nonlocal,1,a,local_subj,number,girl,daughters,taught,her,The girl said that the daughters taught her . <eos>,The girl said that the daughters taught her .
24,embed,nonlocal,1,b,local_subj,number,daughter,girls,taught,her,The daughter said that the girls taught her . <eos>,The daughter said that the girls taught her .
25,embed,nonlocal,1,a,none,none,girl,daughter,killed,her,The girl said that the daughter killed her . <eos>,The girl said that the daughter killed her .
25,embed,nonlocal,1,b,none,none,daughter,girl,killed,her,The daughter said that the girl killed her . <eos>,The daughter said that the girl killed her .
25,embed,local,0,a,nonlocal_subj,number,girls,daughter,killed,her,The girls said that the daughter killed her . <eos>,The girls said that the daughter killed her .
25,embed,local,0,b,nonlocal_subj,number,daughters,girl,killed,her,The daughters said that the girl killed her . <eos>,The daughters said that the girl killed her .
25,embed,nonlocal,1,a,local_subj,number,girl,daughters,killed,her,The girl said that the daughters killed her . <eos>,The girl said that the daughters killed her .
25,embed,nonlocal,1,b,local_subj,number,daughter,girls,killed,her,The daughter said that the girls killed her . <eos>,The daughter said that the girls killed her .
26,embed,nonlocal,1,a,none,none,girl,daughter,called,her,The girl said that the daughter called her . <eos>,The girl said that the daughter called her .
26,embed,nonlocal,1,b,none,none,daughter,girl,called,her,The daughter said that the girl called her . <eos>,The daughter said that the girl called her .
26,embed,local,0,a,nonlocal_subj,number,girls,daughter,called,her,The girls said that the daughter called her . <eos>,The girls said that the daughter called her .
26,embed,local,0,b,nonlocal_subj,number,daughters,girl,called,her,The daughters said that the girl called her . <eos>,The daughters said that the girl called her .
26,embed,nonlocal,1,a,local_subj,number,girl,daughters,called,her,The girl said that the daughters called her . <eos>,The girl said that the daughters called her .
26,embed,nonlocal,1,b,local_subj,number,daughter,girls,called,her,The daughter said that the girls called her . <eos>,The daughter said that the girls called her .
27,embed,nonlocal,1,a,none,none,girl,daughter,dedicated,her,The girl said that the daughter dedicated her . <eos>,The girl said that the daughter dedicated her .
27,embed,nonlocal,1,b,none,none,daughter,girl,dedicated,her,The daughter said that the girl dedicated her . <eos>,The daughter said that the girl dedicated her .
27,embed,local,0,a,nonlocal_subj,number,girls,daughter,dedicated,her,The girls said that the daughter dedicated her . <eos>,The girls said that the daughter dedicated her .
27,embed,local,0,b,nonlocal_subj,number,daughters,girl,dedicated,her,The daughters said that the girl dedicated her . <eos>,The daughters said that the girl dedicated her .
27,embed,nonlocal,1,a,local_subj,number,girl,daughters,dedicated,her,The girl said that the daughters dedicated her . <eos>,The girl said that the daughters dedicated her .
27,embed,nonlocal,1,b,local_subj,number,daughter,girls,dedicated,her,The daughter said that the girls dedicated her . <eos>,The daughter said that the girls dedicated her .
28,embed,nonlocal,1,a,none,none,girl,daughter,declared,her,The girl said that the daughter declared her . <eos>,The girl said that the daughter declared her .
28,embed,nonlocal,1,b,none,none,daughter,girl,declared,her,The daughter said that the girl declared her . <eos>,The daughter said that the girl declared her .
28,embed,local,0,a,nonlocal_subj,number,girls,daughter,declared,her,The girls said that the daughter declared her . <eos>,The girls said that the daughter declared her .
28,embed,local,0,b,nonlocal_subj,number,daughters,girl,declared,her,The daughters said that the girl declared her . <eos>,The daughters said that the girl declared her .
28,embed,nonlocal,1,a,local_subj,number,girl,daughters,declared,her,The girl said that the daughters declared her . <eos>,The girl said that the daughters declared her .
28,embed,nonlocal,1,b,local_subj,number,daughter,girls,declared,her,The daughter said that the girls declared her . <eos>,The daughter said that the girls declared her .
29,embed,nonlocal,1,a,none,none,girl,daughter,proved,her,The girl said that the daughter proved her . <eos>,The girl said that the daughter proved her .
29,embed,nonlocal,1,b,none,none,daughter,girl,proved,her,The daughter said that the girl proved her . <eos>,The daughter said that the girl proved her .
29,embed,local,0,a,nonlocal_subj,number,girls,daughter,proved,her,The girls said that the daughter proved her . <eos>,The girls said that the daughter proved her .
29,embed,local,0,b,nonlocal_subj,number,daughters,girl,proved,her,The daughters said that the girl proved her . <eos>,The daughters said that the girl proved her .
29,embed,nonlocal,1,a,local_subj,number,girl,daughters,proved,her,The girl said that the daughters proved her . <eos>,The girl said that the daughters proved her .
29,embed,nonlocal,1,b,local_subj,number,daughter,girls,proved,her,The daughter said that the girls proved her . <eos>,The daughter said that the girls proved her .
30,embed,nonlocal,1,a,none,none,girl,daughter,shot,her,The girl said that the daughter shot her . <eos>,The girl said that the daughter shot her .
30,embed,nonlocal,1,b,none,none,daughter,girl,shot,her,The daughter said that the girl shot her . <eos>,The daughter said that the girl shot her .
30,embed,local,0,a,nonlocal_subj,number,girls,daughter,shot,her,The girls said that the daughter shot her . <eos>,The girls said that the daughter shot her .
30,embed,local,0,b,nonlocal_subj,number,daughters,girl,shot,her,The daughters said that the girl shot her . <eos>,The daughters said that the girl shot her .
30,embed,nonlocal,1,a,local_subj,number,girl,daughters,shot,her,The girl said that the daughters shot her . <eos>,The girl said that the daughters shot her .
30,embed,nonlocal,1,b,local_subj,number,daughter,girls,shot,her,The daughter said that the girls shot her . <eos>,The daughter said that the girls shot her .
31,embed,nonlocal,1,a,none,none,girl,woman,saw,her,The girl said that the woman saw her . <eos>,The girl said that the woman saw her .
31,embed,nonlocal,1,b,none,none,woman,girl,saw,her,The woman said that the girl saw her . <eos>,The woman said that the girl saw her .
31,embed,local,0,a,nonlocal_subj,number,girls,woman,saw,her,The girls said that the woman saw her . <eos>,The girls said that the woman saw her .
31,embed,local,0,b,nonlocal_subj,number,women,girl,saw,her,The women said that the girl saw her . <eos>,The women said that the girl saw her .
31,embed,nonlocal,1,a,local_subj,number,girl,women,saw,her,The girl said that the women saw her . <eos>,The girl said that the women saw her .
31,embed,nonlocal,1,b,local_subj,number,woman,girls,saw,her,The woman said that the girls saw her . <eos>,The woman said that the girls saw her .
32,embed,nonlocal,1,a,none,none,girl,woman,established,her,The girl said that the woman established her . <eos>,The girl said that the woman established her .
32,embed,nonlocal,1,b,none,none,woman,girl,established,her,The woman said that the girl established her . <eos>,The woman said that the girl established her .
32,embed,local,0,a,nonlocal_subj,number,girls,woman,established,her,The girls said that the woman established her . <eos>,The girls said that the woman established her .
32,embed,local,0,b,nonlocal_subj,number,women,girl,established,her,The women said that the girl established her . <eos>,The women said that the girl established her .
32,embed,nonlocal,1,a,local_subj,number,girl,women,established,her,The girl said that the women established her . <eos>,The girl said that the women established her .
32,embed,nonlocal,1,b,local_subj,number,woman,girls,established,her,The woman said that the girls established her . <eos>,The woman said that the girls established her .
33,embed,nonlocal,1,a,none,none,girl,woman,devoted,her,The girl said that the woman devoted her . <eos>,The girl said that the woman devoted her .
33,embed,nonlocal,1,b,none,none,woman,girl,devoted,her,The woman said that the girl devoted her . <eos>,The woman said that the girl devoted her .
33,embed,local,0,a,nonlocal_subj,number,girls,woman,devoted,her,The girls said that the woman devoted her . <eos>,The girls said that the woman devoted her .
33,embed,local,0,b,nonlocal_subj,number,women,girl,devoted,her,The women said that the girl devoted her . <eos>,The women said that the girl devoted her .
33,embed,nonlocal,1,a,local_subj,number,girl,women,devoted,her,The girl said that the women devoted her . <eos>,The girl said that the women devoted her .
33,embed,nonlocal,1,b,local_subj,number,woman,girls,devoted,her,The woman said that the girls devoted her . <eos>,The woman said that the girls devoted her .
34,embed,nonlocal,1,a,none,none,girl,woman,considered,her,The girl said that the woman considered her . <eos>,The girl said that the woman considered her .
34,embed,nonlocal,1,b,none,none,woman,girl,considered,her,The woman said that the girl considered her . <eos>,The woman said that the girl considered her .
34,embed,local,0,a,nonlocal_subj,number,girls,woman,considered,her,The girls said that the woman considered her . <eos>,The girls said that the woman considered her .
34,embed,local,0,b,nonlocal_subj,number,women,girl,considered,her,The women said that the girl considered her . <eos>,The women said that the girl considered her .
34,embed,nonlocal,1,a,local_subj,number,girl,women,considered,her,The girl said that the women considered her . <eos>,The girl said that the women considered her .
34,embed,nonlocal,1,b,local_subj,number,woman,girls,considered,her,The woman said that the girls considered her . <eos>,The woman said that the girls considered her .
35,embed,nonlocal,1,a,none,none,girl,woman,identified,her,The girl said that the woman identified her . <eos>,The girl said that the woman identified her .
35,embed,nonlocal,1,b,none,none,woman,girl,identified,her,The woman said that the girl identified her . <eos>,The woman said that the girl identified her .
35,embed,local,0,a,nonlocal_subj,number,girls,woman,identified,her,The girls said that the woman identified her . <eos>,The girls said that the woman identified her .
35,embed,local,0,b,nonlocal_subj,number,women,girl,identified,her,The women said that the girl identified her . <eos>,The women said that the girl identified her .
35,embed,nonlocal,1,a,local_subj,number,girl,women,identified,her,The girl said that the women identified her . <eos>,The girl said that the women identified her .
35,embed,nonlocal,1,b,local_subj,number,woman,girls,identified,her,The woman said that the girls identified her . <eos>,The woman said that the girls identified her .
36,embed,nonlocal,1,a,none,none,girl,woman,made,her,The girl said that the woman made her . <eos>,The girl said that the woman made her .
36,embed,nonlocal,1,b,none,none,woman,girl,made,her,The woman said that the girl made her . <eos>,The woman said that the girl made her .
36,embed,local,0,a,nonlocal_subj,number,girls,woman,made,her,The girls said that the woman made her . <eos>,The girls said that the woman made her .
36,embed,local,0,b,nonlocal_subj,number,women,girl,made,her,The women said that the girl made her . <eos>,The women said that the girl made her .
36,embed,nonlocal,1,a,local_subj,number,girl,women,made,her,The girl said that the women made her . <eos>,The girl said that the women made her .
36,embed,nonlocal,1,b,local_subj,number,woman,girls,made,her,The woman said that the girls made her . <eos>,The woman said that the girls made her .
37,embed,nonlocal,1,a,none,none,girl,woman,found,her,The girl said that the woman found her . <eos>,The girl said that the woman found her .
37,embed,nonlocal,1,b,none,none,woman,girl,found,her,The woman said that the girl found her . <eos>,The woman said that the girl found her .
