,item,clause_type,locality,grammatical,counterbalance,mismatch_position,mismatch_feature,head_noun,distractor_noun,verb,pronoun,sentence,sentence_no_eos,bert_sentence,surprisal
60,11,embed,local,1,a,none,none,girl,mother,called,herself,The girl said that the mother called herself . <eos>,The girl said that the mother called herself .,the girl said that the mother called ***mask*** .,9.664609645306076
61,11,embed,local,1,b,none,none,mother,girl,called,herself,The mother said that the girl called herself . <eos>,The mother said that the girl called herself .,the mother said that the girl called ***mask*** .,7.122249965829765
62,11,embed,local,1,a,nonlocal_subj,number,girls,mother,called,herself,The girls said that the mother called herself . <eos>,The girls said that the mother called herself .,the girls said that the mother called ***mask*** .,9.267137101392297
63,11,embed,local,1,b,nonlocal_subj,number,mothers,girl,called,herself,The mothers said that the girl called herself . <eos>,The mothers said that the girl called herself .,the mothers said that the girl called ***mask*** .,5.805285220308733
64,11,embed,nonlocal,0,a,local_subj,number,girl,mothers,called,herself,The girl said that the mothers called herself . <eos>,The girl said that the mothers called herself .,the girl said that the mothers called ***mask*** .,10.821870872758913
65,11,embed,nonlocal,0,b,local_subj,number,mother,girls,called,herself,The mother said that the girls called herself . <eos>,The mother said that the girls called herself .,the mother said that the girls called ***mask*** .,9.823384588228638
66,12,embed,local,1,a,none,none,girl,mother,dedicated,herself,The girl said that the mother dedicated herself . <eos>,The girl said that the mother dedicated herself .,the girl said that the mother dedicated ***mask*** .,0.942645950411626
67,12,embed,local,1,b,none,none,mother,girl,dedicated,herself,The mother said that the girl dedicated herself . <eos>,The mother said that the girl dedicated herself .,the mother said that the girl dedicated ***mask*** .,0.06669015715425447
68,12,embed,local,1,a,nonlocal_subj,number,girls,mother,dedicated,herself,The girls said that the mother dedicated herself . <eos>,The girls said that the mother dedicated herself .,the girls said that the mother dedicated ***mask*** .,0.46539444869806984
69,12,embed,local,1,b,nonlocal_subj,number,mothers,girl,dedicated,herself,The mothers said that the girl dedicated herself . <eos>,The mothers said that the girl dedicated herself .,the mothers said that the girl dedicated ***mask*** .,0.04603733864165928
70,12,embed,nonlocal,0,a,local_subj,number,girl,mothers,dedicated,herself,The girl said that the mothers dedicated herself . <eos>,The girl said that the mothers dedicated herself .,the girl said that the mothers dedicated ***mask*** .,5.969461163911615
71,12,embed,nonlocal,0,b,local_subj,number,mother,girls,dedicated,herself,The mother said that the girls dedicated herself . <eos>,The mother said that the girls dedicated herself .,the mother said that the girls dedicated ***mask*** .,7.3713808076003495
72,13,embed,local,1,a,none,none,girl,mother,declared,herself,The girl said that the mother declared herself . <eos>,The girl said that the mother declared herself .,the girl said that the mother declared ***mask*** .,5.1239509455289936
73,13,embed,local,1,b,none,none,mother,girl,declared,herself,The mother said that the girl declared herself . <eos>,The mother said that the girl declared herself .,the mother said that the girl declared ***mask*** .,3.4024569460218625
74,13,embed,local,1,a,nonlocal_subj,number,girls,mother,declared,herself,The girls said that the mother declared herself . <eos>,The girls said that the mother declared herself .,the girls said that the mother declared ***mask*** .,4.899930270127111
75,13,embed,local,1,b,nonlocal_subj,number,mothers,girl,declared,herself,The mothers said that the girl declared herself . <eos>,The mothers said that the girl declared herself .,the mothers said that the girl declared ***mask*** .,3.2380740747386154
76,13,embed,nonlocal,0,a,local_subj,number,girl,mothers,declared,herself,The girl said that the mothers declared herself . <eos>,The girl said that the mothers declared herself .,the girl said that the mothers declared ***mask*** .,9.449100476425533
77,13,embed,nonlocal,0,b,local_subj,number,mother,girls,declared,herself,The mother said that the girls declared herself . <eos>,The mother said that the girls declared herself .,the mother said that the girls declared ***mask*** .,6.873652990152067
78,14,embed,local,1,a,none,none,girl,mother,proved,herself,The girl said that the mother proved herself . <eos>,The girl said that the mother proved herself .,the girl said that the mother proved ***mask*** .,4.102678816402892
79,14,embed,local,1,b,none,none,mother,girl,proved,herself,The mother said that the girl proved herself . <eos>,The mother said that the girl proved herself .,the mother said that the girl proved ***mask*** .,2.529411373169534
80,14,embed,local,1,a,nonlocal_subj,number,girls,mother,proved,herself,The girls said that the mother proved herself . <eos>,The girls said that the mother proved herself .,the girls said that the mother proved ***mask*** .,4.776571976092316
81,14,embed,local,1,b,nonlocal_subj,number,mothers,girl,proved,herself,The mothers said that the girl proved herself . <eos>,The mothers said that the girl proved herself .,the mothers said that the girl proved ***mask*** .,2.872695333502728
82,14,embed,nonlocal,0,a,local_subj,number,girl,mothers,proved,herself,The girl said that the mothers proved herself . <eos>,The girl said that the mothers proved herself .,the girl said that the mothers proved ***mask*** .,7.018786985291339
83,14,embed,nonlocal,0,b,local_subj,number,mother,girls,proved,herself,The mother said that the girls proved herself . <eos>,The mother said that the girls proved herself .,the mother said that the girls proved ***mask*** .,5.235718499212032
84,15,embed,local,1,a,none,none,girl,mother,shot,herself,The girl said that the mother shot herself . <eos>,The girl said that the mother shot herself .,the girl said that the mother shot ***mask*** .,4.665628227280521
85,15,embed,local,1,b,none,none,mother,girl,shot,herself,The mother said that the girl shot herself . <eos>,The mother said that the girl shot herself .,the mother said that the girl shot ***mask*** .,3.3015098179538764
86,15,embed,local,1,a,nonlocal_subj,number,girls,mother,shot,herself,The girls said that the mother shot herself . <eos>,The girls said that the mother shot herself .,the girls said that the mother shot ***mask*** .,3.6929893524052586
87,15,embed,local,1,b,nonlocal_subj,number,mothers,girl,shot,herself,The mothers said that the girl shot herself . <eos>,The mothers said that the girl shot herself .,the mothers said that the girl shot ***mask*** .,1.8767268229880802
88,15,embed,nonlocal,0,a,local_subj,number,girl,mothers,shot,herself,The girl said that the mothers shot herself . <eos>,The girl said that the mothers shot herself .,the girl said that the mothers shot ***mask*** .,8.069865189897053
89,15,embed,nonlocal,0,b,local_subj,number,mother,girls,shot,herself,The mother said that the girls shot herself . <eos>,The mother said that the girls shot herself .,the mother said that the girls shot ***mask*** .,6.892134033093861
90,16,embed,local,1,a,none,none,girl,daughter,saw,herself,The girl said that the daughter saw herself . <eos>,The girl said that the daughter saw herself .,the girl said that the daughter saw ***mask*** .,9.534432598810552
91,16,embed,local,1,b,none,none,daughter,girl,saw,herself,The daughter said that the girl saw herself . <eos>,The daughter said that the girl saw herself .,the daughter said that the girl saw ***mask*** .,8.267648193216598
92,16,embed,local,1,a,nonlocal_subj,number,girls,daughter,saw,herself,The girls said that the daughter saw herself . <eos>,The girls said that the daughter saw herself .,the girls said that the daughter saw ***mask*** .,9.41981758406924
93,16,embed,local,1,b,nonlocal_subj,number,daughters,girl,saw,herself,The daughters said that the girl saw herself . <eos>,The daughters said that the girl saw herself .,the daughters said that the girl saw ***mask*** .,7.736064199445518
94,16,embed,nonlocal,0,a,local_subj,number,girl,daughters,saw,herself,The girl said that the daughters saw herself . <eos>,The girl said that the daughters saw herself .,the girl said that the daughters saw ***mask*** .,11.364161341621418
95,16,embed,nonlocal,0,b,local_subj,number,daughter,girls,saw,herself,The daughter said that the girls saw herself . <eos>,The daughter said that the girls saw herself .,the daughter said that the girls saw ***mask*** .,10.830929814435484
96,17,embed,local,1,a,none,none,girl,daughter,established,herself,The girl said that the daughter established herself . <eos>,The girl said that the daughter established herself .,the girl said that the daughter established ***mask*** .,0.2856287996114531
97,17,embed,local,1,b,none,none,daughter,girl,established,herself,The daughter said that the girl established herself . <eos>,The daughter said that the girl established herself .,the daughter said that the girl established ***mask*** .,0.14066408592008092
98,17,embed,local,1,a,nonlocal_subj,number,girls,daughter,established,herself,The girls said that the daughter established herself . <eos>,The girls said that the daughter established herself .,the girls said that the daughter established ***mask*** .,0.30998006827051106
99,17,embed,local,1,b,nonlocal_subj,number,daughters,girl,established,herself,The daughters said that the girl established herself . <eos>,The daughters said that the girl established herself .,the daughters said that the girl established ***mask*** .,0.15193242941533938
100,17,embed,nonlocal,0,a,local_subj,number,girl,daughters,established,herself,The girl said that the daughters established herself . <eos>,The girl said that the daughters established herself .,the girl said that the daughters established ***mask*** .,5.557150888154494
101,17,embed,nonlocal,0,b,local_subj,number,daughter,girls,established,herself,The daughter said that the girls established herself . <eos>,The daughter said that the girls established herself .,the daughter said that the girls established ***mask*** .,3.864304176607451
102,18,embed,local,1,a,none,none,girl,daughter,devoted,herself,The girl said that the daughter devoted herself . <eos>,The girl said that the daughter devoted herself .,the girl said that the daughter devoted ***mask*** .,0.4678790660449462
103,18,embed,local,1,b,none,none,daughter,girl,devoted,herself,The daughter said that the girl devoted herself . <eos>,The daughter said that the girl devoted herself .,the daughter said that the girl devoted ***mask*** .,0.47508172363094564
104,18,embed,local,1,a,nonlocal_subj,number,girls,daughter,devoted,herself,The girls said that the daughter devoted herself . <eos>,The girls said that the daughter devoted herself .,the girls said that the daughter devoted ***mask*** .,0.31029298093769553
105,18,embed,local,1,b,nonlocal_subj,number,daughters,girl,devoted,herself,The daughters said that the girl devoted herself . <eos>,The daughters said that the girl devoted herself .,the daughters said that the girl devoted ***mask*** .,0.2831539601866786
106,18,embed,nonlocal,0,a,local_subj,number,girl,daughters,devoted,herself,The girl said that the daughters devoted herself . <eos>,The girl said that the daughters devoted herself .,the girl said that the daughters devoted ***mask*** .,8.116053596242134
107,18,embed,nonlocal,0,b,local_subj,number,daughter,girls,devoted,herself,The daughter said that the girls devoted herself . <eos>,The daughter said that the girls devoted herself .,the daughter said that the girls devoted ***mask*** .,7.90495942714242
108,19,embed,local,1,a,none,none,girl,daughter,considered,herself,The girl said that the daughter considered herself . <eos>,The girl said that the daughter considered herself .,the girl said that the daughter considered ***mask*** .,8.878606239381682
109,19,embed,local,1,b,none,none,daughter,girl,considered,herself,The daughter said that the girl considered herself . <eos>,The daughter said that the girl considered herself .,the daughter said that the girl considered ***mask*** .,7.709659632989772
110,19,embed,local,1,a,nonlocal_subj,number,girls,daughter,considered,herself,The girls said that the daughter considered herself . <eos>,The girls said that the daughter considered herself .,the girls said that the daughter considered ***mask*** .,8.646739676728227
111,19,embed,local,1,b,nonlocal_subj,number,daughters,girl,considered,herself,The daughters said that the girl considered herself . <eos>,The daughters said that the girl considered herself .,the daughters said that the girl considered ***mask*** .,6.252919121102037
112,19,embed,nonlocal,0,a,local_subj,number,girl,daughters,considered,herself,The girl said that the daughters considered herself . <eos>,The girl said that the daughters considered herself .,the girl said that the daughters considered ***mask*** .,10.118718903025886
113,19,embed,nonlocal,0,b,local_subj,number,daughter,girls,considered,herself,The daughter said that the girls considered herself . <eos>,The daughter said that the girls considered herself .,the daughter said that the girls considered ***mask*** .,9.28905529066691
114,20,embed,local,1,a,none,none,girl,daughter,identified,herself,The girl said that the daughter identified herself . <eos>,The girl said that the daughter identified herself .,the girl said that the daughter identified ***mask*** .,0.4931228519686259
115,20,embed,local,1,b,none,none,daughter,girl,identified,herself,The daughter said that the girl identified herself . <eos>,The daughter said that the girl identified herself .,the daughter said that the girl identified ***mask*** .,0.31252350258266504
116,20,embed,local,1,a,nonlocal_subj,number,girls,daughter,identified,herself,The girls said that the daughter identified herself . <eos>,The girls said that the daughter identified herself .,the girls said that the daughter identified ***mask*** .,0.5561017510607871
117,20,embed,local,1,b,nonlocal_subj,number,daughters,girl,identified,herself,The daughters said that the girl identified herself . <eos>,The daughters said that the girl identified herself .,the daughters said that the girl identified ***mask*** .,0.3149709785641566
118,20,embed,nonlocal,0,a,local_subj,number,girl,daughters,identified,herself,The girl said that the daughters identified herself . <eos>,The girl said that the daughters identified herself .,the girl said that the daughters identified ***mask*** .,5.643934959979181
119,20,embed,nonlocal,0,b,local_subj,number,daughter,girls,identified,herself,The daughter said that the girls identified herself . <eos>,The daughter said that the girls identified herself .,the daughter said that the girls identified ***mask*** .,5.255885561253607
120,21,embed,local,1,a,none,none,girl,daughter,made,herself,The girl said that the daughter made herself . <eos>,The girl said that the daughter made herself .,the girl said that the daughter made ***mask*** .,9.390446766166633
121,21,embed,local,1,b,none,none,daughter,girl,made,herself,The daughter said that the girl made herself . <eos>,The daughter said that the girl made herself .,the daughter said that the girl made ***mask*** .,9.134368378346801
122,21,embed,local,1,a,nonlocal_subj,number,girls,daughter,made,herself,The girls said that the daughter made herself . <eos>,The girls said that the daughter made herself .,the girls said that the daughter made ***mask*** .,10.052104849592801
123,21,embed,local,1,b,nonlocal_subj,number,daughters,girl,made,herself,The daughters said that the girl made herself . <eos>,The daughters said that the girl made herself .,the daughters said that the girl made ***mask*** .,8.732361891776355
124,21,embed,nonlocal,0,a,local_subj,number,girl,daughters,made,herself,The girl said that the daughters made herself . <eos>,The girl said that the daughters made herself .,the girl said that the daughters made ***mask*** .,13.291503656767654
125,21,embed,nonlocal,0,b,local_subj,number,daughter,girls,made,herself,The daughter said that the girls made herself . <eos>,The daughter said that the girls made herself .,the daughter said that the girls made ***mask*** .,14.462507742042218
126,22,embed,local,1,a,none,none,girl,daughter,found,herself,The girl said that the daughter found herself . <eos>,The girl said that the daughter found herself .,the girl said that the daughter found ***mask*** .,7.543625780460349
127,22,embed,local,1,b,none,none,daughter,girl,found,herself,The daughter said that the girl found herself . <eos>,The daughter said that the girl found herself .,the daughter said that the girl found ***mask*** .,7.013079313602251
128,22,embed,local,1,a,nonlocal_subj,number,girls,daughter,found,herself,The girls said that the daughter found herself . <eos>,The girls said that the daughter found herself .,the girls said that the daughter found ***mask*** .,6.914381829722832
129,22,embed,local,1,b,nonlocal_subj,number,daughters,girl,found,herself,The daughters said that the girl found herself . <eos>,The daughters said that the girl found herself .,the daughters said that the girl found ***mask*** .,5.806913101793898
130,22,embed,nonlocal,0,a,local_subj,number,girl,daughters,found,herself,The girl said that the daughters found herself . <eos>,The girl said that the daughters found herself .,the girl said that the daughters found ***mask*** .,10.096484760137399
131,22,embed,nonlocal,0,b,local_subj,number,daughter,girls,found,herself,The daughter said that the girls found herself . <eos>,The daughter said that the girls found herself .,the daughter said that the girls found ***mask*** .,9.94723048121577
132,23,embed,local,1,a,none,none,girl,daughter,distinguished,herself,The girl said that the daughter distinguished herself . <eos>,The girl said that the daughter distinguished herself .,the girl said that the daughter distinguished ***mask*** .,0.053151627182804084
133,23,embed,local,1,b,none,none,daughter,girl,distinguished,herself,The daughter said that the girl distinguished herself . <eos>,The daughter said that the girl distinguished herself .,the daughter said that the girl distinguished ***mask*** .,0.040069415559183634
134,23,embed,local,1,a,nonlocal_subj,number,girls,daughter,distinguished,herself,The girls said that the daughter distinguished herself . <eos>,The girls said that the daughter distinguished herself .,the girls said that the daughter distinguished ***mask*** .,0.10375990445980142
135,23,embed,local,1,b,nonlocal_subj,number,daughters,girl,distinguished,herself,The daughters said that the girl distinguished herself . <eos>,The daughters said that the girl distinguished herself .,the daughters said that the girl distinguished ***mask*** .,0.10535373237557948
136,23,embed,nonlocal,0,a,local_subj,number,girl,daughters,distinguished,herself,The girl said that the daughters distinguished herself . <eos>,The girl said that the daughters distinguished herself .,the girl said that the daughters distinguished ***mask*** .,8.117897508833227
137,23,embed,nonlocal,0,b,local_subj,number,daughter,girls,distinguished,herself,The daughter said that the girls distinguished herself . <eos>,The daughter said that the girls distinguished herself .,the daughter said that the girls distinguished ***mask*** .,7.721330066344812
138,24,embed,local,1,a,none,none,girl,daughter,taught,herself,The girl said that the daughter taught herself . <eos>,The girl said that the daughter taught herself .,the girl said that the daughter taught ***mask*** .,8.267769006257991
139,24,embed,local,1,b,none,none,daughter,girl,taught,herself,The daughter said that the girl taught herself . <eos>,The daughter said that the girl taught herself .,the daughter said that the girl taught ***mask*** .,6.466062447061649
140,24,embed,local,1,a,nonlocal_subj,number,girls,daughter,taught,herself,The girls said that the daughter taught herself . <eos>,The girls said that the daughter taught herself .,the girls said that the daughter taught ***mask*** .,6.69059817227284
141,24,embed,local,1,b,nonlocal_subj,number,daughters,girl,taught,herself,The daughters said that the girl taught herself . <eos>,The daughters said that the girl taught herself .,the daughters said that the girl taught ***mask*** .,5.7151101158088595
142,24,embed,nonlocal,0,a,local_subj,number,girl,daughters,taught,herself,The girl said that the daughters taught herself . <eos>,The girl said that the daughters taught herself .,the girl said that the daughters taught ***mask*** .,8.431169091398399
143,24,embed,nonlocal,0,b,local_subj,number,daughter,girls,taught,herself,The daughter said that the girls taught herself . <eos>,The daughter said that the girls taught herself .,the daughter said that the girls taught ***mask*** .,5.630991538492587
144,25,embed,local,1,a,none,none,girl,daughter,killed,herself,The girl said that the daughter killed herself . <eos>,The girl said that the daughter killed herself .,the girl said that the daughter killed ***mask*** .,1.1455444698283315
145,25,embed,local,1,b,none,none,daughter,girl,killed,herself,The daughter said that the girl killed herself . <eos>,The daughter said that the girl killed herself .,the daughter said that the girl killed ***mask*** .,0.9040600996344477
