,item,clause_type,locality,grammatical,counterbalance,subject,mismatch_position,mismatch_feature,head_noun,distractor_noun,verb,pronoun,sentence,sentence_no_eos,bert_sentence,surprisal
25,3,embed,local,1,b,male,none,none,fathers,boys,devoted,themselves,The fathers said that the boys devoted themselves . <eos>,The fathers said that the boys devoted themselves .,the fathers said that the boys devoted ***mask*** .,0.020375069888645705
26,3,embed,local,1,a,female,none,none,girls,mothers,devoted,themselves,The girls said that the mothers devoted themselves . <eos>,The girls said that the mothers devoted themselves .,the girls said that the mothers devoted ***mask*** .,0.0869582195519428
27,3,embed,local,1,b,female,none,none,mothers,girls,devoted,themselves,The mothers said that the girls devoted themselves . <eos>,The mothers said that the girls devoted themselves .,the mothers said that the girls devoted ***mask*** .,0.02364608798492796
28,3,embed,local,1,a,male,nonlocal_subj,number,boy,fathers,devoted,themselves,The boy said that the fathers devoted themselves . <eos>,The boy said that the fathers devoted themselves .,the boy said that the fathers devoted ***mask*** .,0.5281529023369242
29,3,embed,local,1,b,male,nonlocal_subj,number,father,boys,devoted,themselves,The father said that the boys devoted themselves . <eos>,The father said that the boys devoted themselves .,the father said that the boys devoted ***mask*** .,0.025216956211369473
30,3,embed,local,1,a,female,nonlocal_subj,number,girl,mothers,devoted,themselves,The girl said that the mothers devoted themselves . <eos>,The girl said that the mothers devoted themselves .,the girl said that the mothers devoted ***mask*** .,0.2317510490615892
31,3,embed,local,1,b,female,nonlocal_subj,number,mother,girls,devoted,themselves,The mother said that the girls devoted themselves . <eos>,The mother said that the girls devoted themselves .,the mother said that the girls devoted ***mask*** .,0.031457737230269706
32,3,embed,nonlocal,0,a,male,local_subj,number,boys,father,devoted,themselves,The boys said that the father devoted themselves . <eos>,The boys said that the father devoted themselves .,the boys said that the father devoted ***mask*** .,6.516179180482255
33,3,embed,nonlocal,0,b,male,local_subj,number,fathers,boy,devoted,themselves,The fathers said that the boy devoted themselves . <eos>,The fathers said that the boy devoted themselves .,the fathers said that the boy devoted ***mask*** .,8.02624229684024
34,3,embed,nonlocal,0,a,female,local_subj,number,girls,mother,devoted,themselves,The girls said that the mother devoted themselves . <eos>,The girls said that the mother devoted themselves .,the girls said that the mother devoted ***mask*** .,6.236357757233623
35,3,embed,nonlocal,0,b,female,local_subj,number,mothers,girl,devoted,themselves,The mothers said that the girl devoted themselves . <eos>,The mothers said that the girl devoted themselves .,the mothers said that the girl devoted ***mask*** .,7.313737048840283
36,4,embed,local,1,a,male,none,none,boys,fathers,considered,themselves,The boys said that the fathers considered themselves . <eos>,The boys said that the fathers considered themselves .,the boys said that the fathers considered ***mask*** .,11.720747776228754
37,4,embed,local,1,b,male,none,none,fathers,boys,considered,themselves,The fathers said that the boys considered themselves . <eos>,The fathers said that the boys considered themselves .,the fathers said that the boys considered ***mask*** .,8.998707269815458
38,4,embed,local,1,a,female,none,none,girls,mothers,considered,themselves,The girls said that the mothers considered themselves . <eos>,The girls said that the mothers considered themselves .,the girls said that the mothers considered ***mask*** .,11.074885314184305
39,4,embed,local,1,b,female,none,none,mothers,girls,considered,themselves,The mothers said that the girls considered themselves . <eos>,The mothers said that the girls considered themselves .,the mothers said that the girls considered ***mask*** .,9.488799786759758
40,4,embed,local,1,a,male,nonlocal_subj,number,boy,fathers,considered,themselves,The boy said that the fathers considered themselves . <eos>,The boy said that the fathers considered themselves .,the boy said that the fathers considered ***mask*** .,12.049075199625296
41,4,embed,local,1,b,male,nonlocal_subj,number,father,boys,considered,themselves,The father said that the boys considered themselves . <eos>,The father said that the boys considered themselves .,the father said that the boys considered ***mask*** .,10.174196488390935
42,4,embed,local,1,a,female,nonlocal_subj,number,girl,mothers,considered,themselves,The girl said that the mothers considered themselves . <eos>,The girl said that the mothers considered themselves .,the girl said that the mothers considered ***mask*** .,12.042311279857746
43,4,embed,local,1,b,female,nonlocal_subj,number,mother,girls,considered,themselves,The mother said that the girls considered themselves . <eos>,The mother said that the girls considered themselves .,the mother said that the girls considered ***mask*** .,10.1265271619008
44,4,embed,nonlocal,0,a,male,local_subj,number,boys,father,considered,themselves,The boys said that the father considered themselves . <eos>,The boys said that the father considered themselves .,the boys said that the father considered ***mask*** .,14.168573485590745
45,4,embed,nonlocal,0,b,male,local_subj,number,fathers,boy,considered,themselves,The fathers said that the boy considered themselves . <eos>,The fathers said that the boy considered themselves .,the fathers said that the boy considered ***mask*** .,12.638185905966115
46,4,embed,nonlocal,0,a,female,local_subj,number,girls,mother,considered,themselves,The girls said that the mother considered themselves . <eos>,The girls said that the mother considered themselves .,the girls said that the mother considered ***mask*** .,13.216593257192306
47,4,embed,nonlocal,0,b,female,local_subj,number,mothers,girl,considered,themselves,The mothers said that the girl considered themselves . <eos>,The mothers said that the girl considered themselves .,the mothers said that the girl considered ***mask*** .,13.325750933649518
48,5,embed,local,1,a,male,none,none,boys,fathers,identified,themselves,The boys said that the fathers identified themselves . <eos>,The boys said that the fathers identified themselves .,the boys said that the fathers identified ***mask*** .,1.4205156740296618
49,5,embed,local,1,b,male,none,none,fathers,boys,identified,themselves,The fathers said that the boys identified themselves . <eos>,The fathers said that the boys identified themselves .,the fathers said that the boys identified ***mask*** .,0.20003258126932594
50,5,embed,local,1,a,female,none,none,girls,mothers,identified,themselves,The girls said that the mothers identified themselves . <eos>,The girls said that the mothers identified themselves .,the girls said that the mothers identified ***mask*** .,0.557722258273164
51,5,embed,local,1,b,female,none,none,mothers,girls,identified,themselves,The mothers said that the girls identified themselves . <eos>,The mothers said that the girls identified themselves .,the mothers said that the girls identified ***mask*** .,0.17361172761114826
52,5,embed,local,1,a,male,nonlocal_subj,number,boy,fathers,identified,themselves,The boy said that the fathers identified themselves . <eos>,The boy said that the fathers identified themselves .,the boy said that the fathers identified ***mask*** .,2.7854004346038077
53,5,embed,local,1,b,male,nonlocal_subj,number,father,boys,identified,themselves,The father said that the boys identified themselves . <eos>,The father said that the boys identified themselves .,the father said that the boys identified ***mask*** .,0.09416902310737787
54,5,embed,local,1,a,female,nonlocal_subj,number,girl,mothers,identified,themselves,The girl said that the mothers identified themselves . <eos>,The girl said that the mothers identified themselves .,the girl said that the mothers identified ***mask*** .,0.657177939040399
55,5,embed,local,1,b,female,nonlocal_subj,number,mother,girls,identified,themselves,The mother said that the girls identified themselves . <eos>,The mother said that the girls identified themselves .,the mother said that the girls identified ***mask*** .,0.14951382509191333
56,5,embed,nonlocal,0,a,male,local_subj,number,boys,father,identified,themselves,The boys said that the father identified themselves . <eos>,The boys said that the father identified themselves .,the boys said that the father identified ***mask*** .,4.2468400847334316
57,5,embed,nonlocal,0,b,male,local_subj,number,fathers,boy,identified,themselves,The fathers said that the boy identified themselves . <eos>,The fathers said that the boy identified themselves .,the fathers said that the boy identified ***mask*** .,5.302162263692076
58,5,embed,nonlocal,0,a,female,local_subj,number,girls,mother,identified,themselves,The girls said that the mother identified themselves . <eos>,The girls said that the mother identified themselves .,the girls said that the mother identified ***mask*** .,3.4436058603556376
59,5,embed,nonlocal,0,b,female,local_subj,number,mothers,girl,identified,themselves,The mothers said that the girl identified themselves . <eos>,The mothers said that the girl identified themselves .,the mothers said that the girl identified ***mask*** .,4.526820819465642
60,6,embed,local,1,a,male,none,none,boys,fathers,made,themselves,The boys said that the fathers made themselves . <eos>,The boys said that the fathers made themselves .,the boys said that the fathers made ***mask*** .,11.01661371117247
61,6,embed,local,1,b,male,none,none,fathers,boys,made,themselves,The fathers said that the boys made themselves . <eos>,The fathers said that the boys made themselves .,the fathers said that the boys made ***mask*** .,10.417724534567206
62,6,embed,local,1,a,female,none,none,girls,mothers,made,themselves,The girls said that the mothers made themselves . <eos>,The girls said that the mothers made themselves .,the girls said that the mothers made ***mask*** .,11.19448075967356
63,6,embed,local,1,b,female,none,none,mothers,girls,made,themselves,The mothers said that the girls made themselves . <eos>,The mothers said that the girls made themselves .,the mothers said that the girls made ***mask*** .,11.013116800655052
64,6,embed,local,1,a,male,nonlocal_subj,number,boy,fathers,made,themselves,The boy said that the fathers made themselves . <eos>,The boy said that the fathers made themselves .,the boy said that the fathers made ***mask*** .,11.055277663662327
65,6,embed,local,1,b,male,nonlocal_subj,number,father,boys,made,themselves,The father said that the boys made themselves . <eos>,The father said that the boys made themselves .,the father said that the boys made ***mask*** .,11.142620713785051
66,6,embed,local,1,a,female,nonlocal_subj,number,girl,mothers,made,themselves,The girl said that the mothers made themselves . <eos>,The girl said that the mothers made themselves .,the girl said that the mothers made ***mask*** .,10.99597760698701
67,6,embed,local,1,b,female,nonlocal_subj,number,mother,girls,made,themselves,The mother said that the girls made themselves . <eos>,The mother said that the girls made themselves .,the mother said that the girls made ***mask*** .,11.184423894933072
68,6,embed,nonlocal,0,a,male,local_subj,number,boys,father,made,themselves,The boys said that the father made themselves . <eos>,The boys said that the father made themselves .,the boys said that the father made ***mask*** .,14.277684410863825
69,6,embed,nonlocal,0,b,male,local_subj,number,fathers,boy,made,themselves,The fathers said that the boy made themselves . <eos>,The fathers said that the boy made themselves .,the fathers said that the boy made ***mask*** .,13.977731591076447
70,6,embed,nonlocal,0,a,female,local_subj,number,girls,mother,made,themselves,The girls said that the mother made themselves . <eos>,The girls said that the mother made themselves .,the girls said that the mother made ***mask*** .,13.75457205597706
71,6,embed,nonlocal,0,b,female,local_subj,number,mothers,girl,made,themselves,The mothers said that the girl made themselves . <eos>,The mothers said that the girl made themselves .,the mothers said that the girl made ***mask*** .,14.080698827764998
72,7,embed,local,1,a,male,none,none,boys,fathers,found,themselves,The boys said that the fathers found themselves . <eos>,The boys said that the fathers found themselves .,the boys said that the fathers found ***mask*** .,9.693074849864558
73,7,embed,local,1,b,male,none,none,fathers,boys,found,themselves,The fathers said that the boys found themselves . <eos>,The fathers said that the boys found themselves .,the fathers said that the boys found ***mask*** .,7.374240331079619
74,7,embed,local,1,a,female,none,none,girls,mothers,found,themselves,The girls said that the mothers found themselves . <eos>,The girls said that the mothers found themselves .,the girls said that the mothers found ***mask*** .,8.962439305818545
75,7,embed,local,1,b,female,none,none,mothers,girls,found,themselves,The mothers said that the girls found themselves . <eos>,The mothers said that the girls found themselves .,the mothers said that the girls found ***mask*** .,6.760601775451491
76,7,embed,local,1,a,male,nonlocal_subj,number,boy,fathers,found,themselves,The boy said that the fathers found themselves . <eos>,The boy said that the fathers found themselves .,the boy said that the fathers found ***mask*** .,9.888888533183183
77,7,embed,local,1,b,male,nonlocal_subj,number,father,boys,found,themselves,The father said that the boys found themselves . <eos>,The father said that the boys found themselves .,the father said that the boys found ***mask*** .,7.617021026350261
78,7,embed,local,1,a,female,nonlocal_subj,number,girl,mothers,found,themselves,The girl said that the mothers found themselves . <eos>,The girl said that the mothers found themselves .,the girl said that the mothers found ***mask*** .,10.178283522572462
79,7,embed,local,1,b,female,nonlocal_subj,number,mother,girls,found,themselves,The mother said that the girls found themselves . <eos>,The mother said that the girls found themselves .,the mother said that the girls found ***mask*** .,7.560349801979476
80,7,embed,nonlocal,0,a,male,local_subj,number,boys,father,found,themselves,The boys said that the father found themselves . <eos>,The boys said that the father found themselves .,the boys said that the father found ***mask*** .,11.77799803211274
81,7,embed,nonlocal,0,b,male,local_subj,number,fathers,boy,found,themselves,The fathers said that the boy found themselves . <eos>,The fathers said that the boy found themselves .,the fathers said that the boy found ***mask*** .,11.643559179439531
82,7,embed,nonlocal,0,a,female,local_subj,number,girls,mother,found,themselves,The girls said that the mother found themselves . <eos>,The girls said that the mother found themselves .,the girls said that the mother found ***mask*** .,11.376758697756186
83,7,embed,nonlocal,0,b,female,local_subj,number,mothers,girl,found,themselves,The mothers said that the girl found themselves . <eos>,The mothers said that the girl found themselves .,the mothers said that the girl found ***mask*** .,10.534682338088558
84,8,embed,local,1,a,male,none,none,boys,fathers,distinguished,themselves,The boys said that the fathers distinguished themselves . <eos>,The boys said that the fathers distinguished themselves .,the boys said that the fathers distinguished ***mask*** .,0.018709364849585824
85,8,embed,local,1,b,male,none,none,fathers,boys,distinguished,themselves,The fathers said that the boys distinguished themselves . <eos>,The fathers said that the boys distinguished themselves .,the fathers said that the boys distinguished ***mask*** .,0.0034257449062708115
86,8,embed,local,1,a,female,none,none,girls,mothers,distinguished,themselves,The girls said that the mothers distinguished themselves . <eos>,The girls said that the mothers distinguished themselves .,the girls said that the mothers distinguished ***mask*** .,0.02176550101685259
87,8,embed,local,1,b,female,none,none,mothers,girls,distinguished,themselves,The mothers said that the girls distinguished themselves . <eos>,The mothers said that the girls distinguished themselves .,the mothers said that the girls distinguished ***mask*** .,0.005688433093674887
88,8,embed,local,1,a,male,nonlocal_subj,number,boy,fathers,distinguished,themselves,The boy said that the fathers distinguished themselves . <eos>,The boy said that the fathers distinguished themselves .,the boy said that the fathers distinguished ***mask*** .,0.06297017910216092
89,8,embed,local,1,b,male,nonlocal_subj,number,father,boys,distinguished,themselves,The father said that the boys distinguished themselves . <eos>,The father said that the boys distinguished themselves .,the father said that the boys distinguished ***mask*** .,0.0025460406698955195
90,8,embed,local,1,a,female,nonlocal_subj,number,girl,mothers,distinguished,themselves,The girl said that the mothers distinguished themselves . <eos>,The girl said that the mothers distinguished themselves .,the girl said that the mothers distinguished ***mask*** .,0.030474353889089468
91,8,embed,local,1,b,female,nonlocal_subj,number,mother,girls,distinguished,themselves,The mother said that the girls distinguished themselves . <eos>,The mother said that the girls distinguished themselves .,the mother said that the girls distinguished ***mask*** .,0.008221190804702032
92,8,embed,nonlocal,0,a,male,local_subj,number,boys,father,distinguished,themselves,The boys said that the father distinguished themselves . <eos>,The boys said that the father distinguished themselves .,the boys said that the father distinguished ***mask*** .,6.7013290780224315
93,8,embed,nonlocal,0,b,male,local_subj,number,fathers,boy,distinguished,themselves,The fathers said that the boy distinguished themselves . <eos>,The fathers said that the boy distinguished themselves .,the fathers said that the boy distinguished ***mask*** .,6.564495432069335
94,8,embed,nonlocal,0,a,female,local_subj,number,girls,mother,distinguished,themselves,The girls said that the mother distinguished themselves . <eos>,The girls said that the mother distinguished themselves .,the girls said that the mother distinguished ***mask*** .,4.738048430574868
95,8,embed,nonlocal,0,b,female,local_subj,number,mothers,girl,distinguished,themselves,The mothers said that the girl distinguished themselves . <eos>,The mothers said that the girl distinguished themselves .,the mothers said that the girl distinguished ***mask*** .,5.520645028404624
96,9,embed,local,1,a,male,none,none,boys,fathers,taught,themselves,The boys said that the fathers taught themselves . <eos>,The boys said that the fathers taught themselves .,the boys said that the fathers taught ***mask*** .,8.27258605510328
97,9,embed,local,1,b,male,none,none,fathers,boys,taught,themselves,The fathers said that the boys taught themselves . <eos>,The fathers said that the boys taught themselves .,the fathers said that the boys taught ***mask*** .,4.308346029380011
98,9,embed,local,1,a,female,none,none,girls,mothers,taught,themselves,The girls said that the mothers taught themselves . <eos>,The girls said that the mothers taught themselves .,the girls said that the mothers taught ***mask*** .,6.511951862058768
99,9,embed,local,1,b,female,none,none,mothers,girls,taught,themselves,The mothers said that the girls taught themselves . <eos>,The mothers said that the girls taught themselves .,the mothers said that the girls taught ***mask*** .,3.939619716125677
100,9,embed,local,1,a,male,nonlocal_subj,number,boy,fathers,taught,themselves,The boy said that the fathers taught themselves . <eos>,The boy said that the fathers taught themselves .,the boy said that the fathers taught ***mask*** .,12.689888456889726
101,9,embed,local,1,b,male,nonlocal_subj,number,father,boys,taught,themselves,The father said that the boys taught themselves . <eos>,The father said that the boys taught themselves .,the father said that the boys taught ***mask*** .,4.569733269359943
102,9,embed,local,1,a,female,nonlocal_subj,number,girl,mothers,taught,themselves,The girl said that the mothers taught themselves . <eos>,The girl said that the mothers taught themselves .,the girl said that the mothers taught ***mask*** .,10.48994141117975
103,9,embed,local,1,b,female,nonlocal_subj,number,mother,girls,taught,themselves,The mother said that the girls taught themselves . <eos>,The mother said that the girls taught themselves .,the mother said that the girls taught ***mask*** .,4.74760121153607
104,9,embed,nonlocal,0,a,male,local_subj,number,boys,father,taught,themselves,The boys said that the father taught themselves . <eos>,The boys said that the father taught themselves .,the boys said that the father taught ***mask*** .,12.17529661278341
105,9,embed,nonlocal,0,b,male,local_subj,number,fathers,boy,taught,themselves,The fathers said that the boy taught themselves . <eos>,The fathers said that the boy taught themselves .,the fathers said that the boy taught ***mask*** .,10.1332950525263
106,9,embed,nonlocal,0,a,female,local_subj,number,girls,mother,taught,themselves,The girls said that the mother taught themselves . <eos>,The girls said that the mother taught themselves .,the girls said that the mother taught ***mask*** .,11.684884167256678
107,9,embed,nonlocal,0,b,female,local_subj,number,mothers,girl,taught,themselves,The mothers said that the girl taught themselves . <eos>,The mothers said that the girl taught themselves .,the mothers said that the girl taught ***mask*** .,9.127226689206879
108,10,embed,local,1,a,male,none,none,boys,fathers,killed,themselves,The boys said that the fathers killed themselves . <eos>,The boys said that the fathers killed themselves .,the boys said that the fathers killed ***mask*** .,4.882225020106644
109,10,embed,local,1,b,male,none,none,fathers,boys,killed,themselves,The fathers said that the boys killed themselves . <eos>,The fathers said that the boys killed themselves .,the fathers said that the boys killed ***mask*** .,2.135417000548128
110,10,embed,local,1,a,female,none,none,girls,mothers,killed,themselves,The girls said that the mothers killed themselves . <eos>,The girls said that the mothers killed themselves .,the girls said that the mothers killed ***mask*** .,2.1517624715654673
111,10,embed,local,1,b,female,none,none,mothers,girls,killed,themselves,The mothers said that the girls killed themselves . <eos>,The mothers said that the girls killed themselves .,the mothers said that the girls killed ***mask*** .,0.6067348546854328
112,10,embed,local,1,a,male,nonlocal_subj,number,boy,fathers,killed,themselves,The boy said that the fathers killed themselves . <eos>,The boy said that the fathers killed themselves .,the boy said that the fathers killed ***mask*** .,5.5956828279328334
113,10,embed,local,1,b,male,nonlocal_subj,number,father,boys,killed,themselves,The father said that the boys killed themselves . <eos>,The father said that the boys killed themselves .,the father said that the boys killed ***mask*** .,1.7341776704951466
114,10,embed,local,1,a,female,nonlocal_subj,number,girl,mothers,killed,themselves,The girl said that the mothers killed themselves . <eos>,The girl said that the mothers killed themselves .,the girl said that the mothers killed ***mask*** .,3.8153814317176318
115,10,embed,local,1,b,female,nonlocal_subj,number,mother,girls,killed,themselves,The mother said that the girls killed themselves . <eos>,The mother said that the girls killed themselves .,the mother said that the girls killed ***mask*** .,1.3399955088882776
116,10,embed,nonlocal,0,a,male,local_subj,number,boys,father,killed,themselves,The boys said that the father killed themselves . <eos>,The boys said that the father killed themselves .,the boys said that the father killed ***mask*** .,8.043980538871965
117,10,embed,nonlocal,0,b,male,local_subj,number,fathers,boy,killed,themselves,The fathers said that the boy killed themselves . <eos>,The fathers said that the boy killed themselves .,the fathers said that the boy killed ***mask*** .,7.422471018507619
118,10,embed,nonlocal,0,a,female,local_subj,number,girls,mother,killed,themselves,The girls said that the mother killed themselves . <eos>,The girls said that the mother killed themselves .,the girls said that the mother killed ***mask*** .,6.878835823925664
119,10,embed,nonlocal,0,b,female,local_subj,number,mothers,girl,killed,themselves,The mothers said that the girl killed themselves . <eos>,The mothers said that the girl killed themselves .,the mothers said that the girl killed ***mask*** .,6.640244542543362
120,11,embed,local,1,a,male,none,none,boys,fathers,called,themselves,The boys said that the fathers called themselves . <eos>,The boys said that the fathers called themselves .,the boys said that the fathers called ***mask*** .,8.914652679334617
121,11,embed,local,1,b,male,none,none,fathers,boys,called,themselves,The fathers said that the boys called themselves . <eos>,The fathers said that the boys called themselves .,the fathers said that the boys called ***mask*** .,7.464237317054299
122,11,embed,local,1,a,female,none,none,girls,mothers,called,themselves,The girls said that the mothers called themselves . <eos>,The girls said that the mothers called themselves .,the girls said that the mothers called ***mask*** .,9.014547763860694
123,11,embed,local,1,b,female,none,none,mothers,girls,called,themselves,The mothers said that the girls called themselves . <eos>,The mothers said that the girls called themselves .,the mothers said that the girls called ***mask*** .,7.749858759641328
124,11,embed,local,1,a,male,nonlocal_subj,number,boy,fathers,called,themselves,The boy said that the fathers called themselves . <eos>,The boy said that the fathers called themselves .,the boy said that the fathers called ***mask*** .,8.424500684347914
125,11,embed,local,1,b,male,nonlocal_subj,number,father,boys,called,themselves,The father said that the boys called themselves . <eos>,The father said that the boys called themselves .,the father said that the boys called ***mask*** .,8.187125767996541
126,11,embed,local,1,a,female,nonlocal_subj,number,girl,mothers,called,themselves,The girl said that the mothers called themselves . <eos>,The girl said that the mothers called themselves .,the girl said that the mothers called ***mask*** .,8.760444151530017
127,11,embed,local,1,b,female,nonlocal_subj,number,mother,girls,called,themselves,The mother said that the girls called themselves . <eos>,The mother said that the girls called themselves .,the mother said that the girls called ***mask*** .,8.389703473929869
128,11,embed,nonlocal,0,a,male,local_subj,number,boys,father,called,themselves,The boys said that the father called themselves . <eos>,The boys said that the father called themselves .,the boys said that the father called ***mask*** .,11.589121569993612
129,11,embed,nonlocal,0,b,male,local_subj,number,fathers,boy,called,themselves,The fathers said that the boy called themselves . <eos>,The fathers said that the boy called themselves .,the fathers said that the boy called ***mask*** .,10.500712227595212
130,11,embed,nonlocal,0,a,female,local_subj,number,girls,mother,called,themselves,The girls said that the mother called themselves . <eos>,The girls said that the mother called themselves .,the girls said that the mother called ***mask*** .,11.187282809018535
131,11,embed,nonlocal,0,b,female,local_subj,number,mothers,girl,called,themselves,The mothers said that the girl called themselves . <eos>,The mothers said that the girl called themselves .,the mothers said that the girl called ***mask*** .,10.566858149776849
132,12,embed,local,1,a,male,none,none,boys,fathers,dedicated,themselves,The boys said that the fathers dedicated themselves . <eos>,The boys said that the fathers dedicated themselves .,the boys said that the fathers dedicated ***mask*** .,0.18408866558895934
133,12,embed,local,1,b,male,none,none,fathers,boys,dedicated,themselves,The fathers said that the boys dedicated themselves . <eos>,The fathers said that the boys dedicated themselves .,the fathers said that the boys dedicated ***mask*** .,0.026470259040938363
134,12,embed,local,1,a,female,none,none,girls,mothers,dedicated,themselves,The girls said that the mothers dedicated themselves . <eos>,The girls said that the mothers dedicated themselves .,the girls said that the mothers dedicated ***mask*** .,0.0540703347910168
135,12,embed,local,1,b,female,none,none,mothers,girls,dedicated,themselves,The mothers said that the girls dedicated themselves . <eos>,The mothers said that the girls dedicated themselves .,the mothers said that the girls dedicated ***mask*** .,0.016118490471039353
136,12,embed,local,1,a,male,nonlocal_subj,number,boy,fathers,dedicated,themselves,The boy said that the fathers dedicated themselves . <eos>,The boy said that the fathers dedicated themselves .,the boy said that the fathers dedicated ***mask*** .,1.3249902472587622
137,12,embed,local,1,b,male,nonlocal_subj,number,father,boys,dedicated,themselves,The father said that the boys dedicated themselves . <eos>,The father said that the boys dedicated themselves .,the father said that the boys dedicated ***mask*** .,0.020913021318126467
138,12,embed,local,1,a,female,nonlocal_subj,number,girl,mothers,dedicated,themselves,The girl said that the mothers dedicated themselves . <eos>,The girl said that the mothers dedicated themselves .,the girl said that the mothers dedicated ***mask*** .,0.21030985425351556
