,item,clause_type,locality,c-command,grammatical,counterbalance,mismatch_position,mismatch_feature,matrix_subj_noun,rc_subj_noun,verb,pronoun,sentence,sentence_no_eos,bert_sentence,surprisal
27,5,simple,local,no-c-command,0,b,matrix_subj,number,mothers,girl,identified,herself,The mothers that the girl liked identified herself . <eos>,The mothers that the girl liked identified herself .,the mothers that the girl liked identified ***mask*** .,5.093845677982345
28,5,simple,local,c-command,1,a,rc_subj,number,girl,mothers,identified,herself,The girl that the mothers liked identified herself . <eos>,The girl that the mothers liked identified herself .,the girl that the mothers liked identified ***mask*** .,6.186507756340272
29,5,simple,local,c-command,1,b,rc_subj,number,mother,girls,identified,herself,The mother that the girls liked identified herself . <eos>,The mother that the girls liked identified herself .,the mother that the girls liked identified ***mask*** .,4.952152519554783
30,6,simple,local,c-command,1,a,none,none,girl,mother,made,herself,The girl that the mother liked made herself . <eos>,The girl that the mother liked made herself .,the girl that the mother liked made ***mask*** .,11.79713514873512
31,6,simple,local,c-command,1,b,none,none,mother,girl,made,herself,The mother that the girl liked made herself . <eos>,The mother that the girl liked made herself .,the mother that the girl liked made ***mask*** .,12.173298394149732
32,6,simple,local,no-c-command,0,a,matrix_subj,number,girls,mother,made,herself,The girls that the mother liked made herself . <eos>,The girls that the mother liked made herself .,the girls that the mother liked made ***mask*** .,12.412855429251323
33,6,simple,local,no-c-command,0,b,matrix_subj,number,mothers,girl,made,herself,The mothers that the girl liked made herself . <eos>,The mothers that the girl liked made herself .,the mothers that the girl liked made ***mask*** .,13.3456167970251
34,6,simple,local,c-command,1,a,rc_subj,number,girl,mothers,made,herself,The girl that the mothers liked made herself . <eos>,The girl that the mothers liked made herself .,the girl that the mothers liked made ***mask*** .,12.343575136722219
35,6,simple,local,c-command,1,b,rc_subj,number,mother,girls,made,herself,The mother that the girls liked made herself . <eos>,The mother that the girls liked made herself .,the mother that the girls liked made ***mask*** .,12.324266351549982
36,7,simple,local,c-command,1,a,none,none,girl,mother,found,herself,The girl that the mother liked found herself . <eos>,The girl that the mother liked found herself .,the girl that the mother liked found ***mask*** .,5.7874095143025865
37,7,simple,local,c-command,1,b,none,none,mother,girl,found,herself,The mother that the girl liked found herself . <eos>,The mother that the girl liked found herself .,the mother that the girl liked found ***mask*** .,5.7152058282378775
38,7,simple,local,no-c-command,0,a,matrix_subj,number,girls,mother,found,herself,The girls that the mother liked found herself . <eos>,The girls that the mother liked found herself .,the girls that the mother liked found ***mask*** .,8.161354835577212
39,7,simple,local,no-c-command,0,b,matrix_subj,number,mothers,girl,found,herself,The mothers that the girl liked found herself . <eos>,The mothers that the girl liked found herself .,the mothers that the girl liked found ***mask*** .,8.13158142520063
40,7,simple,local,c-command,1,a,rc_subj,number,girl,mothers,found,herself,The girl that the mothers liked found herself . <eos>,The girl that the mothers liked found herself .,the girl that the mothers liked found ***mask*** .,5.710549544051023
41,7,simple,local,c-command,1,b,rc_subj,number,mother,girls,found,herself,The mother that the girls liked found herself . <eos>,The mother that the girls liked found herself .,the mother that the girls liked found ***mask*** .,5.736821365259339
42,8,simple,local,c-command,1,a,none,none,girl,mother,distinguished,herself,The girl that the mother liked distinguished herself . <eos>,The girl that the mother liked distinguished herself .,the girl that the mother liked distinguished ***mask*** .,3.09851647749272
43,8,simple,local,c-command,1,b,none,none,mother,girl,distinguished,herself,The mother that the girl liked distinguished herself . <eos>,The mother that the girl liked distinguished herself .,the mother that the girl liked distinguished ***mask*** .,5.686014285192283
44,8,simple,local,no-c-command,0,a,matrix_subj,number,girls,mother,distinguished,herself,The girls that the mother liked distinguished herself . <eos>,The girls that the mother liked distinguished herself .,the girls that the mother liked distinguished ***mask*** .,5.639503973680935
45,8,simple,local,no-c-command,0,b,matrix_subj,number,mothers,girl,distinguished,herself,The mothers that the girl liked distinguished herself . <eos>,The mothers that the girl liked distinguished herself .,the mothers that the girl liked distinguished ***mask*** .,4.853672631773771
46,8,simple,local,c-command,1,a,rc_subj,number,girl,mothers,distinguished,herself,The girl that the mothers liked distinguished herself . <eos>,The girl that the mothers liked distinguished herself .,the girl that the mothers liked distinguished ***mask*** .,5.38917790134465
47,8,simple,local,c-command,1,b,rc_subj,number,mother,girls,distinguished,herself,The mother that the girls liked distinguished herself . <eos>,The mother that the girls liked distinguished herself .,the mother that the girls liked distinguished ***mask*** .,7.815356766054054
48,9,simple,local,c-command,1,a,none,none,girl,mother,taught,herself,The girl that the mother liked taught herself . <eos>,The girl that the mother liked taught herself .,the girl that the mother liked taught ***mask*** .,10.30535294686067
49,9,simple,local,c-command,1,b,none,none,mother,girl,taught,herself,The mother that the girl liked taught herself . <eos>,The mother that the girl liked taught herself .,the mother that the girl liked taught ***mask*** .,10.127963766331472
50,9,simple,local,no-c-command,0,a,matrix_subj,number,girls,mother,taught,herself,The girls that the mother liked taught herself . <eos>,The girls that the mother liked taught herself .,the girls that the mother liked taught ***mask*** .,10.40808040435005
51,9,simple,local,no-c-command,0,b,matrix_subj,number,mothers,girl,taught,herself,The mothers that the girl liked taught herself . <eos>,The mothers that the girl liked taught herself .,the mothers that the girl liked taught ***mask*** .,11.264931382803843
52,9,simple,local,c-command,1,a,rc_subj,number,girl,mothers,taught,herself,The girl that the mothers liked taught herself . <eos>,The girl that the mothers liked taught herself .,the girl that the mothers liked taught ***mask*** .,10.006732034887342
53,9,simple,local,c-command,1,b,rc_subj,number,mother,girls,taught,herself,The mother that the girls liked taught herself . <eos>,The mother that the girls liked taught herself .,the mother that the girls liked taught ***mask*** .,10.39568974885277
54,10,simple,local,c-command,1,a,none,none,girl,mother,killed,herself,The girl that the mother liked killed herself . <eos>,The girl that the mother liked killed herself .,the girl that the mother liked killed ***mask*** .,3.7223524773943284
55,10,simple,local,c-command,1,b,none,none,mother,girl,killed,herself,The mother that the girl liked killed herself . <eos>,The mother that the girl liked killed herself .,the mother that the girl liked killed ***mask*** .,4.298513419718433
56,10,simple,local,no-c-command,0,a,matrix_subj,number,girls,mother,killed,herself,The girls that the mother liked killed herself . <eos>,The girls that the mother liked killed herself .,the girls that the mother liked killed ***mask*** .,6.506061627449422
57,10,simple,local,no-c-command,0,b,matrix_subj,number,mothers,girl,killed,herself,The mothers that the girl liked killed herself . <eos>,The mothers that the girl liked killed herself .,the mothers that the girl liked killed ***mask*** .,6.714270292785876
58,10,simple,local,c-command,1,a,rc_subj,number,girl,mothers,killed,herself,The girl that the mothers liked killed herself . <eos>,The girl that the mothers liked killed herself .,the girl that the mothers liked killed ***mask*** .,3.961342521276735
59,10,simple,local,c-command,1,b,rc_subj,number,mother,girls,killed,herself,The mother that the girls liked killed herself . <eos>,The mother that the girls liked killed herself .,the mother that the girls liked killed ***mask*** .,4.1508847225637755
60,11,simple,local,c-command,1,a,none,none,girl,mother,called,herself,The girl that the mother liked called herself . <eos>,The girl that the mother liked called herself .,the girl that the mother liked called ***mask*** .,7.4770728743517525
61,11,simple,local,c-command,1,b,none,none,mother,girl,called,herself,The mother that the girl liked called herself . <eos>,The mother that the girl liked called herself .,the mother that the girl liked called ***mask*** .,6.313344529778167
62,11,simple,local,no-c-command,0,a,matrix_subj,number,girls,mother,called,herself,The girls that the mother liked called herself . <eos>,The girls that the mother liked called herself .,the girls that the mother liked called ***mask*** .,5.803920971423796
63,11,simple,local,no-c-command,0,b,matrix_subj,number,mothers,girl,called,herself,The mothers that the girl liked called herself . <eos>,The mothers that the girl liked called herself .,the mothers that the girl liked called ***mask*** .,6.733221464337966
64,11,simple,local,c-command,1,a,rc_subj,number,girl,mothers,called,herself,The girl that the mothers liked called herself . <eos>,The girl that the mothers liked called herself .,the girl that the mothers liked called ***mask*** .,8.353047924420041
65,11,simple,local,c-command,1,b,rc_subj,number,mother,girls,called,herself,The mother that the girls liked called herself . <eos>,The mother that the girls liked called herself .,the mother that the girls liked called ***mask*** .,7.141882468969563
66,12,simple,local,c-command,1,a,none,none,girl,mother,dedicated,herself,The girl that the mother liked dedicated herself . <eos>,The girl that the mother liked dedicated herself .,the girl that the mother liked dedicated ***mask*** .,13.158934125539533
67,12,simple,local,c-command,1,b,none,none,mother,girl,dedicated,herself,The mother that the girl liked dedicated herself . <eos>,The mother that the girl liked dedicated herself .,the mother that the girl liked dedicated ***mask*** .,13.908634994918545
68,12,simple,local,no-c-command,0,a,matrix_subj,number,girls,mother,dedicated,herself,The girls that the mother liked dedicated herself . <eos>,The girls that the mother liked dedicated herself .,the girls that the mother liked dedicated ***mask*** .,12.688594524091187
69,12,simple,local,no-c-command,0,b,matrix_subj,number,mothers,girl,dedicated,herself,The mothers that the girl liked dedicated herself . <eos>,The mothers that the girl liked dedicated herself .,the mothers that the girl liked dedicated ***mask*** .,14.215970985024994
70,12,simple,local,c-command,1,a,rc_subj,number,girl,mothers,dedicated,herself,The girl that the mothers liked dedicated herself . <eos>,The girl that the mothers liked dedicated herself .,the girl that the mothers liked dedicated ***mask*** .,15.621216987191879
71,12,simple,local,c-command,1,b,rc_subj,number,mother,girls,dedicated,herself,The mother that the girls liked dedicated herself . <eos>,The mother that the girls liked dedicated herself .,the mother that the girls liked dedicated ***mask*** .,13.593933994689861
72,13,simple,local,c-command,1,a,none,none,girl,mother,declared,herself,The girl that the mother liked declared herself . <eos>,The girl that the mother liked declared herself .,the girl that the mother liked declared ***mask*** .,1.8887218244529698
73,13,simple,local,c-command,1,b,none,none,mother,girl,declared,herself,The mother that the girl liked declared herself . <eos>,The mother that the girl liked declared herself .,the mother that the girl liked declared ***mask*** .,2.543572009040028
74,13,simple,local,no-c-command,0,a,matrix_subj,number,girls,mother,declared,herself,The girls that the mother liked declared herself . <eos>,The girls that the mother liked declared herself .,the girls that the mother liked declared ***mask*** .,5.287842479541842
75,13,simple,local,no-c-command,0,b,matrix_subj,number,mothers,girl,declared,herself,The mothers that the girl liked declared herself . <eos>,The mothers that the girl liked declared herself .,the mothers that the girl liked declared ***mask*** .,7.601155472170062
76,13,simple,local,c-command,1,a,rc_subj,number,girl,mothers,declared,herself,The girl that the mothers liked declared herself . <eos>,The girl that the mothers liked declared herself .,the girl that the mothers liked declared ***mask*** .,2.0133862675115966
77,13,simple,local,c-command,1,b,rc_subj,number,mother,girls,declared,herself,The mother that the girls liked declared herself . <eos>,The mother that the girls liked declared herself .,the mother that the girls liked declared ***mask*** .,2.412141926073577
78,14,simple,local,c-command,1,a,none,none,girl,mother,proved,herself,The girl that the mother liked proved herself . <eos>,The girl that the mother liked proved herself .,the girl that the mother liked proved ***mask*** .,7.84810286895739
79,14,simple,local,c-command,1,b,none,none,mother,girl,proved,herself,The mother that the girl liked proved herself . <eos>,The mother that the girl liked proved herself .,the mother that the girl liked proved ***mask*** .,8.816994088706368
80,14,simple,local,no-c-command,0,a,matrix_subj,number,girls,mother,proved,herself,The girls that the mother liked proved herself . <eos>,The girls that the mother liked proved herself .,the girls that the mother liked proved ***mask*** .,8.178127652627586
81,14,simple,local,no-c-command,0,b,matrix_subj,number,mothers,girl,proved,herself,The mothers that the girl liked proved herself . <eos>,The mothers that the girl liked proved herself .,the mothers that the girl liked proved ***mask*** .,8.65682024980719
82,14,simple,local,c-command,1,a,rc_subj,number,girl,mothers,proved,herself,The girl that the mothers liked proved herself . <eos>,The girl that the mothers liked proved herself .,the girl that the mothers liked proved ***mask*** .,8.11533841260043
83,14,simple,local,c-command,1,b,rc_subj,number,mother,girls,proved,herself,The mother that the girls liked proved herself . <eos>,The mother that the girls liked proved herself .,the mother that the girls liked proved ***mask*** .,8.576060724110926
84,15,simple,local,c-command,1,a,none,none,girl,mother,shot,herself,The girl that the mother liked shot herself . <eos>,The girl that the mother liked shot herself .,the girl that the mother liked shot ***mask*** .,4.655362749552219
85,15,simple,local,c-command,1,b,none,none,mother,girl,shot,herself,The mother that the girl liked shot herself . <eos>,The mother that the girl liked shot herself .,the mother that the girl liked shot ***mask*** .,4.628302441293481
86,15,simple,local,no-c-command,0,a,matrix_subj,number,girls,mother,shot,herself,The girls that the mother liked shot herself . <eos>,The girls that the mother liked shot herself .,the girls that the mother liked shot ***mask*** .,6.80207304047089
87,15,simple,local,no-c-command,0,b,matrix_subj,number,mothers,girl,shot,herself,The mothers that the girl liked shot herself . <eos>,The mothers that the girl liked shot herself .,the mothers that the girl liked shot ***mask*** .,6.889728738984223
88,15,simple,local,c-command,1,a,rc_subj,number,girl,mothers,shot,herself,The girl that the mothers liked shot herself . <eos>,The girl that the mothers liked shot herself .,the girl that the mothers liked shot ***mask*** .,4.695373084136309
89,15,simple,local,c-command,1,b,rc_subj,number,mother,girls,shot,herself,The mother that the girls liked shot herself . <eos>,The mother that the girls liked shot herself .,the mother that the girls liked shot ***mask*** .,5.010901877429364
90,16,simple,local,c-command,1,a,none,none,girl,daughter,saw,herself,The girl that the daughter liked saw herself . <eos>,The girl that the daughter liked saw herself .,the girl that the daughter liked saw ***mask*** .,8.34440071230673
91,16,simple,local,c-command,1,b,none,none,daughter,girl,saw,herself,The daughter that the girl liked saw herself . <eos>,The daughter that the girl liked saw herself .,the daughter that the girl liked saw ***mask*** .,8.635015776452407
92,16,simple,local,no-c-command,0,a,matrix_subj,number,girls,daughter,saw,herself,The girls that the daughter liked saw herself . <eos>,The girls that the daughter liked saw herself .,the girls that the daughter liked saw ***mask*** .,10.797198057013192
93,16,simple,local,no-c-command,0,b,matrix_subj,number,daughters,girl,saw,herself,The daughters that the girl liked saw herself . <eos>,The daughters that the girl liked saw herself .,the daughters that the girl liked saw ***mask*** .,10.789271737320494
94,16,simple,local,c-command,1,a,rc_subj,number,girl,daughters,saw,herself,The girl that the daughters liked saw herself . <eos>,The girl that the daughters liked saw herself .,the girl that the daughters liked saw ***mask*** .,7.92744521839468
95,16,simple,local,c-command,1,b,rc_subj,number,daughter,girls,saw,herself,The daughter that the girls liked saw herself . <eos>,The daughter that the girls liked saw herself .,the daughter that the girls liked saw ***mask*** .,8.445196529938421
96,17,simple,local,c-command,1,a,none,none,girl,daughter,established,herself,The girl that the daughter liked established herself . <eos>,The girl that the daughter liked established herself .,the girl that the daughter liked established ***mask*** .,0.40010440582553825
97,17,simple,local,c-command,1,b,none,none,daughter,girl,established,herself,The daughter that the girl liked established herself . <eos>,The daughter that the girl liked established herself .,the daughter that the girl liked established ***mask*** .,1.0397411749710113
98,17,simple,local,no-c-command,0,a,matrix_subj,number,girls,daughter,established,herself,The girls that the daughter liked established herself . <eos>,The girls that the daughter liked established herself .,the girls that the daughter liked established ***mask*** .,3.868996060600719
99,17,simple,local,no-c-command,0,b,matrix_subj,number,daughters,girl,established,herself,The daughters that the girl liked established herself . <eos>,The daughters that the girl liked established herself .,the daughters that the girl liked established ***mask*** .,3.978127073866425
100,17,simple,local,c-command,1,a,rc_subj,number,girl,daughters,established,herself,The girl that the daughters liked established herself . <eos>,The girl that the daughters liked established herself .,the girl that the daughters liked established ***mask*** .,1.7702168413903763
101,17,simple,local,c-command,1,b,rc_subj,number,daughter,girls,established,herself,The daughter that the girls liked established herself . <eos>,The daughter that the girls liked established herself .,the daughter that the girls liked established ***mask*** .,4.642438330828249
102,18,simple,local,c-command,1,a,none,none,girl,daughter,devoted,herself,The girl that the daughter liked devoted herself . <eos>,The girl that the daughter liked devoted herself .,the girl that the daughter liked devoted ***mask*** .,17.652307270031947
103,18,simple,local,c-command,1,b,none,none,daughter,girl,devoted,herself,The daughter that the girl liked devoted herself . <eos>,The daughter that the girl liked devoted herself .,the daughter that the girl liked devoted ***mask*** .,18.612797651751652
104,18,simple,local,no-c-command,0,a,matrix_subj,number,girls,daughter,devoted,herself,The girls that the daughter liked devoted herself . <eos>,The girls that the daughter liked devoted herself .,the girls that the daughter liked devoted ***mask*** .,17.08685967371383
105,18,simple,local,no-c-command,0,b,matrix_subj,number,daughters,girl,devoted,herself,The daughters that the girl liked devoted herself . <eos>,The daughters that the girl liked devoted herself .,the daughters that the girl liked devoted ***mask*** .,17.261982599482195
106,18,simple,local,c-command,1,a,rc_subj,number,girl,daughters,devoted,herself,The girl that the daughters liked devoted herself . <eos>,The girl that the daughters liked devoted herself .,the girl that the daughters liked devoted ***mask*** .,18.341362689753968
107,18,simple,local,c-command,1,b,rc_subj,number,daughter,girls,devoted,herself,The daughter that the girls liked devoted herself . <eos>,The daughter that the girls liked devoted herself .,the daughter that the girls liked devoted ***mask*** .,18.50627731125366
108,19,simple,local,c-command,1,a,none,none,girl,daughter,considered,herself,The girl that the daughter liked considered herself . <eos>,The girl that the daughter liked considered herself .,the girl that the daughter liked considered ***mask*** .,6.318020549685732
109,19,simple,local,c-command,1,b,none,none,daughter,girl,considered,herself,The daughter that the girl liked considered herself . <eos>,The daughter that the girl liked considered herself .,the daughter that the girl liked considered ***mask*** .,6.690887431125681
110,19,simple,local,no-c-command,0,a,matrix_subj,number,girls,daughter,considered,herself,The girls that the daughter liked considered herself . <eos>,The girls that the daughter liked considered herself .,the girls that the daughter liked considered ***mask*** .,7.280844026858538
111,19,simple,local,no-c-command,0,b,matrix_subj,number,daughters,girl,considered,herself,The daughters that the girl liked considered herself . <eos>,The daughters that the girl liked considered herself .,the daughters that the girl liked considered ***mask*** .,8.22017586407397
112,19,simple,local,c-command,1,a,rc_subj,number,girl,daughters,considered,herself,The girl that the daughters liked considered herself . <eos>,The girl that the daughters liked considered herself .,the girl that the daughters liked considered ***mask*** .,6.123140334917719
113,19,simple,local,c-command,1,b,rc_subj,number,daughter,girls,considered,herself,The daughter that the girls liked considered herself . <eos>,The daughter that the girls liked considered herself .,the daughter that the girls liked considered ***mask*** .,6.818600663886796
114,20,simple,local,c-command,1,a,none,none,girl,daughter,identified,herself,The girl that the daughter liked identified herself . <eos>,The girl that the daughter liked identified herself .,the girl that the daughter liked identified ***mask*** .,3.1884104033291636
115,20,simple,local,c-command,1,b,none,none,daughter,girl,identified,herself,The daughter that the girl liked identified herself . <eos>,The daughter that the girl liked identified herself .,the daughter that the girl liked identified ***mask*** .,3.5326114947449723
116,20,simple,local,no-c-command,0,a,matrix_subj,number,girls,daughter,identified,herself,The girls that the daughter liked identified herself . <eos>,The girls that the daughter liked identified herself .,the girls that the daughter liked identified ***mask*** .,4.744766655317685
117,20,simple,local,no-c-command,0,b,matrix_subj,number,daughters,girl,identified,herself,The daughters that the girl liked identified herself . <eos>,The daughters that the girl liked identified herself .,the daughters that the girl liked identified ***mask*** .,4.49916042968885
118,20,simple,local,c-command,1,a,rc_subj,number,girl,daughters,identified,herself,The girl that the daughters liked identified herself . <eos>,The girl that the daughters liked identified herself .,the girl that the daughters liked identified ***mask*** .,4.6061721484257685
119,20,simple,local,c-command,1,b,rc_subj,number,daughter,girls,identified,herself,The daughter that the girls liked identified herself . <eos>,The daughter that the girls liked identified herself .,the daughter that the girls liked identified ***mask*** .,5.035561472780418
120,21,simple,local,c-command,1,a,none,none,girl,daughter,made,herself,The girl that the daughter liked made herself . <eos>,The girl that the daughter liked made herself .,the girl that the daughter liked made ***mask*** .,12.101220114836485
121,21,simple,local,c-command,1,b,none,none,daughter,girl,made,herself,The daughter that the girl liked made herself . <eos>,The daughter that the girl liked made herself .,the daughter that the girl liked made ***mask*** .,11.855002178194411
122,21,simple,local,no-c-command,0,a,matrix_subj,number,girls,daughter,made,herself,The girls that the daughter liked made herself . <eos>,The girls that the daughter liked made herself .,the girls that the daughter liked made ***mask*** .,11.918178359374599
123,21,simple,local,no-c-command,0,b,matrix_subj,number,daughters,girl,made,herself,The daughters that the girl liked made herself . <eos>,The daughters that the girl liked made herself .,the daughters that the girl liked made ***mask*** .,12.690007759012179
124,21,simple,local,c-command,1,a,rc_subj,number,girl,daughters,made,herself,The girl that the daughters liked made herself . <eos>,The girl that the daughters liked made herself .,the girl that the daughters liked made ***mask*** .,11.841299717239071
125,21,simple,local,c-command,1,b,rc_subj,number,daughter,girls,made,herself,The daughter that the girls liked made herself . <eos>,The daughter that the girls liked made herself .,the daughter that the girls liked made ***mask*** .,13.102762104534605
126,22,simple,local,c-command,1,a,none,none,girl,daughter,found,herself,The girl that the daughter liked found herself . <eos>,The girl that the daughter liked found herself .,the girl that the daughter liked found ***mask*** .,5.412143299176773
127,22,simple,local,c-command,1,b,none,none,daughter,girl,found,herself,The daughter that the girl liked found herself . <eos>,The daughter that the girl liked found herself .,the daughter that the girl liked found ***mask*** .,5.1531850409600155
128,22,simple,local,no-c-command,0,a,matrix_subj,number,girls,daughter,found,herself,The girls that the daughter liked found herself . <eos>,The girls that the daughter liked found herself .,the girls that the daughter liked found ***mask*** .,8.015050700416301
129,22,simple,local,no-c-command,0,b,matrix_subj,number,daughters,girl,found,herself,The daughters that the girl liked found herself . <eos>,The daughters that the girl liked found herself .,the daughters that the girl liked found ***mask*** .,7.5531058902262025
130,22,simple,local,c-command,1,a,rc_subj,number,girl,daughters,found,herself,The girl that the daughters liked found herself . <eos>,The girl that the daughters liked found herself .,the girl that the daughters liked found ***mask*** .,5.165272330269658
131,22,simple,local,c-command,1,b,rc_subj,number,daughter,girls,found,herself,The daughter that the girls liked found herself . <eos>,The daughter that the girls liked found herself .,the daughter that the girls liked found ***mask*** .,5.447709788563598
132,23,simple,local,c-command,1,a,none,none,girl,daughter,distinguished,herself,The girl that the daughter liked distinguished herself . <eos>,The girl that the daughter liked distinguished herself .,the girl that the daughter liked distinguished ***mask*** .,1.9969622032669385
133,23,simple,local,c-command,1,b,none,none,daughter,girl,distinguished,herself,The daughter that the girl liked distinguished herself . <eos>,The daughter that the girl liked distinguished herself .,the daughter that the girl liked distinguished ***mask*** .,7.414590528288387
134,23,simple,local,no-c-command,0,a,matrix_subj,number,girls,daughter,distinguished,herself,The girls that the daughter liked distinguished herself . <eos>,The girls that the daughter liked distinguished herself .,the girls that the daughter liked distinguished ***mask*** .,5.5901179811879675
135,23,simple,local,no-c-command,0,b,matrix_subj,number,daughters,girl,distinguished,herself,The daughters that the girl liked distinguished herself . <eos>,The daughters that the girl liked distinguished herself .,the daughters that the girl liked distinguished ***mask*** .,6.220736219189339
136,23,simple,local,c-command,1,a,rc_subj,number,girl,daughters,distinguished,herself,The girl that the daughters liked distinguished herself . <eos>,The girl that the daughters liked distinguished herself .,the girl that the daughters liked distinguished ***mask*** .,4.58073607547598
