,item,RC_verb,clause_type,locality,grammatical,counterbalance,mismatch_position,mismatch_feature,nonlocal_subj,local_sub,verb,pronoun,sentence,sentence_no_eos,bert_sentence,surprisal
39,4,liked,embed,local,1,d,none,none,authors,bankers,embarrassed,themselves,The authors that the bankers liked embarrassed themselves . <eos>,The authors that the bankers liked embarrassed themselves .,the authors that the bankers liked embarrassed ***mask*** .,0.03446117853255078
40,4,liked,embed,local,1,a,rc_subj,number,mechanics,author,embarrassed,themselves,The mechanics that the author liked embarrassed themselves . <eos>,The mechanics that the author liked embarrassed themselves .,the mechanics that the author liked embarrassed ***mask*** .,0.2280940393760427
41,4,liked,embed,local,1,b,rc_subj,number,authors,mechanic,embarrassed,themselves,The authors that the mechanic liked embarrassed themselves . <eos>,The authors that the mechanic liked embarrassed themselves .,the authors that the mechanic liked embarrassed ***mask*** .,0.2423818952021434
42,4,liked,embed,local,1,c,rc_subj,number,bankers,author,embarrassed,themselves,The bankers that the author liked embarrassed themselves . <eos>,The bankers that the author liked embarrassed themselves .,the bankers that the author liked embarrassed ***mask*** .,0.2211688873686887
43,4,liked,embed,local,1,d,rc_subj,number,authors,banker,embarrassed,themselves,The authors that the banker liked embarrassed themselves . <eos>,The authors that the banker liked embarrassed themselves .,the authors that the banker liked embarrassed ***mask*** .,0.17790718487147036
44,4,liked,embed,nonlocal,0,a,matrix_subj,number,mechanic,authors,embarrassed,themselves,The mechanic that the authors liked embarrassed themselves . <eos>,The mechanic that the authors liked embarrassed themselves .,the mechanic that the authors liked embarrassed ***mask*** .,0.09384755083846788
45,4,liked,embed,nonlocal,0,b,matrix_subj,number,author,mechanics,embarrassed,themselves,The author that the mechanics liked embarrassed themselves . <eos>,The author that the mechanics liked embarrassed themselves .,the author that the mechanics liked embarrassed ***mask*** .,0.032810976184992006
46,4,liked,embed,nonlocal,0,c,matrix_subj,number,banker,authors,embarrassed,themselves,The banker that the authors liked embarrassed themselves . <eos>,The banker that the authors liked embarrassed themselves .,the banker that the authors liked embarrassed ***mask*** .,0.10170296203875524
47,4,liked,embed,nonlocal,0,d,matrix_subj,number,author,bankers,embarrassed,themselves,The author that the bankers liked embarrassed themselves . <eos>,The author that the bankers liked embarrassed themselves .,the author that the bankers liked embarrassed ***mask*** .,0.06220808174929103
48,5,liked,embed,local,1,a,none,none,mechanics,authors,disguised,themselves,The mechanics that the authors liked disguised themselves . <eos>,The mechanics that the authors liked disguised themselves .,the mechanics that the authors liked disguised ***mask*** .,0.0001529484132644271
49,5,liked,embed,local,1,b,none,none,authors,mechanics,disguised,themselves,The authors that the mechanics liked disguised themselves . <eos>,The authors that the mechanics liked disguised themselves .,the authors that the mechanics liked disguised ***mask*** .,9.528343609841555e-05
50,5,liked,embed,local,1,c,none,none,bankers,authors,disguised,themselves,The bankers that the authors liked disguised themselves . <eos>,The bankers that the authors liked disguised themselves .,the bankers that the authors liked disguised ***mask*** .,0.0001006093352427608
51,5,liked,embed,local,1,d,none,none,authors,bankers,disguised,themselves,The authors that the bankers liked disguised themselves . <eos>,The authors that the bankers liked disguised themselves .,the authors that the bankers liked disguised ***mask*** .,7.059287395056542e-05
52,5,liked,embed,local,1,a,rc_subj,number,mechanics,author,disguised,themselves,The mechanics that the author liked disguised themselves . <eos>,The mechanics that the author liked disguised themselves .,the mechanics that the author liked disguised ***mask*** .,0.0005314835485294378
53,5,liked,embed,local,1,b,rc_subj,number,authors,mechanic,disguised,themselves,The authors that the mechanic liked disguised themselves . <eos>,The authors that the mechanic liked disguised themselves .,the authors that the mechanic liked disguised ***mask*** .,0.0002191584793828389
54,5,liked,embed,local,1,c,rc_subj,number,bankers,author,disguised,themselves,The bankers that the author liked disguised themselves . <eos>,The bankers that the author liked disguised themselves .,the bankers that the author liked disguised ***mask*** .,0.0007273602285209551
55,5,liked,embed,local,1,d,rc_subj,number,authors,banker,disguised,themselves,The authors that the banker liked disguised themselves . <eos>,The authors that the banker liked disguised themselves .,the authors that the banker liked disguised ***mask*** .,0.00022634128862891815
56,5,liked,embed,nonlocal,0,a,matrix_subj,number,mechanic,authors,disguised,themselves,The mechanic that the authors liked disguised themselves . <eos>,The mechanic that the authors liked disguised themselves .,the mechanic that the authors liked disguised ***mask*** .,0.0071994276533900855
57,5,liked,embed,nonlocal,0,b,matrix_subj,number,author,mechanics,disguised,themselves,The author that the mechanics liked disguised themselves . <eos>,The author that the mechanics liked disguised themselves .,the author that the mechanics liked disguised ***mask*** .,0.012483005266043812
58,5,liked,embed,nonlocal,0,c,matrix_subj,number,banker,authors,disguised,themselves,The banker that the authors liked disguised themselves . <eos>,The banker that the authors liked disguised themselves .,the banker that the authors liked disguised ***mask*** .,0.0037003251354205163
59,5,liked,embed,nonlocal,0,d,matrix_subj,number,author,bankers,disguised,themselves,The author that the bankers liked disguised themselves . <eos>,The author that the bankers liked disguised themselves .,the author that the bankers liked disguised ***mask*** .,0.006828791764241302
60,6,liked,embed,local,1,a,none,none,mechanics,authors,hated,themselves,The mechanics that the authors liked hated themselves . <eos>,The mechanics that the authors liked hated themselves .,the mechanics that the authors liked hated ***mask*** .,0.02372131301235241
61,6,liked,embed,local,1,b,none,none,authors,mechanics,hated,themselves,The authors that the mechanics liked hated themselves . <eos>,The authors that the mechanics liked hated themselves .,the authors that the mechanics liked hated ***mask*** .,0.039334881144799404
62,6,liked,embed,local,1,c,none,none,bankers,authors,hated,themselves,The bankers that the authors liked hated themselves . <eos>,The bankers that the authors liked hated themselves .,the bankers that the authors liked hated ***mask*** .,0.02609131120637095
63,6,liked,embed,local,1,d,none,none,authors,bankers,hated,themselves,The authors that the bankers liked hated themselves . <eos>,The authors that the bankers liked hated themselves .,the authors that the bankers liked hated ***mask*** .,0.062424991288633914
64,6,liked,embed,local,1,a,rc_subj,number,mechanics,author,hated,themselves,The mechanics that the author liked hated themselves . <eos>,The mechanics that the author liked hated themselves .,the mechanics that the author liked hated ***mask*** .,0.04379382559025091
65,6,liked,embed,local,1,b,rc_subj,number,authors,mechanic,hated,themselves,The authors that the mechanic liked hated themselves . <eos>,The authors that the mechanic liked hated themselves .,the authors that the mechanic liked hated ***mask*** .,0.10772957501478621
66,6,liked,embed,local,1,c,rc_subj,number,bankers,author,hated,themselves,The bankers that the author liked hated themselves . <eos>,The bankers that the author liked hated themselves .,the bankers that the author liked hated ***mask*** .,0.07377289495215328
67,6,liked,embed,local,1,d,rc_subj,number,authors,banker,hated,themselves,The authors that the banker liked hated themselves . <eos>,The authors that the banker liked hated themselves .,the authors that the banker liked hated ***mask*** .,0.08173249873343655
68,6,liked,embed,nonlocal,0,a,matrix_subj,number,mechanic,authors,hated,themselves,The mechanic that the authors liked hated themselves . <eos>,The mechanic that the authors liked hated themselves .,the mechanic that the authors liked hated ***mask*** .,0.14399179914042254
69,6,liked,embed,nonlocal,0,b,matrix_subj,number,author,mechanics,hated,themselves,The author that the mechanics liked hated themselves . <eos>,The author that the mechanics liked hated themselves .,the author that the mechanics liked hated ***mask*** .,0.19709067782407153
70,6,liked,embed,nonlocal,0,c,matrix_subj,number,banker,authors,hated,themselves,The banker that the authors liked hated themselves . <eos>,The banker that the authors liked hated themselves .,the banker that the authors liked hated ***mask*** .,0.04330911051384083
71,6,liked,embed,nonlocal,0,d,matrix_subj,number,author,bankers,hated,themselves,The author that the bankers liked hated themselves . <eos>,The author that the bankers liked hated themselves .,the author that the bankers liked hated ***mask*** .,0.21662744970723896
72,7,liked,embed,local,1,a,none,none,mechanics,authors,doubted,themselves,The mechanics that the authors liked doubted themselves . <eos>,The mechanics that the authors liked doubted themselves .,the mechanics that the authors liked doubted ***mask*** .,0.00299998473020329
73,7,liked,embed,local,1,b,none,none,authors,mechanics,doubted,themselves,The authors that the mechanics liked doubted themselves . <eos>,The authors that the mechanics liked doubted themselves .,the authors that the mechanics liked doubted ***mask*** .,0.008117625440994225
74,7,liked,embed,local,1,c,none,none,bankers,authors,doubted,themselves,The bankers that the authors liked doubted themselves . <eos>,The bankers that the authors liked doubted themselves .,the bankers that the authors liked doubted ***mask*** .,0.0072321842663677855
75,7,liked,embed,local,1,d,none,none,authors,bankers,doubted,themselves,The authors that the bankers liked doubted themselves . <eos>,The authors that the bankers liked doubted themselves .,the authors that the bankers liked doubted ***mask*** .,0.014842730160900586
76,7,liked,embed,local,1,a,rc_subj,number,mechanics,author,doubted,themselves,The mechanics that the author liked doubted themselves . <eos>,The mechanics that the author liked doubted themselves .,the mechanics that the author liked doubted ***mask*** .,0.003227122490468859
77,7,liked,embed,local,1,b,rc_subj,number,authors,mechanic,doubted,themselves,The authors that the mechanic liked doubted themselves . <eos>,The authors that the mechanic liked doubted themselves .,the authors that the mechanic liked doubted ***mask*** .,0.019412700204324104
78,7,liked,embed,local,1,c,rc_subj,number,bankers,author,doubted,themselves,The bankers that the author liked doubted themselves . <eos>,The bankers that the author liked doubted themselves .,the bankers that the author liked doubted ***mask*** .,0.008735527585899565
79,7,liked,embed,local,1,d,rc_subj,number,authors,banker,doubted,themselves,The authors that the banker liked doubted themselves . <eos>,The authors that the banker liked doubted themselves .,the authors that the banker liked doubted ***mask*** .,0.017601828456316075
80,7,liked,embed,nonlocal,0,a,matrix_subj,number,mechanic,authors,doubted,themselves,The mechanic that the authors liked doubted themselves . <eos>,The mechanic that the authors liked doubted themselves .,the mechanic that the authors liked doubted ***mask*** .,0.02277957665517138
81,7,liked,embed,nonlocal,0,b,matrix_subj,number,author,mechanics,doubted,themselves,The author that the mechanics liked doubted themselves . <eos>,The author that the mechanics liked doubted themselves .,the author that the mechanics liked doubted ***mask*** .,0.044961712646415505
82,7,liked,embed,nonlocal,0,c,matrix_subj,number,banker,authors,doubted,themselves,The banker that the authors liked doubted themselves . <eos>,The banker that the authors liked doubted themselves .,the banker that the authors liked doubted ***mask*** .,0.017101038949550184
83,7,liked,embed,nonlocal,0,d,matrix_subj,number,author,bankers,doubted,themselves,The author that the bankers liked doubted themselves . <eos>,The author that the bankers liked doubted themselves .,the author that the bankers liked doubted ***mask*** .,0.039235247191177415
84,8,liked,embed,local,1,a,none,none,mechanics,pilots,hurt,themselves,The mechanics that the pilots liked hurt themselves . <eos>,The mechanics that the pilots liked hurt themselves .,the mechanics that the pilots liked hurt ***mask*** .,0.013278462239854455
85,8,liked,embed,local,1,b,none,none,pilots,mechanics,hurt,themselves,The pilots that the mechanics liked hurt themselves . <eos>,The pilots that the mechanics liked hurt themselves .,the pilots that the mechanics liked hurt ***mask*** .,0.006980643998198253
86,8,liked,embed,local,1,c,none,none,bankers,pilots,hurt,themselves,The bankers that the pilots liked hurt themselves . <eos>,The bankers that the pilots liked hurt themselves .,the bankers that the pilots liked hurt ***mask*** .,0.0850978977202401
87,8,liked,embed,local,1,d,none,none,pilots,bankers,hurt,themselves,The pilots that the bankers liked hurt themselves . <eos>,The pilots that the bankers liked hurt themselves .,the pilots that the bankers liked hurt ***mask*** .,0.014100969250120908
88,8,liked,embed,local,1,a,rc_subj,number,mechanics,pilot,hurt,themselves,The mechanics that the pilot liked hurt themselves . <eos>,The mechanics that the pilot liked hurt themselves .,the mechanics that the pilot liked hurt ***mask*** .,0.03234426612521581
89,8,liked,embed,local,1,b,rc_subj,number,pilots,mechanic,hurt,themselves,The pilots that the mechanic liked hurt themselves . <eos>,The pilots that the mechanic liked hurt themselves .,the pilots that the mechanic liked hurt ***mask*** .,0.018004392269843746
90,8,liked,embed,local,1,c,rc_subj,number,bankers,pilot,hurt,themselves,The bankers that the pilot liked hurt themselves . <eos>,The bankers that the pilot liked hurt themselves .,the bankers that the pilot liked hurt ***mask*** .,0.5007866828458596
91,8,liked,embed,local,1,d,rc_subj,number,pilots,banker,hurt,themselves,The pilots that the banker liked hurt themselves . <eos>,The pilots that the banker liked hurt themselves .,the pilots that the banker liked hurt ***mask*** .,0.024952317814872234
92,8,liked,embed,nonlocal,0,a,matrix_subj,number,mechanic,pilots,hurt,themselves,The mechanic that the pilots liked hurt themselves . <eos>,The mechanic that the pilots liked hurt themselves .,the mechanic that the pilots liked hurt ***mask*** .,0.07932104400566437
93,8,liked,embed,nonlocal,0,b,matrix_subj,number,pilot,mechanics,hurt,themselves,The pilot that the mechanics liked hurt themselves . <eos>,The pilot that the mechanics liked hurt themselves .,the pilot that the mechanics liked hurt ***mask*** .,0.2016811290068702
94,8,liked,embed,nonlocal,0,c,matrix_subj,number,banker,pilots,hurt,themselves,The banker that the pilots liked hurt themselves . <eos>,The banker that the pilots liked hurt themselves .,the banker that the pilots liked hurt ***mask*** .,0.05323184081006697
95,8,liked,embed,nonlocal,0,d,matrix_subj,number,pilot,bankers,hurt,themselves,The pilot that the bankers liked hurt themselves . <eos>,The pilot that the bankers liked hurt themselves .,the pilot that the bankers liked hurt ***mask*** .,0.1719419289538122
96,9,liked,embed,local,1,a,none,none,mechanics,pilots,injured,themselves,The mechanics that the pilots liked injured themselves . <eos>,The mechanics that the pilots liked injured themselves .,the mechanics that the pilots liked injured ***mask*** .,0.0011385887899989138
97,9,liked,embed,local,1,b,none,none,pilots,mechanics,injured,themselves,The pilots that the mechanics liked injured themselves . <eos>,The pilots that the mechanics liked injured themselves .,the pilots that the mechanics liked injured ***mask*** .,0.00043896017374944366
98,9,liked,embed,local,1,c,none,none,bankers,pilots,injured,themselves,The bankers that the pilots liked injured themselves . <eos>,The bankers that the pilots liked injured themselves .,the bankers that the pilots liked injured ***mask*** .,0.018374938746729828
99,9,liked,embed,local,1,d,none,none,pilots,bankers,injured,themselves,The pilots that the bankers liked injured themselves . <eos>,The pilots that the bankers liked injured themselves .,the pilots that the bankers liked injured ***mask*** .,0.0009954653583790212
100,9,liked,embed,local,1,a,rc_subj,number,mechanics,pilot,injured,themselves,The mechanics that the pilot liked injured themselves . <eos>,The mechanics that the pilot liked injured themselves .,the mechanics that the pilot liked injured ***mask*** .,0.002221141145480754
101,9,liked,embed,local,1,b,rc_subj,number,pilots,mechanic,injured,themselves,The pilots that the mechanic liked injured themselves . <eos>,The pilots that the mechanic liked injured themselves .,the pilots that the mechanic liked injured ***mask*** .,0.00046933084790765284
102,9,liked,embed,local,1,c,rc_subj,number,bankers,pilot,injured,themselves,The bankers that the pilot liked injured themselves . <eos>,The bankers that the pilot liked injured themselves .,the bankers that the pilot liked injured ***mask*** .,0.11524058818629368
103,9,liked,embed,local,1,d,rc_subj,number,pilots,banker,injured,themselves,The pilots that the banker liked injured themselves . <eos>,The pilots that the banker liked injured themselves .,the pilots that the banker liked injured ***mask*** .,0.0025444982277281775
104,9,liked,embed,nonlocal,0,a,matrix_subj,number,mechanic,pilots,injured,themselves,The mechanic that the pilots liked injured themselves . <eos>,The mechanic that the pilots liked injured themselves .,the mechanic that the pilots liked injured ***mask*** .,0.02761823596569364
105,9,liked,embed,nonlocal,0,b,matrix_subj,number,pilot,mechanics,injured,themselves,The pilot that the mechanics liked injured themselves . <eos>,The pilot that the mechanics liked injured themselves .,the pilot that the mechanics liked injured ***mask*** .,0.03610385117440489
106,9,liked,embed,nonlocal,0,c,matrix_subj,number,banker,pilots,injured,themselves,The banker that the pilots liked injured themselves . <eos>,The banker that the pilots liked injured themselves .,the banker that the pilots liked injured ***mask*** .,0.01984855449529373
107,9,liked,embed,nonlocal,0,d,matrix_subj,number,pilot,bankers,injured,themselves,The pilot that the bankers liked injured themselves . <eos>,The pilot that the bankers liked injured themselves .,the pilot that the bankers liked injured ***mask*** .,0.150743032165655
108,10,liked,embed,local,1,a,none,none,mechanics,pilots,congratulated,themselves,The mechanics that the pilots liked congratulated themselves . <eos>,The mechanics that the pilots liked congratulated themselves .,the mechanics that the pilots liked congratulated ***mask*** .,0.007152570215298859
109,10,liked,embed,local,1,b,none,none,pilots,mechanics,congratulated,themselves,The pilots that the mechanics liked congratulated themselves . <eos>,The pilots that the mechanics liked congratulated themselves .,the pilots that the mechanics liked congratulated ***mask*** .,0.006652314260387692
110,10,liked,embed,local,1,c,none,none,bankers,pilots,congratulated,themselves,The bankers that the pilots liked congratulated themselves . <eos>,The bankers that the pilots liked congratulated themselves .,the bankers that the pilots liked congratulated ***mask*** .,0.00818670834016049
111,10,liked,embed,local,1,d,none,none,pilots,bankers,congratulated,themselves,The pilots that the bankers liked congratulated themselves . <eos>,The pilots that the bankers liked congratulated themselves .,the pilots that the bankers liked congratulated ***mask*** .,0.010221814161530821
112,10,liked,embed,local,1,a,rc_subj,number,mechanics,pilot,congratulated,themselves,The mechanics that the pilot liked congratulated themselves . <eos>,The mechanics that the pilot liked congratulated themselves .,the mechanics that the pilot liked congratulated ***mask*** .,0.00958225834194632
113,10,liked,embed,local,1,b,rc_subj,number,pilots,mechanic,congratulated,themselves,The pilots that the mechanic liked congratulated themselves . <eos>,The pilots that the mechanic liked congratulated themselves .,the pilots that the mechanic liked congratulated ***mask*** .,0.01129437558367847
114,10,liked,embed,local,1,c,rc_subj,number,bankers,pilot,congratulated,themselves,The bankers that the pilot liked congratulated themselves . <eos>,The bankers that the pilot liked congratulated themselves .,the bankers that the pilot liked congratulated ***mask*** .,0.019478589883726194
115,10,liked,embed,local,1,d,rc_subj,number,pilots,banker,congratulated,themselves,The pilots that the banker liked congratulated themselves . <eos>,The pilots that the banker liked congratulated themselves .,the pilots that the banker liked congratulated ***mask*** .,0.009809493443563857
116,10,liked,embed,nonlocal,0,a,matrix_subj,number,mechanic,pilots,congratulated,themselves,The mechanic that the pilots liked congratulated themselves . <eos>,The mechanic that the pilots liked congratulated themselves .,the mechanic that the pilots liked congratulated ***mask*** .,0.026240369602417973
117,10,liked,embed,nonlocal,0,b,matrix_subj,number,pilot,mechanics,congratulated,themselves,The pilot that the mechanics liked congratulated themselves . <eos>,The pilot that the mechanics liked congratulated themselves .,the pilot that the mechanics liked congratulated ***mask*** .,0.023566292484252797
118,10,liked,embed,nonlocal,0,c,matrix_subj,number,banker,pilots,congratulated,themselves,The banker that the pilots liked congratulated themselves . <eos>,The banker that the pilots liked congratulated themselves .,the banker that the pilots liked congratulated ***mask*** .,0.014646621130999694
119,10,liked,embed,nonlocal,0,d,matrix_subj,number,pilot,bankers,congratulated,themselves,The pilot that the bankers liked congratulated themselves . <eos>,The pilot that the bankers liked congratulated themselves .,the pilot that the bankers liked congratulated ***mask*** .,0.046848044917444404
120,11,liked,embed,local,1,a,none,none,mechanics,pilots,embarrassed,themselves,The mechanics that the pilots liked embarrassed themselves . <eos>,The mechanics that the pilots liked embarrassed themselves .,the mechanics that the pilots liked embarrassed ***mask*** .,0.05265690835720881
121,11,liked,embed,local,1,b,none,none,pilots,mechanics,embarrassed,themselves,The pilots that the mechanics liked embarrassed themselves . <eos>,The pilots that the mechanics liked embarrassed themselves .,the pilots that the mechanics liked embarrassed ***mask*** .,0.04473514608318463
122,11,liked,embed,local,1,c,none,none,bankers,pilots,embarrassed,themselves,The bankers that the pilots liked embarrassed themselves . <eos>,The bankers that the pilots liked embarrassed themselves .,the bankers that the pilots liked embarrassed ***mask*** .,0.10956700299341418
