,item,clause_type,locality,c-command,grammatical,counterbalance,mismatch_position,mismatch_feature,head_noun,distractor_noun,verb,pronoun,sentence,sentence_no_eos,bert_sentence,surprisal
31,6,simple,local,c-command,1,b,none,none,mother,girl,made,herself,The mother near the girl made herself . <eos>,The mother near the girl made herself .,the mother near the girl made ***mask*** .,11.464305176489892
32,6,simple,local,no-c-command,0,a,head,number,girls,mother,made,herself,The girls near the mother made herself . <eos>,The girls near the mother made herself .,the girls near the mother made ***mask*** .,15.681644069563891
33,6,simple,local,no-c-command,0,b,head,number,mothers,girl,made,herself,The mothers near the girl made herself . <eos>,The mothers near the girl made herself .,the mothers near the girl made ***mask*** .,17.839436088178797
34,6,simple,local,c-command,1,a,distractor,number,girl,mothers,made,herself,The girl near the mothers made herself . <eos>,The girl near the mothers made herself .,the girl near the mothers made ***mask*** .,10.622884413365673
35,6,simple,local,c-command,1,b,distractor,number,mother,girls,made,herself,The mother near the girls made herself . <eos>,The mother near the girls made herself .,the mother near the girls made ***mask*** .,12.400192124238847
36,7,simple,local,c-command,1,a,none,none,girl,mother,found,herself,The girl near the mother found herself . <eos>,The girl near the mother found herself .,the girl near the mother found ***mask*** .,8.44603446025877
37,7,simple,local,c-command,1,b,none,none,mother,girl,found,herself,The mother near the girl found herself . <eos>,The mother near the girl found herself .,the mother near the girl found ***mask*** .,8.770023849146243
38,7,simple,local,no-c-command,0,a,head,number,girls,mother,found,herself,The girls near the mother found herself . <eos>,The girls near the mother found herself .,the girls near the mother found ***mask*** .,11.547602518906645
39,7,simple,local,no-c-command,0,b,head,number,mothers,girl,found,herself,The mothers near the girl found herself . <eos>,The mothers near the girl found herself .,the mothers near the girl found ***mask*** .,11.02881090266546
40,7,simple,local,c-command,1,a,distractor,number,girl,mothers,found,herself,The girl near the mothers found herself . <eos>,The girl near the mothers found herself .,the girl near the mothers found ***mask*** .,7.943032591286776
41,7,simple,local,c-command,1,b,distractor,number,mother,girls,found,herself,The mother near the girls found herself . <eos>,The mother near the girls found herself .,the mother near the girls found ***mask*** .,8.909825216040991
42,8,simple,local,c-command,1,a,none,none,girl,mother,distinguished,herself,The girl near the mother distinguished herself . <eos>,The girl near the mother distinguished herself .,the girl near the mother distinguished ***mask*** .,1.2410499544342342
43,8,simple,local,c-command,1,b,none,none,mother,girl,distinguished,herself,The mother near the girl distinguished herself . <eos>,The mother near the girl distinguished herself .,the mother near the girl distinguished ***mask*** .,1.180683144317329
44,8,simple,local,no-c-command,0,a,head,number,girls,mother,distinguished,herself,The girls near the mother distinguished herself . <eos>,The girls near the mother distinguished herself .,the girls near the mother distinguished ***mask*** .,8.780395849776705
45,8,simple,local,no-c-command,0,b,head,number,mothers,girl,distinguished,herself,The mothers near the girl distinguished herself . <eos>,The mothers near the girl distinguished herself .,the mothers near the girl distinguished ***mask*** .,8.856850217132264
46,8,simple,local,c-command,1,a,distractor,number,girl,mothers,distinguished,herself,The girl near the mothers distinguished herself . <eos>,The girl near the mothers distinguished herself .,the girl near the mothers distinguished ***mask*** .,1.1819012802773161
47,8,simple,local,c-command,1,b,distractor,number,mother,girls,distinguished,herself,The mother near the girls distinguished herself . <eos>,The mother near the girls distinguished herself .,the mother near the girls distinguished ***mask*** .,1.3042865840761184
48,9,simple,local,c-command,1,a,none,none,girl,mother,taught,herself,The girl near the mother taught herself . <eos>,The girl near the mother taught herself .,the girl near the mother taught ***mask*** .,8.260921015082584
49,9,simple,local,c-command,1,b,none,none,mother,girl,taught,herself,The mother near the girl taught herself . <eos>,The mother near the girl taught herself .,the mother near the girl taught ***mask*** .,7.897108333897728
50,9,simple,local,no-c-command,0,a,head,number,girls,mother,taught,herself,The girls near the mother taught herself . <eos>,The girls near the mother taught herself .,the girls near the mother taught ***mask*** .,8.106379061645534
51,9,simple,local,no-c-command,0,b,head,number,mothers,girl,taught,herself,The mothers near the girl taught herself . <eos>,The mothers near the girl taught herself .,the mothers near the girl taught ***mask*** .,11.363354693289425
52,9,simple,local,c-command,1,a,distractor,number,girl,mothers,taught,herself,The girl near the mothers taught herself . <eos>,The girl near the mothers taught herself .,the girl near the mothers taught ***mask*** .,8.153500731068817
53,9,simple,local,c-command,1,b,distractor,number,mother,girls,taught,herself,The mother near the girls taught herself . <eos>,The mother near the girls taught herself .,the mother near the girls taught ***mask*** .,6.055099689308886
54,10,simple,local,c-command,1,a,none,none,girl,mother,killed,herself,The girl near the mother killed herself . <eos>,The girl near the mother killed herself .,the girl near the mother killed ***mask*** .,2.306223489332354
55,10,simple,local,c-command,1,b,none,none,mother,girl,killed,herself,The mother near the girl killed herself . <eos>,The mother near the girl killed herself .,the mother near the girl killed ***mask*** .,2.779061416937428
56,10,simple,local,no-c-command,0,a,head,number,girls,mother,killed,herself,The girls near the mother killed herself . <eos>,The girls near the mother killed herself .,the girls near the mother killed ***mask*** .,4.492428054832633
57,10,simple,local,no-c-command,0,b,head,number,mothers,girl,killed,herself,The mothers near the girl killed herself . <eos>,The mothers near the girl killed herself .,the mothers near the girl killed ***mask*** .,4.607885432734417
58,10,simple,local,c-command,1,a,distractor,number,girl,mothers,killed,herself,The girl near the mothers killed herself . <eos>,The girl near the mothers killed herself .,the girl near the mothers killed ***mask*** .,1.781148867453835
59,10,simple,local,c-command,1,b,distractor,number,mother,girls,killed,herself,The mother near the girls killed herself . <eos>,The mother near the girls killed herself .,the mother near the girls killed ***mask*** .,2.0077419830254986
60,11,simple,local,c-command,1,a,none,none,girl,mother,called,herself,The girl near the mother called herself . <eos>,The girl near the mother called herself .,the girl near the mother called ***mask*** .,13.197262478674956
61,11,simple,local,c-command,1,b,none,none,mother,girl,called,herself,The mother near the girl called herself . <eos>,The mother near the girl called herself .,the mother near the girl called ***mask*** .,12.216848277499267
62,11,simple,local,no-c-command,0,a,head,number,girls,mother,called,herself,The girls near the mother called herself . <eos>,The girls near the mother called herself .,the girls near the mother called ***mask*** .,13.866972742136237
63,11,simple,local,no-c-command,0,b,head,number,mothers,girl,called,herself,The mothers near the girl called herself . <eos>,The mothers near the girl called herself .,the mothers near the girl called ***mask*** .,15.662117358657838
64,11,simple,local,c-command,1,a,distractor,number,girl,mothers,called,herself,The girl near the mothers called herself . <eos>,The girl near the mothers called herself .,the girl near the mothers called ***mask*** .,11.7619704184166
65,11,simple,local,c-command,1,b,distractor,number,mother,girls,called,herself,The mother near the girls called herself . <eos>,The mother near the girls called herself .,the mother near the girls called ***mask*** .,11.292416323779506
66,12,simple,local,c-command,1,a,none,none,girl,mother,dedicated,herself,The girl near the mother dedicated herself . <eos>,The girl near the mother dedicated herself .,the girl near the mother dedicated ***mask*** .,3.130896261312814
67,12,simple,local,c-command,1,b,none,none,mother,girl,dedicated,herself,The mother near the girl dedicated herself . <eos>,The mother near the girl dedicated herself .,the mother near the girl dedicated ***mask*** .,2.583760799616863
68,12,simple,local,no-c-command,0,a,head,number,girls,mother,dedicated,herself,The girls near the mother dedicated herself . <eos>,The girls near the mother dedicated herself .,the girls near the mother dedicated ***mask*** .,7.490263407058593
69,12,simple,local,no-c-command,0,b,head,number,mothers,girl,dedicated,herself,The mothers near the girl dedicated herself . <eos>,The mothers near the girl dedicated herself .,the mothers near the girl dedicated ***mask*** .,6.494991582067344
70,12,simple,local,c-command,1,a,distractor,number,girl,mothers,dedicated,herself,The girl near the mothers dedicated herself . <eos>,The girl near the mothers dedicated herself .,the girl near the mothers dedicated ***mask*** .,2.8386131257795655
71,12,simple,local,c-command,1,b,distractor,number,mother,girls,dedicated,herself,The mother near the girls dedicated herself . <eos>,The mother near the girls dedicated herself .,the mother near the girls dedicated ***mask*** .,2.726290751441238
72,13,simple,local,c-command,1,a,none,none,girl,mother,declared,herself,The girl near the mother declared herself . <eos>,The girl near the mother declared herself .,the girl near the mother declared ***mask*** .,6.425769132100431
73,13,simple,local,c-command,1,b,none,none,mother,girl,declared,herself,The mother near the girl declared herself . <eos>,The mother near the girl declared herself .,the mother near the girl declared ***mask*** .,6.9726553374763185
74,13,simple,local,no-c-command,0,a,head,number,girls,mother,declared,herself,The girls near the mother declared herself . <eos>,The girls near the mother declared herself .,the girls near the mother declared ***mask*** .,9.761101711618265
75,13,simple,local,no-c-command,0,b,head,number,mothers,girl,declared,herself,The mothers near the girl declared herself . <eos>,The mothers near the girl declared herself .,the mothers near the girl declared ***mask*** .,10.05856511062367
76,13,simple,local,c-command,1,a,distractor,number,girl,mothers,declared,herself,The girl near the mothers declared herself . <eos>,The girl near the mothers declared herself .,the girl near the mothers declared ***mask*** .,5.7203793595886605
77,13,simple,local,c-command,1,b,distractor,number,mother,girls,declared,herself,The mother near the girls declared herself . <eos>,The mother near the girls declared herself .,the mother near the girls declared ***mask*** .,7.615798176458008
78,14,simple,local,c-command,1,a,none,none,girl,mother,proved,herself,The girl near the mother proved herself . <eos>,The girl near the mother proved herself .,the girl near the mother proved ***mask*** .,6.5818778093398045
79,14,simple,local,c-command,1,b,none,none,mother,girl,proved,herself,The mother near the girl proved herself . <eos>,The mother near the girl proved herself .,the mother near the girl proved ***mask*** .,7.1626268236321
80,14,simple,local,no-c-command,0,a,head,number,girls,mother,proved,herself,The girls near the mother proved herself . <eos>,The girls near the mother proved herself .,the girls near the mother proved ***mask*** .,9.09998737684038
81,14,simple,local,no-c-command,0,b,head,number,mothers,girl,proved,herself,The mothers near the girl proved herself . <eos>,The mothers near the girl proved herself .,the mothers near the girl proved ***mask*** .,8.857528767764205
82,14,simple,local,c-command,1,a,distractor,number,girl,mothers,proved,herself,The girl near the mothers proved herself . <eos>,The girl near the mothers proved herself .,the girl near the mothers proved ***mask*** .,5.826576606728366
83,14,simple,local,c-command,1,b,distractor,number,mother,girls,proved,herself,The mother near the girls proved herself . <eos>,The mother near the girls proved herself .,the mother near the girls proved ***mask*** .,6.952363162307728
84,15,simple,local,c-command,1,a,none,none,girl,mother,shot,herself,The girl near the mother shot herself . <eos>,The girl near the mother shot herself .,the girl near the mother shot ***mask*** .,5.591348009608413
85,15,simple,local,c-command,1,b,none,none,mother,girl,shot,herself,The mother near the girl shot herself . <eos>,The mother near the girl shot herself .,the mother near the girl shot ***mask*** .,5.722801154389413
86,15,simple,local,no-c-command,0,a,head,number,girls,mother,shot,herself,The girls near the mother shot herself . <eos>,The girls near the mother shot herself .,the girls near the mother shot ***mask*** .,7.282812564392902
87,15,simple,local,no-c-command,0,b,head,number,mothers,girl,shot,herself,The mothers near the girl shot herself . <eos>,The mothers near the girl shot herself .,the mothers near the girl shot ***mask*** .,9.014109520607663
88,15,simple,local,c-command,1,a,distractor,number,girl,mothers,shot,herself,The girl near the mothers shot herself . <eos>,The girl near the mothers shot herself .,the girl near the mothers shot ***mask*** .,5.586783096439232
89,15,simple,local,c-command,1,b,distractor,number,mother,girls,shot,herself,The mother near the girls shot herself . <eos>,The mother near the girls shot herself .,the mother near the girls shot ***mask*** .,4.761899403616784
90,16,simple,local,c-command,1,a,none,none,girl,daughter,saw,herself,The girl near the daughter saw herself . <eos>,The girl near the daughter saw herself .,the girl near the daughter saw ***mask*** .,11.185211711994668
91,16,simple,local,c-command,1,b,none,none,daughter,girl,saw,herself,The daughter near the girl saw herself . <eos>,The daughter near the girl saw herself .,the daughter near the girl saw ***mask*** .,11.197108488001769
92,16,simple,local,no-c-command,0,a,head,number,girls,daughter,saw,herself,The girls near the daughter saw herself . <eos>,The girls near the daughter saw herself .,the girls near the daughter saw ***mask*** .,13.27411434682742
93,16,simple,local,no-c-command,0,b,head,number,daughters,girl,saw,herself,The daughters near the girl saw herself . <eos>,The daughters near the girl saw herself .,the daughters near the girl saw ***mask*** .,12.746667668112524
94,16,simple,local,c-command,1,a,distractor,number,girl,daughters,saw,herself,The girl near the daughters saw herself . <eos>,The girl near the daughters saw herself .,the girl near the daughters saw ***mask*** .,11.568895349782888
95,16,simple,local,c-command,1,b,distractor,number,daughter,girls,saw,herself,The daughter near the girls saw herself . <eos>,The daughter near the girls saw herself .,the daughter near the girls saw ***mask*** .,11.45835742804453
96,17,simple,local,c-command,1,a,none,none,girl,daughter,established,herself,The girl near the daughter established herself . <eos>,The girl near the daughter established herself .,the girl near the daughter established ***mask*** .,3.762492272968018
97,17,simple,local,c-command,1,b,none,none,daughter,girl,established,herself,The daughter near the girl established herself . <eos>,The daughter near the girl established herself .,the daughter near the girl established ***mask*** .,2.237529756787398
98,17,simple,local,no-c-command,0,a,head,number,girls,daughter,established,herself,The girls near the daughter established herself . <eos>,The girls near the daughter established herself .,the girls near the daughter established ***mask*** .,5.541593762265082
99,17,simple,local,no-c-command,0,b,head,number,daughters,girl,established,herself,The daughters near the girl established herself . <eos>,The daughters near the girl established herself .,the daughters near the girl established ***mask*** .,4.408078008177882
100,17,simple,local,c-command,1,a,distractor,number,girl,daughters,established,herself,The girl near the daughters established herself . <eos>,The girl near the daughters established herself .,the girl near the daughters established ***mask*** .,3.783692560105958
101,17,simple,local,c-command,1,b,distractor,number,daughter,girls,established,herself,The daughter near the girls established herself . <eos>,The daughter near the girls established herself .,the daughter near the girls established ***mask*** .,4.3658221995406725
102,18,simple,local,c-command,1,a,none,none,girl,daughter,devoted,herself,The girl near the daughter devoted herself . <eos>,The girl near the daughter devoted herself .,the girl near the daughter devoted ***mask*** .,3.9457164751294966
103,18,simple,local,c-command,1,b,none,none,daughter,girl,devoted,herself,The daughter near the girl devoted herself . <eos>,The daughter near the girl devoted herself .,the daughter near the girl devoted ***mask*** .,2.499624784723288
104,18,simple,local,no-c-command,0,a,head,number,girls,daughter,devoted,herself,The girls near the daughter devoted herself . <eos>,The girls near the daughter devoted herself .,the girls near the daughter devoted ***mask*** .,7.848282907653482
105,18,simple,local,no-c-command,0,b,head,number,daughters,girl,devoted,herself,The daughters near the girl devoted herself . <eos>,The daughters near the girl devoted herself .,the daughters near the girl devoted ***mask*** .,6.379694135907985
106,18,simple,local,c-command,1,a,distractor,number,girl,daughters,devoted,herself,The girl near the daughters devoted herself . <eos>,The girl near the daughters devoted herself .,the girl near the daughters devoted ***mask*** .,2.4937436364669145
107,18,simple,local,c-command,1,b,distractor,number,daughter,girls,devoted,herself,The daughter near the girls devoted herself . <eos>,The daughter near the girls devoted herself .,the daughter near the girls devoted ***mask*** .,1.032992620036229
108,19,simple,local,c-command,1,a,none,none,girl,daughter,considered,herself,The girl near the daughter considered herself . <eos>,The girl near the daughter considered herself .,the girl near the daughter considered ***mask*** .,9.698665411256647
109,19,simple,local,c-command,1,b,none,none,daughter,girl,considered,herself,The daughter near the girl considered herself . <eos>,The daughter near the girl considered herself .,the daughter near the girl considered ***mask*** .,8.480299686681773
110,19,simple,local,no-c-command,0,a,head,number,girls,daughter,considered,herself,The girls near the daughter considered herself . <eos>,The girls near the daughter considered herself .,the girls near the daughter considered ***mask*** .,10.639829927212164
111,19,simple,local,no-c-command,0,b,head,number,daughters,girl,considered,herself,The daughters near the girl considered herself . <eos>,The daughters near the girl considered herself .,the daughters near the girl considered ***mask*** .,9.455934433728444
112,19,simple,local,c-command,1,a,distractor,number,girl,daughters,considered,herself,The girl near the daughters considered herself . <eos>,The girl near the daughters considered herself .,the girl near the daughters considered ***mask*** .,8.649682462372855
113,19,simple,local,c-command,1,b,distractor,number,daughter,girls,considered,herself,The daughter near the girls considered herself . <eos>,The daughter near the girls considered herself .,the daughter near the girls considered ***mask*** .,8.492310231451652
114,20,simple,local,c-command,1,a,none,none,girl,daughter,identified,herself,The girl near the daughter identified herself . <eos>,The girl near the daughter identified herself .,the girl near the daughter identified ***mask*** .,2.540039397181057
115,20,simple,local,c-command,1,b,none,none,daughter,girl,identified,herself,The daughter near the girl identified herself . <eos>,The daughter near the girl identified herself .,the daughter near the girl identified ***mask*** .,1.6500788681789986
116,20,simple,local,no-c-command,0,a,head,number,girls,daughter,identified,herself,The girls near the daughter identified herself . <eos>,The girls near the daughter identified herself .,the girls near the daughter identified ***mask*** .,6.1102275793332685
117,20,simple,local,no-c-command,0,b,head,number,daughters,girl,identified,herself,The daughters near the girl identified herself . <eos>,The daughters near the girl identified herself .,the daughters near the girl identified ***mask*** .,5.081207081180426
118,20,simple,local,c-command,1,a,distractor,number,girl,daughters,identified,herself,The girl near the daughters identified herself . <eos>,The girl near the daughters identified herself .,the girl near the daughters identified ***mask*** .,3.0203455917258073
119,20,simple,local,c-command,1,b,distractor,number,daughter,girls,identified,herself,The daughter near the girls identified herself . <eos>,The daughter near the girls identified herself .,the daughter near the girls identified ***mask*** .,2.527612459169538
120,21,simple,local,c-command,1,a,none,none,girl,daughter,made,herself,The girl near the daughter made herself . <eos>,The girl near the daughter made herself .,the girl near the daughter made ***mask*** .,10.667439861224553
121,21,simple,local,c-command,1,b,none,none,daughter,girl,made,herself,The daughter near the girl made herself . <eos>,The daughter near the girl made herself .,the daughter near the girl made ***mask*** .,11.102476617997034
122,21,simple,local,no-c-command,0,a,head,number,girls,daughter,made,herself,The girls near the daughter made herself . <eos>,The girls near the daughter made herself .,the girls near the daughter made ***mask*** .,15.352866052515004
123,21,simple,local,no-c-command,0,b,head,number,daughters,girl,made,herself,The daughters near the girl made herself . <eos>,The daughters near the girl made herself .,the daughters near the girl made ***mask*** .,14.346748718055993
124,21,simple,local,c-command,1,a,distractor,number,girl,daughters,made,herself,The girl near the daughters made herself . <eos>,The girl near the daughters made herself .,the girl near the daughters made ***mask*** .,10.424767882403994
125,21,simple,local,c-command,1,b,distractor,number,daughter,girls,made,herself,The daughter near the girls made herself . <eos>,The daughter near the girls made herself .,the daughter near the girls made ***mask*** .,11.556884832190212
126,22,simple,local,c-command,1,a,none,none,girl,daughter,found,herself,The girl near the daughter found herself . <eos>,The girl near the daughter found herself .,the girl near the daughter found ***mask*** .,8.048046754728391
127,22,simple,local,c-command,1,b,none,none,daughter,girl,found,herself,The daughter near the girl found herself . <eos>,The daughter near the girl found herself .,the daughter near the girl found ***mask*** .,7.774612932973087
128,22,simple,local,no-c-command,0,a,head,number,girls,daughter,found,herself,The girls near the daughter found herself . <eos>,The girls near the daughter found herself .,the girls near the daughter found ***mask*** .,10.760623191490556
129,22,simple,local,no-c-command,0,b,head,number,daughters,girl,found,herself,The daughters near the girl found herself . <eos>,The daughters near the girl found herself .,the daughters near the girl found ***mask*** .,10.850320783750602
130,22,simple,local,c-command,1,a,distractor,number,girl,daughters,found,herself,The girl near the daughters found herself . <eos>,The girl near the daughters found herself .,the girl near the daughters found ***mask*** .,7.5436622559212605
131,22,simple,local,c-command,1,b,distractor,number,daughter,girls,found,herself,The daughter near the girls found herself . <eos>,The daughter near the girls found herself .,the daughter near the girls found ***mask*** .,7.431794746642171
132,23,simple,local,c-command,1,a,none,none,girl,daughter,distinguished,herself,The girl near the daughter distinguished herself . <eos>,The girl near the daughter distinguished herself .,the girl near the daughter distinguished ***mask*** .,0.5468547337858565
133,23,simple,local,c-command,1,b,none,none,daughter,girl,distinguished,herself,The daughter near the girl distinguished herself . <eos>,The daughter near the girl distinguished herself .,the daughter near the girl distinguished ***mask*** .,0.34237614326305693
134,23,simple,local,no-c-command,0,a,head,number,girls,daughter,distinguished,herself,The girls near the daughter distinguished herself . <eos>,The girls near the daughter distinguished herself .,the girls near the daughter distinguished ***mask*** .,8.492930061228504
135,23,simple,local,no-c-command,0,b,head,number,daughters,girl,distinguished,herself,The daughters near the girl distinguished herself . <eos>,The daughters near the girl distinguished herself .,the daughters near the girl distinguished ***mask*** .,7.983565740056193
136,23,simple,local,c-command,1,a,distractor,number,girl,daughters,distinguished,herself,The girl near the daughters distinguished herself . <eos>,The girl near the daughters distinguished herself .,the girl near the daughters distinguished ***mask*** .,0.8610081558781117
137,23,simple,local,c-command,1,b,distractor,number,daughter,girls,distinguished,herself,The daughter near the girls distinguished herself . <eos>,The daughter near the girls distinguished herself .,the daughter near the girls distinguished ***mask*** .,0.6033555031101491
138,24,simple,local,c-command,1,a,none,none,girl,daughter,taught,herself,The girl near the daughter taught herself . <eos>,The girl near the daughter taught herself .,the girl near the daughter taught ***mask*** .,7.160521594515305
139,24,simple,local,c-command,1,b,none,none,daughter,girl,taught,herself,The daughter near the girl taught herself . <eos>,The daughter near the girl taught herself .,the daughter near the girl taught ***mask*** .,6.6879100355712096
140,24,simple,local,no-c-command,0,a,head,number,girls,daughter,taught,herself,The girls near the daughter taught herself . <eos>,The girls near the daughter taught herself .,the girls near the daughter taught ***mask*** .,7.510954923900015
141,24,simple,local,no-c-command,0,b,head,number,daughters,girl,taught,herself,The daughters near the girl taught herself . <eos>,The daughters near the girl taught herself .,the daughters near the girl taught ***mask*** .,7.483887612712529
142,24,simple,local,c-command,1,a,distractor,number,girl,daughters,taught,herself,The girl near the daughters taught herself . <eos>,The girl near the daughters taught herself .,the girl near the daughters taught ***mask*** .,5.98365399073901
143,24,simple,local,c-command,1,b,distractor,number,daughter,girls,taught,herself,The daughter near the girls taught herself . <eos>,The daughter near the girls taught herself .,the daughter near the girls taught ***mask*** .,5.59828519381796
144,25,simple,local,c-command,1,a,none,none,girl,daughter,killed,herself,The girl near the daughter killed herself . <eos>,The girl near the daughter killed herself .,the girl near the daughter killed ***mask*** .,2.0433101223433345
145,25,simple,local,c-command,1,b,none,none,daughter,girl,killed,herself,The daughter near the girl killed herself . <eos>,The daughter near the girl killed herself .,the daughter near the girl killed ***mask*** .,1.8220374816060723
146,25,simple,local,no-c-command,0,a,head,number,girls,daughter,killed,herself,The girls near the daughter killed herself . <eos>,The girls near the daughter killed herself .,the girls near the daughter killed ***mask*** .,3.778832123302104
147,25,simple,local,no-c-command,0,b,head,number,daughters,girl,killed,herself,The daughters near the girl killed herself . <eos>,The daughters near the girl killed herself .,the daughters near the girl killed ***mask*** .,4.291983237675065
148,25,simple,local,c-command,1,a,distractor,number,girl,daughters,killed,herself,The girl near the daughters killed herself . <eos>,The girl near the daughters killed herself .,the girl near the daughters killed ***mask*** .,1.2910490652689608
149,25,simple,local,c-command,1,b,distractor,number,daughter,girls,killed,herself,The daughter near the girls killed herself . <eos>,The daughter near the girls killed herself .,the daughter near the girls killed ***mask*** .,1.3540443434825886
