,item,RC_verb,clause_type,locality,grammatical,counterbalance,mismatch_position,mismatch_feature,rc_subj,local_sub,verb,pronoun,sentence,sentence_no_eos,bert_sentence,surprisal
10,1,liked,embed,local,1,c,rc_subj,number,banker,authors,hurt,himself,The banker that the authors liked hurt himself . <eos>,The banker that the authors liked hurt himself .,the banker that the authors liked hurt ***mask*** .,9.790966147099862
11,1,liked,embed,local,1,d,rc_subj,number,author,bankers,hurt,himself,The author that the bankers liked hurt himself . <eos>,The author that the bankers liked hurt himself .,the author that the bankers liked hurt ***mask*** .,6.630955583402977
12,2,liked,embed,local,1,a,none,none,mechanic,author,injured,himself,The mechanic that the author liked injured himself . <eos>,The mechanic that the author liked injured himself .,the mechanic that the author liked injured ***mask*** .,7.874488308441234
13,2,liked,embed,local,1,b,none,none,author,mechanic,injured,himself,The author that the mechanic liked injured himself . <eos>,The author that the mechanic liked injured himself .,the author that the mechanic liked injured ***mask*** .,9.173589614568716
14,2,liked,embed,local,1,c,none,none,banker,author,injured,himself,The banker that the author liked injured himself . <eos>,The banker that the author liked injured himself .,the banker that the author liked injured ***mask*** .,11.754565237297252
15,2,liked,embed,local,1,d,none,none,author,banker,injured,himself,The author that the banker liked injured himself . <eos>,The author that the banker liked injured himself .,the author that the banker liked injured ***mask*** .,10.831363991803025
16,2,liked,embed,nonlocal,0,a,matrix_subj,number,mechanics,author,injured,himself,The mechanics that the author liked injured himself . <eos>,The mechanics that the author liked injured himself .,the mechanics that the author liked injured ***mask*** .,9.196500671243454
17,2,liked,embed,nonlocal,0,b,matrix_subj,number,authors,mechanic,injured,himself,The authors that the mechanic liked injured himself . <eos>,The authors that the mechanic liked injured himself .,the authors that the mechanic liked injured ***mask*** .,8.342408305554928
18,2,liked,embed,nonlocal,0,c,matrix_subj,number,bankers,author,injured,himself,The bankers that the author liked injured himself . <eos>,The bankers that the author liked injured himself .,the bankers that the author liked injured ***mask*** .,9.731775561329048
19,2,liked,embed,nonlocal,0,d,matrix_subj,number,authors,banker,injured,himself,The authors that the banker liked injured himself . <eos>,The authors that the banker liked injured himself .,the authors that the banker liked injured ***mask*** .,8.199465891077732
20,2,liked,embed,local,1,a,rc_subj,number,mechanic,authors,injured,himself,The mechanic that the authors liked injured himself . <eos>,The mechanic that the authors liked injured himself .,the mechanic that the authors liked injured ***mask*** .,7.540360641277888
21,2,liked,embed,local,1,b,rc_subj,number,author,mechanics,injured,himself,The author that the mechanics liked injured himself . <eos>,The author that the mechanics liked injured himself .,the author that the mechanics liked injured ***mask*** .,11.563675545699835
22,2,liked,embed,local,1,c,rc_subj,number,banker,authors,injured,himself,The banker that the authors liked injured himself . <eos>,The banker that the authors liked injured himself .,the banker that the authors liked injured ***mask*** .,9.797172355437526
23,2,liked,embed,local,1,d,rc_subj,number,author,bankers,injured,himself,The author that the bankers liked injured himself . <eos>,The author that the bankers liked injured himself .,the author that the bankers liked injured ***mask*** .,11.90686472320047
24,3,liked,embed,local,1,a,none,none,mechanic,author,congratulated,himself,The mechanic that the author liked congratulated himself . <eos>,The mechanic that the author liked congratulated himself .,the mechanic that the author liked congratulated ***mask*** .,8.252325642475494
25,3,liked,embed,local,1,b,none,none,author,mechanic,congratulated,himself,The author that the mechanic liked congratulated himself . <eos>,The author that the mechanic liked congratulated himself .,the author that the mechanic liked congratulated ***mask*** .,6.289725988189104
26,3,liked,embed,local,1,c,none,none,banker,author,congratulated,himself,The banker that the author liked congratulated himself . <eos>,The banker that the author liked congratulated himself .,the banker that the author liked congratulated ***mask*** .,7.676607081652438
27,3,liked,embed,local,1,d,none,none,author,banker,congratulated,himself,The author that the banker liked congratulated himself . <eos>,The author that the banker liked congratulated himself .,the author that the banker liked congratulated ***mask*** .,6.86399049675257
28,3,liked,embed,nonlocal,0,a,matrix_subj,number,mechanics,author,congratulated,himself,The mechanics that the author liked congratulated himself . <eos>,The mechanics that the author liked congratulated himself .,the mechanics that the author liked congratulated ***mask*** .,9.044215134143299
29,3,liked,embed,nonlocal,0,b,matrix_subj,number,authors,mechanic,congratulated,himself,The authors that the mechanic liked congratulated himself . <eos>,The authors that the mechanic liked congratulated himself .,the authors that the mechanic liked congratulated ***mask*** .,7.072972600139345
30,3,liked,embed,nonlocal,0,c,matrix_subj,number,bankers,author,congratulated,himself,The bankers that the author liked congratulated himself . <eos>,The bankers that the author liked congratulated himself .,the bankers that the author liked congratulated ***mask*** .,8.832714172620811
31,3,liked,embed,nonlocal,0,d,matrix_subj,number,authors,banker,congratulated,himself,The authors that the banker liked congratulated himself . <eos>,The authors that the banker liked congratulated himself .,the authors that the banker liked congratulated ***mask*** .,7.967225122138609
32,3,liked,embed,local,1,a,rc_subj,number,mechanic,authors,congratulated,himself,The mechanic that the authors liked congratulated himself . <eos>,The mechanic that the authors liked congratulated himself .,the mechanic that the authors liked congratulated ***mask*** .,8.506572676948268
33,3,liked,embed,local,1,b,rc_subj,number,author,mechanics,congratulated,himself,The author that the mechanics liked congratulated himself . <eos>,The author that the mechanics liked congratulated himself .,the author that the mechanics liked congratulated ***mask*** .,6.615477870429601
34,3,liked,embed,local,1,c,rc_subj,number,banker,authors,congratulated,himself,The banker that the authors liked congratulated himself . <eos>,The banker that the authors liked congratulated himself .,the banker that the authors liked congratulated ***mask*** .,8.022559437268528
35,3,liked,embed,local,1,d,rc_subj,number,author,bankers,congratulated,himself,The author that the bankers liked congratulated himself . <eos>,The author that the bankers liked congratulated himself .,the author that the bankers liked congratulated ***mask*** .,7.123454388968833
36,4,liked,embed,local,1,a,none,none,mechanic,author,embarrassed,himself,The mechanic that the author liked embarrassed himself . <eos>,The mechanic that the author liked embarrassed himself .,the mechanic that the author liked embarrassed ***mask*** .,10.792048964301967
37,4,liked,embed,local,1,b,none,none,author,mechanic,embarrassed,himself,The author that the mechanic liked embarrassed himself . <eos>,The author that the mechanic liked embarrassed himself .,the author that the mechanic liked embarrassed ***mask*** .,8.049007230625616
38,4,liked,embed,local,1,c,none,none,banker,author,embarrassed,himself,The banker that the author liked embarrassed himself . <eos>,The banker that the author liked embarrassed himself .,the banker that the author liked embarrassed ***mask*** .,10.56939508274289
39,4,liked,embed,local,1,d,none,none,author,banker,embarrassed,himself,The author that the banker liked embarrassed himself . <eos>,The author that the banker liked embarrassed himself .,the author that the banker liked embarrassed ***mask*** .,8.52202105689379
40,4,liked,embed,nonlocal,0,a,matrix_subj,number,mechanics,author,embarrassed,himself,The mechanics that the author liked embarrassed himself . <eos>,The mechanics that the author liked embarrassed himself .,the mechanics that the author liked embarrassed ***mask*** .,11.02536362638071
41,4,liked,embed,nonlocal,0,b,matrix_subj,number,authors,mechanic,embarrassed,himself,The authors that the mechanic liked embarrassed himself . <eos>,The authors that the mechanic liked embarrassed himself .,the authors that the mechanic liked embarrassed ***mask*** .,9.531041547965616
42,4,liked,embed,nonlocal,0,c,matrix_subj,number,bankers,author,embarrassed,himself,The bankers that the author liked embarrassed himself . <eos>,The bankers that the author liked embarrassed himself .,the bankers that the author liked embarrassed ***mask*** .,10.557008175859043
43,4,liked,embed,nonlocal,0,d,matrix_subj,number,authors,banker,embarrassed,himself,The authors that the banker liked embarrassed himself . <eos>,The authors that the banker liked embarrassed himself .,the authors that the banker liked embarrassed ***mask*** .,9.909128890163675
44,4,liked,embed,local,1,a,rc_subj,number,mechanic,authors,embarrassed,himself,The mechanic that the authors liked embarrassed himself . <eos>,The mechanic that the authors liked embarrassed himself .,the mechanic that the authors liked embarrassed ***mask*** .,11.407738362512884
45,4,liked,embed,local,1,b,rc_subj,number,author,mechanics,embarrassed,himself,The author that the mechanics liked embarrassed himself . <eos>,The author that the mechanics liked embarrassed himself .,the author that the mechanics liked embarrassed ***mask*** .,8.52003636112772
46,4,liked,embed,local,1,c,rc_subj,number,banker,authors,embarrassed,himself,The banker that the authors liked embarrassed himself . <eos>,The banker that the authors liked embarrassed himself .,the banker that the authors liked embarrassed ***mask*** .,11.344669639349812
47,4,liked,embed,local,1,d,rc_subj,number,author,bankers,embarrassed,himself,The author that the bankers liked embarrassed himself . <eos>,The author that the bankers liked embarrassed himself .,the author that the bankers liked embarrassed ***mask*** .,9.092945319343006
48,5,liked,embed,local,1,a,none,none,mechanic,author,disguised,himself,The mechanic that the author liked disguised himself . <eos>,The mechanic that the author liked disguised himself .,the mechanic that the author liked disguised ***mask*** .,6.99619680551018
49,5,liked,embed,local,1,b,none,none,author,mechanic,disguised,himself,The author that the mechanic liked disguised himself . <eos>,The author that the mechanic liked disguised himself .,the author that the mechanic liked disguised ***mask*** .,5.409983536717783
50,5,liked,embed,local,1,c,none,none,banker,author,disguised,himself,The banker that the author liked disguised himself . <eos>,The banker that the author liked disguised himself .,the banker that the author liked disguised ***mask*** .,7.3207358664642115
51,5,liked,embed,local,1,d,none,none,author,banker,disguised,himself,The author that the banker liked disguised himself . <eos>,The author that the banker liked disguised himself .,the author that the banker liked disguised ***mask*** .,4.875568477150632
52,5,liked,embed,nonlocal,0,a,matrix_subj,number,mechanics,author,disguised,himself,The mechanics that the author liked disguised himself . <eos>,The mechanics that the author liked disguised himself .,the mechanics that the author liked disguised ***mask*** .,6.3697658751863875
53,5,liked,embed,nonlocal,0,b,matrix_subj,number,authors,mechanic,disguised,himself,The authors that the mechanic liked disguised himself . <eos>,The authors that the mechanic liked disguised himself .,the authors that the mechanic liked disguised ***mask*** .,4.731236290596174
54,5,liked,embed,nonlocal,0,c,matrix_subj,number,bankers,author,disguised,himself,The bankers that the author liked disguised himself . <eos>,The bankers that the author liked disguised himself .,the bankers that the author liked disguised ***mask*** .,5.439162482485971
55,5,liked,embed,nonlocal,0,d,matrix_subj,number,authors,banker,disguised,himself,The authors that the banker liked disguised himself . <eos>,The authors that the banker liked disguised himself .,the authors that the banker liked disguised ***mask*** .,5.696453898779613
56,5,liked,embed,local,1,a,rc_subj,number,mechanic,authors,disguised,himself,The mechanic that the authors liked disguised himself . <eos>,The mechanic that the authors liked disguised himself .,the mechanic that the authors liked disguised ***mask*** .,9.025859142276255
57,5,liked,embed,local,1,b,rc_subj,number,author,mechanics,disguised,himself,The author that the mechanics liked disguised himself . <eos>,The author that the mechanics liked disguised himself .,the author that the mechanics liked disguised ***mask*** .,8.560452264143551
58,5,liked,embed,local,1,c,rc_subj,number,banker,authors,disguised,himself,The banker that the authors liked disguised himself . <eos>,The banker that the authors liked disguised himself .,the banker that the authors liked disguised ***mask*** .,9.504732330041996
59,5,liked,embed,local,1,d,rc_subj,number,author,bankers,disguised,himself,The author that the bankers liked disguised himself . <eos>,The author that the bankers liked disguised himself .,the author that the bankers liked disguised ***mask*** .,7.588697204305375
60,6,liked,embed,local,1,a,none,none,mechanic,author,hated,himself,The mechanic that the author liked hated himself . <eos>,The mechanic that the author liked hated himself .,the mechanic that the author liked hated ***mask*** .,8.524329643600304
61,6,liked,embed,local,1,b,none,none,author,mechanic,hated,himself,The author that the mechanic liked hated himself . <eos>,The author that the mechanic liked hated himself .,the author that the mechanic liked hated ***mask*** .,7.9966878075468335
62,6,liked,embed,local,1,c,none,none,banker,author,hated,himself,The banker that the author liked hated himself . <eos>,The banker that the author liked hated himself .,the banker that the author liked hated ***mask*** .,8.95296880674492
63,6,liked,embed,local,1,d,none,none,author,banker,hated,himself,The author that the banker liked hated himself . <eos>,The author that the banker liked hated himself .,the author that the banker liked hated ***mask*** .,8.711783188047441
64,6,liked,embed,nonlocal,0,a,matrix_subj,number,mechanics,author,hated,himself,The mechanics that the author liked hated himself . <eos>,The mechanics that the author liked hated himself .,the mechanics that the author liked hated ***mask*** .,10.099472649428234
65,6,liked,embed,nonlocal,0,b,matrix_subj,number,authors,mechanic,hated,himself,The authors that the mechanic liked hated himself . <eos>,The authors that the mechanic liked hated himself .,the authors that the mechanic liked hated ***mask*** .,9.962186140563627
66,6,liked,embed,nonlocal,0,c,matrix_subj,number,bankers,author,hated,himself,The bankers that the author liked hated himself . <eos>,The bankers that the author liked hated himself .,the bankers that the author liked hated ***mask*** .,10.1401426020922
67,6,liked,embed,nonlocal,0,d,matrix_subj,number,authors,banker,hated,himself,The authors that the banker liked hated himself . <eos>,The authors that the banker liked hated himself .,the authors that the banker liked hated ***mask*** .,10.706444999402978
68,6,liked,embed,local,1,a,rc_subj,number,mechanic,authors,hated,himself,The mechanic that the authors liked hated himself . <eos>,The mechanic that the authors liked hated himself .,the mechanic that the authors liked hated ***mask*** .,9.361772251391793
69,6,liked,embed,local,1,b,rc_subj,number,author,mechanics,hated,himself,The author that the mechanics liked hated himself . <eos>,The author that the mechanics liked hated himself .,the author that the mechanics liked hated ***mask*** .,7.900523443830154
70,6,liked,embed,local,1,c,rc_subj,number,banker,authors,hated,himself,The banker that the authors liked hated himself . <eos>,The banker that the authors liked hated himself .,the banker that the authors liked hated ***mask*** .,9.773977713268751
71,6,liked,embed,local,1,d,rc_subj,number,author,bankers,hated,himself,The author that the bankers liked hated himself . <eos>,The author that the bankers liked hated himself .,the author that the bankers liked hated ***mask*** .,8.659502502486037
72,7,liked,embed,local,1,a,none,none,mechanic,author,doubted,himself,The mechanic that the author liked doubted himself . <eos>,The mechanic that the author liked doubted himself .,the mechanic that the author liked doubted ***mask*** .,8.537742879697923
73,7,liked,embed,local,1,b,none,none,author,mechanic,doubted,himself,The author that the mechanic liked doubted himself . <eos>,The author that the mechanic liked doubted himself .,the author that the mechanic liked doubted ***mask*** .,8.150757846015678
74,7,liked,embed,local,1,c,none,none,banker,author,doubted,himself,The banker that the author liked doubted himself . <eos>,The banker that the author liked doubted himself .,the banker that the author liked doubted ***mask*** .,8.337880375768778
75,7,liked,embed,local,1,d,none,none,author,banker,doubted,himself,The author that the banker liked doubted himself . <eos>,The author that the banker liked doubted himself .,the author that the banker liked doubted ***mask*** .,7.549728868214595
76,7,liked,embed,nonlocal,0,a,matrix_subj,number,mechanics,author,doubted,himself,The mechanics that the author liked doubted himself . <eos>,The mechanics that the author liked doubted himself .,the mechanics that the author liked doubted ***mask*** .,9.527918549055487
77,7,liked,embed,nonlocal,0,b,matrix_subj,number,authors,mechanic,doubted,himself,The authors that the mechanic liked doubted himself . <eos>,The authors that the mechanic liked doubted himself .,the authors that the mechanic liked doubted ***mask*** .,9.143013763291705
78,7,liked,embed,nonlocal,0,c,matrix_subj,number,bankers,author,doubted,himself,The bankers that the author liked doubted himself . <eos>,The bankers that the author liked doubted himself .,the bankers that the author liked doubted ***mask*** .,9.314609137468764
79,7,liked,embed,nonlocal,0,d,matrix_subj,number,authors,banker,doubted,himself,The authors that the banker liked doubted himself . <eos>,The authors that the banker liked doubted himself .,the authors that the banker liked doubted ***mask*** .,9.184703980100092
80,7,liked,embed,local,1,a,rc_subj,number,mechanic,authors,doubted,himself,The mechanic that the authors liked doubted himself . <eos>,The mechanic that the authors liked doubted himself .,the mechanic that the authors liked doubted ***mask*** .,8.979269416767972
81,7,liked,embed,local,1,b,rc_subj,number,author,mechanics,doubted,himself,The author that the mechanics liked doubted himself . <eos>,The author that the mechanics liked doubted himself .,the author that the mechanics liked doubted ***mask*** .,8.05788340832247
82,7,liked,embed,local,1,c,rc_subj,number,banker,authors,doubted,himself,The banker that the authors liked doubted himself . <eos>,The banker that the authors liked doubted himself .,the banker that the authors liked doubted ***mask*** .,9.170878293693551
83,7,liked,embed,local,1,d,rc_subj,number,author,bankers,doubted,himself,The author that the bankers liked doubted himself . <eos>,The author that the bankers liked doubted himself .,the author that the bankers liked doubted ***mask*** .,7.766798572532833
84,8,liked,embed,local,1,a,none,none,mechanic,pilot,hurt,himself,The mechanic that the pilot liked hurt himself . <eos>,The mechanic that the pilot liked hurt himself .,the mechanic that the pilot liked hurt ***mask*** .,6.417635054511178
85,8,liked,embed,local,1,b,none,none,pilot,mechanic,hurt,himself,The pilot that the mechanic liked hurt himself . <eos>,The pilot that the mechanic liked hurt himself .,the pilot that the mechanic liked hurt ***mask*** .,7.82458430848854
86,8,liked,embed,local,1,c,none,none,banker,pilot,hurt,himself,The banker that the pilot liked hurt himself . <eos>,The banker that the pilot liked hurt himself .,the banker that the pilot liked hurt ***mask*** .,8.270205956960858
87,8,liked,embed,local,1,d,none,none,pilot,banker,hurt,himself,The pilot that the banker liked hurt himself . <eos>,The pilot that the banker liked hurt himself .,the pilot that the banker liked hurt ***mask*** .,7.124585943691246
88,8,liked,embed,nonlocal,0,a,matrix_subj,number,mechanics,pilot,hurt,himself,The mechanics that the pilot liked hurt himself . <eos>,The mechanics that the pilot liked hurt himself .,the mechanics that the pilot liked hurt ***mask*** .,9.087930338959996
89,8,liked,embed,nonlocal,0,b,matrix_subj,number,pilots,mechanic,hurt,himself,The pilots that the mechanic liked hurt himself . <eos>,The pilots that the mechanic liked hurt himself .,the pilots that the mechanic liked hurt ***mask*** .,9.073281981579179
90,8,liked,embed,nonlocal,0,c,matrix_subj,number,bankers,pilot,hurt,himself,The bankers that the pilot liked hurt himself . <eos>,The bankers that the pilot liked hurt himself .,the bankers that the pilot liked hurt ***mask*** .,10.039914966098257
91,8,liked,embed,nonlocal,0,d,matrix_subj,number,pilots,banker,hurt,himself,The pilots that the banker liked hurt himself . <eos>,The pilots that the banker liked hurt himself .,the pilots that the banker liked hurt ***mask*** .,8.787535378822122
92,8,liked,embed,local,1,a,rc_subj,number,mechanic,pilots,hurt,himself,The mechanic that the pilots liked hurt himself . <eos>,The mechanic that the pilots liked hurt himself .,the mechanic that the pilots liked hurt ***mask*** .,6.0469094179959395
93,8,liked,embed,local,1,b,rc_subj,number,pilot,mechanics,hurt,himself,The pilot that the mechanics liked hurt himself . <eos>,The pilot that the mechanics liked hurt himself .,the pilot that the mechanics liked hurt ***mask*** .,7.696167840811304
94,8,liked,embed,local,1,c,rc_subj,number,banker,pilots,hurt,himself,The banker that the pilots liked hurt himself . <eos>,The banker that the pilots liked hurt himself .,the banker that the pilots liked hurt ***mask*** .,8.699222938203286
95,8,liked,embed,local,1,d,rc_subj,number,pilot,bankers,hurt,himself,The pilot that the bankers liked hurt himself . <eos>,The pilot that the bankers liked hurt himself .,the pilot that the bankers liked hurt ***mask*** .,6.816824274342434
96,9,liked,embed,local,1,a,none,none,mechanic,pilot,injured,himself,The mechanic that the pilot liked injured himself . <eos>,The mechanic that the pilot liked injured himself .,the mechanic that the pilot liked injured ***mask*** .,2.420301850250971
97,9,liked,embed,local,1,b,none,none,pilot,mechanic,injured,himself,The pilot that the mechanic liked injured himself . <eos>,The pilot that the mechanic liked injured himself .,the pilot that the mechanic liked injured ***mask*** .,1.3430309779895644
98,9,liked,embed,local,1,c,none,none,banker,pilot,injured,himself,The banker that the pilot liked injured himself . <eos>,The banker that the pilot liked injured himself .,the banker that the pilot liked injured ***mask*** .,11.44841435198068
99,9,liked,embed,local,1,d,none,none,pilot,banker,injured,himself,The pilot that the banker liked injured himself . <eos>,The pilot that the banker liked injured himself .,the pilot that the banker liked injured ***mask*** .,2.271328261271141
100,9,liked,embed,nonlocal,0,a,matrix_subj,number,mechanics,pilot,injured,himself,The mechanics that the pilot liked injured himself . <eos>,The mechanics that the pilot liked injured himself .,the mechanics that the pilot liked injured ***mask*** .,5.135920148968299
101,9,liked,embed,nonlocal,0,b,matrix_subj,number,pilots,mechanic,injured,himself,The pilots that the mechanic liked injured himself . <eos>,The pilots that the mechanic liked injured himself .,the pilots that the mechanic liked injured ***mask*** .,4.540117294493054
102,9,liked,embed,nonlocal,0,c,matrix_subj,number,bankers,pilot,injured,himself,The bankers that the pilot liked injured himself . <eos>,The bankers that the pilot liked injured himself .,the bankers that the pilot liked injured ***mask*** .,10.957480604213817
103,9,liked,embed,nonlocal,0,d,matrix_subj,number,pilots,banker,injured,himself,The pilots that the banker liked injured himself . <eos>,The pilots that the banker liked injured himself .,the pilots that the banker liked injured ***mask*** .,6.970725581105662
104,9,liked,embed,local,1,a,rc_subj,number,mechanic,pilots,injured,himself,The mechanic that the pilots liked injured himself . <eos>,The mechanic that the pilots liked injured himself .,the mechanic that the pilots liked injured ***mask*** .,3.63504288545616
105,9,liked,embed,local,1,b,rc_subj,number,pilot,mechanics,injured,himself,The pilot that the mechanics liked injured himself . <eos>,The pilot that the mechanics liked injured himself .,the pilot that the mechanics liked injured ***mask*** .,1.4564523350908187
106,9,liked,embed,local,1,c,rc_subj,number,banker,pilots,injured,himself,The banker that the pilots liked injured himself . <eos>,The banker that the pilots liked injured himself .,the banker that the pilots liked injured ***mask*** .,13.130533044539002
107,9,liked,embed,local,1,d,rc_subj,number,pilot,bankers,injured,himself,The pilot that the bankers liked injured himself . <eos>,The pilot that the bankers liked injured himself .,the pilot that the bankers liked injured ***mask*** .,2.366238128600727
108,10,liked,embed,local,1,a,none,none,mechanic,pilot,congratulated,himself,The mechanic that the pilot liked congratulated himself . <eos>,The mechanic that the pilot liked congratulated himself .,the mechanic that the pilot liked congratulated ***mask*** .,6.586847285349994
109,10,liked,embed,local,1,b,none,none,pilot,mechanic,congratulated,himself,The pilot that the mechanic liked congratulated himself . <eos>,The pilot that the mechanic liked congratulated himself .,the pilot that the mechanic liked congratulated ***mask*** .,6.567562469727036
110,10,liked,embed,local,1,c,none,none,banker,pilot,congratulated,himself,The banker that the pilot liked congratulated himself . <eos>,The banker that the pilot liked congratulated himself .,the banker that the pilot liked congratulated ***mask*** .,6.779158958933565
111,10,liked,embed,local,1,d,none,none,pilot,banker,congratulated,himself,The pilot that the banker liked congratulated himself . <eos>,The pilot that the banker liked congratulated himself .,the pilot that the banker liked congratulated ***mask*** .,6.85770967501465
112,10,liked,embed,nonlocal,0,a,matrix_subj,number,mechanics,pilot,congratulated,himself,The mechanics that the pilot liked congratulated himself . <eos>,The mechanics that the pilot liked congratulated himself .,the mechanics that the pilot liked congratulated ***mask*** .,8.101507198005535
113,10,liked,embed,nonlocal,0,b,matrix_subj,number,pilots,mechanic,congratulated,himself,The pilots that the mechanic liked congratulated himself . <eos>,The pilots that the mechanic liked congratulated himself .,the pilots that the mechanic liked congratulated ***mask*** .,8.598303159273042
114,10,liked,embed,nonlocal,0,c,matrix_subj,number,bankers,pilot,congratulated,himself,The bankers that the pilot liked congratulated himself . <eos>,The bankers that the pilot liked congratulated himself .,the bankers that the pilot liked congratulated ***mask*** .,7.594364707510971
115,10,liked,embed,nonlocal,0,d,matrix_subj,number,pilots,banker,congratulated,himself,The pilots that the banker liked congratulated himself . <eos>,The pilots that the banker liked congratulated himself .,the pilots that the banker liked congratulated ***mask*** .,8.811633610590516
116,10,liked,embed,local,1,a,rc_subj,number,mechanic,pilots,congratulated,himself,The mechanic that the pilots liked congratulated himself . <eos>,The mechanic that the pilots liked congratulated himself .,the mechanic that the pilots liked congratulated ***mask*** .,7.296620629214652
117,10,liked,embed,local,1,b,rc_subj,number,pilot,mechanics,congratulated,himself,The pilot that the mechanics liked congratulated himself . <eos>,The pilot that the mechanics liked congratulated himself .,the pilot that the mechanics liked congratulated ***mask*** .,6.701977578699211
118,10,liked,embed,local,1,c,rc_subj,number,banker,pilots,congratulated,himself,The banker that the pilots liked congratulated himself . <eos>,The banker that the pilots liked congratulated himself .,the banker that the pilots liked congratulated ***mask*** .,7.828065653769638
119,10,liked,embed,local,1,d,rc_subj,number,pilot,bankers,congratulated,himself,The pilot that the bankers liked congratulated himself . <eos>,The pilot that the bankers liked congratulated himself .,the pilot that the bankers liked congratulated ***mask*** .,6.742450875821959
120,11,liked,embed,local,1,a,none,none,mechanic,pilot,embarrassed,himself,The mechanic that the pilot liked embarrassed himself . <eos>,The mechanic that the pilot liked embarrassed himself .,the mechanic that the pilot liked embarrassed ***mask*** .,8.364694486021733
121,11,liked,embed,local,1,b,none,none,pilot,mechanic,embarrassed,himself,The pilot that the mechanic liked embarrassed himself . <eos>,The pilot that the mechanic liked embarrassed himself .,the pilot that the mechanic liked embarrassed ***mask*** .,8.105749249166639
122,11,liked,embed,local,1,c,none,none,banker,pilot,embarrassed,himself,The banker that the pilot liked embarrassed himself . <eos>,The banker that the pilot liked embarrassed himself .,the banker that the pilot liked embarrassed ***mask*** .,9.596867149573566
123,11,liked,embed,local,1,d,none,none,pilot,banker,embarrassed,himself,The pilot that the banker liked embarrassed himself . <eos>,The pilot that the banker liked embarrassed himself .,the pilot that the banker liked embarrassed ***mask*** .,9.367305707702275
124,11,liked,embed,nonlocal,0,a,matrix_subj,number,mechanics,pilot,embarrassed,himself,The mechanics that the pilot liked embarrassed himself . <eos>,The mechanics that the pilot liked embarrassed himself .,the mechanics that the pilot liked embarrassed ***mask*** .,9.41326510335101
125,11,liked,embed,nonlocal,0,b,matrix_subj,number,pilots,mechanic,embarrassed,himself,The pilots that the mechanic liked embarrassed himself . <eos>,The pilots that the mechanic liked embarrassed himself .,the pilots that the mechanic liked embarrassed ***mask*** .,9.57741854807814
126,11,liked,embed,nonlocal,0,c,matrix_subj,number,bankers,pilot,embarrassed,himself,The bankers that the pilot liked embarrassed himself . <eos>,The bankers that the pilot liked embarrassed himself .,the bankers that the pilot liked embarrassed ***mask*** .,9.400747608869905
127,11,liked,embed,nonlocal,0,d,matrix_subj,number,pilots,banker,embarrassed,himself,The pilots that the banker liked embarrassed himself . <eos>,The pilots that the banker liked embarrassed himself .,the pilots that the banker liked embarrassed ***mask*** .,10.254752013962705
128,11,liked,embed,local,1,a,rc_subj,number,mechanic,pilots,embarrassed,himself,The mechanic that the pilots liked embarrassed himself . <eos>,The mechanic that the pilots liked embarrassed himself .,the mechanic that the pilots liked embarrassed ***mask*** .,9.607032792946114
