,item,clause_type,locality,c-command,grammatical,counterbalance,mismatch_position,mismatch_feature,matrix_subj_noun,rc_subj_noun,verb,pronoun,sentence,sentence_no_eos,bert_sentence,surprisal
11,2,simple,local,c-command,1,b,rc_subj,number,father,boys,established,himself,The father that the boys liked established himself . <eos>,The father that the boys liked established himself .,the father that the boys liked established ***mask*** .,0.004983099287754882
12,3,simple,local,c-command,1,a,none,none,boy,father,devoted,himself,The boy that the father liked devoted himself . <eos>,The boy that the father liked devoted himself .,the boy that the father liked devoted ***mask*** .,0.23398338382151374
13,3,simple,local,c-command,1,b,none,none,father,boy,devoted,himself,The father that the boy liked devoted himself . <eos>,The father that the boy liked devoted himself .,the father that the boy liked devoted ***mask*** .,0.23189778883115222
14,3,simple,local,no-c-command,0,a,matrix_subj,number,boys,father,devoted,himself,The boys that the father liked devoted himself . <eos>,The boys that the father liked devoted himself .,the boys that the father liked devoted ***mask*** .,0.23270969166896044
15,3,simple,local,no-c-command,0,b,matrix_subj,number,fathers,boy,devoted,himself,The fathers that the boy liked devoted himself . <eos>,The fathers that the boy liked devoted himself .,the fathers that the boy liked devoted ***mask*** .,0.24195723773880676
16,3,simple,local,c-command,1,a,rc_subj,number,boy,fathers,devoted,himself,The boy that the fathers liked devoted himself . <eos>,The boy that the fathers liked devoted himself .,the boy that the fathers liked devoted ***mask*** .,0.521095410969712
17,3,simple,local,c-command,1,b,rc_subj,number,father,boys,devoted,himself,The father that the boys liked devoted himself . <eos>,The father that the boys liked devoted himself .,the father that the boys liked devoted ***mask*** .,0.4563790149593657
18,4,simple,local,c-command,1,a,none,none,boy,father,considered,himself,The boy that the father liked considered himself . <eos>,The boy that the father liked considered himself .,the boy that the father liked considered ***mask*** .,0.001677142208325347
19,4,simple,local,c-command,1,b,none,none,father,boy,considered,himself,The father that the boy liked considered himself . <eos>,The father that the boy liked considered himself .,the father that the boy liked considered ***mask*** .,0.0013057592336879421
20,4,simple,local,no-c-command,0,a,matrix_subj,number,boys,father,considered,himself,The boys that the father liked considered himself . <eos>,The boys that the father liked considered himself .,the boys that the father liked considered ***mask*** .,0.00876157545578726
21,4,simple,local,no-c-command,0,b,matrix_subj,number,fathers,boy,considered,himself,The fathers that the boy liked considered himself . <eos>,The fathers that the boy liked considered himself .,the fathers that the boy liked considered ***mask*** .,0.009498142003894674
22,4,simple,local,c-command,1,a,rc_subj,number,boy,fathers,considered,himself,The boy that the fathers liked considered himself . <eos>,The boy that the fathers liked considered himself .,the boy that the fathers liked considered ***mask*** .,0.0015618124317333742
23,4,simple,local,c-command,1,b,rc_subj,number,father,boys,considered,himself,The father that the boys liked considered himself . <eos>,The father that the boys liked considered himself .,the father that the boys liked considered ***mask*** .,0.0014420262670882052
24,5,simple,local,c-command,1,a,none,none,boy,father,identified,himself,The boy that the father liked identified himself . <eos>,The boy that the father liked identified himself .,the boy that the father liked identified ***mask*** .,0.00010651126914783473
25,5,simple,local,c-command,1,b,none,none,father,boy,identified,himself,The father that the boy liked identified himself . <eos>,The father that the boy liked identified himself .,the father that the boy liked identified ***mask*** .,8.529443833649883e-05
26,5,simple,local,no-c-command,0,a,matrix_subj,number,boys,father,identified,himself,The boys that the father liked identified himself . <eos>,The boys that the father liked identified himself .,the boys that the father liked identified ***mask*** .,0.0003556199020788124
27,5,simple,local,no-c-command,0,b,matrix_subj,number,fathers,boy,identified,himself,The fathers that the boy liked identified himself . <eos>,The fathers that the boy liked identified himself .,the fathers that the boy liked identified ***mask*** .,0.00027377342070764276
28,5,simple,local,c-command,1,a,rc_subj,number,boy,fathers,identified,himself,The boy that the fathers liked identified himself . <eos>,The boy that the fathers liked identified himself .,the boy that the fathers liked identified ***mask*** .,0.0003699300291861962
29,5,simple,local,c-command,1,b,rc_subj,number,father,boys,identified,himself,The father that the boys liked identified himself . <eos>,The father that the boys liked identified himself .,the father that the boys liked identified ***mask*** .,0.00023982356406939437
30,6,simple,local,c-command,1,a,none,none,boy,father,made,himself,The boy that the father liked made himself . <eos>,The boy that the father liked made himself .,the boy that the father liked made ***mask*** .,0.08138057900637516
31,6,simple,local,c-command,1,b,none,none,father,boy,made,himself,The father that the boy liked made himself . <eos>,The father that the boy liked made himself .,the father that the boy liked made ***mask*** .,0.10756489150302334
32,6,simple,local,no-c-command,0,a,matrix_subj,number,boys,father,made,himself,The boys that the father liked made himself . <eos>,The boys that the father liked made himself .,the boys that the father liked made ***mask*** .,0.2777551133267065
33,6,simple,local,no-c-command,0,b,matrix_subj,number,fathers,boy,made,himself,The fathers that the boy liked made himself . <eos>,The fathers that the boy liked made himself .,the fathers that the boy liked made ***mask*** .,0.362392114228489
34,6,simple,local,c-command,1,a,rc_subj,number,boy,fathers,made,himself,The boy that the fathers liked made himself . <eos>,The boy that the fathers liked made himself .,the boy that the fathers liked made ***mask*** .,0.08253480734659709
35,6,simple,local,c-command,1,b,rc_subj,number,father,boys,made,himself,The father that the boys liked made himself . <eos>,The father that the boys liked made himself .,the father that the boys liked made ***mask*** .,0.13341776576240982
36,7,simple,local,c-command,1,a,none,none,boy,father,found,himself,The boy that the father liked found himself . <eos>,The boy that the father liked found himself .,the boy that the father liked found ***mask*** .,0.0030002576850272564
37,7,simple,local,c-command,1,b,none,none,father,boy,found,himself,The father that the boy liked found himself . <eos>,The father that the boy liked found himself .,the father that the boy liked found ***mask*** .,0.0013913851055395734
38,7,simple,local,no-c-command,0,a,matrix_subj,number,boys,father,found,himself,The boys that the father liked found himself . <eos>,The boys that the father liked found himself .,the boys that the father liked found ***mask*** .,0.03148352591851782
39,7,simple,local,no-c-command,0,b,matrix_subj,number,fathers,boy,found,himself,The fathers that the boy liked found himself . <eos>,The fathers that the boy liked found himself .,the fathers that the boy liked found ***mask*** .,0.008097817331428137
40,7,simple,local,c-command,1,a,rc_subj,number,boy,fathers,found,himself,The boy that the fathers liked found himself . <eos>,The boy that the fathers liked found himself .,the boy that the fathers liked found ***mask*** .,0.0021978856329241637
41,7,simple,local,c-command,1,b,rc_subj,number,father,boys,found,himself,The father that the boys liked found himself . <eos>,The father that the boys liked found himself .,the father that the boys liked found ***mask*** .,0.0011210225420376838
42,8,simple,local,c-command,1,a,none,none,boy,father,distinguished,himself,The boy that the father liked distinguished himself . <eos>,The boy that the father liked distinguished himself .,the boy that the father liked distinguished ***mask*** .,0.0006649908564645165
43,8,simple,local,c-command,1,b,none,none,father,boy,distinguished,himself,The father that the boy liked distinguished himself . <eos>,The father that the boy liked distinguished himself .,the father that the boy liked distinguished ***mask*** .,0.003277947035982859
44,8,simple,local,no-c-command,0,a,matrix_subj,number,boys,father,distinguished,himself,The boys that the father liked distinguished himself . <eos>,The boys that the father liked distinguished himself .,the boys that the father liked distinguished ***mask*** .,0.0018539559658686748
45,8,simple,local,no-c-command,0,b,matrix_subj,number,fathers,boy,distinguished,himself,The fathers that the boy liked distinguished himself . <eos>,The fathers that the boy liked distinguished himself .,the fathers that the boy liked distinguished ***mask*** .,0.0006378978510285261
46,8,simple,local,c-command,1,a,rc_subj,number,boy,fathers,distinguished,himself,The boy that the fathers liked distinguished himself . <eos>,The boy that the fathers liked distinguished himself .,the boy that the fathers liked distinguished ***mask*** .,0.005021282424632385
47,8,simple,local,c-command,1,b,rc_subj,number,father,boys,distinguished,himself,The father that the boys liked distinguished himself . <eos>,The father that the boys liked distinguished himself .,the father that the boys liked distinguished ***mask*** .,0.030243794443542846
48,9,simple,local,c-command,1,a,none,none,boy,father,taught,himself,The boy that the father liked taught himself . <eos>,The boy that the father liked taught himself .,the boy that the father liked taught ***mask*** .,0.023513152133814833
49,9,simple,local,c-command,1,b,none,none,father,boy,taught,himself,The father that the boy liked taught himself . <eos>,The father that the boy liked taught himself .,the father that the boy liked taught ***mask*** .,0.02346391474574527
50,9,simple,local,no-c-command,0,a,matrix_subj,number,boys,father,taught,himself,The boys that the father liked taught himself . <eos>,The boys that the father liked taught himself .,the boys that the father liked taught ***mask*** .,0.030529785733017647
51,9,simple,local,no-c-command,0,b,matrix_subj,number,fathers,boy,taught,himself,The fathers that the boy liked taught himself . <eos>,The fathers that the boy liked taught himself .,the fathers that the boy liked taught ***mask*** .,0.04098979365497324
52,9,simple,local,c-command,1,a,rc_subj,number,boy,fathers,taught,himself,The boy that the fathers liked taught himself . <eos>,The boy that the fathers liked taught himself .,the boy that the fathers liked taught ***mask*** .,0.031119191345520016
53,9,simple,local,c-command,1,b,rc_subj,number,father,boys,taught,himself,The father that the boys liked taught himself . <eos>,The father that the boys liked taught himself .,the father that the boys liked taught ***mask*** .,0.02854732702008663
54,10,simple,local,c-command,1,a,none,none,boy,father,killed,himself,The boy that the father liked killed himself . <eos>,The boy that the father liked killed himself .,the boy that the father liked killed ***mask*** .,0.0010173912622271802
55,10,simple,local,c-command,1,b,none,none,father,boy,killed,himself,The father that the boy liked killed himself . <eos>,The father that the boy liked killed himself .,the father that the boy liked killed ***mask*** .,0.0003916873139914344
56,10,simple,local,no-c-command,0,a,matrix_subj,number,boys,father,killed,himself,The boys that the father liked killed himself . <eos>,The boys that the father liked killed himself .,the boys that the father liked killed ***mask*** .,0.005648035736036995
57,10,simple,local,no-c-command,0,b,matrix_subj,number,fathers,boy,killed,himself,The fathers that the boy liked killed himself . <eos>,The fathers that the boy liked killed himself .,the fathers that the boy liked killed ***mask*** .,0.007776313805998273
58,10,simple,local,c-command,1,a,rc_subj,number,boy,fathers,killed,himself,The boy that the fathers liked killed himself . <eos>,The boy that the fathers liked killed himself .,the boy that the fathers liked killed ***mask*** .,0.0009579969518646725
59,10,simple,local,c-command,1,b,rc_subj,number,father,boys,killed,himself,The father that the boys liked killed himself . <eos>,The father that the boys liked killed himself .,the father that the boys liked killed ***mask*** .,0.00039710760226061655
60,11,simple,local,c-command,1,a,none,none,boy,father,called,himself,The boy that the father liked called himself . <eos>,The boy that the father liked called himself .,the boy that the father liked called ***mask*** .,0.014146434544243282
61,11,simple,local,c-command,1,b,none,none,father,boy,called,himself,The father that the boy liked called himself . <eos>,The father that the boy liked called himself .,the father that the boy liked called ***mask*** .,0.01082178923065895
62,11,simple,local,no-c-command,0,a,matrix_subj,number,boys,father,called,himself,The boys that the father liked called himself . <eos>,The boys that the father liked called himself .,the boys that the father liked called ***mask*** .,0.005588166585596052
63,11,simple,local,no-c-command,0,b,matrix_subj,number,fathers,boy,called,himself,The fathers that the boy liked called himself . <eos>,The fathers that the boy liked called himself .,the fathers that the boy liked called ***mask*** .,0.006878131953277093
64,11,simple,local,c-command,1,a,rc_subj,number,boy,fathers,called,himself,The boy that the fathers liked called himself . <eos>,The boy that the fathers liked called himself .,the boy that the fathers liked called ***mask*** .,0.02373468946530132
65,11,simple,local,c-command,1,b,rc_subj,number,father,boys,called,himself,The father that the boys liked called himself . <eos>,The father that the boys liked called himself .,the father that the boys liked called ***mask*** .,0.01692896614997935
66,12,simple,local,c-command,1,a,none,none,boy,father,dedicated,himself,The boy that the father liked dedicated himself . <eos>,The boy that the father liked dedicated himself .,the boy that the father liked dedicated ***mask*** .,0.08862411498473426
67,12,simple,local,c-command,1,b,none,none,father,boy,dedicated,himself,The father that the boy liked dedicated himself . <eos>,The father that the boy liked dedicated himself .,the father that the boy liked dedicated ***mask*** .,0.14841360799812187
68,12,simple,local,no-c-command,0,a,matrix_subj,number,boys,father,dedicated,himself,The boys that the father liked dedicated himself . <eos>,The boys that the father liked dedicated himself .,the boys that the father liked dedicated ***mask*** .,0.21624546961857935
69,12,simple,local,no-c-command,0,b,matrix_subj,number,fathers,boy,dedicated,himself,The fathers that the boy liked dedicated himself . <eos>,The fathers that the boy liked dedicated himself .,the fathers that the boy liked dedicated ***mask*** .,0.21757693929232716
70,12,simple,local,c-command,1,a,rc_subj,number,boy,fathers,dedicated,himself,The boy that the fathers liked dedicated himself . <eos>,The boy that the fathers liked dedicated himself .,the boy that the fathers liked dedicated ***mask*** .,0.2609220278755145
71,12,simple,local,c-command,1,b,rc_subj,number,father,boys,dedicated,himself,The father that the boys liked dedicated himself . <eos>,The father that the boys liked dedicated himself .,the father that the boys liked dedicated ***mask*** .,0.32457361802719137
72,13,simple,local,c-command,1,a,none,none,boy,father,declared,himself,The boy that the father liked declared himself . <eos>,The boy that the father liked declared himself .,the boy that the father liked declared ***mask*** .,0.0001951439443221877
73,13,simple,local,c-command,1,b,none,none,father,boy,declared,himself,The father that the boy liked declared himself . <eos>,The father that the boy liked declared himself .,the father that the boy liked declared ***mask*** .,0.0001935608096643141
74,13,simple,local,no-c-command,0,a,matrix_subj,number,boys,father,declared,himself,The boys that the father liked declared himself . <eos>,The boys that the father liked declared himself .,the boys that the father liked declared ***mask*** .,0.0031678493471091296
75,13,simple,local,no-c-command,0,b,matrix_subj,number,fathers,boy,declared,himself,The fathers that the boy liked declared himself . <eos>,The fathers that the boy liked declared himself .,the fathers that the boy liked declared ***mask*** .,0.002646051501730803
76,13,simple,local,c-command,1,a,rc_subj,number,boy,fathers,declared,himself,The boy that the fathers liked declared himself . <eos>,The boy that the fathers liked declared himself .,the boy that the fathers liked declared ***mask*** .,0.0002551120794762184
77,13,simple,local,c-command,1,b,rc_subj,number,father,boys,declared,himself,The father that the boys liked declared himself . <eos>,The father that the boys liked declared himself .,the father that the boys liked declared ***mask*** .,0.0001804047111427592
78,14,simple,local,c-command,1,a,none,none,boy,father,proved,himself,The boy that the father liked proved himself . <eos>,The boy that the father liked proved himself .,the boy that the father liked proved ***mask*** .,0.0024157182766488274
79,14,simple,local,c-command,1,b,none,none,father,boy,proved,himself,The father that the boy liked proved himself . <eos>,The father that the boy liked proved himself .,the father that the boy liked proved ***mask*** .,0.003305194446983083
80,14,simple,local,no-c-command,0,a,matrix_subj,number,boys,father,proved,himself,The boys that the father liked proved himself . <eos>,The boys that the father liked proved himself .,the boys that the father liked proved ***mask*** .,0.010057097935877023
81,14,simple,local,no-c-command,0,b,matrix_subj,number,fathers,boy,proved,himself,The fathers that the boy liked proved himself . <eos>,The fathers that the boy liked proved himself .,the fathers that the boy liked proved ***mask*** .,0.010428698431905916
82,14,simple,local,c-command,1,a,rc_subj,number,boy,fathers,proved,himself,The boy that the fathers liked proved himself . <eos>,The boy that the fathers liked proved himself .,the boy that the fathers liked proved ***mask*** .,0.0029086797219092775
83,14,simple,local,c-command,1,b,rc_subj,number,father,boys,proved,himself,The father that the boys liked proved himself . <eos>,The father that the boys liked proved himself .,the father that the boys liked proved ***mask*** .,0.004700112599208716
84,15,simple,local,c-command,1,a,none,none,boy,father,shot,himself,The boy that the father liked shot himself . <eos>,The boy that the father liked shot himself .,the boy that the father liked shot ***mask*** .,0.0023252923083422585
85,15,simple,local,c-command,1,b,none,none,father,boy,shot,himself,The father that the boy liked shot himself . <eos>,The father that the boy liked shot himself .,the father that the boy liked shot ***mask*** .,0.006133983140306993
86,15,simple,local,no-c-command,0,a,matrix_subj,number,boys,father,shot,himself,The boys that the father liked shot himself . <eos>,The boys that the father liked shot himself .,the boys that the father liked shot ***mask*** .,0.00625976153402144
87,15,simple,local,no-c-command,0,b,matrix_subj,number,fathers,boy,shot,himself,The fathers that the boy liked shot himself . <eos>,The fathers that the boy liked shot himself .,the fathers that the boy liked shot ***mask*** .,0.013249287869901122
88,15,simple,local,c-command,1,a,rc_subj,number,boy,fathers,shot,himself,The boy that the fathers liked shot himself . <eos>,The boy that the fathers liked shot himself .,the boy that the fathers liked shot ***mask*** .,0.005208394298988159
89,15,simple,local,c-command,1,b,rc_subj,number,father,boys,shot,himself,The father that the boys liked shot himself . <eos>,The father that the boys liked shot himself .,the father that the boys liked shot ***mask*** .,0.0218839836961468
90,16,simple,local,c-command,1,a,none,none,boy,son,saw,himself,The boy that the son liked saw himself . <eos>,The boy that the son liked saw himself .,the boy that the son liked saw ***mask*** .,0.02277604212252751
91,16,simple,local,c-command,1,b,none,none,son,boy,saw,himself,The son that the boy liked saw himself . <eos>,The son that the boy liked saw himself .,the son that the boy liked saw ***mask*** .,0.021307917748895316
92,16,simple,local,no-c-command,0,a,matrix_subj,number,boys,son,saw,himself,The boys that the son liked saw himself . <eos>,The boys that the son liked saw himself .,the boys that the son liked saw ***mask*** .,0.1897067499555734
93,16,simple,local,no-c-command,0,b,matrix_subj,number,sons,boy,saw,himself,The sons that the boy liked saw himself . <eos>,The sons that the boy liked saw himself .,the sons that the boy liked saw ***mask*** .,0.11655494911119936
94,16,simple,local,c-command,1,a,rc_subj,number,boy,sons,saw,himself,The boy that the sons liked saw himself . <eos>,The boy that the sons liked saw himself .,the boy that the sons liked saw ***mask*** .,0.01796072795124376
95,16,simple,local,c-command,1,b,rc_subj,number,son,boys,saw,himself,The son that the boys liked saw himself . <eos>,The son that the boys liked saw himself .,the son that the boys liked saw ***mask*** .,0.02395594030704991
96,17,simple,local,c-command,1,a,none,none,boy,son,established,himself,The boy that the son liked established himself . <eos>,The boy that the son liked established himself .,the boy that the son liked established ***mask*** .,5.5466159718334404e-05
97,17,simple,local,c-command,1,b,none,none,son,boy,established,himself,The son that the boy liked established himself . <eos>,The son that the boy liked established himself .,the son that the boy liked established ***mask*** .,0.0003448482565690946
98,17,simple,local,no-c-command,0,a,matrix_subj,number,boys,son,established,himself,The boys that the son liked established himself . <eos>,The boys that the son liked established himself .,the boys that the son liked established ***mask*** .,0.000223979254637298
99,17,simple,local,no-c-command,0,b,matrix_subj,number,sons,boy,established,himself,The sons that the boy liked established himself . <eos>,The sons that the boy liked established himself .,the sons that the boy liked established ***mask*** .,0.00014346874456007058
100,17,simple,local,c-command,1,a,rc_subj,number,boy,sons,established,himself,The boy that the sons liked established himself . <eos>,The boy that the sons liked established himself .,the boy that the sons liked established ***mask*** .,0.00026702102381234786
101,17,simple,local,c-command,1,b,rc_subj,number,son,boys,established,himself,The son that the boys liked established himself . <eos>,The son that the boys liked established himself .,the son that the boys liked established ***mask*** .,0.0035167562852341104
102,18,simple,local,c-command,1,a,none,none,boy,son,devoted,himself,The boy that the son liked devoted himself . <eos>,The boy that the son liked devoted himself .,the boy that the son liked devoted ***mask*** .,0.21983585725468205
103,18,simple,local,c-command,1,b,none,none,son,boy,devoted,himself,The son that the boy liked devoted himself . <eos>,The son that the boy liked devoted himself .,the son that the boy liked devoted ***mask*** .,0.2694630927847803
104,18,simple,local,no-c-command,0,a,matrix_subj,number,boys,son,devoted,himself,The boys that the son liked devoted himself . <eos>,The boys that the son liked devoted himself .,the boys that the son liked devoted ***mask*** .,0.2622954200120969
105,18,simple,local,no-c-command,0,b,matrix_subj,number,sons,boy,devoted,himself,The sons that the boy liked devoted himself . <eos>,The sons that the boy liked devoted himself .,the sons that the boy liked devoted ***mask*** .,0.2799707558548733
106,18,simple,local,c-command,1,a,rc_subj,number,boy,sons,devoted,himself,The boy that the sons liked devoted himself . <eos>,The boy that the sons liked devoted himself .,the boy that the sons liked devoted ***mask*** .,0.39420552323703384
107,18,simple,local,c-command,1,b,rc_subj,number,son,boys,devoted,himself,The son that the boys liked devoted himself . <eos>,The son that the boys liked devoted himself .,the son that the boys liked devoted ***mask*** .,0.5731924170608261
108,19,simple,local,c-command,1,a,none,none,boy,son,considered,himself,The boy that the son liked considered himself . <eos>,The boy that the son liked considered himself .,the boy that the son liked considered ***mask*** .,0.002231267806739438
109,19,simple,local,c-command,1,b,none,none,son,boy,considered,himself,The son that the boy liked considered himself . <eos>,The son that the boy liked considered himself .,the son that the boy liked considered ***mask*** .,0.0024135198297220548
110,19,simple,local,no-c-command,0,a,matrix_subj,number,boys,son,considered,himself,The boys that the son liked considered himself . <eos>,The boys that the son liked considered himself .,the boys that the son liked considered ***mask*** .,0.009467611885321926
111,19,simple,local,no-c-command,0,b,matrix_subj,number,sons,boy,considered,himself,The sons that the boy liked considered himself . <eos>,The sons that the boy liked considered himself .,the sons that the boy liked considered ***mask*** .,0.005840993160107817
112,19,simple,local,c-command,1,a,rc_subj,number,boy,sons,considered,himself,The boy that the sons liked considered himself . <eos>,The boy that the sons liked considered himself .,the boy that the sons liked considered ***mask*** .,0.0018054238769050035
113,19,simple,local,c-command,1,b,rc_subj,number,son,boys,considered,himself,The son that the boys liked considered himself . <eos>,The son that the boys liked considered himself .,the son that the boys liked considered ***mask*** .,0.0022063225943401857
114,20,simple,local,c-command,1,a,none,none,boy,son,identified,himself,The boy that the son liked identified himself . <eos>,The boy that the son liked identified himself .,the boy that the son liked identified ***mask*** .,0.00011421273501195943
115,20,simple,local,c-command,1,b,none,none,son,boy,identified,himself,The son that the boy liked identified himself . <eos>,The son that the boy liked identified himself .,the son that the boy liked identified ***mask*** .,0.00015426940752163177
116,20,simple,local,no-c-command,0,a,matrix_subj,number,boys,son,identified,himself,The boys that the son liked identified himself . <eos>,The boys that the son liked identified himself .,the boys that the son liked identified ***mask*** .,0.0004011654563484194
117,20,simple,local,no-c-command,0,b,matrix_subj,number,sons,boy,identified,himself,The sons that the boy liked identified himself . <eos>,The sons that the boy liked identified himself .,the sons that the boy liked identified ***mask*** .,0.0002785450365465232
118,20,simple,local,c-command,1,a,rc_subj,number,boy,sons,identified,himself,The boy that the sons liked identified himself . <eos>,The boy that the sons liked identified himself .,the boy that the sons liked identified ***mask*** .,0.0002639819007388137
119,20,simple,local,c-command,1,b,rc_subj,number,son,boys,identified,himself,The son that the boys liked identified himself . <eos>,The son that the boys liked identified himself .,the son that the boys liked identified ***mask*** .,0.0005703377731282186
120,21,simple,local,c-command,1,a,none,none,boy,son,made,himself,The boy that the son liked made himself . <eos>,The boy that the son liked made himself .,the boy that the son liked made ***mask*** .,0.09317090334241282
121,21,simple,local,c-command,1,b,none,none,son,boy,made,himself,The son that the boy liked made himself . <eos>,The son that the boy liked made himself .,the son that the boy liked made ***mask*** .,0.12187974523388748
122,21,simple,local,no-c-command,0,a,matrix_subj,number,boys,son,made,himself,The boys that the son liked made himself . <eos>,The boys that the son liked made himself .,the boys that the son liked made ***mask*** .,0.24115738280932714
123,21,simple,local,no-c-command,0,b,matrix_subj,number,sons,boy,made,himself,The sons that the boy liked made himself . <eos>,The sons that the boy liked made himself .,the sons that the boy liked made ***mask*** .,0.15678432608695797
124,21,simple,local,c-command,1,a,rc_subj,number,boy,sons,made,himself,The boy that the sons liked made himself . <eos>,The boy that the sons liked made himself .,the boy that the sons liked made ***mask*** .,0.10287511479411744
125,21,simple,local,c-command,1,b,rc_subj,number,son,boys,made,himself,The son that the boys liked made himself . <eos>,The son that the boys liked made himself .,the son that the boys liked made ***mask*** .,0.28199961003459895
126,22,simple,local,c-command,1,a,none,none,boy,son,found,himself,The boy that the son liked found himself . <eos>,The boy that the son liked found himself .,the boy that the son liked found ***mask*** .,0.003724240919887731
127,22,simple,local,c-command,1,b,none,none,son,boy,found,himself,The son that the boy liked found himself . <eos>,The son that the boy liked found himself .,the son that the boy liked found ***mask*** .,0.0020913316763967334
128,22,simple,local,no-c-command,0,a,matrix_subj,number,boys,son,found,himself,The boys that the son liked found himself . <eos>,The boys that the son liked found himself .,the boys that the son liked found ***mask*** .,0.03225246769267587
129,22,simple,local,no-c-command,0,b,matrix_subj,number,sons,boy,found,himself,The sons that the boy liked found himself . <eos>,The sons that the boy liked found himself .,the sons that the boy liked found ***mask*** .,0.012501824742852441
130,22,simple,local,c-command,1,a,rc_subj,number,boy,sons,found,himself,The boy that the sons liked found himself . <eos>,The boy that the sons liked found himself .,the boy that the sons liked found ***mask*** .,0.003036852069414869
131,22,simple,local,c-command,1,b,rc_subj,number,son,boys,found,himself,The son that the boys liked found himself . <eos>,The son that the boys liked found himself .,the son that the boys liked found ***mask*** .,0.002413967179839142
132,23,simple,local,c-command,1,a,none,none,boy,son,distinguished,himself,The boy that the son liked distinguished himself . <eos>,The boy that the son liked distinguished himself .,the boy that the son liked distinguished ***mask*** .,0.0001890439184189748
133,23,simple,local,c-command,1,b,none,none,son,boy,distinguished,himself,The son that the boy liked distinguished himself . <eos>,The son that the boy liked distinguished himself .,the son that the boy liked distinguished ***mask*** .,0.0014662424637292245
134,23,simple,local,no-c-command,0,a,matrix_subj,number,boys,son,distinguished,himself,The boys that the son liked distinguished himself . <eos>,The boys that the son liked distinguished himself .,the boys that the son liked distinguished ***mask*** .,0.0012350438619959006
135,23,simple,local,no-c-command,0,b,matrix_subj,number,sons,boy,distinguished,himself,The sons that the boy liked distinguished himself . <eos>,The sons that the boy liked distinguished himself .,the sons that the boy liked distinguished ***mask*** .,0.00044814567968864277
136,23,simple,local,c-command,1,a,rc_subj,number,boy,sons,distinguished,himself,The boy that the sons liked distinguished himself . <eos>,The boy that the sons liked distinguished himself .,the boy that the sons liked distinguished ***mask*** .,0.0007118451235076332
137,23,simple,local,c-command,1,b,rc_subj,number,son,boys,distinguished,himself,The son that the boys liked distinguished himself . <eos>,The son that the boys liked distinguished himself .,the son that the boys liked distinguished ***mask*** .,0.019295398309945182
138,24,simple,local,c-command,1,a,none,none,boy,son,taught,himself,The boy that the son liked taught himself . <eos>,The boy that the son liked taught himself .,the boy that the son liked taught ***mask*** .,0.024003318288881838
139,24,simple,local,c-command,1,b,none,none,son,boy,taught,himself,The son that the boy liked taught himself . <eos>,The son that the boy liked taught himself .,the son that the boy liked taught ***mask*** .,0.023285690213681584
140,24,simple,local,no-c-command,0,a,matrix_subj,number,boys,son,taught,himself,The boys that the son liked taught himself . <eos>,The boys that the son liked taught himself .,the boys that the son liked taught ***mask*** .,0.022532903850361063
