,item,clause_type,locality,grammatical,counterbalance,mismatch_position,mismatch_feature,nonlocal_subj,local_sub,verb,pronoun,sentence,sentence_no_eos,bert_sentence,surprisal
24,3,embed,local,1,a,none,none,mechanics,authors,congratulated,themselves,The mechanics said that the authors congratulated themselves . <eos>,The mechanics said that the authors congratulated themselves .,the mechanics said that the authors congratulated ***mask*** .,5.76721313786854
25,3,embed,local,1,b,none,none,authors,mechanics,congratulated,themselves,The authors said that the mechanics congratulated themselves . <eos>,The authors said that the mechanics congratulated themselves .,the authors said that the mechanics congratulated ***mask*** .,5.622723926313806
26,3,embed,local,1,c,none,none,bankers,authors,congratulated,themselves,The bankers said that the authors congratulated themselves . <eos>,The bankers said that the authors congratulated themselves .,the bankers said that the authors congratulated ***mask*** .,6.612221534641532
27,3,embed,local,1,d,none,none,authors,bankers,congratulated,themselves,The authors said that the bankers congratulated themselves . <eos>,The authors said that the bankers congratulated themselves .,the authors said that the bankers congratulated ***mask*** .,6.952312911401176
28,3,embed,nonlocal,0,a,local_subj,number,mechanics,author,congratulated,themselves,The mechanics said that the author congratulated themselves . <eos>,The mechanics said that the author congratulated themselves .,the mechanics said that the author congratulated ***mask*** .,7.962978623868773
29,3,embed,nonlocal,0,b,local_subj,number,authors,mechanic,congratulated,themselves,The authors said that the mechanic congratulated themselves . <eos>,The authors said that the mechanic congratulated themselves .,the authors said that the mechanic congratulated ***mask*** .,7.133423798151775
30,3,embed,nonlocal,0,c,local_subj,number,bankers,author,congratulated,themselves,The bankers said that the author congratulated themselves . <eos>,The bankers said that the author congratulated themselves .,the bankers said that the author congratulated ***mask*** .,8.522771272926216
31,3,embed,nonlocal,0,d,local_subj,number,authors,banker,congratulated,themselves,The authors said that the banker congratulated themselves . <eos>,The authors said that the banker congratulated themselves .,the authors said that the banker congratulated ***mask*** .,7.886008948716902
32,3,embed,local,1,a,nonlocal_subj,number,mechanic,authors,congratulated,themselves,The mechanic said that the authors congratulated themselves . <eos>,The mechanic said that the authors congratulated themselves .,the mechanic said that the authors congratulated ***mask*** .,6.944406425833241
33,3,embed,local,1,b,nonlocal_subj,number,author,mechanics,congratulated,themselves,The author said that the mechanics congratulated themselves . <eos>,The author said that the mechanics congratulated themselves .,the author said that the mechanics congratulated ***mask*** .,7.636715815211055
34,3,embed,local,1,c,nonlocal_subj,number,banker,authors,congratulated,themselves,The banker said that the authors congratulated themselves . <eos>,The banker said that the authors congratulated themselves .,the banker said that the authors congratulated ***mask*** .,7.263980792736328
35,3,embed,local,1,d,nonlocal_subj,number,author,bankers,congratulated,themselves,The author said that the bankers congratulated themselves . <eos>,The author said that the bankers congratulated themselves .,the author said that the bankers congratulated ***mask*** .,8.55702044754953
36,4,embed,local,1,a,none,none,mechanics,authors,embarrassed,themselves,The mechanics said that the authors embarrassed themselves . <eos>,The mechanics said that the authors embarrassed themselves .,the mechanics said that the authors embarrassed ***mask*** .,3.6363026135938115
37,4,embed,local,1,b,none,none,authors,mechanics,embarrassed,themselves,The authors said that the mechanics embarrassed themselves . <eos>,The authors said that the mechanics embarrassed themselves .,the authors said that the mechanics embarrassed ***mask*** .,4.832517690214046
38,4,embed,local,1,c,none,none,bankers,authors,embarrassed,themselves,The bankers said that the authors embarrassed themselves . <eos>,The bankers said that the authors embarrassed themselves .,the bankers said that the authors embarrassed ***mask*** .,4.142519430697847
39,4,embed,local,1,d,none,none,authors,bankers,embarrassed,themselves,The authors said that the bankers embarrassed themselves . <eos>,The authors said that the bankers embarrassed themselves .,the authors said that the bankers embarrassed ***mask*** .,5.393879822591577
40,4,embed,nonlocal,0,a,local_subj,number,mechanics,author,embarrassed,themselves,The mechanics said that the author embarrassed themselves . <eos>,The mechanics said that the author embarrassed themselves .,the mechanics said that the author embarrassed ***mask*** .,6.034184103897151
41,4,embed,nonlocal,0,b,local_subj,number,authors,mechanic,embarrassed,themselves,The authors said that the mechanic embarrassed themselves . <eos>,The authors said that the mechanic embarrassed themselves .,the authors said that the mechanic embarrassed ***mask*** .,7.3516316648821345
42,4,embed,nonlocal,0,c,local_subj,number,bankers,author,embarrassed,themselves,The bankers said that the author embarrassed themselves . <eos>,The bankers said that the author embarrassed themselves .,the bankers said that the author embarrassed ***mask*** .,6.838148013592332
43,4,embed,nonlocal,0,d,local_subj,number,authors,banker,embarrassed,themselves,The authors said that the banker embarrassed themselves . <eos>,The authors said that the banker embarrassed themselves .,the authors said that the banker embarrassed ***mask*** .,7.8254713818852
44,4,embed,local,1,a,nonlocal_subj,number,mechanic,authors,embarrassed,themselves,The mechanic said that the authors embarrassed themselves . <eos>,The mechanic said that the authors embarrassed themselves .,the mechanic said that the authors embarrassed ***mask*** .,4.897214032928656
45,4,embed,local,1,b,nonlocal_subj,number,author,mechanics,embarrassed,themselves,The author said that the mechanics embarrassed themselves . <eos>,The author said that the mechanics embarrassed themselves .,the author said that the mechanics embarrassed ***mask*** .,7.630531780382238
46,4,embed,local,1,c,nonlocal_subj,number,banker,authors,embarrassed,themselves,The banker said that the authors embarrassed themselves . <eos>,The banker said that the authors embarrassed themselves .,the banker said that the authors embarrassed ***mask*** .,4.5275725445785575
47,4,embed,local,1,d,nonlocal_subj,number,author,bankers,embarrassed,themselves,The author said that the bankers embarrassed themselves . <eos>,The author said that the bankers embarrassed themselves .,the author said that the bankers embarrassed ***mask*** .,8.735627272843011
48,5,embed,local,1,a,none,none,mechanics,authors,disguised,themselves,The mechanics said that the authors disguised themselves . <eos>,The mechanics said that the authors disguised themselves .,the mechanics said that the authors disguised ***mask*** .,0.1331475515144646
49,5,embed,local,1,b,none,none,authors,mechanics,disguised,themselves,The authors said that the mechanics disguised themselves . <eos>,The authors said that the mechanics disguised themselves .,the authors said that the mechanics disguised ***mask*** .,1.2962478386229226
50,5,embed,local,1,c,none,none,bankers,authors,disguised,themselves,The bankers said that the authors disguised themselves . <eos>,The bankers said that the authors disguised themselves .,the bankers said that the authors disguised ***mask*** .,0.05457018463688095
51,5,embed,local,1,d,none,none,authors,bankers,disguised,themselves,The authors said that the bankers disguised themselves . <eos>,The authors said that the bankers disguised themselves .,the authors said that the bankers disguised ***mask*** .,0.09178432496914356
52,5,embed,nonlocal,0,a,local_subj,number,mechanics,author,disguised,themselves,The mechanics said that the author disguised themselves . <eos>,The mechanics said that the author disguised themselves .,the mechanics said that the author disguised ***mask*** .,6.352813669751792
53,5,embed,nonlocal,0,b,local_subj,number,authors,mechanic,disguised,themselves,The authors said that the mechanic disguised themselves . <eos>,The authors said that the mechanic disguised themselves .,the authors said that the mechanic disguised ***mask*** .,6.502719477400227
54,5,embed,nonlocal,0,c,local_subj,number,bankers,author,disguised,themselves,The bankers said that the author disguised themselves . <eos>,The bankers said that the author disguised themselves .,the bankers said that the author disguised ***mask*** .,6.153228741893401
55,5,embed,nonlocal,0,d,local_subj,number,authors,banker,disguised,themselves,The authors said that the banker disguised themselves . <eos>,The authors said that the banker disguised themselves .,the authors said that the banker disguised ***mask*** .,6.091331328564076
56,5,embed,local,1,a,nonlocal_subj,number,mechanic,authors,disguised,themselves,The mechanic said that the authors disguised themselves . <eos>,The mechanic said that the authors disguised themselves .,the mechanic said that the authors disguised ***mask*** .,0.1000059937681678
57,5,embed,local,1,b,nonlocal_subj,number,author,mechanics,disguised,themselves,The author said that the mechanics disguised themselves . <eos>,The author said that the mechanics disguised themselves .,the author said that the mechanics disguised ***mask*** .,0.4552503575279017
58,5,embed,local,1,c,nonlocal_subj,number,banker,authors,disguised,themselves,The banker said that the authors disguised themselves . <eos>,The banker said that the authors disguised themselves .,the banker said that the authors disguised ***mask*** .,0.029728368099695295
59,5,embed,local,1,d,nonlocal_subj,number,author,bankers,disguised,themselves,The author said that the bankers disguised themselves . <eos>,The author said that the bankers disguised themselves .,the author said that the bankers disguised ***mask*** .,0.16990448190820726
60,6,embed,local,1,a,none,none,mechanics,authors,hated,themselves,The mechanics said that the authors hated themselves . <eos>,The mechanics said that the authors hated themselves .,the mechanics said that the authors hated ***mask*** .,9.220472495552551
61,6,embed,local,1,b,none,none,authors,mechanics,hated,themselves,The authors said that the mechanics hated themselves . <eos>,The authors said that the mechanics hated themselves .,the authors said that the mechanics hated ***mask*** .,9.681196840945347
62,6,embed,local,1,c,none,none,bankers,authors,hated,themselves,The bankers said that the authors hated themselves . <eos>,The bankers said that the authors hated themselves .,the bankers said that the authors hated ***mask*** .,9.078637817232966
63,6,embed,local,1,d,none,none,authors,bankers,hated,themselves,The authors said that the bankers hated themselves . <eos>,The authors said that the bankers hated themselves .,the authors said that the bankers hated ***mask*** .,9.795072798827846
64,6,embed,nonlocal,0,a,local_subj,number,mechanics,author,hated,themselves,The mechanics said that the author hated themselves . <eos>,The mechanics said that the author hated themselves .,the mechanics said that the author hated ***mask*** .,11.537570494841464
65,6,embed,nonlocal,0,b,local_subj,number,authors,mechanic,hated,themselves,The authors said that the mechanic hated themselves . <eos>,The authors said that the mechanic hated themselves .,the authors said that the mechanic hated ***mask*** .,12.027618411795688
66,6,embed,nonlocal,0,c,local_subj,number,bankers,author,hated,themselves,The bankers said that the author hated themselves . <eos>,The bankers said that the author hated themselves .,the bankers said that the author hated ***mask*** .,11.87637617488451
67,6,embed,nonlocal,0,d,local_subj,number,authors,banker,hated,themselves,The authors said that the banker hated themselves . <eos>,The authors said that the banker hated themselves .,the authors said that the banker hated ***mask*** .,11.492361158036225
68,6,embed,local,1,a,nonlocal_subj,number,mechanic,authors,hated,themselves,The mechanic said that the authors hated themselves . <eos>,The mechanic said that the authors hated themselves .,the mechanic said that the authors hated ***mask*** .,9.200682504617074
69,6,embed,local,1,b,nonlocal_subj,number,author,mechanics,hated,themselves,The author said that the mechanics hated themselves . <eos>,The author said that the mechanics hated themselves .,the author said that the mechanics hated ***mask*** .,10.079124179263212
70,6,embed,local,1,c,nonlocal_subj,number,banker,authors,hated,themselves,The banker said that the authors hated themselves . <eos>,The banker said that the authors hated themselves .,the banker said that the authors hated ***mask*** .,8.867520038782692
71,6,embed,local,1,d,nonlocal_subj,number,author,bankers,hated,themselves,The author said that the bankers hated themselves . <eos>,The author said that the bankers hated themselves .,the author said that the bankers hated ***mask*** .,10.640217737691218
72,7,embed,local,1,a,none,none,mechanics,authors,doubted,themselves,The mechanics said that the authors doubted themselves . <eos>,The mechanics said that the authors doubted themselves .,the mechanics said that the authors doubted ***mask*** .,9.497963884976057
73,7,embed,local,1,b,none,none,authors,mechanics,doubted,themselves,The authors said that the mechanics doubted themselves . <eos>,The authors said that the mechanics doubted themselves .,the authors said that the mechanics doubted ***mask*** .,8.085310037722738
74,7,embed,local,1,c,none,none,bankers,authors,doubted,themselves,The bankers said that the authors doubted themselves . <eos>,The bankers said that the authors doubted themselves .,the bankers said that the authors doubted ***mask*** .,10.065838714097067
75,7,embed,local,1,d,none,none,authors,bankers,doubted,themselves,The authors said that the bankers doubted themselves . <eos>,The authors said that the bankers doubted themselves .,the authors said that the bankers doubted ***mask*** .,9.384864656343126
76,7,embed,nonlocal,0,a,local_subj,number,mechanics,author,doubted,themselves,The mechanics said that the author doubted themselves . <eos>,The mechanics said that the author doubted themselves .,the mechanics said that the author doubted ***mask*** .,11.424657188306751
77,7,embed,nonlocal,0,b,local_subj,number,authors,mechanic,doubted,themselves,The authors said that the mechanic doubted themselves . <eos>,The authors said that the mechanic doubted themselves .,the authors said that the mechanic doubted ***mask*** .,9.487254715569119
78,7,embed,nonlocal,0,c,local_subj,number,bankers,author,doubted,themselves,The bankers said that the author doubted themselves . <eos>,The bankers said that the author doubted themselves .,the bankers said that the author doubted ***mask*** .,11.717974919085586
79,7,embed,nonlocal,0,d,local_subj,number,authors,banker,doubted,themselves,The authors said that the banker doubted themselves . <eos>,The authors said that the banker doubted themselves .,the authors said that the banker doubted ***mask*** .,10.355044200835891
80,7,embed,local,1,a,nonlocal_subj,number,mechanic,authors,doubted,themselves,The mechanic said that the authors doubted themselves . <eos>,The mechanic said that the authors doubted themselves .,the mechanic said that the authors doubted ***mask*** .,10.316764088353795
81,7,embed,local,1,b,nonlocal_subj,number,author,mechanics,doubted,themselves,The author said that the mechanics doubted themselves . <eos>,The author said that the mechanics doubted themselves .,the author said that the mechanics doubted ***mask*** .,9.132821386392695
82,7,embed,local,1,c,nonlocal_subj,number,banker,authors,doubted,themselves,The banker said that the authors doubted themselves . <eos>,The banker said that the authors doubted themselves .,the banker said that the authors doubted ***mask*** .,9.80734266834577
83,7,embed,local,1,d,nonlocal_subj,number,author,bankers,doubted,themselves,The author said that the bankers doubted themselves . <eos>,The author said that the bankers doubted themselves .,the author said that the bankers doubted ***mask*** .,10.669583782947093
84,8,embed,local,1,a,none,none,mechanics,pilots,hurt,themselves,The mechanics said that the pilots hurt themselves . <eos>,The mechanics said that the pilots hurt themselves .,the mechanics said that the pilots hurt ***mask*** .,1.597768066882091
85,8,embed,local,1,b,none,none,pilots,mechanics,hurt,themselves,The pilots said that the mechanics hurt themselves . <eos>,The pilots said that the mechanics hurt themselves .,the pilots said that the mechanics hurt ***mask*** .,3.042604500757164
86,8,embed,local,1,c,none,none,bankers,pilots,hurt,themselves,The bankers said that the pilots hurt themselves . <eos>,The bankers said that the pilots hurt themselves .,the bankers said that the pilots hurt ***mask*** .,2.373916581200552
87,8,embed,local,1,d,none,none,pilots,bankers,hurt,themselves,The pilots said that the bankers hurt themselves . <eos>,The pilots said that the bankers hurt themselves .,the pilots said that the bankers hurt ***mask*** .,4.680779525045046
88,8,embed,nonlocal,0,a,local_subj,number,mechanics,pilot,hurt,themselves,The mechanics said that the pilot hurt themselves . <eos>,The mechanics said that the pilot hurt themselves .,the mechanics said that the pilot hurt ***mask*** .,8.205990454168125
89,8,embed,nonlocal,0,b,local_subj,number,pilots,mechanic,hurt,themselves,The pilots said that the mechanic hurt themselves . <eos>,The pilots said that the mechanic hurt themselves .,the pilots said that the mechanic hurt ***mask*** .,5.965955705116842
90,8,embed,nonlocal,0,c,local_subj,number,bankers,pilot,hurt,themselves,The bankers said that the pilot hurt themselves . <eos>,The bankers said that the pilot hurt themselves .,the bankers said that the pilot hurt ***mask*** .,8.72400981401063
91,8,embed,nonlocal,0,d,local_subj,number,pilots,banker,hurt,themselves,The pilots said that the banker hurt themselves . <eos>,The pilots said that the banker hurt themselves .,the pilots said that the banker hurt ***mask*** .,6.744833229178227
92,8,embed,local,1,a,nonlocal_subj,number,mechanic,pilots,hurt,themselves,The mechanic said that the pilots hurt themselves . <eos>,The mechanic said that the pilots hurt themselves .,the mechanic said that the pilots hurt ***mask*** .,2.503062618376408
93,8,embed,local,1,b,nonlocal_subj,number,pilot,mechanics,hurt,themselves,The pilot said that the mechanics hurt themselves . <eos>,The pilot said that the mechanics hurt themselves .,the pilot said that the mechanics hurt ***mask*** .,5.221647398580248
94,8,embed,local,1,c,nonlocal_subj,number,banker,pilots,hurt,themselves,The banker said that the pilots hurt themselves . <eos>,The banker said that the pilots hurt themselves .,the banker said that the pilots hurt ***mask*** .,2.150995665152862
95,8,embed,local,1,d,nonlocal_subj,number,pilot,bankers,hurt,themselves,The pilot said that the bankers hurt themselves . <eos>,The pilot said that the bankers hurt themselves .,the pilot said that the bankers hurt ***mask*** .,6.08825775441388
96,9,embed,local,1,a,none,none,mechanics,pilots,injured,themselves,The mechanics said that the pilots injured themselves . <eos>,The mechanics said that the pilots injured themselves .,the mechanics said that the pilots injured ***mask*** .,0.5941131182192176
97,9,embed,local,1,b,none,none,pilots,mechanics,injured,themselves,The pilots said that the mechanics injured themselves . <eos>,The pilots said that the mechanics injured themselves .,the pilots said that the mechanics injured ***mask*** .,1.6175102719743806
98,9,embed,local,1,c,none,none,bankers,pilots,injured,themselves,The bankers said that the pilots injured themselves . <eos>,The bankers said that the pilots injured themselves .,the bankers said that the pilots injured ***mask*** .,1.463599096293593
99,9,embed,local,1,d,none,none,pilots,bankers,injured,themselves,The pilots said that the bankers injured themselves . <eos>,The pilots said that the bankers injured themselves .,the pilots said that the bankers injured ***mask*** .,1.7793893376950114
100,9,embed,nonlocal,0,a,local_subj,number,mechanics,pilot,injured,themselves,The mechanics said that the pilot injured themselves . <eos>,The mechanics said that the pilot injured themselves .,the mechanics said that the pilot injured ***mask*** .,9.389191866078146
101,9,embed,nonlocal,0,b,local_subj,number,pilots,mechanic,injured,themselves,The pilots said that the mechanic injured themselves . <eos>,The pilots said that the mechanic injured themselves .,the pilots said that the mechanic injured ***mask*** .,8.635235868207424
102,9,embed,nonlocal,0,c,local_subj,number,bankers,pilot,injured,themselves,The bankers said that the pilot injured themselves . <eos>,The bankers said that the pilot injured themselves .,the bankers said that the pilot injured ***mask*** .,11.035606864200934
103,9,embed,nonlocal,0,d,local_subj,number,pilots,banker,injured,themselves,The pilots said that the banker injured themselves . <eos>,The pilots said that the banker injured themselves .,the pilots said that the banker injured ***mask*** .,7.84330444942546
104,9,embed,local,1,a,nonlocal_subj,number,mechanic,pilots,injured,themselves,The mechanic said that the pilots injured themselves . <eos>,The mechanic said that the pilots injured themselves .,the mechanic said that the pilots injured ***mask*** .,1.3079053678424646
105,9,embed,local,1,b,nonlocal_subj,number,pilot,mechanics,injured,themselves,The pilot said that the mechanics injured themselves . <eos>,The pilot said that the mechanics injured themselves .,the pilot said that the mechanics injured ***mask*** .,4.035441611039775
106,9,embed,local,1,c,nonlocal_subj,number,banker,pilots,injured,themselves,The banker said that the pilots injured themselves . <eos>,The banker said that the pilots injured themselves .,the banker said that the pilots injured ***mask*** .,1.6063552853522394
107,9,embed,local,1,d,nonlocal_subj,number,pilot,bankers,injured,themselves,The pilot said that the bankers injured themselves . <eos>,The pilot said that the bankers injured themselves .,the pilot said that the bankers injured ***mask*** .,2.787840734968581
108,10,embed,local,1,a,none,none,mechanics,pilots,congratulated,themselves,The mechanics said that the pilots congratulated themselves . <eos>,The mechanics said that the pilots congratulated themselves .,the mechanics said that the pilots congratulated ***mask*** .,7.085532563751085
109,10,embed,local,1,b,none,none,pilots,mechanics,congratulated,themselves,The pilots said that the mechanics congratulated themselves . <eos>,The pilots said that the mechanics congratulated themselves .,the pilots said that the mechanics congratulated ***mask*** .,6.8421650658388495
110,10,embed,local,1,c,none,none,bankers,pilots,congratulated,themselves,The bankers said that the pilots congratulated themselves . <eos>,The bankers said that the pilots congratulated themselves .,the bankers said that the pilots congratulated ***mask*** .,7.400719341409898
111,10,embed,local,1,d,none,none,pilots,bankers,congratulated,themselves,The pilots said that the bankers congratulated themselves . <eos>,The pilots said that the bankers congratulated themselves .,the pilots said that the bankers congratulated ***mask*** .,7.66483961561985
112,10,embed,nonlocal,0,a,local_subj,number,mechanics,pilot,congratulated,themselves,The mechanics said that the pilot congratulated themselves . <eos>,The mechanics said that the pilot congratulated themselves .,the mechanics said that the pilot congratulated ***mask*** .,9.306834245469545
113,10,embed,nonlocal,0,b,local_subj,number,pilots,mechanic,congratulated,themselves,The pilots said that the mechanic congratulated themselves . <eos>,The pilots said that the mechanic congratulated themselves .,the pilots said that the mechanic congratulated ***mask*** .,9.131669790293344
114,10,embed,nonlocal,0,c,local_subj,number,bankers,pilot,congratulated,themselves,The bankers said that the pilot congratulated themselves . <eos>,The bankers said that the pilot congratulated themselves .,the bankers said that the pilot congratulated ***mask*** .,10.013762650715401
115,10,embed,nonlocal,0,d,local_subj,number,pilots,banker,congratulated,themselves,The pilots said that the banker congratulated themselves . <eos>,The pilots said that the banker congratulated themselves .,the pilots said that the banker congratulated ***mask*** .,8.201577443364183
116,10,embed,local,1,a,nonlocal_subj,number,mechanic,pilots,congratulated,themselves,The mechanic said that the pilots congratulated themselves . <eos>,The mechanic said that the pilots congratulated themselves .,the mechanic said that the pilots congratulated ***mask*** .,9.168095632181863
117,10,embed,local,1,b,nonlocal_subj,number,pilot,mechanics,congratulated,themselves,The pilot said that the mechanics congratulated themselves . <eos>,The pilot said that the mechanics congratulated themselves .,the pilot said that the mechanics congratulated ***mask*** .,8.94173191307277
118,10,embed,local,1,c,nonlocal_subj,number,banker,pilots,congratulated,themselves,The banker said that the pilots congratulated themselves . <eos>,The banker said that the pilots congratulated themselves .,the banker said that the pilots congratulated ***mask*** .,7.711418461312261
119,10,embed,local,1,d,nonlocal_subj,number,pilot,bankers,congratulated,themselves,The pilot said that the bankers congratulated themselves . <eos>,The pilot said that the bankers congratulated themselves .,the pilot said that the bankers congratulated ***mask*** .,9.397592227564056
120,11,embed,local,1,a,none,none,mechanics,pilots,embarrassed,themselves,The mechanics said that the pilots embarrassed themselves . <eos>,The mechanics said that the pilots embarrassed themselves .,the mechanics said that the pilots embarrassed ***mask*** .,5.397419037390675
121,11,embed,local,1,b,none,none,pilots,mechanics,embarrassed,themselves,The pilots said that the mechanics embarrassed themselves . <eos>,The pilots said that the mechanics embarrassed themselves .,the pilots said that the mechanics embarrassed ***mask*** .,5.493186395051385
122,11,embed,local,1,c,none,none,bankers,pilots,embarrassed,themselves,The bankers said that the pilots embarrassed themselves . <eos>,The bankers said that the pilots embarrassed themselves .,the bankers said that the pilots embarrassed ***mask*** .,5.770870655147661
123,11,embed,local,1,d,none,none,pilots,bankers,embarrassed,themselves,The pilots said that the bankers embarrassed themselves . <eos>,The pilots said that the bankers embarrassed themselves .,the pilots said that the bankers embarrassed ***mask*** .,6.547255280266991
124,11,embed,nonlocal,0,a,local_subj,number,mechanics,pilot,embarrassed,themselves,The mechanics said that the pilot embarrassed themselves . <eos>,The mechanics said that the pilot embarrassed themselves .,the mechanics said that the pilot embarrassed ***mask*** .,7.9647060326664345
125,11,embed,nonlocal,0,b,local_subj,number,pilots,mechanic,embarrassed,themselves,The pilots said that the mechanic embarrassed themselves . <eos>,The pilots said that the mechanic embarrassed themselves .,the pilots said that the mechanic embarrassed ***mask*** .,8.04122765023201
126,11,embed,nonlocal,0,c,local_subj,number,bankers,pilot,embarrassed,themselves,The bankers said that the pilot embarrassed themselves . <eos>,The bankers said that the pilot embarrassed themselves .,the bankers said that the pilot embarrassed ***mask*** .,8.897685288586098
127,11,embed,nonlocal,0,d,local_subj,number,pilots,banker,embarrassed,themselves,The pilots said that the banker embarrassed themselves . <eos>,The pilots said that the banker embarrassed themselves .,the pilots said that the banker embarrassed ***mask*** .,8.828527984434652
128,11,embed,local,1,a,nonlocal_subj,number,mechanic,pilots,embarrassed,themselves,The mechanic said that the pilots embarrassed themselves . <eos>,The mechanic said that the pilots embarrassed themselves .,the mechanic said that the pilots embarrassed ***mask*** .,7.73522669406865
129,11,embed,local,1,b,nonlocal_subj,number,pilot,mechanics,embarrassed,themselves,The pilot said that the mechanics embarrassed themselves . <eos>,The pilot said that the mechanics embarrassed themselves .,the pilot said that the mechanics embarrassed ***mask*** .,8.014951211232662
