,item,clause_type,locality,grammatical,counterbalance,mismatch_position,mismatch_feature,head_noun,distractor_noun,verb,pronoun,sentence,sentence_no_eos,bert_sentence,surprisal
16,3,embed,nonlocal,0,a,local_subj,number,girl,mothers,devoted,herself,The girl said that the mothers devoted herself . <eos>,The girl said that the mothers devoted herself .,the girl said that the mothers devoted ***mask*** .,0.0009052850787685127
17,3,embed,nonlocal,0,b,local_subj,number,mother,girls,devoted,herself,The mother said that the girls devoted herself . <eos>,The mother said that the girls devoted herself .,the mother said that the girls devoted ***mask*** .,0.00010289793949143751
18,4,embed,local,1,a,none,none,girl,mother,considered,herself,The girl said that the mother considered herself . <eos>,The girl said that the mother considered herself .,the girl said that the mother considered ***mask*** .,0.026656545215956836
19,4,embed,local,1,b,none,none,mother,girl,considered,herself,The mother said that the girl considered herself . <eos>,The mother said that the girl considered herself .,the mother said that the girl considered ***mask*** .,0.004722255759398274
20,4,embed,local,1,a,nonlocal_subj,number,girls,mother,considered,herself,The girls said that the mother considered herself . <eos>,The girls said that the mother considered herself .,the girls said that the mother considered ***mask*** .,0.026424784684543273
21,4,embed,local,1,b,nonlocal_subj,number,mothers,girl,considered,herself,The mothers said that the girl considered herself . <eos>,The mothers said that the girl considered herself .,the mothers said that the girl considered ***mask*** .,0.0030790241758779997
22,4,embed,nonlocal,0,a,local_subj,number,girl,mothers,considered,herself,The girl said that the mothers considered herself . <eos>,The girl said that the mothers considered herself .,the girl said that the mothers considered ***mask*** .,0.08370160119561668
23,4,embed,nonlocal,0,b,local_subj,number,mother,girls,considered,herself,The mother said that the girls considered herself . <eos>,The mother said that the girls considered herself .,the mother said that the girls considered ***mask*** .,0.01436402665691012
24,5,embed,local,1,a,none,none,girl,mother,identified,herself,The girl said that the mother identified herself . <eos>,The girl said that the mother identified herself .,the girl said that the mother identified ***mask*** .,3.3337526016994295e-05
25,5,embed,local,1,b,none,none,mother,girl,identified,herself,The mother said that the girl identified herself . <eos>,The mother said that the girl identified herself .,the mother said that the girl identified ***mask*** .,5.1445117710535495e-06
26,5,embed,local,1,a,nonlocal_subj,number,girls,mother,identified,herself,The girls said that the mother identified herself . <eos>,The girls said that the mother identified herself .,the girls said that the mother identified ***mask*** .,3.353062011551056e-05
27,5,embed,local,1,b,nonlocal_subj,number,mothers,girl,identified,herself,The mothers said that the girl identified herself . <eos>,The mothers said that the girl identified herself .,the mothers said that the girl identified ***mask*** .,6.000974503621794e-06
28,5,embed,nonlocal,0,a,local_subj,number,girl,mothers,identified,herself,The girl said that the mothers identified herself . <eos>,The girl said that the mothers identified herself .,the girl said that the mothers identified ***mask*** .,0.0007020348419305451
29,5,embed,nonlocal,0,b,local_subj,number,mother,girls,identified,herself,The mother said that the girls identified herself . <eos>,The mother said that the girls identified herself .,the mother said that the girls identified ***mask*** .,0.00011568622688254737
30,6,embed,local,1,a,none,none,girl,mother,made,herself,The girl said that the mother made herself . <eos>,The girl said that the mother made herself .,the girl said that the mother made ***mask*** .,0.04615456320321416
31,6,embed,local,1,b,none,none,mother,girl,made,herself,The mother said that the girl made herself . <eos>,The mother said that the girl made herself .,the mother said that the girl made ***mask*** .,0.02503074085050095
32,6,embed,local,1,a,nonlocal_subj,number,girls,mother,made,herself,The girls said that the mother made herself . <eos>,The girls said that the mother made herself .,the girls said that the mother made ***mask*** .,0.08809492686155962
33,6,embed,local,1,b,nonlocal_subj,number,mothers,girl,made,herself,The mothers said that the girl made herself . <eos>,The mothers said that the girl made herself .,the mothers said that the girl made ***mask*** .,0.031215484385657157
34,6,embed,nonlocal,0,a,local_subj,number,girl,mothers,made,herself,The girl said that the mothers made herself . <eos>,The girl said that the mothers made herself .,the girl said that the mothers made ***mask*** .,0.2765887344157669
35,6,embed,nonlocal,0,b,local_subj,number,mother,girls,made,herself,The mother said that the girls made herself . <eos>,The mother said that the girls made herself .,the mother said that the girls made ***mask*** .,0.266106789835032
36,7,embed,local,1,a,none,none,girl,mother,found,herself,The girl said that the mother found herself . <eos>,The girl said that the mother found herself .,the girl said that the mother found ***mask*** .,0.01883327936986042
37,7,embed,local,1,b,none,none,mother,girl,found,herself,The mother said that the girl found herself . <eos>,The mother said that the girl found herself .,the mother said that the girl found ***mask*** .,0.006495277460392244
38,7,embed,local,1,a,nonlocal_subj,number,girls,mother,found,herself,The girls said that the mother found herself . <eos>,The girls said that the mother found herself .,the girls said that the mother found ***mask*** .,0.02625210812164308
39,7,embed,local,1,b,nonlocal_subj,number,mothers,girl,found,herself,The mothers said that the girl found herself . <eos>,The mothers said that the girl found herself .,the mothers said that the girl found ***mask*** .,0.0028636295475905735
40,7,embed,nonlocal,0,a,local_subj,number,girl,mothers,found,herself,The girl said that the mothers found herself . <eos>,The girl said that the mothers found herself .,the girl said that the mothers found ***mask*** .,0.08171293098893578
41,7,embed,nonlocal,0,b,local_subj,number,mother,girls,found,herself,The mother said that the girls found herself . <eos>,The mother said that the girls found herself .,the mother said that the girls found ***mask*** .,0.04939205858060328
42,8,embed,local,1,a,none,none,girl,mother,distinguished,herself,The girl said that the mother distinguished herself . <eos>,The girl said that the mother distinguished herself .,the girl said that the mother distinguished ***mask*** .,4.515012525850908e-06
43,8,embed,local,1,b,none,none,mother,girl,distinguished,herself,The mother said that the girl distinguished herself . <eos>,The mother said that the girl distinguished herself .,the mother said that the girl distinguished ***mask*** .,4.4118061757855294e-07
44,8,embed,local,1,a,nonlocal_subj,number,girls,mother,distinguished,herself,The girls said that the mother distinguished herself . <eos>,The girls said that the mother distinguished herself .,the girls said that the mother distinguished ***mask*** .,2.0419554812467943e-06
45,8,embed,local,1,b,nonlocal_subj,number,mothers,girl,distinguished,herself,The mothers said that the girl distinguished herself . <eos>,The mothers said that the girl distinguished herself .,the mothers said that the girl distinguished ***mask*** .,6.653291724133803e-07
46,8,embed,nonlocal,0,a,local_subj,number,girl,mothers,distinguished,herself,The girl said that the mothers distinguished herself . <eos>,The girl said that the mothers distinguished herself .,the girl said that the mothers distinguished ***mask*** .,0.0002484834472863352
47,8,embed,nonlocal,0,b,local_subj,number,mother,girls,distinguished,herself,The mother said that the girls distinguished herself . <eos>,The mother said that the girls distinguished herself .,the mother said that the girls distinguished ***mask*** .,1.898028693427973e-05
48,9,embed,local,1,a,none,none,girl,mother,taught,herself,The girl said that the mother taught herself . <eos>,The girl said that the mother taught herself .,the girl said that the mother taught ***mask*** .,0.004993219115430069
49,9,embed,local,1,b,none,none,mother,girl,taught,herself,The mother said that the girl taught herself . <eos>,The mother said that the girl taught herself .,the mother said that the girl taught ***mask*** .,0.0011906721003011184
50,9,embed,local,1,a,nonlocal_subj,number,girls,mother,taught,herself,The girls said that the mother taught herself . <eos>,The girls said that the mother taught herself .,the girls said that the mother taught ***mask*** .,0.006293615930535429
51,9,embed,local,1,b,nonlocal_subj,number,mothers,girl,taught,herself,The mothers said that the girl taught herself . <eos>,The mothers said that the girl taught herself .,the mothers said that the girl taught ***mask*** .,0.0008989807761533483
52,9,embed,nonlocal,0,a,local_subj,number,girl,mothers,taught,herself,The girl said that the mothers taught herself . <eos>,The girl said that the mothers taught herself .,the girl said that the mothers taught ***mask*** .,0.009587232636009399
53,9,embed,nonlocal,0,b,local_subj,number,mother,girls,taught,herself,The mother said that the girls taught herself . <eos>,The mother said that the girls taught herself .,the mother said that the girls taught ***mask*** .,0.002485702843663281
54,10,embed,local,1,a,none,none,girl,mother,killed,herself,The girl said that the mother killed herself . <eos>,The girl said that the mother killed herself .,the girl said that the mother killed ***mask*** .,0.00011982788568218822
55,10,embed,local,1,b,none,none,mother,girl,killed,herself,The mother said that the girl killed herself . <eos>,The mother said that the girl killed herself .,the mother said that the girl killed ***mask*** .,3.222261066847448e-05
56,10,embed,local,1,a,nonlocal_subj,number,girls,mother,killed,herself,The girls said that the mother killed herself . <eos>,The girls said that the mother killed herself .,the girls said that the mother killed ***mask*** .,9.7491979063732e-05
57,10,embed,local,1,b,nonlocal_subj,number,mothers,girl,killed,herself,The mothers said that the girl killed herself . <eos>,The mothers said that the girl killed herself .,the mothers said that the girl killed ***mask*** .,2.049417400766864e-05
58,10,embed,nonlocal,0,a,local_subj,number,girl,mothers,killed,herself,The girl said that the mothers killed herself . <eos>,The girl said that the mothers killed herself .,the girl said that the mothers killed ***mask*** .,0.001234716608823687
59,10,embed,nonlocal,0,b,local_subj,number,mother,girls,killed,herself,The mother said that the girls killed herself . <eos>,The mother said that the girls killed herself .,the mother said that the girls killed ***mask*** .,0.00041473157448171073
60,11,embed,local,1,a,none,none,girl,mother,called,herself,The girl said that the mother called herself . <eos>,The girl said that the mother called herself .,the girl said that the mother called ***mask*** .,0.038008590747643164
61,11,embed,local,1,b,none,none,mother,girl,called,herself,The mother said that the girl called herself . <eos>,The mother said that the girl called herself .,the mother said that the girl called ***mask*** .,0.01045171425541647
62,11,embed,local,1,a,nonlocal_subj,number,girls,mother,called,herself,The girls said that the mother called herself . <eos>,The girls said that the mother called herself .,the girls said that the mother called ***mask*** .,0.052993455037823975
63,11,embed,local,1,b,nonlocal_subj,number,mothers,girl,called,herself,The mothers said that the girl called herself . <eos>,The mothers said that the girl called herself .,the mothers said that the girl called ***mask*** .,0.00765593420210749
64,11,embed,nonlocal,0,a,local_subj,number,girl,mothers,called,herself,The girl said that the mothers called herself . <eos>,The girl said that the mothers called herself .,the girl said that the mothers called ***mask*** .,0.07736314327899549
65,11,embed,nonlocal,0,b,local_subj,number,mother,girls,called,herself,The mother said that the girls called herself . <eos>,The mother said that the girls called herself .,the mother said that the girls called ***mask*** .,0.06571759354845928
66,12,embed,local,1,a,none,none,girl,mother,dedicated,herself,The girl said that the mother dedicated herself . <eos>,The girl said that the mother dedicated herself .,the girl said that the mother dedicated ***mask*** .,9.849626166428282e-06
67,12,embed,local,1,b,none,none,mother,girl,dedicated,herself,The mother said that the girl dedicated herself . <eos>,The mother said that the girl dedicated herself .,the mother said that the girl dedicated ***mask*** .,1.2063729159407786e-06
68,12,embed,local,1,a,nonlocal_subj,number,girls,mother,dedicated,herself,The girls said that the mother dedicated herself . <eos>,The girls said that the mother dedicated herself .,the girls said that the mother dedicated ***mask*** .,4.8140082711860584e-06
69,12,embed,local,1,b,nonlocal_subj,number,mothers,girl,dedicated,herself,The mothers said that the girl dedicated herself . <eos>,The mothers said that the girl dedicated herself .,the mothers said that the girl dedicated ***mask*** .,1.1329194198689895e-06
70,12,embed,nonlocal,0,a,local_subj,number,girl,mothers,dedicated,herself,The girl said that the mothers dedicated herself . <eos>,The girl said that the mothers dedicated herself .,the girl said that the mothers dedicated ***mask*** .,0.0002745292034463684
71,12,embed,nonlocal,0,b,local_subj,number,mother,girls,dedicated,herself,The mother said that the girls dedicated herself . <eos>,The mother said that the girls dedicated herself .,the mother said that the girls dedicated ***mask*** .,7.117333245175706e-05
72,13,embed,local,1,a,none,none,girl,mother,declared,herself,The girl said that the mother declared herself . <eos>,The girl said that the mother declared herself .,the girl said that the mother declared ***mask*** .,0.0012539160216229973
73,13,embed,local,1,b,none,none,mother,girl,declared,herself,The mother said that the girl declared herself . <eos>,The mother said that the girl declared herself .,the mother said that the girl declared ***mask*** .,0.00029339094216586717
74,13,embed,local,1,a,nonlocal_subj,number,girls,mother,declared,herself,The girls said that the mother declared herself . <eos>,The girls said that the mother declared herself .,the girls said that the mother declared ***mask*** .,0.0009473849868846019
75,13,embed,local,1,b,nonlocal_subj,number,mothers,girl,declared,herself,The mothers said that the girl declared herself . <eos>,The mothers said that the girl declared herself .,the mothers said that the girl declared ***mask*** .,0.0002141288106508724
76,13,embed,nonlocal,0,a,local_subj,number,girl,mothers,declared,herself,The girl said that the mothers declared herself . <eos>,The girl said that the mothers declared herself .,the girl said that the mothers declared ***mask*** .,0.01454867268419639
77,13,embed,nonlocal,0,b,local_subj,number,mother,girls,declared,herself,The mother said that the girls declared herself . <eos>,The mother said that the girls declared herself .,the mother said that the girls declared ***mask*** .,0.0017406676649528918
78,14,embed,local,1,a,none,none,girl,mother,proved,herself,The girl said that the mother proved herself . <eos>,The girl said that the mother proved herself .,the girl said that the mother proved ***mask*** .,0.00035549411682782165
79,14,embed,local,1,b,none,none,mother,girl,proved,herself,The mother said that the girl proved herself . <eos>,The mother said that the girl proved herself .,the mother said that the girl proved ***mask*** .,0.00014892574812991113
80,14,embed,local,1,a,nonlocal_subj,number,girls,mother,proved,herself,The girls said that the mother proved herself . <eos>,The girls said that the mother proved herself .,the girls said that the mother proved ***mask*** .,0.000593886290071011
81,14,embed,local,1,b,nonlocal_subj,number,mothers,girl,proved,herself,The mothers said that the girl proved herself . <eos>,The mothers said that the girl proved herself .,the mothers said that the girl proved ***mask*** .,0.0002172143511358394
82,14,embed,nonlocal,0,a,local_subj,number,girl,mothers,proved,herself,The girl said that the mothers proved herself . <eos>,The girl said that the mothers proved herself .,the girl said that the mothers proved ***mask*** .,0.0025637372908074254
83,14,embed,nonlocal,0,b,local_subj,number,mother,girls,proved,herself,The mother said that the girls proved herself . <eos>,The mother said that the girls proved herself .,the mother said that the girls proved ***mask*** .,0.0008595096392975574
84,15,embed,local,1,a,none,none,girl,mother,shot,herself,The girl said that the mother shot herself . <eos>,The girl said that the mother shot herself .,the girl said that the mother shot ***mask*** .,0.0005865094088724557
85,15,embed,local,1,b,none,none,mother,girl,shot,herself,The mother said that the girl shot herself . <eos>,The mother said that the girl shot herself .,the mother said that the girl shot ***mask*** .,0.0003097824381467754
86,15,embed,local,1,a,nonlocal_subj,number,girls,mother,shot,herself,The girls said that the mother shot herself . <eos>,The girls said that the mother shot herself .,the girls said that the mother shot ***mask*** .,0.0006034466572838424
87,15,embed,local,1,b,nonlocal_subj,number,mothers,girl,shot,herself,The mothers said that the girl shot herself . <eos>,The mothers said that the girl shot herself .,the mothers said that the girl shot ***mask*** .,0.00022307398623392247
88,15,embed,nonlocal,0,a,local_subj,number,girl,mothers,shot,herself,The girl said that the mothers shot herself . <eos>,The girl said that the mothers shot herself .,the girl said that the mothers shot ***mask*** .,0.007533084112675763
89,15,embed,nonlocal,0,b,local_subj,number,mother,girls,shot,herself,The mother said that the girls shot herself . <eos>,The mother said that the girls shot herself .,the mother said that the girls shot ***mask*** .,0.0054349427836147355
90,16,embed,local,1,a,none,none,girl,daughter,saw,herself,The girl said that the daughter saw herself . <eos>,The girl said that the daughter saw herself .,the girl said that the daughter saw ***mask*** .,0.02262249435832743
91,16,embed,local,1,b,none,none,daughter,girl,saw,herself,The daughter said that the girl saw herself . <eos>,The daughter said that the girl saw herself .,the daughter said that the girl saw ***mask*** .,0.011367806277155425
92,16,embed,local,1,a,nonlocal_subj,number,girls,daughter,saw,herself,The girls said that the daughter saw herself . <eos>,The girls said that the daughter saw herself .,the girls said that the daughter saw ***mask*** .,0.02753627635759201
93,16,embed,local,1,b,nonlocal_subj,number,daughters,girl,saw,herself,The daughters said that the girl saw herself . <eos>,The daughters said that the girl saw herself .,the daughters said that the girl saw ***mask*** .,0.009763641224150407
94,16,embed,nonlocal,0,a,local_subj,number,girl,daughters,saw,herself,The girl said that the daughters saw herself . <eos>,The girl said that the daughters saw herself .,the girl said that the daughters saw ***mask*** .,0.07368760396416156
95,16,embed,nonlocal,0,b,local_subj,number,daughter,girls,saw,herself,The daughter said that the girls saw herself . <eos>,The daughter said that the girls saw herself .,the daughter said that the girls saw ***mask*** .,0.0599786226929219
96,17,embed,local,1,a,none,none,girl,daughter,established,herself,The girl said that the daughter established herself . <eos>,The girl said that the daughter established herself .,the girl said that the daughter established ***mask*** .,5.0029127231333294e-06
97,17,embed,local,1,b,none,none,daughter,girl,established,herself,The daughter said that the girl established herself . <eos>,The daughter said that the girl established herself .,the daughter said that the girl established ***mask*** .,2.1358670480533326e-06
98,17,embed,local,1,a,nonlocal_subj,number,girls,daughter,established,herself,The girls said that the daughter established herself . <eos>,The girls said that the daughter established herself .,the girls said that the daughter established ***mask*** .,4.9765408116460045e-06
99,17,embed,local,1,b,nonlocal_subj,number,daughters,girl,established,herself,The daughters said that the girl established herself . <eos>,The daughters said that the girl established herself .,the daughters said that the girl established ***mask*** .,2.218748561184603e-06
100,17,embed,nonlocal,0,a,local_subj,number,girl,daughters,established,herself,The girl said that the daughters established herself . <eos>,The girl said that the daughters established herself .,the girl said that the daughters established ***mask*** .,0.00012766712905065513
101,17,embed,nonlocal,0,b,local_subj,number,daughter,girls,established,herself,The daughter said that the girls established herself . <eos>,The daughter said that the girls established herself .,the daughter said that the girls established ***mask*** .,1.645389709470843e-05
102,18,embed,local,1,a,none,none,girl,daughter,devoted,herself,The girl said that the daughter devoted herself . <eos>,The girl said that the daughter devoted herself .,the girl said that the daughter devoted ***mask*** .,3.2399792783486014e-06
103,18,embed,local,1,b,none,none,daughter,girl,devoted,herself,The daughter said that the girl devoted herself . <eos>,The daughter said that the girl devoted herself .,the daughter said that the girl devoted ***mask*** .,3.2621972019579297e-06
104,18,embed,local,1,a,nonlocal_subj,number,girls,daughter,devoted,herself,The girls said that the daughter devoted herself . <eos>,The girls said that the daughter devoted herself .,the girls said that the daughter devoted ***mask*** .,2.585054574643727e-06
105,18,embed,local,1,b,nonlocal_subj,number,daughters,girl,devoted,herself,The daughters said that the girl devoted herself . <eos>,The daughters said that the girl devoted herself .,the daughters said that the girl devoted ***mask*** .,2.927725362830029e-06
106,18,embed,nonlocal,0,a,local_subj,number,girl,daughters,devoted,herself,The girl said that the daughters devoted herself . <eos>,The girl said that the daughters devoted herself .,the girl said that the daughters devoted ***mask*** .,0.0003927798029975732
107,18,embed,nonlocal,0,b,local_subj,number,daughter,girls,devoted,herself,The daughter said that the girls devoted herself . <eos>,The daughter said that the girls devoted herself .,the daughter said that the girls devoted ***mask*** .,9.780225596416808e-05
108,19,embed,local,1,a,none,none,girl,daughter,considered,herself,The girl said that the daughter considered herself . <eos>,The girl said that the daughter considered herself .,the girl said that the daughter considered ***mask*** .,0.011763312934067242
109,19,embed,local,1,b,none,none,daughter,girl,considered,herself,The daughter said that the girl considered herself . <eos>,The daughter said that the girl considered herself .,the daughter said that the girl considered ***mask*** .,0.00362214682229653
110,19,embed,local,1,a,nonlocal_subj,number,girls,daughter,considered,herself,The girls said that the daughter considered herself . <eos>,The girls said that the daughter considered herself .,the girls said that the daughter considered ***mask*** .,0.009535357245255234
111,19,embed,local,1,b,nonlocal_subj,number,daughters,girl,considered,herself,The daughters said that the girl considered herself . <eos>,The daughters said that the girl considered herself .,the daughters said that the girl considered ***mask*** .,0.0018526550748388954
112,19,embed,nonlocal,0,a,local_subj,number,girl,daughters,considered,herself,The girl said that the daughters considered herself . <eos>,The girl said that the daughters considered herself .,the girl said that the daughters considered ***mask*** .,0.028962183346719066
113,19,embed,nonlocal,0,b,local_subj,number,daughter,girls,considered,herself,The daughter said that the girls considered herself . <eos>,The daughter said that the girls considered herself .,the daughter said that the girls considered ***mask*** .,0.014422702788683656
114,20,embed,local,1,a,none,none,girl,daughter,identified,herself,The girl said that the daughter identified herself . <eos>,The girl said that the daughter identified herself .,the girl said that the daughter identified ***mask*** .,2.0633490437014277e-05
115,20,embed,local,1,b,none,none,daughter,girl,identified,herself,The daughter said that the girl identified herself . <eos>,The daughter said that the girl identified herself .,the daughter said that the girl identified ***mask*** .,1.0820036529960602e-05
116,20,embed,local,1,a,nonlocal_subj,number,girls,daughter,identified,herself,The girls said that the daughter identified herself . <eos>,The girls said that the daughter identified herself .,the girls said that the daughter identified ***mask*** .,2.1049457980892052e-05
117,20,embed,local,1,b,nonlocal_subj,number,daughters,girl,identified,herself,The daughters said that the girl identified herself . <eos>,The daughters said that the girl identified herself .,the daughters said that the girl identified ***mask*** .,1.0738599388836647e-05
118,20,embed,nonlocal,0,a,local_subj,number,girl,daughters,identified,herself,The girl said that the daughters identified herself . <eos>,The girl said that the daughters identified herself .,the girl said that the daughters identified ***mask*** .,0.00035354557309741683
119,20,embed,nonlocal,0,b,local_subj,number,daughter,girls,identified,herself,The daughter said that the girls identified herself . <eos>,The daughter said that the girls identified herself .,the daughter said that the girls identified ***mask*** .,0.0001651294857052098
120,21,embed,local,1,a,none,none,girl,daughter,made,herself,The girl said that the daughter made herself . <eos>,The girl said that the daughter made herself .,the girl said that the daughter made ***mask*** .,0.03610049342764696
121,21,embed,local,1,b,none,none,daughter,girl,made,herself,The daughter said that the girl made herself . <eos>,The daughter said that the girl made herself .,the daughter said that the girl made ***mask*** .,0.025940915874401102
122,21,embed,local,1,a,nonlocal_subj,number,girls,daughter,made,herself,The girls said that the daughter made herself . <eos>,The girls said that the daughter made herself .,the girls said that the daughter made ***mask*** .,0.05200719482019369
123,21,embed,local,1,b,nonlocal_subj,number,daughters,girl,made,herself,The daughters said that the girl made herself . <eos>,The daughters said that the girl made herself .,the daughters said that the girl made ***mask*** .,0.020010534740619555
124,21,embed,nonlocal,0,a,local_subj,number,girl,daughters,made,herself,The girl said that the daughters made herself . <eos>,The girl said that the daughters made herself .,the girl said that the daughters made ***mask*** .,0.24038284197475937
125,21,embed,nonlocal,0,b,local_subj,number,daughter,girls,made,herself,The daughter said that the girls made herself . <eos>,The daughter said that the girls made herself .,the daughter said that the girls made ***mask*** .,0.36771107750071774
126,22,embed,local,1,a,none,none,girl,daughter,found,herself,The girl said that the daughter found herself . <eos>,The girl said that the daughter found herself .,the girl said that the daughter found ***mask*** .,0.00911804018824093
127,22,embed,local,1,b,none,none,daughter,girl,found,herself,The daughter said that the girl found herself . <eos>,The daughter said that the girl found herself .,the daughter said that the girl found ***mask*** .,0.006401564432714056
128,22,embed,local,1,a,nonlocal_subj,number,girls,daughter,found,herself,The girls said that the daughter found herself . <eos>,The girls said that the daughter found herself .,the girls said that the daughter found ***mask*** .,0.007349734234758445
129,22,embed,local,1,b,nonlocal_subj,number,daughters,girl,found,herself,The daughters said that the girl found herself . <eos>,The daughters said that the girl found herself .,the daughters said that the girl found ***mask*** .,0.003800748221431526
130,22,embed,nonlocal,0,a,local_subj,number,girl,daughters,found,herself,The girl said that the daughters found herself . <eos>,The girl said that the daughters found herself .,the girl said that the daughters found ***mask*** .,0.04688843945219868
131,22,embed,nonlocal,0,b,local_subj,number,daughter,girls,found,herself,The daughter said that the girls found herself . <eos>,The daughter said that the girls found herself .,the daughter said that the girls found ***mask*** .,0.03988447987867229
132,23,embed,local,1,a,none,none,girl,daughter,distinguished,herself,The girl said that the daughter distinguished herself . <eos>,The girl said that the daughter distinguished herself .,the girl said that the daughter distinguished ***mask*** .,4.706785855714638e-07
133,23,embed,local,1,b,none,none,daughter,girl,distinguished,herself,The daughter said that the girl distinguished herself . <eos>,The daughter said that the girl distinguished herself .,the daughter said that the girl distinguished ***mask*** .,4.179747750862434e-07
134,23,embed,local,1,a,nonlocal_subj,number,girls,daughter,distinguished,herself,The girls said that the daughter distinguished herself . <eos>,The girls said that the daughter distinguished herself .,the girls said that the daughter distinguished ***mask*** .,4.5325797923241176e-07
135,23,embed,local,1,b,nonlocal_subj,number,daughters,girl,distinguished,herself,The daughters said that the girl distinguished herself . <eos>,The daughters said that the girl distinguished herself .,the daughters said that the girl distinguished ***mask*** .,1.0252004079362071e-06
136,23,embed,nonlocal,0,a,local_subj,number,girl,daughters,distinguished,herself,The girl said that the daughters distinguished herself . <eos>,The girl said that the daughters distinguished herself .,the girl said that the daughters distinguished ***mask*** .,6.268315061282571e-05
137,23,embed,nonlocal,0,b,local_subj,number,daughter,girls,distinguished,herself,The daughter said that the girls distinguished herself . <eos>,The daughter said that the girls distinguished herself .,the daughter said that the girls distinguished ***mask*** .,1.4642253839082049e-05
138,24,embed,local,1,a,none,none,girl,daughter,taught,herself,The girl said that the daughter taught herself . <eos>,The girl said that the daughter taught herself .,the girl said that the daughter taught ***mask*** .,0.0019506086727765072
139,24,embed,local,1,b,none,none,daughter,girl,taught,herself,The daughter said that the girl taught herself . <eos>,The daughter said that the girl taught herself .,the daughter said that the girl taught ***mask*** .,0.0007112311639950003
140,24,embed,local,1,a,nonlocal_subj,number,girls,daughter,taught,herself,The girls said that the daughter taught herself . <eos>,The girls said that the daughter taught herself .,the girls said that the daughter taught ***mask*** .,0.0010574161485007716
141,24,embed,local,1,b,nonlocal_subj,number,daughters,girl,taught,herself,The daughters said that the girl taught herself . <eos>,The daughters said that the girl taught herself .,the daughters said that the girl taught ***mask*** .,0.0005848029033617528
142,24,embed,nonlocal,0,a,local_subj,number,girl,daughters,taught,herself,The girl said that the daughters taught herself . <eos>,The girl said that the daughters taught herself .,the girl said that the daughters taught ***mask*** .,0.003681943645611913
