,item,clause_type,locality,c-command,grammatical,counterbalance,mismatch_position,mismatch_feature,head_noun,distractor_noun,verb,pronoun,sentence,sentence_no_eos,bert_sentence,surprisal
27,5,simple,local,no-c-command,0,b,head,number,fathers,boy,identified,himself,The fathers near the boy identified himself . <eos>,The fathers near the boy identified himself .,the fathers near the boy identified ***mask*** .,4.87791612459948
28,5,simple,local,c-command,1,a,distractor,number,boy,fathers,identified,himself,The boy near the fathers identified himself . <eos>,The boy near the fathers identified himself .,the boy near the fathers identified ***mask*** .,2.6413643580540733
29,5,simple,local,c-command,1,b,distractor,number,father,boys,identified,himself,The father near the boys identified himself . <eos>,The father near the boys identified himself .,the father near the boys identified ***mask*** .,1.5356091801513672
30,6,simple,local,c-command,1,a,none,none,boy,father,made,himself,The boy near the father made himself . <eos>,The boy near the father made himself .,the boy near the father made ***mask*** .,12.462297199877312
31,6,simple,local,c-command,1,b,none,none,father,boy,made,himself,The father near the boy made himself . <eos>,The father near the boy made himself .,the father near the boy made ***mask*** .,13.909818430451336
32,6,simple,local,no-c-command,0,a,head,number,boys,father,made,himself,The boys near the father made himself . <eos>,The boys near the father made himself .,the boys near the father made ***mask*** .,17.322730165414594
33,6,simple,local,no-c-command,0,b,head,number,fathers,boy,made,himself,The fathers near the boy made himself . <eos>,The fathers near the boy made himself .,the fathers near the boy made ***mask*** .,19.066719156661417
34,6,simple,local,c-command,1,a,distractor,number,boy,fathers,made,himself,The boy near the fathers made himself . <eos>,The boy near the fathers made himself .,the boy near the fathers made ***mask*** .,11.566450723660408
35,6,simple,local,c-command,1,b,distractor,number,father,boys,made,himself,The father near the boys made himself . <eos>,The father near the boys made himself .,the father near the boys made ***mask*** .,14.997950563253266
36,7,simple,local,c-command,1,a,none,none,boy,father,found,himself,The boy near the father found himself . <eos>,The boy near the father found himself .,the boy near the father found ***mask*** .,7.804887663084611
37,7,simple,local,c-command,1,b,none,none,father,boy,found,himself,The father near the boy found himself . <eos>,The father near the boy found himself .,the father near the boy found ***mask*** .,8.906144684734315
38,7,simple,local,no-c-command,0,a,head,number,boys,father,found,himself,The boys near the father found himself . <eos>,The boys near the father found himself .,the boys near the father found ***mask*** .,11.246226356134063
39,7,simple,local,no-c-command,0,b,head,number,fathers,boy,found,himself,The fathers near the boy found himself . <eos>,The fathers near the boy found himself .,the fathers near the boy found ***mask*** .,11.440826226667697
40,7,simple,local,c-command,1,a,distractor,number,boy,fathers,found,himself,The boy near the fathers found himself . <eos>,The boy near the fathers found himself .,the boy near the fathers found ***mask*** .,7.730343517574979
41,7,simple,local,c-command,1,b,distractor,number,father,boys,found,himself,The father near the boys found himself . <eos>,The father near the boys found himself .,the father near the boys found ***mask*** .,9.210083241771112
42,8,simple,local,c-command,1,a,none,none,boy,father,distinguished,himself,The boy near the father distinguished himself . <eos>,The boy near the father distinguished himself .,the boy near the father distinguished ***mask*** .,1.7840416730548214
43,8,simple,local,c-command,1,b,none,none,father,boy,distinguished,himself,The father near the boy distinguished himself . <eos>,The father near the boy distinguished himself .,the father near the boy distinguished ***mask*** .,1.252377471203201
44,8,simple,local,no-c-command,0,a,head,number,boys,father,distinguished,himself,The boys near the father distinguished himself . <eos>,The boys near the father distinguished himself .,the boys near the father distinguished ***mask*** .,9.145595264340825
45,8,simple,local,no-c-command,0,b,head,number,fathers,boy,distinguished,himself,The fathers near the boy distinguished himself . <eos>,The fathers near the boy distinguished himself .,the fathers near the boy distinguished ***mask*** .,9.086153427677727
46,8,simple,local,c-command,1,a,distractor,number,boy,fathers,distinguished,himself,The boy near the fathers distinguished himself . <eos>,The boy near the fathers distinguished himself .,the boy near the fathers distinguished ***mask*** .,0.3152772720809209
47,8,simple,local,c-command,1,b,distractor,number,father,boys,distinguished,himself,The father near the boys distinguished himself . <eos>,The father near the boys distinguished himself .,the father near the boys distinguished ***mask*** .,1.482806163842237
48,9,simple,local,c-command,1,a,none,none,boy,father,taught,himself,The boy near the father taught himself . <eos>,The boy near the father taught himself .,the boy near the father taught ***mask*** .,6.2442949583848195
49,9,simple,local,c-command,1,b,none,none,father,boy,taught,himself,The father near the boy taught himself . <eos>,The father near the boy taught himself .,the father near the boy taught ***mask*** .,6.704966516736838
50,9,simple,local,no-c-command,0,a,head,number,boys,father,taught,himself,The boys near the father taught himself . <eos>,The boys near the father taught himself .,the boys near the father taught ***mask*** .,7.374899757292759
51,9,simple,local,no-c-command,0,b,head,number,fathers,boy,taught,himself,The fathers near the boy taught himself . <eos>,The fathers near the boy taught himself .,the fathers near the boy taught ***mask*** .,10.78539939711931
52,9,simple,local,c-command,1,a,distractor,number,boy,fathers,taught,himself,The boy near the fathers taught himself . <eos>,The boy near the fathers taught himself .,the boy near the fathers taught ***mask*** .,7.234221625375823
53,9,simple,local,c-command,1,b,distractor,number,father,boys,taught,himself,The father near the boys taught himself . <eos>,The father near the boys taught himself .,the father near the boys taught ***mask*** .,6.127775092840558
54,10,simple,local,c-command,1,a,none,none,boy,father,killed,himself,The boy near the father killed himself . <eos>,The boy near the father killed himself .,the boy near the father killed ***mask*** .,3.0337417044655526
55,10,simple,local,c-command,1,b,none,none,father,boy,killed,himself,The father near the boy killed himself . <eos>,The father near the boy killed himself .,the father near the boy killed ***mask*** .,3.8413504063437856
56,10,simple,local,no-c-command,0,a,head,number,boys,father,killed,himself,The boys near the father killed himself . <eos>,The boys near the father killed himself .,the boys near the father killed ***mask*** .,5.245836586342232
57,10,simple,local,no-c-command,0,b,head,number,fathers,boy,killed,himself,The fathers near the boy killed himself . <eos>,The fathers near the boy killed himself .,the fathers near the boy killed ***mask*** .,7.095680794360892
58,10,simple,local,c-command,1,a,distractor,number,boy,fathers,killed,himself,The boy near the fathers killed himself . <eos>,The boy near the fathers killed himself .,the boy near the fathers killed ***mask*** .,3.3343271920424526
59,10,simple,local,c-command,1,b,distractor,number,father,boys,killed,himself,The father near the boys killed himself . <eos>,The father near the boys killed himself .,the father near the boys killed ***mask*** .,2.095424174809065
60,11,simple,local,c-command,1,a,none,none,boy,father,called,himself,The boy near the father called himself . <eos>,The boy near the father called himself .,the boy near the father called ***mask*** .,11.890622522225529
61,11,simple,local,c-command,1,b,none,none,father,boy,called,himself,The father near the boy called himself . <eos>,The father near the boy called himself .,the father near the boy called ***mask*** .,11.844457394726385
62,11,simple,local,no-c-command,0,a,head,number,boys,father,called,himself,The boys near the father called himself . <eos>,The boys near the father called himself .,the boys near the father called ***mask*** .,12.645326482110548
63,11,simple,local,no-c-command,0,b,head,number,fathers,boy,called,himself,The fathers near the boy called himself . <eos>,The fathers near the boy called himself .,the fathers near the boy called ***mask*** .,14.455358590012402
64,11,simple,local,c-command,1,a,distractor,number,boy,fathers,called,himself,The boy near the fathers called himself . <eos>,The boy near the fathers called himself .,the boy near the fathers called ***mask*** .,9.838803365273439
65,11,simple,local,c-command,1,b,distractor,number,father,boys,called,himself,The father near the boys called himself . <eos>,The father near the boys called himself .,the father near the boys called ***mask*** .,9.682722511622192
66,12,simple,local,c-command,1,a,none,none,boy,father,dedicated,himself,The boy near the father dedicated himself . <eos>,The boy near the father dedicated himself .,the boy near the father dedicated ***mask*** .,3.7457263652281725
67,12,simple,local,c-command,1,b,none,none,father,boy,dedicated,himself,The father near the boy dedicated himself . <eos>,The father near the boy dedicated himself .,the father near the boy dedicated ***mask*** .,3.506632294894241
68,12,simple,local,no-c-command,0,a,head,number,boys,father,dedicated,himself,The boys near the father dedicated himself . <eos>,The boys near the father dedicated himself .,the boys near the father dedicated ***mask*** .,8.521407242076613
69,12,simple,local,no-c-command,0,b,head,number,fathers,boy,dedicated,himself,The fathers near the boy dedicated himself . <eos>,The fathers near the boy dedicated himself .,the fathers near the boy dedicated ***mask*** .,7.798761932674239
70,12,simple,local,c-command,1,a,distractor,number,boy,fathers,dedicated,himself,The boy near the fathers dedicated himself . <eos>,The boy near the fathers dedicated himself .,the boy near the fathers dedicated ***mask*** .,2.860639134011269
71,12,simple,local,c-command,1,b,distractor,number,father,boys,dedicated,himself,The father near the boys dedicated himself . <eos>,The father near the boys dedicated himself .,the father near the boys dedicated ***mask*** .,3.2917027961210903
72,13,simple,local,c-command,1,a,none,none,boy,father,declared,himself,The boy near the father declared himself . <eos>,The boy near the father declared himself .,the boy near the father declared ***mask*** .,5.377011167229708
73,13,simple,local,c-command,1,b,none,none,father,boy,declared,himself,The father near the boy declared himself . <eos>,The father near the boy declared himself .,the father near the boy declared ***mask*** .,5.866824698700605
74,13,simple,local,no-c-command,0,a,head,number,boys,father,declared,himself,The boys near the father declared himself . <eos>,The boys near the father declared himself .,the boys near the father declared ***mask*** .,10.812032729429962
75,13,simple,local,no-c-command,0,b,head,number,fathers,boy,declared,himself,The fathers near the boy declared himself . <eos>,The fathers near the boy declared himself .,the fathers near the boy declared ***mask*** .,10.383856266632732
76,13,simple,local,c-command,1,a,distractor,number,boy,fathers,declared,himself,The boy near the fathers declared himself . <eos>,The boy near the fathers declared himself .,the boy near the fathers declared ***mask*** .,4.975446182297426
77,13,simple,local,c-command,1,b,distractor,number,father,boys,declared,himself,The father near the boys declared himself . <eos>,The father near the boys declared himself .,the father near the boys declared ***mask*** .,7.35376223508335
78,14,simple,local,c-command,1,a,none,none,boy,father,proved,himself,The boy near the father proved himself . <eos>,The boy near the father proved himself .,the boy near the father proved ***mask*** .,5.905104511704648
79,14,simple,local,c-command,1,b,none,none,father,boy,proved,himself,The father near the boy proved himself . <eos>,The father near the boy proved himself .,the father near the boy proved ***mask*** .,5.900137756893644
80,14,simple,local,no-c-command,0,a,head,number,boys,father,proved,himself,The boys near the father proved himself . <eos>,The boys near the father proved himself .,the boys near the father proved ***mask*** .,9.899288742314596
81,14,simple,local,no-c-command,0,b,head,number,fathers,boy,proved,himself,The fathers near the boy proved himself . <eos>,The fathers near the boy proved himself .,the fathers near the boy proved ***mask*** .,9.131755522794837
82,14,simple,local,c-command,1,a,distractor,number,boy,fathers,proved,himself,The boy near the fathers proved himself . <eos>,The boy near the fathers proved himself .,the boy near the fathers proved ***mask*** .,5.237900860385825
83,14,simple,local,c-command,1,b,distractor,number,father,boys,proved,himself,The father near the boys proved himself . <eos>,The father near the boys proved himself .,the father near the boys proved ***mask*** .,6.004134189367307
84,15,simple,local,c-command,1,a,none,none,boy,father,shot,himself,The boy near the father shot himself . <eos>,The boy near the father shot himself .,the boy near the father shot ***mask*** .,3.625320923523659
85,15,simple,local,c-command,1,b,none,none,father,boy,shot,himself,The father near the boy shot himself . <eos>,The father near the boy shot himself .,the father near the boy shot ***mask*** .,3.5966450314518665
86,15,simple,local,no-c-command,0,a,head,number,boys,father,shot,himself,The boys near the father shot himself . <eos>,The boys near the father shot himself .,the boys near the father shot ***mask*** .,6.096904062589695
87,15,simple,local,no-c-command,0,b,head,number,fathers,boy,shot,himself,The fathers near the boy shot himself . <eos>,The fathers near the boy shot himself .,the fathers near the boy shot ***mask*** .,6.443510316890304
88,15,simple,local,c-command,1,a,distractor,number,boy,fathers,shot,himself,The boy near the fathers shot himself . <eos>,The boy near the fathers shot himself .,the boy near the fathers shot ***mask*** .,3.737818249428078
89,15,simple,local,c-command,1,b,distractor,number,father,boys,shot,himself,The father near the boys shot himself . <eos>,The father near the boys shot himself .,the father near the boys shot ***mask*** .,2.8162568061434587
90,16,simple,local,c-command,1,a,none,none,boy,son,saw,himself,The boy near the son saw himself . <eos>,The boy near the son saw himself .,the boy near the son saw ***mask*** .,10.516987272739673
91,16,simple,local,c-command,1,b,none,none,son,boy,saw,himself,The son near the boy saw himself . <eos>,The son near the boy saw himself .,the son near the boy saw ***mask*** .,10.409658977186854
92,16,simple,local,no-c-command,0,a,head,number,boys,son,saw,himself,The boys near the son saw himself . <eos>,The boys near the son saw himself .,the boys near the son saw ***mask*** .,13.283943884931437
93,16,simple,local,no-c-command,0,b,head,number,sons,boy,saw,himself,The sons near the boy saw himself . <eos>,The sons near the boy saw himself .,the sons near the boy saw ***mask*** .,12.801125013884725
94,16,simple,local,c-command,1,a,distractor,number,boy,sons,saw,himself,The boy near the sons saw himself . <eos>,The boy near the sons saw himself .,the boy near the sons saw ***mask*** .,10.924641798754765
95,16,simple,local,c-command,1,b,distractor,number,son,boys,saw,himself,The son near the boys saw himself . <eos>,The son near the boys saw himself .,the son near the boys saw ***mask*** .,11.144614789651035
96,17,simple,local,c-command,1,a,none,none,boy,son,established,himself,The boy near the son established himself . <eos>,The boy near the son established himself .,the boy near the son established ***mask*** .,4.498147876168951
97,17,simple,local,c-command,1,b,none,none,son,boy,established,himself,The son near the boy established himself . <eos>,The son near the boy established himself .,the son near the boy established ***mask*** .,3.485457732783632
98,17,simple,local,no-c-command,0,a,head,number,boys,son,established,himself,The boys near the son established himself . <eos>,The boys near the son established himself .,the boys near the son established ***mask*** .,7.086489479152946
99,17,simple,local,no-c-command,0,b,head,number,sons,boy,established,himself,The sons near the boy established himself . <eos>,The sons near the boy established himself .,the sons near the boy established ***mask*** .,6.629321239113887
100,17,simple,local,c-command,1,a,distractor,number,boy,sons,established,himself,The boy near the sons established himself . <eos>,The boy near the sons established himself .,the boy near the sons established ***mask*** .,5.357616953715803
101,17,simple,local,c-command,1,b,distractor,number,son,boys,established,himself,The son near the boys established himself . <eos>,The son near the boys established himself .,the son near the boys established ***mask*** .,4.777749004472144
102,18,simple,local,c-command,1,a,none,none,boy,son,devoted,himself,The boy near the son devoted himself . <eos>,The boy near the son devoted himself .,the boy near the son devoted ***mask*** .,4.399810310039878
103,18,simple,local,c-command,1,b,none,none,son,boy,devoted,himself,The son near the boy devoted himself . <eos>,The son near the boy devoted himself .,the son near the boy devoted ***mask*** .,5.622440866433117
104,18,simple,local,no-c-command,0,a,head,number,boys,son,devoted,himself,The boys near the son devoted himself . <eos>,The boys near the son devoted himself .,the boys near the son devoted ***mask*** .,10.085811613728639
105,18,simple,local,no-c-command,0,b,head,number,sons,boy,devoted,himself,The sons near the boy devoted himself . <eos>,The sons near the boy devoted himself .,the sons near the boy devoted ***mask*** .,8.924265113460146
106,18,simple,local,c-command,1,a,distractor,number,boy,sons,devoted,himself,The boy near the sons devoted himself . <eos>,The boy near the sons devoted himself .,the boy near the sons devoted ***mask*** .,1.5231393598433773
107,18,simple,local,c-command,1,b,distractor,number,son,boys,devoted,himself,The son near the boys devoted himself . <eos>,The son near the boys devoted himself .,the son near the boys devoted ***mask*** .,1.6493061260738393
108,19,simple,local,c-command,1,a,none,none,boy,son,considered,himself,The boy near the son considered himself . <eos>,The boy near the son considered himself .,the boy near the son considered ***mask*** .,9.907538825590693
109,19,simple,local,c-command,1,b,none,none,son,boy,considered,himself,The son near the boy considered himself . <eos>,The son near the boy considered himself .,the son near the boy considered ***mask*** .,9.315685193817416
110,19,simple,local,no-c-command,0,a,head,number,boys,son,considered,himself,The boys near the son considered himself . <eos>,The boys near the son considered himself .,the boys near the son considered ***mask*** .,12.274541997102611
111,19,simple,local,no-c-command,0,b,head,number,sons,boy,considered,himself,The sons near the boy considered himself . <eos>,The sons near the boy considered himself .,the sons near the boy considered ***mask*** .,11.886664947623975
112,19,simple,local,c-command,1,a,distractor,number,boy,sons,considered,himself,The boy near the sons considered himself . <eos>,The boy near the sons considered himself .,the boy near the sons considered ***mask*** .,9.575158395509536
113,19,simple,local,c-command,1,b,distractor,number,son,boys,considered,himself,The son near the boys considered himself . <eos>,The son near the boys considered himself .,the son near the boys considered ***mask*** .,8.97602336906191
114,20,simple,local,c-command,1,a,none,none,boy,son,identified,himself,The boy near the son identified himself . <eos>,The boy near the son identified himself .,the boy near the son identified ***mask*** .,2.5861831909116932
115,20,simple,local,c-command,1,b,none,none,son,boy,identified,himself,The son near the boy identified himself . <eos>,The son near the boy identified himself .,the son near the boy identified ***mask*** .,1.68600750627117
116,20,simple,local,no-c-command,0,a,head,number,boys,son,identified,himself,The boys near the son identified himself . <eos>,The boys near the son identified himself .,the boys near the son identified ***mask*** .,5.771163551831429
117,20,simple,local,no-c-command,0,b,head,number,sons,boy,identified,himself,The sons near the boy identified himself . <eos>,The sons near the boy identified himself .,the sons near the boy identified ***mask*** .,5.155406667057174
118,20,simple,local,c-command,1,a,distractor,number,boy,sons,identified,himself,The boy near the sons identified himself . <eos>,The boy near the sons identified himself .,the boy near the sons identified ***mask*** .,3.339905280242476
119,20,simple,local,c-command,1,b,distractor,number,son,boys,identified,himself,The son near the boys identified himself . <eos>,The son near the boys identified himself .,the son near the boys identified ***mask*** .,2.22731734323953
120,21,simple,local,c-command,1,a,none,none,boy,son,made,himself,The boy near the son made himself . <eos>,The boy near the son made himself .,the boy near the son made ***mask*** .,12.294272495156555
121,21,simple,local,c-command,1,b,none,none,son,boy,made,himself,The son near the boy made himself . <eos>,The son near the boy made himself .,the son near the boy made ***mask*** .,13.009961927464511
122,21,simple,local,no-c-command,0,a,head,number,boys,son,made,himself,The boys near the son made himself . <eos>,The boys near the son made himself .,the boys near the son made ***mask*** .,17.594680229776714
123,21,simple,local,no-c-command,0,b,head,number,sons,boy,made,himself,The sons near the boy made himself . <eos>,The sons near the boy made himself .,the sons near the boy made ***mask*** .,17.004370759859015
124,21,simple,local,c-command,1,a,distractor,number,boy,sons,made,himself,The boy near the sons made himself . <eos>,The boy near the sons made himself .,the boy near the sons made ***mask*** .,12.502928325504307
125,21,simple,local,c-command,1,b,distractor,number,son,boys,made,himself,The son near the boys made himself . <eos>,The son near the boys made himself .,the son near the boys made ***mask*** .,13.437759905281265
126,22,simple,local,c-command,1,a,none,none,boy,son,found,himself,The boy near the son found himself . <eos>,The boy near the son found himself .,the boy near the son found ***mask*** .,8.021074349887664
127,22,simple,local,c-command,1,b,none,none,son,boy,found,himself,The son near the boy found himself . <eos>,The son near the boy found himself .,the son near the boy found ***mask*** .,8.366389435499665
128,22,simple,local,no-c-command,0,a,head,number,boys,son,found,himself,The boys near the son found himself . <eos>,The boys near the son found himself .,the boys near the son found ***mask*** .,10.996095263399601
129,22,simple,local,no-c-command,0,b,head,number,sons,boy,found,himself,The sons near the boy found himself . <eos>,The sons near the boy found himself .,the sons near the boy found ***mask*** .,11.260703826189955
130,22,simple,local,c-command,1,a,distractor,number,boy,sons,found,himself,The boy near the sons found himself . <eos>,The boy near the sons found himself .,the boy near the sons found ***mask*** .,7.9459952603498065
131,22,simple,local,c-command,1,b,distractor,number,son,boys,found,himself,The son near the boys found himself . <eos>,The son near the boys found himself .,the son near the boys found ***mask*** .,7.987600176881918
132,23,simple,local,c-command,1,a,none,none,boy,son,distinguished,himself,The boy near the son distinguished himself . <eos>,The boy near the son distinguished himself .,the boy near the son distinguished ***mask*** .,1.3355143037495822
133,23,simple,local,c-command,1,b,none,none,son,boy,distinguished,himself,The son near the boy distinguished himself . <eos>,The son near the boy distinguished himself .,the son near the boy distinguished ***mask*** .,0.3558770278881715
134,23,simple,local,no-c-command,0,a,head,number,boys,son,distinguished,himself,The boys near the son distinguished himself . <eos>,The boys near the son distinguished himself .,the boys near the son distinguished ***mask*** .,9.389774901699106
135,23,simple,local,no-c-command,0,b,head,number,sons,boy,distinguished,himself,The sons near the boy distinguished himself . <eos>,The sons near the boy distinguished himself .,the sons near the boy distinguished ***mask*** .,9.256044004468668
136,23,simple,local,c-command,1,a,distractor,number,boy,sons,distinguished,himself,The boy near the sons distinguished himself . <eos>,The boy near the sons distinguished himself .,the boy near the sons distinguished ***mask*** .,1.6179238000404168
137,23,simple,local,c-command,1,b,distractor,number,son,boys,distinguished,himself,The son near the boys distinguished himself . <eos>,The son near the boys distinguished himself .,the son near the boys distinguished ***mask*** .,1.5212402535914875
138,24,simple,local,c-command,1,a,none,none,boy,son,taught,himself,The boy near the son taught himself . <eos>,The boy near the son taught himself .,the boy near the son taught ***mask*** .,6.322637246129453
139,24,simple,local,c-command,1,b,none,none,son,boy,taught,himself,The son near the boy taught himself . <eos>,The son near the boy taught himself .,the son near the boy taught ***mask*** .,5.632385022245305
140,24,simple,local,no-c-command,0,a,head,number,boys,son,taught,himself,The boys near the son taught himself . <eos>,The boys near the son taught himself .,the boys near the son taught ***mask*** .,6.688497789207876
141,24,simple,local,no-c-command,0,b,head,number,sons,boy,taught,himself,The sons near the boy taught himself . <eos>,The sons near the boy taught himself .,the sons near the boy taught ***mask*** .,7.39689710068441
142,24,simple,local,c-command,1,a,distractor,number,boy,sons,taught,himself,The boy near the sons taught himself . <eos>,The boy near the sons taught himself .,the boy near the sons taught ***mask*** .,4.753740994800404
143,24,simple,local,c-command,1,b,distractor,number,son,boys,taught,himself,The son near the boys taught himself . <eos>,The son near the boys taught himself .,the son near the boys taught ***mask*** .,4.997055568056607
144,25,simple,local,c-command,1,a,none,none,boy,son,killed,himself,The boy near the son killed himself . <eos>,The boy near the son killed himself .,the boy near the son killed ***mask*** .,3.030935695355804
145,25,simple,local,c-command,1,b,none,none,son,boy,killed,himself,The son near the boy killed himself . <eos>,The son near the boy killed himself .,the son near the boy killed ***mask*** .,3.0035457343915564
146,25,simple,local,no-c-command,0,a,head,number,boys,son,killed,himself,The boys near the son killed himself . <eos>,The boys near the son killed himself .,the boys near the son killed ***mask*** .,4.975104680361234
147,25,simple,local,no-c-command,0,b,head,number,sons,boy,killed,himself,The sons near the boy killed himself . <eos>,The sons near the boy killed himself .,the sons near the boy killed ***mask*** .,6.994139914029935
148,25,simple,local,c-command,1,a,distractor,number,boy,sons,killed,himself,The boy near the sons killed himself . <eos>,The boy near the sons killed himself .,the boy near the sons killed ***mask*** .,3.6569741347981264
149,25,simple,local,c-command,1,b,distractor,number,son,boys,killed,himself,The son near the boys killed himself . <eos>,The son near the boys killed himself .,the son near the boys killed ***mask*** .,1.3728819603622031
150,26,simple,local,c-command,1,a,none,none,boy,son,called,himself,The boy near the son called himself . <eos>,The boy near the son called himself .,the boy near the son called ***mask*** .,9.63523239562535
151,26,simple,local,c-command,1,b,none,none,son,boy,called,himself,The son near the boy called himself . <eos>,The son near the boy called himself .,the son near the boy called ***mask*** .,9.351302417174924
152,26,simple,local,no-c-command,0,a,head,number,boys,son,called,himself,The boys near the son called himself . <eos>,The boys near the son called himself .,the boys near the son called ***mask*** .,11.056380486178705
153,26,simple,local,no-c-command,0,b,head,number,sons,boy,called,himself,The sons near the boy called himself . <eos>,The sons near the boy called himself .,the sons near the boy called ***mask*** .,11.426407819114104
154,26,simple,local,c-command,1,a,distractor,number,boy,sons,called,himself,The boy near the sons called himself . <eos>,The boy near the sons called himself .,the boy near the sons called ***mask*** .,7.797762112674579
155,26,simple,local,c-command,1,b,distractor,number,son,boys,called,himself,The son near the boys called himself . <eos>,The son near the boys called himself .,the son near the boys called ***mask*** .,7.568032674893879
156,27,simple,local,c-command,1,a,none,none,boy,son,dedicated,himself,The boy near the son dedicated himself . <eos>,The boy near the son dedicated himself .,the boy near the son dedicated ***mask*** .,4.293086689494672
