item,clause_type,LocalityType,C-command,grammatical,head_mismatch,distract_mismatch,mismatch_position,mismatch_feature,head_noun,distractor noun,verb,residual,sentence,sentence_no_eos
3,simple,local,c-command,1,none,number,distractor,number,brother,men,was,leaving,The brother who stood near the men was leaving . <eos>,The brother who stood near the men was leaving .
3,simple,local,c-command,1,none,gender,distractor,gender,brother,woman,was,leaving,The brother who stood near the woman was leaving . <eos>,The brother who stood near the woman was leaving .
3,simple,local,c-command,1,none,both,distractor,both,brother,women,was,leaving,The brother who stood near the women was leaving . <eos>,The brother who stood near the women was leaving .
3,simple,local,no-c-command,0,number,none,head,number,men,brother,was,leaving,The men who stood near the brother was leaving . <eos>,The men who stood near the brother was leaving .
3,simple,local,no-c-command,1,gender,none,head,gender,woman,brother,was,leaving,The woman who stood near the brother was leaving . <eos>,The woman who stood near the brother was leaving .
3,simple,local,no-c-command,0,both,none,head,both,women,brother,was,leaving,The women who stood near the brother was leaving . <eos>,The women who stood near the brother was leaving .
4,simple,local,c-command,1,none,none,none,none,king,man,was,leaving,The king who stood near the man was leaving . <eos>,The king who stood near the man was leaving .
4,simple,local,c-command,1,none,number,distractor,number,king,men,was,leaving,The king who stood near the men was leaving . <eos>,The king who stood near the men was leaving .
4,simple,local,c-command,1,none,gender,distractor,gender,king,woman,was,leaving,The king who stood near the woman was leaving . <eos>,The king who stood near the woman was leaving .
4,simple,local,c-command,1,none,both,distractor,both,king,women,was,leaving,The king who stood near the women was leaving . <eos>,The king who stood near the women was leaving .
4,simple,local,no-c-command,0,number,none,head,number,men,king,was,leaving,The men who stood near the king was leaving . <eos>,The men who stood near the king was leaving .
4,simple,local,no-c-command,1,gender,none,head,gender,woman,king,was,leaving,The woman who stood near the king was leaving . <eos>,The woman who stood near the king was leaving .
4,simple,local,no-c-command,0,both,none,head,both,women,king,was,leaving,The women who stood near the king was leaving . <eos>,The women who stood near the king was leaving .
5,simple,local,c-command,1,none,none,none,none,actor,man,was,leaving,The actor who stood near the man was leaving . <eos>,The actor who stood near the man was leaving .
5,simple,local,c-command,1,none,number,distractor,number,actor,men,was,leaving,The actor who stood near the men was leaving . <eos>,The actor who stood near the men was leaving .
5,simple,local,c-command,1,none,gender,distractor,gender,actor,woman,was,leaving,The actor who stood near the woman was leaving . <eos>,The actor who stood near the woman was leaving .
5,simple,local,c-command,1,none,both,distractor,both,actor,women,was,leaving,The actor who stood near the women was leaving . <eos>,The actor who stood near the women was leaving .
5,simple,local,no-c-command,0,number,none,head,number,men,actor,was,leaving,The men who stood near the actor was leaving . <eos>,The men who stood near the actor was leaving .
5,simple,local,no-c-command,1,gender,none,head,gender,woman,actor,was,leaving,The woman who stood near the actor was leaving . <eos>,The woman who stood near the actor was leaving .
5,simple,local,no-c-command,0,both,none,head,both,women,actor,was,leaving,The women who stood near the actor was leaving . <eos>,The women who stood near the actor was leaving .
6,simple,local,c-command,1,none,none,none,none,brother,man,was,leaving,The brother who stood near the man was leaving . <eos>,The brother who stood near the man was leaving .
6,simple,local,c-command,1,none,number,distractor,number,brother,men,was,leaving,The brother who stood near the men was leaving . <eos>,The brother who stood near the men was leaving .
6,simple,local,c-command,1,none,gender,distractor,gender,brother,woman,was,leaving,The brother who stood near the woman was leaving . <eos>,The brother who stood near the woman was leaving .
6,simple,local,c-command,1,none,both,distractor,both,brother,women,was,leaving,The brother who stood near the women was leaving . <eos>,The brother who stood near the women was leaving .
6,simple,local,no-c-command,0,number,none,head,number,men,brother,was,leaving,The men who stood near the brother was leaving . <eos>,The men who stood near the brother was leaving .
6,simple,local,no-c-command,1,gender,none,head,gender,woman,brother,was,leaving,The woman who stood near the brother was leaving . <eos>,The woman who stood near the brother was leaving .
6,simple,local,no-c-command,0,both,none,head,both,women,brother,was,leaving,The women who stood near the brother was leaving . <eos>,The women who stood near the brother was leaving .
7,simple,local,c-command,1,none,none,none,none,son,man,was,leaving,The son who stood near the man was leaving . <eos>,The son who stood near the man was leaving .
7,simple,local,c-command,1,none,number,distractor,number,son,men,was,leaving,The son who stood near the men was leaving . <eos>,The son who stood near the men was leaving .
7,simple,local,c-command,1,none,gender,distractor,gender,son,woman,was,leaving,The son who stood near the woman was leaving . <eos>,The son who stood near the woman was leaving .
7,simple,local,c-command,1,none,both,distractor,both,son,women,was,leaving,The son who stood near the women was leaving . <eos>,The son who stood near the women was leaving .
7,simple,local,no-c-command,0,number,none,head,number,men,son,was,leaving,The men who stood near the son was leaving . <eos>,The men who stood near the son was leaving .
7,simple,local,no-c-command,1,gender,none,head,gender,woman,son,was,leaving,The woman who stood near the son was leaving . <eos>,The woman who stood near the son was leaving .
7,simple,local,no-c-command,0,both,none,head,both,women,son,was,leaving,The women who stood near the son was leaving . <eos>,The women who stood near the son was leaving .
8,simple,local,c-command,1,none,none,none,none,father,man,was,leaving,The father who stood near the man was leaving . <eos>,The father who stood near the man was leaving .
8,simple,local,c-command,1,none,number,distractor,number,father,men,was,leaving,The father who stood near the men was leaving . <eos>,The father who stood near the men was leaving .
8,simple,local,c-command,1,none,gender,distractor,gender,father,woman,was,leaving,The father who stood near the woman was leaving . <eos>,The father who stood near the woman was leaving .
8,simple,local,c-command,1,none,both,distractor,both,father,women,was,leaving,The father who stood near the women was leaving . <eos>,The father who stood near the women was leaving .
8,simple,local,no-c-command,0,number,none,head,number,men,father,was,leaving,The men who stood near the father was leaving . <eos>,The men who stood near the father was leaving .
8,simple,local,no-c-command,1,gender,none,head,gender,woman,father,was,leaving,The woman who stood near the father was leaving . <eos>,The woman who stood near the father was leaving .
8,simple,local,no-c-command,0,both,none,head,both,women,father,was,leaving,The women who stood near the father was leaving . <eos>,The women who stood near the father was leaving .
9,simple,local,c-command,1,none,none,none,none,son,man,was,leaving,The son who stood near the man was leaving . <eos>,The son who stood near the man was leaving .
9,simple,local,c-command,1,none,number,distractor,number,son,men,was,leaving,The son who stood near the men was leaving . <eos>,The son who stood near the men was leaving .
9,simple,local,c-command,1,none,gender,distractor,gender,son,woman,was,leaving,The son who stood near the woman was leaving . <eos>,The son who stood near the woman was leaving .
9,simple,local,c-command,1,none,both,distractor,both,son,women,was,leaving,The son who stood near the women was leaving . <eos>,The son who stood near the women was leaving .
9,simple,local,no-c-command,0,number,none,head,number,men,son,was,leaving,The men who stood near the son was leaving . <eos>,The men who stood near the son was leaving .
9,simple,local,no-c-command,1,gender,none,head,gender,woman,son,was,leaving,The woman who stood near the son was leaving . <eos>,The woman who stood near the son was leaving .
9,simple,local,no-c-command,0,both,none,head,both,women,son,was,leaving,The women who stood near the son was leaving . <eos>,The women who stood near the son was leaving .
10,simple,local,c-command,1,none,none,none,none,father,man,was,leaving,The father who stood near the man was leaving . <eos>,The father who stood near the man was leaving .
10,simple,local,c-command,1,none,number,distractor,number,father,men,was,leaving,The father who stood near the men was leaving . <eos>,The father who stood near the men was leaving .
10,simple,local,c-command,1,none,gender,distractor,gender,father,woman,was,leaving,The father who stood near the woman was leaving . <eos>,The father who stood near the woman was leaving .
10,simple,local,c-command,1,none,both,distractor,both,father,women,was,leaving,The father who stood near the women was leaving . <eos>,The father who stood near the women was leaving .
10,simple,local,no-c-command,0,number,none,head,number,men,father,was,leaving,The men who stood near the father was leaving . <eos>,The men who stood near the father was leaving .
10,simple,local,no-c-command,1,gender,none,head,gender,woman,father,was,leaving,The woman who stood near the father was leaving . <eos>,The woman who stood near the father was leaving .
10,simple,local,no-c-command,0,both,none,head,both,women,father,was,leaving,The women who stood near the father was leaving . <eos>,The women who stood near the father was leaving .
11,simple,local,c-command,1,none,none,none,none,son,man,was,leaving,The son who stood near the man was leaving . <eos>,The son who stood near the man was leaving .
11,simple,local,c-command,1,none,number,distractor,number,son,men,was,leaving,The son who stood near the men was leaving . <eos>,The son who stood near the men was leaving .
11,simple,local,c-command,1,none,gender,distractor,gender,son,woman,was,leaving,The son who stood near the woman was leaving . <eos>,The son who stood near the woman was leaving .
11,simple,local,c-command,1,none,both,distractor,both,son,women,was,leaving,The son who stood near the women was leaving . <eos>,The son who stood near the women was leaving .
11,simple,local,no-c-command,0,number,none,head,number,men,son,was,leaving,The men who stood near the son was leaving . <eos>,The men who stood near the son was leaving .
11,simple,local,no-c-command,1,gender,none,head,gender,woman,son,was,leaving,The woman who stood near the son was leaving . <eos>,The woman who stood near the son was leaving .
11,simple,local,no-c-command,0,both,none,head,both,women,son,was,leaving,The women who stood near the son was leaving . <eos>,The women who stood near the son was leaving .
12,simple,local,c-command,1,none,none,none,none,father,man,was,leaving,The father who stood near the man was leaving . <eos>,The father who stood near the man was leaving .
12,simple,local,c-command,1,none,number,distractor,number,father,men,was,leaving,The father who stood near the men was leaving . <eos>,The father who stood near the men was leaving .
12,simple,local,c-command,1,none,gender,distractor,gender,father,woman,was,leaving,The father who stood near the woman was leaving . <eos>,The father who stood near the woman was leaving .
12,simple,local,c-command,1,none,both,distractor,both,father,women,was,leaving,The father who stood near the women was leaving . <eos>,The father who stood near the women was leaving .
12,simple,local,no-c-command,0,number,none,head,number,men,father,was,leaving,The men who stood near the father was leaving . <eos>,The men who stood near the father was leaving .
12,simple,local,no-c-command,1,gender,none,head,gender,woman,father,was,leaving,The woman who stood near the father was leaving . <eos>,The woman who stood near the father was leaving .
12,simple,local,no-c-command,0,both,none,head,both,women,father,was,leaving,The women who stood near the father was leaving . <eos>,The women who stood near the father was leaving .
13,simple,local,c-command,1,none,none,none,none,father,man,was,leaving,The father who stood near the man was leaving . <eos>,The father who stood near the man was leaving .
13,simple,local,c-command,1,none,number,distractor,number,father,men,was,leaving,The father who stood near the men was leaving . <eos>,The father who stood near the men was leaving .
13,simple,local,c-command,1,none,gender,distractor,gender,father,woman,was,leaving,The father who stood near the woman was leaving . <eos>,The father who stood near the woman was leaving .
13,simple,local,c-command,1,none,both,distractor,both,father,women,was,leaving,The father who stood near the women was leaving . <eos>,The father who stood near the women was leaving .
13,simple,local,no-c-command,0,number,none,head,number,men,father,was,leaving,The men who stood near the father was leaving . <eos>,The men who stood near the father was leaving .
13,simple,local,no-c-command,1,gender,none,head,gender,woman,father,was,leaving,The woman who stood near the father was leaving . <eos>,The woman who stood near the father was leaving .
13,simple,local,no-c-command,0,both,none,head,both,women,father,was,leaving,The women who stood near the father was leaving . <eos>,The women who stood near the father was leaving .
14,simple,local,c-command,1,none,none,none,none,grandfather,man,was,leaving,The grandfather who stood near the man was leaving . <eos>,The grandfather who stood near the man was leaving .
14,simple,local,c-command,1,none,number,distractor,number,grandfather,men,was,leaving,The grandfather who stood near the men was leaving . <eos>,The grandfather who stood near the men was leaving .
14,simple,local,c-command,1,none,gender,distractor,gender,grandfather,woman,was,leaving,The grandfather who stood near the woman was leaving . <eos>,The grandfather who stood near the woman was leaving .
14,simple,local,c-command,1,none,both,distractor,both,grandfather,women,was,leaving,The grandfather who stood near the women was leaving . <eos>,The grandfather who stood near the women was leaving .
14,simple,local,no-c-command,0,number,none,head,number,men,grandfather,was,leaving,The men who stood near the grandfather was leaving . <eos>,The men who stood near the grandfather was leaving .
14,simple,local,no-c-command,1,gender,none,head,gender,woman,grandfather,was,leaving,The woman who stood near the grandfather was leaving . <eos>,The woman who stood near the grandfather was leaving .
14,simple,local,no-c-command,0,both,none,head,both,women,grandfather,was,leaving,The women who stood near the grandfather was leaving . <eos>,The women who stood near the grandfather was leaving .
15,simple,local,c-command,1,none,none,none,none,brother,man,was,leaving,The brother who stood near the man was leaving . <eos>,The brother who stood near the man was leaving .
15,simple,local,c-command,1,none,number,distractor,number,brother,men,was,leaving,The brother who stood near the men was leaving . <eos>,The brother who stood near the men was leaving .
15,simple,local,c-command,1,none,gender,distractor,gender,brother,woman,was,leaving,The brother who stood near the woman was leaving . <eos>,The brother who stood near the woman was leaving .
15,simple,local,c-command,1,none,both,distractor,both,brother,women,was,leaving,The brother who stood near the women was leaving . <eos>,The brother who stood near the women was leaving .
15,simple,local,no-c-command,0,number,none,head,number,men,brother,was,leaving,The men who stood near the brother was leaving . <eos>,The men who stood near the brother was leaving .
15,simple,local,no-c-command,1,gender,none,head,gender,woman,brother,was,leaving,The woman who stood near the brother was leaving . <eos>,The woman who stood near the brother was leaving .
15,simple,local,no-c-command,0,both,none,head,both,women,brother,was,leaving,The women who stood near the brother was leaving . <eos>,The women who stood near the brother was leaving .
16,simple,local,c-command,1,none,none,none,none,king,man,was,leaving,The king who stood near the man was leaving . <eos>,The king who stood near the man was leaving .
16,simple,local,c-command,1,none,number,distractor,number,king,men,was,leaving,The king who stood near the men was leaving . <eos>,The king who stood near the men was leaving .
16,simple,local,c-command,1,none,gender,distractor,gender,king,woman,was,leaving,The king who stood near the woman was leaving . <eos>,The king who stood near the woman was leaving .
16,simple,local,c-command,1,none,both,distractor,both,king,women,was,leaving,The king who stood near the women was leaving . <eos>,The king who stood near the women was leaving .
16,simple,local,no-c-command,0,number,none,head,number,men,king,was,leaving,The men who stood near the king was leaving . <eos>,The men who stood near the king was leaving .
16,simple,local,no-c-command,1,gender,none,head,gender,woman,king,was,leaving,The woman who stood near the king was leaving . <eos>,The woman who stood near the king was leaving .
16,simple,local,no-c-command,0,both,none,head,both,women,king,was,leaving,The women who stood near the king was leaving . <eos>,The women who stood near the king was leaving .
17,simple,local,c-command,1,none,none,none,none,father,man,was,leaving,The father who stood near the man was leaving . <eos>,The father who stood near the man was leaving .
17,simple,local,c-command,1,none,number,distractor,number,father,men,was,leaving,The father who stood near the men was leaving . <eos>,The father who stood near the men was leaving .
17,simple,local,c-command,1,none,gender,distractor,gender,father,woman,was,leaving,The father who stood near the woman was leaving . <eos>,The father who stood near the woman was leaving .
17,simple,local,c-command,1,none,both,distractor,both,father,women,was,leaving,The father who stood near the women was leaving . <eos>,The father who stood near the women was leaving .
17,simple,local,no-c-command,0,number,none,head,number,men,father,was,leaving,The men who stood near the father was leaving . <eos>,The men who stood near the father was leaving .
17,simple,local,no-c-command,1,gender,none,head,gender,woman,father,was,leaving,The woman who stood near the father was leaving . <eos>,The woman who stood near the father was leaving .
17,simple,local,no-c-command,0,both,none,head,both,women,father,was,leaving,The women who stood near the father was leaving . <eos>,The women who stood near the father was leaving .
18,simple,local,c-command,1,none,none,none,none,father,man,was,leaving,The father who stood near the man was leaving . <eos>,The father who stood near the man was leaving .
18,simple,local,c-command,1,none,number,distractor,number,father,men,was,leaving,The father who stood near the men was leaving . <eos>,The father who stood near the men was leaving .
18,simple,local,c-command,1,none,gender,distractor,gender,father,woman,was,leaving,The father who stood near the woman was leaving . <eos>,The father who stood near the woman was leaving .
18,simple,local,c-command,1,none,both,distractor,both,father,women,was,leaving,The father who stood near the women was leaving . <eos>,The father who stood near the women was leaving .
18,simple,local,no-c-command,0,number,none,head,number,men,father,was,leaving,The men who stood near the father was leaving . <eos>,The men who stood near the father was leaving .
18,simple,local,no-c-command,1,gender,none,head,gender,woman,father,was,leaving,The woman who stood near the father was leaving . <eos>,The woman who stood near the father was leaving .
18,simple,local,no-c-command,0,both,none,head,both,women,father,was,leaving,The women who stood near the father was leaving . <eos>,The women who stood near the father was leaving .
19,simple,local,c-command,1,none,none,none,none,uncle,man,was,leaving,The uncle who stood near the man was leaving . <eos>,The uncle who stood near the man was leaving .
19,simple,local,c-command,1,none,number,distractor,number,uncle,men,was,leaving,The uncle who stood near the men was leaving . <eos>,The uncle who stood near the men was leaving .
19,simple,local,c-command,1,none,gender,distractor,gender,uncle,woman,was,leaving,The uncle who stood near the woman was leaving . <eos>,The uncle who stood near the woman was leaving .
19,simple,local,c-command,1,none,both,distractor,both,uncle,women,was,leaving,The uncle who stood near the women was leaving . <eos>,The uncle who stood near the women was leaving .
19,simple,local,no-c-command,0,number,none,head,number,men,uncle,was,leaving,The men who stood near the uncle was leaving . <eos>,The men who stood near the uncle was leaving .
19,simple,local,no-c-command,1,gender,none,head,gender,woman,uncle,was,leaving,The woman who stood near the uncle was leaving . <eos>,The woman who stood near the uncle was leaving .
19,simple,local,no-c-command,0,both,none,head,both,women,uncle,was,leaving,The women who stood near the uncle was leaving . <eos>,The women who stood near the uncle was leaving .
20,simple,local,c-command,1,none,none,none,none,grandfather,man,was,leaving,The grandfather who stood near the man was leaving . <eos>,The grandfather who stood near the man was leaving .
20,simple,local,c-command,1,none,number,distractor,number,grandfather,men,was,leaving,The grandfather who stood near the men was leaving . <eos>,The grandfather who stood near the men was leaving .
20,simple,local,c-command,1,none,gender,distractor,gender,grandfather,woman,was,leaving,The grandfather who stood near the woman was leaving . <eos>,The grandfather who stood near the woman was leaving .
20,simple,local,c-command,1,none,both,distractor,both,grandfather,women,was,leaving,The grandfather who stood near the women was leaving . <eos>,The grandfather who stood near the women was leaving .
20,simple,local,no-c-command,0,number,none,head,number,men,grandfather,was,leaving,The men who stood near the grandfather was leaving . <eos>,The men who stood near the grandfather was leaving .
20,simple,local,no-c-command,1,gender,none,head,gender,woman,grandfather,was,leaving,The woman who stood near the grandfather was leaving . <eos>,The woman who stood near the grandfather was leaving .
20,simple,local,no-c-command,0,both,none,head,both,women,grandfather,was,leaving,The women who stood near the grandfather was leaving . <eos>,The women who stood near the grandfather was leaving .
21,simple,local,c-command,1,none,none,none,none,father,man,was,leaving,The father who stood near the man was leaving . <eos>,The father who stood near the man was leaving .
21,simple,local,c-command,1,none,number,distractor,number,father,men,was,leaving,The father who stood near the men was leaving . <eos>,The father who stood near the men was leaving .
21,simple,local,c-command,1,none,gender,distractor,gender,father,woman,was,leaving,The father who stood near the woman was leaving . <eos>,The father who stood near the woman was leaving .
21,simple,local,c-command,1,none,both,distractor,both,father,women,was,leaving,The father who stood near the women was leaving . <eos>,The father who stood near the women was leaving .
21,simple,local,no-c-command,0,number,none,head,number,men,father,was,leaving,The men who stood near the father was leaving . <eos>,The men who stood near the father was leaving .
21,simple,local,no-c-command,1,gender,none,head,gender,woman,father,was,leaving,The woman who stood near the father was leaving . <eos>,The woman who stood near the father was leaving .
21,simple,local,no-c-command,0,both,none,head,both,women,father,was,leaving,The women who stood near the father was leaving . <eos>,The women who stood near the father was leaving .
22,simple,local,c-command,1,none,none,none,none,boy,man,was,leaving,The boy who stood near the man was leaving . <eos>,The boy who stood near the man was leaving .
22,simple,local,c-command,1,none,number,distractor,number,boy,men,was,leaving,The boy who stood near the men was leaving . <eos>,The boy who stood near the men was leaving .
22,simple,local,c-command,1,none,gender,distractor,gender,boy,woman,was,leaving,The boy who stood near the woman was leaving . <eos>,The boy who stood near the woman was leaving .
22,simple,local,c-command,1,none,both,distractor,both,boy,women,was,leaving,The boy who stood near the women was leaving . <eos>,The boy who stood near the women was leaving .
22,simple,local,no-c-command,0,number,none,head,number,men,boy,was,leaving,The men who stood near the boy was leaving . <eos>,The men who stood near the boy was leaving .
22,simple,local,no-c-command,1,gender,none,head,gender,woman,boy,was,leaving,The woman who stood near the boy was leaving . <eos>,The woman who stood near the boy was leaving .
22,simple,local,no-c-command,0,both,none,head,both,women,boy,was,leaving,The women who stood near the boy was leaving . <eos>,The women who stood near the boy was leaving .
23,simple,local,c-command,1,none,none,none,none,grandfather,man,was,leaving,The grandfather who stood near the man was leaving . <eos>,The grandfather who stood near the man was leaving .
23,simple,local,c-command,1,none,number,distractor,number,grandfather,men,was,leaving,The grandfather who stood near the men was leaving . <eos>,The grandfather who stood near the men was leaving .
23,simple,local,c-command,1,none,gender,distractor,gender,grandfather,woman,was,leaving,The grandfather who stood near the woman was leaving . <eos>,The grandfather who stood near the woman was leaving .
23,simple,local,c-command,1,none,both,distractor,both,grandfather,women,was,leaving,The grandfather who stood near the women was leaving . <eos>,The grandfather who stood near the women was leaving .
23,simple,local,no-c-command,0,number,none,head,number,men,grandfather,was,leaving,The men who stood near the grandfather was leaving . <eos>,The men who stood near the grandfather was leaving .
23,simple,local,no-c-command,1,gender,none,head,gender,woman,grandfather,was,leaving,The woman who stood near the grandfather was leaving . <eos>,The woman who stood near the grandfather was leaving .
23,simple,local,no-c-command,0,both,none,head,both,women,grandfather,was,leaving,The women who stood near the grandfather was leaving . <eos>,The women who stood near the grandfather was leaving .
24,simple,local,c-command,1,none,none,none,none,grandfather,man,was,leaving,The grandfather who stood near the man was leaving . <eos>,The grandfather who stood near the man was leaving .
24,simple,local,c-command,1,none,number,distractor,number,grandfather,men,was,leaving,The grandfather who stood near the men was leaving . <eos>,The grandfather who stood near the men was leaving .
24,simple,local,c-command,1,none,gender,distractor,gender,grandfather,woman,was,leaving,The grandfather who stood near the woman was leaving . <eos>,The grandfather who stood near the woman was leaving .
24,simple,local,c-command,1,none,both,distractor,both,grandfather,women,was,leaving,The grandfather who stood near the women was leaving . <eos>,The grandfather who stood near the women was leaving .
24,simple,local,no-c-command,0,number,none,head,number,men,grandfather,was,leaving,The men who stood near the grandfather was leaving . <eos>,The men who stood near the grandfather was leaving .
24,simple,local,no-c-command,1,gender,none,head,gender,woman,grandfather,was,leaving,The woman who stood near the grandfather was leaving . <eos>,The woman who stood near the grandfather was leaving .
24,simple,local,no-c-command,0,both,none,head,both,women,grandfather,was,leaving,The women who stood near the grandfather was leaving . <eos>,The women who stood near the grandfather was leaving .
25,simple,local,c-command,1,none,none,none,none,son,man,was,leaving,The son who stood near the man was leaving . <eos>,The son who stood near the man was leaving .
25,simple,local,c-command,1,none,number,distractor,number,son,men,was,leaving,The son who stood near the men was leaving . <eos>,The son who stood near the men was leaving .
25,simple,local,c-command,1,none,gender,distractor,gender,son,woman,was,leaving,The son who stood near the woman was leaving . <eos>,The son who stood near the woman was leaving .
25,simple,local,c-command,1,none,both,distractor,both,son,women,was,leaving,The son who stood near the women was leaving . <eos>,The son who stood near the women was leaving .
25,simple,local,no-c-command,0,number,none,head,number,men,son,was,leaving,The men who stood near the son was leaving . <eos>,The men who stood near the son was leaving .
25,simple,local,no-c-command,1,gender,none,head,gender,woman,son,was,leaving,The woman who stood near the son was leaving . <eos>,The woman who stood near the son was leaving .
25,simple,local,no-c-command,0,both,none,head,both,women,son,was,leaving,The women who stood near the son was leaving . <eos>,The women who stood near the son was leaving .
26,simple,local,c-command,1,none,none,none,none,king,man,was,leaving,The king who stood near the man was leaving . <eos>,The king who stood near the man was leaving .
26,simple,local,c-command,1,none,number,distractor,number,king,men,was,leaving,The king who stood near the men was leaving . <eos>,The king who stood near the men was leaving .
26,simple,local,c-command,1,none,gender,distractor,gender,king,woman,was,leaving,The king who stood near the woman was leaving . <eos>,The king who stood near the woman was leaving .
26,simple,local,c-command,1,none,both,distractor,both,king,women,was,leaving,The king who stood near the women was leaving . <eos>,The king who stood near the women was leaving .
26,simple,local,no-c-command,0,number,none,head,number,men,king,was,leaving,The men who stood near the king was leaving . <eos>,The men who stood near the king was leaving .
26,simple,local,no-c-command,1,gender,none,head,gender,woman,king,was,leaving,The woman who stood near the king was leaving . <eos>,The woman who stood near the king was leaving .
26,simple,local,no-c-command,0,both,none,head,both,women,king,was,leaving,The women who stood near the king was leaving . <eos>,The women who stood near the king was leaving .
27,simple,local,c-command,1,none,none,none,none,boy,man,was,leaving,The boy who stood near the man was leaving . <eos>,The boy who stood near the man was leaving .
27,simple,local,c-command,1,none,number,distractor,number,boy,men,was,leaving,The boy who stood near the men was leaving . <eos>,The boy who stood near the men was leaving .
27,simple,local,c-command,1,none,gender,distractor,gender,boy,woman,was,leaving,The boy who stood near the woman was leaving . <eos>,The boy who stood near the woman was leaving .
27,simple,local,c-command,1,none,both,distractor,both,boy,women,was,leaving,The boy who stood near the women was leaving . <eos>,The boy who stood near the women was leaving .
27,simple,local,no-c-command,0,number,none,head,number,men,boy,was,leaving,The men who stood near the boy was leaving . <eos>,The men who stood near the boy was leaving .
27,simple,local,no-c-command,1,gender,none,head,gender,woman,boy,was,leaving,The woman who stood near the boy was leaving . <eos>,The woman who stood near the boy was leaving .
27,simple,local,no-c-command,0,both,none,head,both,women,boy,was,leaving,The women who stood near the boy was leaving . <eos>,The women who stood near the boy was leaving .
28,simple,local,c-command,1,none,none,none,none,prince,man,was,leaving,The prince who stood near the man was leaving . <eos>,The prince who stood near the man was leaving .
28,simple,local,c-command,1,none,number,distractor,number,prince,men,was,leaving,The prince who stood near the men was leaving . <eos>,The prince who stood near the men was leaving .
28,simple,local,c-command,1,none,gender,distractor,gender,prince,woman,was,leaving,The prince who stood near the woman was leaving . <eos>,The prince who stood near the woman was leaving .
28,simple,local,c-command,1,none,both,distractor,both,prince,women,was,leaving,The prince who stood near the women was leaving . <eos>,The prince who stood near the women was leaving .
28,simple,local,no-c-command,0,number,none,head,number,men,prince,was,leaving,The men who stood near the prince was leaving . <eos>,The men who stood near the prince was leaving .
28,simple,local,no-c-command,1,gender,none,head,gender,woman,prince,was,leaving,The woman who stood near the prince was leaving . <eos>,The woman who stood near the prince was leaving .
28,simple,local,no-c-command,0,both,none,head,both,women,prince,was,leaving,The women who stood near the prince was leaving . <eos>,The women who stood near the prince was leaving .
29,simple,local,c-command,1,none,none,none,none,uncle,man,was,leaving,The uncle who stood near the man was leaving . <eos>,The uncle who stood near the man was leaving .
29,simple,local,c-command,1,none,number,distractor,number,uncle,men,was,leaving,The uncle who stood near the men was leaving . <eos>,The uncle who stood near the men was leaving .
29,simple,local,c-command,1,none,gender,distractor,gender,uncle,woman,was,leaving,The uncle who stood near the woman was leaving . <eos>,The uncle who stood near the woman was leaving .
29,simple,local,c-command,1,none,both,distractor,both,uncle,women,was,leaving,The uncle who stood near the women was leaving . <eos>,The uncle who stood near the women was leaving .
29,simple,local,no-c-command,0,number,none,head,number,men,uncle,was,leaving,The men who stood near the uncle was leaving . <eos>,The men who stood near the uncle was leaving .
